Date_IT_L01d,Open_IT_L01d,High_IT_L01d,Low_IT_L01d,Close_IT_L01d,Adj Close_IT_L01d,Volume_IT_L01d,Daily_Return_IT_L01d,Vol5_IT_L01d,Vol10_IT_L01d,Vol20_IT_L01d,Vol60_IT_L01d,SMA5_IT_L01d,SMA10_IT_L01d,SMA30_IT_L01d,SMA60_IT_L01d,SMA100_IT_L01d,EMA5_IT_L01d,EMA10_IT_L01d,EMA30_IT_L01d,EMA60_IT_L01d,EMA100_IT_L01d,Short12_IT_L01d,Long26_IT_L01d,MACD_IT_L01d,SIGNAL9_IT_L01d,Ret5/10_IT_L01d,Ret10/30_IT_L01d,Ret30/60_IT_L01d,Ret30/100_IT_L01d,Emaret5/10_IT_L01d,Emaret10/30_IT_L01d,Emaret30/60_IT_L01d,Emaret30/100_IT_L01d,RetMACD_IT_L01d,DayRange_IT_L01d,average20r_IT_L01d,PRVHI_IT_L01d,HitLevel_IT_L01d,hitlevel_2_IT_L01d,hitlevel_1.8_IT_L01d,positive_return_dummy,sma_ratio_L01d,ema_ratio_L01d,volatility_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_best,best
2024-01-02,446.8200073242188,449.0899963378906,434.9599914550781,437.25,437.25,442800.0,-3.072418213212689,1.6026093132389316,1.3290134572665493,1.4001350753293982,2.2083029998216035,446.74599609375,446.63099670410156,441.8246643066406,403.6190007527669,380.58080078125,445.3159387604699,446.4392164765709,435.78209284698147,413.98684402249444,394.74032565362717,446.3030790543571,438.8998372771563,7.403241777200833,10.701274605126576,-2.2206955872105487,-2.2206955872105487,-2.2206955872105487,-2.2206955872105487,2.2206955872105487,2.2206955872105487,-2.2206955872105487,-2.2206955872105487,2.2206955872105487,10.110015869140568,7.807501220703142,449.0899963378906,438.1227154541015,439.64701538085933,441.17131530761714,0.0,1.0002574818821288,0.9974839179116786,0.9492037451842875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1
2024-01-03,435.6499938964844,437.4200134277344,427.3099975585938,427.5400085449219,427.5400085449219,435500.0,-2.2206955872105487,1.7620148116926453,1.3830923771594048,1.4823353998721531,2.2337440821605514,442.9599975585937,444.4169982910156,442.1556650797526,404.8513341267904,381.4774008178711,439.3906286886206,443.0029968526347,435.2503454726551,414.43121007241007,395.38982432474194,443.4164528221363,438.0583684821759,5.358084339960385,9.632636552093338,0.23389623895161837,-0.23389623895161837,-0.23389623895161837,-0.23389623895161837,0.23389623895161837,0.23389623895161837,-0.23389623895161837,-0.23389623895161837,0.23389623895161837,5.9000244140625,7.815501403808608,437.4200134277344,431.91349365234373,433.47499389648436,435.036494140625,0.0,0.9967215458949035,0.991845725221548,0.933049549567994,0.0,0.0,1.0,0.011527112,0.011527112,0.502232671,0.502232671,-2.2206955872105487,1
2024-01-04,427.2000122070312,430.9800109863281,425.0799865722656,426.5400085449219,426.5400085449219,380000.0,-0.23389623895161837,1.7319789384850535,1.3668695373707613,1.465703027136215,2.234817964585593,438.94199829101564,442.022998046875,442.2209991455078,406.05933430989586,382.3432009887695,435.10708864072103,440.00972625123234,434.68838825151107,414.82821985839405,396.0066596558346,440.8200767794879,437.2051566349719,3.61492014451602,8.429093270577875,0.27430332543146485,0.27430332543146485,-0.27430332543146485,-0.27430332543146485,0.27430332543146485,0.27430332543146485,-0.27430332543146485,-0.27430332543146485,0.27430332543146485,5.54998779296875,7.807000732421886,430.9800109863281,420.22591033935544,421.78901062011715,423.35211090087887,0.0,0.9930297749902763,0.9888578880919736,0.9325692258693352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23389623895161837,1
2024-01-05,425.6600036621094,430.0799865722656,424.5299987792969,425.3699951171875,425.3699951171875,326000.0,-0.27430332543146485,1.3442091646050065,1.2990663653350965,1.4078415672471096,2.236082238636542,433.56199951171874,440.3009979248047,442.14033203125,407.218500773112,383.20830108642576,431.8613907995432,437.3479569541332,434.08720159768376,415.1738518340922,396.5881118431881,438.443141139134,436.32847800402493,2.114663135109083,7.166207243484117,-2.456687666498991,-2.456687666498991,2.456687666498991,2.456687666498991,-2.456687666498991,-2.456687666498991,2.456687666498991,2.456687666498991,-2.456687666498991,10.1300048828125,8.055500793457043,430.0799865722656,413.804609375,415.36600952148433,416.92740966796873,1.0,0.9846945647526404,0.9874549176065651,0.9227361910298529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27430332543146485,1
2024-01-08,427.8500061035156,435.8800048828125,425.75,435.8200073242188,435.8200073242188,336200.0,2.456687666498991,2.138878351569382,1.5793174041109141,1.5099549199836406,2.248806559804379,430.50400390625,439.5489990234375,442.38966573079426,408.468500773112,384.2250012207031,433.1809296411018,437.07014793051235,434.19899551552476,415.850774964916,397.3649810606342,438.0395820906855,436.29081350922445,1.7487685814610359,6.082719511079501,-0.26616576628304234,-0.26616576628304234,0.26616576628304234,0.26616576628304234,-0.26616576628304234,-0.26616576628304234,0.26616576628304234,0.26616576628304234,-0.26616576628304234,5.389984130859318,7.860000610351568,435.8800048828125,412.35788482666015,413.96898498535154,415.5800851440429,1.0,0.9794221005228471,0.9911016153635163,1.0459367913632978,0.0,0.0,1.0,0.008189829,0.008189829,0.975336075,0.975336075,2.456687666498991,-1
2024-01-09,431.8900146484375,437.1799926757812,431.7900085449219,436.9800109863281,436.9800109863281,291100.0,0.26616576628304234,1.6708972037045648,1.5582249291601895,1.474281685098827,2.2437822605404785,430.45000610351565,438.59800109863284,442.7273325602213,409.7865010579427,385.2844012451172,434.4472900895106,437.0537593952061,434.37841586847986,416.5435368016836,398.1494370987667,437.87657115155355,436.3418651741951,1.534705977358442,5.17311680433529,-1.048099788804522,-1.048099788804522,1.048099788804522,1.048099788804522,-1.048099788804522,-1.048099788804522,1.048099788804522,1.048099788804522,-1.048099788804522,4.879974365234432,7.500999450683599,437.1799926757812,418.58800354003904,420.1600036621094,421.73200378417965,1.0,0.9814226353638013,0.9940362729992248,1.0569384025521116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26616576628304234,-1
2024-01-10,439.3999938964844,442.2999877929688,437.4200134277344,441.5599975585938,441.5599975585938,348300.0,1.048099788804522,1.140779246017928,1.607962993580217,1.4653519747754868,2.2452604624560597,433.25400390625,438.10700073242185,443.0673329671224,411.17550099690754,386.43150115966796,436.81819257920506,437.87307542491294,434.841743719455,417.363748629779,399.0090521573772,438.44325213725205,436.7283934989654,1.714858638286671,4.481465171125566,-0.7020577318270789,-0.7020577318270789,0.7020577318270789,0.7020577318270789,-0.7020577318270789,-0.7020577318270789,0.7020577318270789,0.7020577318270789,-0.7020577318270789,8.989990234375,7.60549926757813,442.2999877929688,420.67779388427726,422.177993774414,423.6781936645507,1.0,0.9889228046617409,0.9975908935604588,1.0973220231450402,1.0,0.0,0.0,0.567902684,0.567902684,0.211508587,0.211508587,-1.048099788804522,1
2024-01-11,443.7300109863281,444.989990234375,436.0,444.6600036621094,444.6600036621094,290500.0,0.7020577318270789,1.0304088869554642,1.6278409431196008,1.466633451123502,2.2392340907363755,436.8780029296875,437.9100006103516,443.59966634114585,412.67083435058595,387.5966012573242,439.43212960683985,439.1070623771305,435.4751798447876,418.25870781116686,399.91303139509466,439.39967544876856,437.31592017771675,2.083755271051814,4.001923191110816,-2.1477055985061444,-2.1477055985061444,2.1477055985061444,2.1477055985061444,-2.1477055985061444,2.1477055985061444,2.1477055985061444,2.1477055985061444,-2.1477055985061444,11.540008544921875,7.771000671386725,444.989990234375,425.5678894042969,427.08898925781256,428.6100891113282,1.0,0.9976433566732303,1.0007402915087487,1.1099166883672313,0.0,1.0,0.0,0.003434194,0.003434194,0.030495524,0.030495524,0.7020577318270789,-1
2024-01-12,443.1099853515625,454.6499938964844,443.1099853515625,454.2099914550781,454.2099914550781,380000.0,2.1477055985061444,0.9411985095692212,1.7270876297791455,1.528100169142506,2.2437739046833847,442.6460021972656,438.1040008544922,444.4026662190755,414.3788340250651,388.8176013183594,444.3580835562526,441.8530494822118,436.6838773680322,419.4374384224426,400.98821872301517,441.67818560358546,438.5673328649287,3.1108527386567744,3.823709100620008,-0.2443771322613626,0.2443771322613626,-0.2443771322613626,-0.2443771322613626,0.2443771322613626,-0.2443771322613626,-0.2443771322613626,-0.2443771322613626,0.2443771322613626,6.010009765625,7.3490005493164094,454.6499938964844,427.8937887573242,429.44798889160154,431.0021890258789,0.0,1.0103674043923692,1.0056693827890886,1.1302188591133404,0.0,0.0,2.0,0.010795556,0.007312015,0.96601969,0.873771429,-2.1477055985061444,1
2024-01-16,451.2200012207031,456.7000122070312,450.6900024414062,453.1000061035156,453.1000061035156,558700.0,-0.2443771322613626,0.9030321130321278,1.7268482236949791,1.4147388659709315,2.24186321750439,446.102001953125,438.3030029296875,445.01133321126304,416.1001673380534,390.0224014282227,447.27205773867365,443.8979506860852,437.7429824477408,420.5411291660843,402.02013530480724,443.43538875742087,439.64382717889805,3.791561578522817,3.81727959620057,0.28249807151943523,-0.28249807151943523,0.28249807151943523,0.28249807151943523,-0.28249807151943523,0.28249807151943523,0.28249807151943523,0.28249807151943523,-0.28249807151943523,5.54998779296875,7.0794998168945344,456.7000122070312,438.4821926879883,439.9519927978516,441.42179290771486,1.0,1.0177936244363095,1.0076010872484846,1.2206126976725473,0.0,0.0,1.0,0.005111238,0.005111238,0.989629328,0.989629328,-0.2443771322613626,-1
