Date_TEL_L01d,Open_TEL_L01d,High_TEL_L01d,Low_TEL_L01d,Close_TEL_L01d,Adj Close_TEL_L01d,Volume_TEL_L01d,Daily_Return_TEL_L01d,Vol5_TEL_L01d,Vol10_TEL_L01d,Vol20_TEL_L01d,Vol60_TEL_L01d,SMA5_TEL_L01d,SMA10_TEL_L01d,SMA30_TEL_L01d,SMA60_TEL_L01d,SMA100_TEL_L01d,EMA5_TEL_L01d,EMA10_TEL_L01d,EMA30_TEL_L01d,EMA60_TEL_L01d,EMA100_TEL_L01d,Short12_TEL_L01d,Long26_TEL_L01d,MACD_TEL_L01d,SIGNAL9_TEL_L01d,Ret5/10_TEL_L01d,Ret10/30_TEL_L01d,Ret30/60_TEL_L01d,Ret30/100_TEL_L01d,Emaret5/10_TEL_L01d,Emaret10/30_TEL_L01d,Emaret30/60_TEL_L01d,Emaret30/100_TEL_L01d,RetMACD_TEL_L01d,DayRange_TEL_L01d,average20r_TEL_L01d,PRVHI_TEL_L01d,HitLevel_TEL_L01d,hitlevel_2_TEL_L01d,hitlevel_1.8_TEL_L01d,positive_return_dummy,sma_ratio_L01d,ema_ratio_L01d,volatility_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_best,best
2024-01-02,139.2899932861328,139.6999969482422,138.0899963378906,138.9199981689453,138.9199981689453,1367700.0,-1.1245564633841192,0.5637663285221561,0.8536532083722604,1.3245410849445787,1.4614198964159815,140.51800231933595,140.40500030517578,135.5286661783854,129.20566647847494,128.5388996887207,140.09231155356866,139.79405707208446,135.93466493088218,132.55896252635583,130.9940627119882,139.4752614786868,136.6679540773284,2.8073074013584005,3.143163689764054,-1.2885065575338843,-1.2885065575338843,-1.2885065575338843,-1.2885065575338843,1.2885065575338843,-1.2885065575338843,-1.2885065575338843,-1.2885065575338843,1.2885065575338843,1.3000030517578125,1.9409996032714871,139.6999969482422,136.96309646606448,137.35099639892582,137.73889633178715,0.0,1.000804828986963,1.0021335276172034,0.6444897920308594,0.0,0.0,1.0,0.010269593,0.010269593,0.633752644,0.633752644,,-1
2024-01-03,137.7700042724609,138.1399993896484,136.8399963378906,137.1300048828125,137.1300048828125,1685000.0,-1.2885065575338843,0.6103832959521703,0.9206457320464985,1.351147615195539,1.443558970520969,139.6780029296875,140.02000122070314,135.71766611735026,129.42499987284342,128.56019973754883,139.10487599664995,139.30968394676228,136.01178363745834,132.70883276755112,131.11556651735103,139.1144527716292,136.7021800629198,2.412272708709395,2.9969854935531224,3.4055261450155734,-3.4055261450155734,-3.4055261450155734,-3.4055261450155734,3.4055261450155734,3.4055261450155734,-3.4055261450155734,-3.4055261450155734,3.4055261450155734,3.079986572265625,2.0199989318847686,138.1399993896484,135.42979782104493,135.8179977416992,136.2061976623535,0.0,0.997557504013469,0.9985298369480862,0.6813805698892952,0.0,1.0,4.0,0.006194,0.0027325611999999,0.990570188,0.7828455566,1.2885065575338843,-1
2024-01-04,135.0,135.0399932861328,131.9600067138672,132.4600067138672,132.4600067138672,2634700.0,-3.4055261450155734,1.370061067348482,1.3365099043550535,1.5582945221548636,1.5120760647777503,138.01600341796876,139.15400238037108,135.7576665242513,129.58100001017252,128.55439987182618,136.8899195690557,138.0642880862359,135.78263673916214,132.70067453628278,131.14218909549984,138.09069183966582,136.38794500002703,1.7027468396387917,2.7381377627702563,0.08304439436516728,-0.08304439436516728,-0.08304439436516728,-0.08304439436516728,0.08304439436516728,0.08304439436516728,-0.08304439436516728,-0.08304439436516728,0.08304439436516728,1.7400054931640057,2.0269989013671887,135.0399932861328,133.69600173950192,134.10000152587887,134.50400131225584,0.0,0.9918220177433944,0.9914940457560851,0.8576747754377531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4055261450155734,-1
2024-01-05,131.7599945068359,133.3000030517578,131.5599975585938,132.3500061035156,132.3500061035156,1825700.0,-0.08304439436516728,1.2981035678409738,1.2715744188876366,1.5381364840894096,1.5080223525770104,136.27200317382812,138.53800354003906,135.8123331705729,129.71466674804688,128.54329986572264,135.37661508054234,137.0253277257413,135.56117669815268,132.68917721061825,131.1661062639754,137.20750941871964,136.08883841510027,1.1186710036193688,2.414244410940079,-1.1333584668117034,1.1333584668117034,1.1333584668117034,1.1333584668117034,-1.1333584668117034,-1.1333584668117034,1.1333584668117034,1.1333584668117034,-1.1333584668117034,1.669998168945284,2.005998992919923,133.3000030517578,130.580595703125,130.98599548339843,131.39139526367188,1.0,0.9836434746545483,0.9879678255650743,0.8266980414552872,0.0,0.0,2.0,0.008008541,0.0047456999999999,0.996344984,0.9173428715,0.08304439436516728,1
2024-01-08,133.6199951171875,134.1900024414062,132.5200042724609,133.8500061035156,133.8500061035156,1525900.0,1.1333584668117034,1.6782872984702986,1.2903498311743498,1.5466319606118824,1.5105117942147763,134.94200439453124,137.93500366210938,135.89633331298828,129.8550001780192,128.5770999145508,134.8677454215334,136.44799652170025,135.45077859527288,132.7272371743198,131.21925279545144,136.6909704471498,135.92299898461252,0.7679714625372753,2.0849898212595184,0.5155042285710214,-0.5155042285710214,-0.5155042285710214,-0.5155042285710214,0.5155042285710214,0.5155042285710214,-0.5155042285710214,-0.5155042285710214,0.5155042285710214,1.739990234375,1.981498718261723,134.1900024414062,128.88680526733398,129.28800506591796,129.68920486450196,0.0,0.9783013797214962,0.988418656627798,0.8342966290854732,0.0,0.0,1.0,0.00184793,0.00184793,0.993904173,0.993904173,1.1333584668117034,1
2024-01-09,132.0700073242188,133.8099975585938,132.0700073242188,133.1600036621094,133.1600036621094,1270000.0,-0.5155042285710214,1.6848718727972418,1.2182432331990787,1.5439024969776642,1.5093475578699513,133.79000549316407,137.15400390625,135.9663335164388,129.99766693115234,128.61419998168947,134.2984981683921,135.85017963813826,135.30298666410104,132.74142623949322,131.25768350568228,136.1477447879128,135.7183326644271,0.42941212348571867,1.7538742817047586,-0.007505637249207292,0.007505637249207292,0.007505637249207292,0.007505637249207292,-0.007505637249207292,-0.007505637249207292,0.007505637249207292,0.007505637249207292,-0.007505637249207292,1.0599975585938068,1.9044990539550823,133.8099975585938,129.8307052612304,130.22700500488276,130.6233047485351,1.0,0.9754728384350678,0.9885779947153596,0.7890674673976533,0.0,0.0,1.0,0.004555886,0.004555886,0.94404304,0.94404304,-0.5155042285710214,1
2024-01-10,133.0,133.5299987792969,132.4700012207031,133.1699981689453,133.1699981689453,1842400.0,0.007505637249207292,1.6967035681885734,1.2021906301840235,1.4831107781719257,1.4688462303231213,132.9980041503906,136.33800354003907,136.05033365885416,130.19300028483073,128.6675,133.92233150190984,135.3628739164668,135.16537450312325,132.75547777816377,131.2955511227766,135.68962992345627,135.52956714624327,0.16006277721299966,1.4351119808064068,0.8034783210496684,-0.8034783210496684,-0.8034783210496684,-0.8034783210496684,0.8034783210496684,0.8034783210496684,-0.8034783210496684,-0.8034783210496684,0.8034783210496684,2.0200042724609943,1.9539993286132868,133.5299987792969,129.62009963989263,130.00099945068365,130.38189926147467,0.0,0.9755020661669908,0.9893579208768429,0.8105872116079131,0.0,0.0,1.0,0.004979777,0.004979777,0.940535307,0.940535307,0.007505637249207292,1
2024-01-11,132.9199981689453,133.2400054931641,131.2200012207031,132.1000061035156,132.1000061035156,2143700.0,-0.8034783210496684,0.7397862759945663,1.2019327285823553,1.491693373605251,1.4460595227037532,132.9260040283203,135.47100372314452,136.11400044759114,130.32333374023438,128.71150009155272,133.3148897024451,134.76962522320295,134.96760879992274,132.73398690358513,131.3114809243754,135.13738010500384,135.2755255875227,-0.1381454825188655,1.1204604881413525,0.12870054495014807,0.12870054495014807,-0.12870054495014807,-0.12870054495014807,0.12870054495014807,0.12870054495014807,0.12870054495014807,-0.12870054495014807,0.12870054495014807,1.8600006103516193,1.9024993896484474,133.2400054931641,129.23120025634768,129.62200012207032,130.012799987793,0.0,0.9812136942601731,0.9892057611769081,0.8057505314764672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8034783210496684,-1
2024-01-12,132.25,133.3200073242188,131.4600067138672,131.9299926757812,131.9299926757812,1973200.0,-0.12870054495014807,0.7405430478099583,1.18004505559323,1.4246591295807927,1.446350182350791,132.84200134277344,134.55700225830077,136.16400044759115,130.44683367411295,128.74800003051757,132.8532573602238,134.25332839639898,134.77163356610717,132.70762643709978,131.32372868182898,134.64393588512343,135.0277083348011,-0.38377244967767865,0.8196139005775462,0.9019838161755254,0.9019838161755254,-0.9019838161755254,-0.9019838161755254,0.9019838161755254,0.9019838161755254,0.9019838161755254,-0.9019838161755254,0.9019838161755254,2.7900085449219034,1.800499725341807,133.3200073242188,129.0545068359375,129.4350067138672,129.8155065917969,0.0,0.9872544654923633,0.9895714240168311,0.8282999287980273,0.0,0.0,1.0,0.013143128,0.013143128,0.981536806,0.981536806,0.12870054495014807,1
2024-01-16,131.1699981689453,131.4900054931641,128.6999969482422,130.7400054931641,130.7400054931641,2580500.0,-0.9019838161755254,0.40136426888830656,1.1784909822378082,1.0394272863597767,1.425444459832605,132.22000122070312,133.58100280761718,136.15533396402995,130.59250043233234,128.77770011901856,132.14884007120392,133.61454241399264,134.5115285291431,132.6431142750035,131.3121698068059,134.04333120943738,134.71010071690205,-0.6667695074646645,0.5223372189691041,1.2314521513736452,1.2314521513736452,-1.2314521513736452,-1.2314521513736452,1.2314521513736452,1.2314521513736452,1.2314521513736452,-1.2314521513736452,1.2314521513736452,1.6799926757812784,1.6964988708496207,131.4900054931641,129.35890792846683,129.7190078735352,130.07910781860355,0.0,0.9898114136119028,0.9890303681297851,1.1337887678175667,0.0,0.0,3.0,0.003239133,0.0026074493333333,0.990651846,0.9839117926666666,-0.9019838161755254,1
