Date_FICO_L01d,Open_FICO_L01d,High_FICO_L01d,Low_FICO_L01d,Close_FICO_L01d,Adj Close_FICO_L01d,Volume_FICO_L01d,Daily_Return_FICO_L01d,Vol5_FICO_L01d,Vol10_FICO_L01d,Vol20_FICO_L01d,Vol60_FICO_L01d,SMA5_FICO_L01d,SMA10_FICO_L01d,SMA30_FICO_L01d,SMA60_FICO_L01d,SMA100_FICO_L01d,EMA5_FICO_L01d,EMA10_FICO_L01d,EMA30_FICO_L01d,EMA60_FICO_L01d,EMA100_FICO_L01d,Short12_FICO_L01d,Long26_FICO_L01d,MACD_FICO_L01d,SIGNAL9_FICO_L01d,Ret5/10_FICO_L01d,Ret10/30_FICO_L01d,Ret30/60_FICO_L01d,Ret30/100_FICO_L01d,Emaret5/10_FICO_L01d,Emaret10/30_FICO_L01d,Emaret30/60_FICO_L01d,Emaret30/100_FICO_L01d,RetMACD_FICO_L01d,DayRange_FICO_L01d,average20r_FICO_L01d,PRVHI_FICO_L01d,HitLevel_FICO_L01d,hitlevel_2_FICO_L01d,hitlevel_1.8_FICO_L01d,positive_return_dummy,sma_ratio_L01d,ema_ratio_L01d,volatility_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_best,best
2024-01-02,1152.400024414062,1158.010009765625,1119.880004882812,1131.160034179688,1131.160034179688,190800.0,-2.822138582171766,1.2734100633315477,1.1758868750006048,1.2903235817695604,1.8246137841649213,1159.947998046875,1159.0510009765626,1122.2746704101562,1018.5903371175131,962.3777026367187,1153.8923136899225,1153.8544490718484,1111.8433891769362,1047.3089904234018,987.1403020741975,1151.617880930723,1121.818588779217,29.79929215150605,37.24972850779801,-0.7770818272300873,-0.7770818272300873,-0.7770818272300873,-0.7770818272300873,0.7770818272300873,-0.7770818272300873,-0.7770818272300873,-0.7770818272300873,0.7770818272300873,18.880004882812045,23.019494628906294,1158.010009765625,1123.888585205078,1128.6459838867186,1133.4033825683593,0.0,1.0007739064713777,1.000032815766412,0.911311621064837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1
2024-01-03,1131.160034179688,1135.0,1116.119995117188,1122.369995117188,1122.369995117188,158600.0,-0.7770818272300873,1.263830526617146,1.0386802814291787,1.2983393134246706,1.8284936209612366,1151.497998046875,1156.4109985351563,1124.944669596354,1022.737836710612,965.010502319336,1143.3848741656777,1148.1300028982737,1112.5225250440492,1049.7700069707391,989.8181177780191,1147.118206190179,1121.8594336931408,25.258772497038308,34.851537305646076,0.43747019263244763,-0.43747019263244763,-0.43747019263244763,-0.43747019263244763,0.43747019263244763,0.43747019263244763,-0.43747019263244763,-0.43747019263244763,0.43747019263244763,17.830078125,22.862500000000047,1135.0,1107.3671215820311,1111.9710205078125,1116.5749194335938,0.0,0.9957515100647566,0.9958670806262203,0.8000068015266509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7770818272300873,1
2024-01-04,1124.089965820312,1132.930053710938,1115.099975585938,1117.4599609375,1117.4599609375,127700.0,-0.43747019263244763,1.0891980994872088,1.0214365604531703,1.2891709719449882,1.8227767334553604,1140.8679931640625,1152.9059936523438,1127.1450032552084,1026.5390024820963,967.5840020751953,1134.743236422952,1142.5536316326784,1112.8410692952398,1051.9893497237476,992.3456790287019,1142.5553992282285,1121.5335468223525,21.02185240587596,32.085600325692056,0.17897732982952586,-0.17897732982952586,-0.17897732982952586,-0.17897732982952586,0.17897732982952586,0.17897732982952586,-0.17897732982952586,-0.17897732982952586,0.17897732982952586,19.210083007812045,22.206005859375,1132.930053710938,1084.7024999999999,1089.2749999999999,1093.8474999999999,0.0,0.9895585584995134,0.9931640887626731,0.792320477796763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43747019263244763,1
2024-01-05,1115.52001953125,1132.400024414062,1113.18994140625,1115.4599609375,1115.4599609375,164600.0,-0.17897732982952586,1.0764476250741468,1.0058238559393953,1.2290568267525275,1.8234824410058887,1130.0919921875002,1148.9369873046876,1129.1636678059897,1030.3108347574869,969.982001953125,1128.3154779278013,1137.6275096881004,1113.0100300463534,1054.0703533701,994.7835856011533,1138.386870260424,1121.0836515716226,17.303218688801508,29.12912399831395,-3.314336154420644,3.314336154420644,3.314336154420644,3.314336154420644,-3.314336154420644,-3.314336154420644,3.314336154420644,3.314336154420644,-3.314336154420644,38.7099609375,23.10400390625,1132.400024414062,1084.076840820313,1088.518041992188,1092.9592431640629,1.0,0.9835978862849596,0.9918145160160093,0.8183705049643888,0.0,1.0,0.0,0.001850729,0.001850729,0.008911637,0.008911637,-0.17897732982952586,1
2024-01-08,1120.920043945312,1154.52001953125,1115.81005859375,1152.430053710938,1152.430053710938,134200.0,3.314336154420644,2.2143892920578883,1.5046245358022368,1.429781298810688,1.8541495720916592,1127.776000976563,1147.6339965820312,1132.072334798177,1034.4400024414062,972.7954022216796,1136.3536698555135,1140.3188813286163,1115.5532573795524,1057.2952615779964,997.905297840951,1140.5473600220416,1123.405607285646,17.141752736395574,26.731649745930277,-0.6273682680756852,0.6273682680756852,0.6273682680756852,0.6273682680756852,-0.6273682680756852,-0.6273682680756852,0.6273682680756852,0.6273682680756852,-0.6273682680756852,24.18994140625,22.917004394531205,1154.52001953125,1081.571215820312,1086.192016601562,1090.812817382812,1.0,0.9826965777725208,0.9965227169890559,1.0523459336430014,1.0,0.0,0.0,0.991287053,0.991287053,0.007048681,0.007048681,3.314336154420644,-1
2024-01-09,1144.839965820312,1163.93994140625,1139.75,1159.660034179688,1159.660034179688,110000.0,0.6273682680756852,1.6512907881564902,1.5180270820986488,1.4017949689261309,1.8394148400860444,1133.4760009765628,1146.7119995117187,1135.0763346354167,1038.89533589681,975.9040026855469,1144.1224579635718,1143.8354545742657,1118.398855882787,1060.6514836305107,1001.1083619268666,1143.4877714309102,1126.0911203889086,17.396651042001622,24.864650005144547,-3.4984344629726007,3.4984344629726007,3.4984344629726007,3.4984344629726007,-3.4984344629726007,3.4984344629726007,3.4984344629726007,3.4984344629726007,-3.4984344629726007,34.569946289062045,23.466003417968704,1163.93994140625,1104.1026098632813,1108.6860107421876,1113.269411621094,1.0,0.9884574343507421,1.0002509131782533,1.0829166288573282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6273682680756852,1
2024-01-10,1168.329956054688,1200.339965820312,1165.77001953125,1200.22998046875,1200.22998046875,141300.0,3.4984344629726007,1.90580160762618,1.8822420701295615,1.5836901620714858,1.880805279168739,1149.0479980468751,1150.272998046875,1139.0186686197917,1043.9768351236978,979.4715026855469,1162.824965465298,1154.0890047368991,1123.6782832754297,1065.2278277891414,1005.0513642742307,1152.2173420521162,1131.5828878022303,20.63445424988595,24.01861085409283,-1.2172654898902053,1.2172654898902053,1.2172654898902053,1.2172654898902053,-1.2172654898902053,1.2172654898902053,1.2172654898902053,1.2172654898902053,-1.2172654898902053,25.119995117187955,23.375,1200.339965820312,1112.3147338867188,1117.0079345703125,1121.7011352539064,1.0,0.9989350354202177,1.0075695727907834,1.1885166146814767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4984344629726007,1
2024-01-11,1204.27001953125,1215.68994140625,1190.569946289062,1214.839965820312,1214.839965820312,105100.0,1.2172654898902053,1.6397013374544356,1.9034183067048533,1.5851953220479154,1.8727841304947548,1168.5239990234375,1154.69599609375,1143.7363321940104,1049.4475016276042,983.1586022949218,1180.1632989169693,1165.1346340247924,1129.5596821492932,1070.1331437901633,1009.2055940078164,1161.8515918626078,1137.7500787665326,24.101513096075223,24.035191302489313,1.3293952181724418,1.3293952181724418,1.3293952181724418,1.3293952181724418,-1.3293952181724418,1.3293952181724418,1.3293952181724418,1.3293952181724418,1.3293952181724418,15.72998046875,22.85999755859375,1215.68994140625,1148.914965820312,1153.589965820312,1158.264965820312,1.0,1.0119754489289532,1.0128986508969033,1.2007468608006144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2172654898902053,1
2024-01-12,1221.119995117188,1231.5,1215.77001953125,1230.989990234375,1230.989990234375,117300.0,1.3293952181724418,1.3152236002584696,1.9160351804428446,1.6014661019666818,1.8332187264178967,1191.6300048828125,1160.8609985351563,1148.932666015625,1054.6591684977213,987.014501953125,1197.1055293561046,1177.1083351538073,1136.103572993492,1075.4071387555473,1013.5973642301245,1172.4882685351874,1144.6567388752617,27.831529659925764,24.794458973976603,-0.5361518483737174,-0.5361518483737174,-0.5361518483737174,-0.5361518483737174,0.5361518483737174,-0.5361518483737174,-0.5361518483737174,-0.5361518483737174,-0.5361518483737174,42.830078125,21.908502197265648,1231.5,1165.3979467773438,1169.9699462890626,1174.5419458007811,0.0,1.0265053321512931,1.016988405913959,1.1964256864943041,0.0,1.0,2.0,0.061817307,0.0423317225137316,0.60083586,0.4058501901887512,1.3293952181724418,1
2024-01-16,1230.0,1254.420043945312,1211.589965820312,1224.390014648438,1224.390014648438,214700.0,-0.5361518483737174,1.4695455395522319,1.9207978242896693,1.3958374726078404,1.834518775000566,1206.0219970703124,1166.8989990234377,1153.492333984375,1059.8206685384114,990.8233020019532,1206.2003577868825,1185.705004152831,1141.7994724551015,1080.291823211052,1017.7714761195961,1180.4731525526106,1150.5629074510525,29.910245101558075,25.817616199492896,0.4712566634992331,0.4712566634992331,0.4712566634992331,0.4712566634992331,-0.4712566634992331,0.4712566634992331,0.4712566634992331,0.4712566634992331,0.4712566634992331,26.5400390625,22.480505371093795,1254.420043945312,1183.3012951660155,1187.6829956054687,1192.064696044922,1.0,1.0335273216273355,1.017285373311463,1.3760898829439265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5361518483737174,1
