Date_VRSN_L01d,Open_VRSN_L01d,High_VRSN_L01d,Low_VRSN_L01d,Close_VRSN_L01d,Adj Close_VRSN_L01d,Volume_VRSN_L01d,Daily_Return_VRSN_L01d,Vol5_VRSN_L01d,Vol10_VRSN_L01d,Vol20_VRSN_L01d,Vol60_VRSN_L01d,SMA5_VRSN_L01d,SMA10_VRSN_L01d,SMA30_VRSN_L01d,SMA60_VRSN_L01d,SMA100_VRSN_L01d,EMA5_VRSN_L01d,EMA10_VRSN_L01d,EMA30_VRSN_L01d,EMA60_VRSN_L01d,EMA100_VRSN_L01d,Short12_VRSN_L01d,Long26_VRSN_L01d,MACD_VRSN_L01d,SIGNAL9_VRSN_L01d,Ret5/10_VRSN_L01d,Ret10/30_VRSN_L01d,Ret30/60_VRSN_L01d,Ret30/100_VRSN_L01d,Emaret5/10_VRSN_L01d,Emaret10/30_VRSN_L01d,Emaret30/60_VRSN_L01d,Emaret30/100_VRSN_L01d,RetMACD_VRSN_L01d,DayRange_VRSN_L01d,average20r_VRSN_L01d,PRVHI_VRSN_L01d,HitLevel_VRSN_L01d,hitlevel_2_VRSN_L01d,hitlevel_1.8_VRSN_L01d,positive_return_dummy,sma_ratio_L01d,ema_ratio_L01d,volatility_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_best,best
2024-01-02,204.0,205.1399993896484,200.3399963378906,201.5599975585938,201.5599975585938,559700.0,-2.136341528375533,0.9842119157253375,0.8005633278513986,1.2927032631857698,1.4405980658560025,205.2760009765625,205.29000091552734,211.01400044759114,208.43516693115234,206.40559997558594,204.61669800463815,206.0844207435976,208.4873678553934,208.44565241865772,208.53321168234066,206.59537662029484,208.3597689733372,-1.7643923530423535,-0.8636171522737845,0.1736410244919141,0.1736410244919141,-0.1736410244919141,-0.1736410244919141,-0.1736410244919141,0.1736410244919141,0.1736410244919141,-0.1736410244919141,0.1736410244919141,3.1900024414062216,3.414999389648429,205.1399993896484,199.64439605712892,200.3239959716797,201.00359588623047,0.0,0.9999318040873768,0.9928780509770531,0.619293963781348,0.0,1.0,0.0,0.001392355,0.001392355,0.004236601,0.004236601,,1
2024-01-03,200.6499938964844,202.0200042724609,198.8300018310547,201.2100067138672,201.2100067138672,711800.0,-0.1736410244919141,0.9309875272299376,0.8007335576898658,1.2794533550770288,1.434006328297733,204.152001953125,204.78600158691407,210.71700083414714,208.33516693115234,206.37800003051757,203.48113424104784,205.19816364728297,208.01786068497236,208.20841813325475,208.38819772256892,205.76685817315212,207.8301569541172,-2.0632987809650842,-1.1035534780120444,1.3567968268150488,1.3567968268150488,-1.3567968268150488,-1.3567968268150488,-1.3567968268150488,1.3567968268150488,1.3567968268150488,1.3567968268150488,1.3567968268150488,3.5099945068359943,3.4109992980956974,202.0200042724609,197.62700073242186,198.31000061035155,198.99300048828124,0.0,0.9969040870524541,0.9916323354180374,0.6258403673040961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1736410244919141,-1
2024-01-04,201.3099975585938,201.8099975585938,198.3000030517578,198.4799957275391,198.4799957275391,497900.0,-1.3567968268150488,0.9980681032401836,0.8727369458428157,1.2955585836861045,1.4434176202482905,202.6980010986328,204.12000122070313,210.303667195638,208.18033345540366,206.3031999206543,201.81408806987827,203.9766785709659,207.40251455868636,207.88945346421488,208.19199570286537,204.6458024122886,207.13755241881512,-2.49175000652653,-1.3811927837149416,0.7910077081948723,0.7910077081948723,-0.7910077081948723,-0.7910077081948723,-0.7910077081948723,0.7910077081948723,0.7910077081948723,0.7910077081948723,0.7910077081948723,3.7900085449219034,3.4599990844726536,201.8099975585938,194.51580581665038,195.1980056762695,195.88020553588865,0.0,0.9930335091438061,0.9893978541260773,0.6736375775148022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3567968268150488,-1
2024-01-05,198.4799957275391,200.2400054931641,196.4499969482422,196.9100036621094,196.9100036621094,475800.0,-0.7910077081948723,0.840976987311013,0.8849804333364131,1.2977338756610268,1.4458103440275056,200.82400207519532,203.38300170898438,209.78066711425782,207.99066696166992,206.18970001220703,200.17939326728867,202.69182858753743,206.72557837181046,207.5294715034901,207.9685899198801,203.45567952764566,206.3799562146147,-2.9242766869690513,-1.6898095643657634,-1.0613967289731792,-1.0613967289731792,1.0613967289731792,1.0613967289731792,1.0613967289731792,-1.0613967289731792,-1.0613967289731792,-1.0613967289731792,-1.0613967289731792,2.429992675781307,3.463999176025388,200.2400054931641,194.19799957275396,194.8899993896485,195.58199920654303,1.0,0.9874178293550281,0.9876046541305749,0.6819429236873628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7910077081948723,1
2024-01-08,197.6600036621094,199.0599975585938,196.6300048828125,199.0,199.0,432900.0,1.0613967289731792,1.212452749305215,0.9876919937242856,1.3398724187506366,1.4482227853690892,199.4320007324219,202.83700103759764,209.27533365885418,207.80583368937172,206.11839996337892,199.7862621781925,202.020587026167,206.22715396072593,207.24981670009697,207.79099407988247,202.77019036954633,205.8332927913099,-3.063102421763574,-1.9644681358453258,0.7185892843121574,0.7185892843121574,-0.7185892843121574,-0.7185892843121574,-0.7185892843121574,0.7185892843121574,0.7185892843121574,0.7185892843121574,0.7185892843121574,1.8300018310546875,3.3974990844726562,199.0599975585938,192.61920730590825,193.31200714111333,194.0048069763184,0.0,0.9832131204476613,0.9889401130802322,0.7371537617329705,0.0,0.0,1.0,0.113808125,0.113808125,0.881509364,0.881509364,1.0613967289731792,1
2024-01-09,198.1199951171875,199.1000061035156,197.2700042724609,197.5700073242188,197.5700073242188,419900.0,-0.7185892843121574,0.9160613853570012,0.8971950989162187,1.3393443323438756,1.4493016954536753,198.63400268554688,201.9550018310547,208.75333404541016,207.61650060017902,206.04540008544922,199.0475105602013,201.21139071672184,205.66862837127388,206.93244590088784,207.5885983025426,201.9701622087267,205.22119757152538,-3.2510353627986888,-2.2217815812359984,-2.9609711129516136,-2.9609711129516136,2.9609711129516136,2.9609711129516136,2.9609711129516136,-2.9609711129516136,-2.9609711129516136,-2.9609711129516136,-2.9609711129516136,4.389999389648494,3.529499053955081,199.1000061035156,191.58549957275397,192.2649993896485,192.94449920654301,1.0,0.9835557469961255,0.989245737287473,0.6698763546086105,0.0,0.0,1.0,0.009630679,0.009630679,0.987992167,0.987992167,-0.7185892843121574,-1
2024-01-10,199.1900024414062,203.5800018310547,199.1900024414062,203.4199981689453,203.4199981689453,610400.0,2.9609711129516136,1.7755012773178853,1.3978715264705586,1.5240098404733,1.4990903041633086,199.0760009765625,201.61400146484374,208.4020004272461,207.54900054931642,206.06850006103517,200.50500642978264,201.6129557080352,205.52355545499464,206.81728368016843,207.50605176524365,202.19321389491418,205.08777539355648,-2.894561498642304,-2.3563375647172595,-0.16714007518976637,-0.16714007518976637,0.16714007518976637,0.16714007518976637,0.16714007518976637,-0.16714007518976637,-0.16714007518976637,-0.16714007518976637,-0.16714007518976637,2.679992675781307,3.4994987487793012,203.5800018310547,191.33510818481443,192.04100799560544,192.74690780639645,1.0,0.9874115861505591,0.9945045730103921,0.9172326118553358,0.0,0.0,1.0,0.003837077,0.003837077,0.994052708,0.994052708,-2.9609711129516136,-1
2024-01-11,203.0800018310547,204.3099975585938,201.6300048828125,203.7599945068359,203.7599945068359,446200.0,0.16714007518976637,1.5514129039305693,1.394876274144577,1.4832051667960244,1.4804098561818948,200.1320007324219,201.41500091552734,208.07766672770182,207.42533391316732,206.0927000427246,201.59000245546707,202.00332639872624,205.409777329307,206.71704469087882,207.431872413592,202.43425706597907,204.9894212537994,-2.5551641878203384,-2.3961028893378753,-0.2061239596917999,-0.2061239596917999,0.2061239596917999,0.2061239596917999,0.2061239596917999,-0.2061239596917999,-0.2061239596917999,-0.2061239596917999,-0.2061239596917999,1.889999389648409,3.4189987182617214,204.3099975585938,195.8811045837402,196.58100433349608,197.28090408325195,1.0,0.9936300663938952,0.9979538755592404,0.94044728630345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16714007518976637,1
2024-01-12,205.1399993896484,205.8699951171875,203.9799957275391,204.1799926757812,204.1799926757812,282900.0,0.2061239596917999,1.3943258185972272,1.3935519031641113,1.4290998553323326,1.4674889283099697,201.58599853515625,201.2050003051758,207.8269999186198,207.25716705322264,206.1152000427246,202.45333252890512,202.3990839036453,205.33043638391825,206.63386265759692,207.36747875541752,202.7028317751794,204.92946358135362,-2.2266318061742254,-2.3622086727051457,-0.8521844925021338,0.8521844925021338,-0.8521844925021338,-0.8521844925021338,-0.8521844925021338,-0.8521844925021338,0.8521844925021338,0.8521844925021338,-0.8521844925021338,2.0500030517578978,2.998498535156256,205.8699951171875,196.78820037841803,197.47200012207037,198.1557998657227,0.0,1.0018935823135737,1.0002680280177831,0.9751256344785265,0.0,1.0,0.0,0.001270912,0.001270912,0.002603083,0.002603083,0.2061239596917999,1
2024-01-16,203.4400024414062,204.0599975585938,202.0099945068359,202.4400024414062,202.4400024414062,382000.0,-0.8521844925021338,1.5377258037928607,1.4142519127821493,1.0928119886754077,1.4695471117243293,202.2739990234375,200.8529998779297,207.5016667683919,207.08050053914388,206.10970001220704,202.4488891664055,202.40652363778366,205.14395677472393,206.49635904395132,207.26990496702126,202.66239649306044,204.74505905246863,-2.082662559408192,-2.306299450045755,-0.29638712521220256,0.29638712521220256,-0.29638712521220256,-0.29638712521220256,-0.29638712521220256,-0.29638712521220256,0.29638712521220256,0.29638712521220256,-0.29638712521220256,2.4100036621092897,2.8589988708496152,204.0599975585938,199.27329833984373,199.87299804687498,200.47269775390623,0.0,1.007074821617658,1.0002093091065467,1.2941401882828514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8521844925021338,1
