Date_ADSK_L01d,Open_ADSK_L01d,High_ADSK_L01d,Low_ADSK_L01d,Close_ADSK_L01d,Adj Close_ADSK_L01d,Volume_ADSK_L01d,Daily_Return_ADSK_L01d,Vol5_ADSK_L01d,Vol10_ADSK_L01d,Vol20_ADSK_L01d,Vol60_ADSK_L01d,SMA5_ADSK_L01d,SMA10_ADSK_L01d,SMA30_ADSK_L01d,SMA60_ADSK_L01d,SMA100_ADSK_L01d,EMA5_ADSK_L01d,EMA10_ADSK_L01d,EMA30_ADSK_L01d,EMA60_ADSK_L01d,EMA100_ADSK_L01d,Short12_ADSK_L01d,Long26_ADSK_L01d,MACD_ADSK_L01d,SIGNAL9_ADSK_L01d,Ret5/10_ADSK_L01d,Ret10/30_ADSK_L01d,Ret30/60_ADSK_L01d,Ret30/100_ADSK_L01d,Emaret5/10_ADSK_L01d,Emaret10/30_ADSK_L01d,Emaret30/60_ADSK_L01d,Emaret30/100_ADSK_L01d,RetMACD_ADSK_L01d,DayRange_ADSK_L01d,average20r_ADSK_L01d,PRVHI_ADSK_L01d,HitLevel_ADSK_L01d,hitlevel_2_ADSK_L01d,hitlevel_1.8_ADSK_L01d,positive_return_dummy,sma_ratio_L01d,ema_ratio_L01d,volatility_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_best,best
2024-01-02,240.7899932861328,241.1999969482422,232.2200012207031,234.1199951171875,234.1199951171875,1443500.0,-3.8442585734335615,1.8386604628689027,1.5663586618686332,1.5657260111128533,1.85256458427778,242.53800048828126,241.13500061035157,227.33899892171223,216.9123326619466,214.2906996154785,240.38532402265247,239.65904975671185,230.1135137233002,222.14667071740595,217.23011149847227,238.77734316522077,231.7898281319707,6.987515033250077,7.538143935654919,-2.9600174356370275,-2.9600174356370275,-2.9600174356370275,-2.9600174356370275,2.9600174356370275,-2.9600174356370275,-2.9600174356370275,-2.9600174356370275,2.9600174356370275,4.670013427734375,4.440000915527351,241.1999969482422,235.45049423217773,236.35499420166016,237.2594941711426,0.0,1.0058183170190078,1.0030304479078838,1.0004040622377668,0.0,1.0,0.0,0.001460564,0.001460564,0.004348177,0.004348177,,-1
2024-01-03,231.7100067138672,231.7100067138672,227.0399932861328,227.1900024414062,227.1900024414062,1278800.0,-2.9600174356370275,1.7872547449559992,1.756812493188541,1.6738193231724228,1.8627089843096458,238.96199951171874,239.94000091552735,227.66766560872395,217.19816614786785,214.48199966430664,235.9868834955704,237.39195024483809,229.92490009221027,222.31202585589776,217.42733706169867,236.99467536155697,231.44910030303998,5.545575058516988,7.139630160227333,-0.7614752889424774,0.7614752889424774,0.7614752889424774,0.7614752889424774,-0.7614752889424774,-0.7614752889424774,0.7614752889424774,0.7614752889424774,-0.7614752889424774,4.120010375976619,4.443501281738293,231.7100067138672,231.431994934082,232.3199951171875,233.20799530029296,1.0,0.9959239751601363,0.9940812367571076,1.0495831114309395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9600174356370275,1
2024-01-04,227.1900024414062,229.5700073242188,225.4499969482422,228.9199981689453,228.9199981689453,1552800.0,0.7614752889424774,1.9664203771709123,1.8017605292001768,1.6742938578903979,1.8643548392181575,235.7239990234375,239.01600036621093,227.9749989827474,217.50416615804036,214.69159957885742,233.63125505336205,235.85159532194848,229.86006771006416,222.52868068583373,217.6549145093669,235.7524173319244,231.26175940421814,4.490657927706252,6.609835713723117,-0.2621029653655623,0.2621029653655623,0.2621029653655623,0.2621029653655623,-0.2621029653655623,-0.2621029653655623,0.2621029653655623,0.2621029653655623,-0.2621029653655623,3.4499969482421875,4.4465011596679815,229.5700073242188,221.93430389404296,222.8230041503906,223.71170440673825,1.0,0.9862268578767549,0.9905858585965656,1.076131600620208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7614752889424774,-1
2024-01-05,228.7700042724609,231.8600006103516,228.4100036621094,229.5200042724609,229.5200042724609,1138100.0,0.2621029653655623,2.0265673078849877,1.8105052828412207,1.6681313609844204,1.8618123023035325,232.6459991455078,238.2970001220703,228.36999918619793,217.78833287556967,214.87199966430663,232.26083812639502,234.70039694931435,229.8381281334446,222.75790440998546,217.8898667819034,234.79358455354537,231.13274050556947,3.6608440479758997,6.020037380573674,-2.5836496015144035,2.5836496015144035,2.5836496015144035,2.5836496015144035,-2.5836496015144035,-2.5836496015144035,2.5836496015144035,2.5836496015144035,-2.5836496015144035,5.169998168945284,4.434500885009777,231.8600006103516,219.78770477294924,220.67700500488286,221.56630523681645,1.0,0.9762858912463535,0.9896056467963871,1.0853493466922057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2621029653655623,1
2024-01-08,231.0,235.9499969482422,230.7799987792969,235.4499969482422,235.4499969482422,1447500.0,2.5836496015144035,2.684194090569093,1.873911014535131,1.707741466858091,1.8881169129022277,231.03999938964844,237.6529998779297,229.46299896240234,218.159166208903,215.1311996459961,233.32389106701075,234.8366878582103,230.20018418601222,223.17403859156764,218.2375921317319,234.89457107580643,231.4525372791008,3.44203379670563,5.504436663800066,-0.21661064864533122,0.21661064864533122,0.21661064864533122,0.21661064864533122,-0.21661064864533122,-0.21661064864533122,0.21661064864533122,0.21661064864533122,-0.21661064864533122,4.049987792968693,4.466500091552741,235.9499969482422,222.1040986633301,222.99099884033203,223.877899017334,1.0,0.9721737133902033,0.9935580900710329,1.097303690811443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5836496015144035,1
2024-01-09,233.5,236.6799926757812,232.6300048828125,235.9600067138672,235.9600067138672,878500.0,0.21661064864533122,1.9989480901288783,1.8692502443179975,1.707202489722733,1.887443583062169,231.4080017089844,236.9730010986328,230.54766591389975,218.5456662495931,215.45429977416993,234.20259628262957,235.0409276501479,230.57178563942225,223.59325066115122,218.58853103434842,235.0584842508927,231.7864239038983,3.2720603469943796,5.057961400438929,-1.2120700665260404,1.2120700665260404,1.2120700665260404,1.2120700665260404,-1.2120700665260404,-1.2120700665260404,1.2120700665260404,1.2120700665260404,-1.2120700665260404,3.409988403320284,4.448499298095706,236.6799926757812,226.12369674682617,227.0169967651367,227.91029678344725,1.0,0.9765163146693991,0.9964332536639484,1.0949200552194502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21661064864533122,-1
2024-01-10,236.1900024414062,239.1799926757812,235.7700042724609,238.8200073242188,238.8200073242188,964900.0,1.2120700665260404,0.9705342389274817,1.8898340552537836,1.714086438776173,1.8779237447246397,233.73400268554687,236.3480010986328,231.7663330078125,219.03483301798502,215.85549987792967,235.74173329649267,235.7280330454335,231.10392897392526,224.09248858453046,218.98915432721714,235.63718010832747,232.30743008318132,3.3297500251461543,4.7123191253803745,-0.7662618357519903,0.7662618357519903,0.7662618357519903,0.7662618357519903,-0.7662618357519903,0.7662618357519903,0.7662618357519903,0.7662618357519903,-0.7662618357519903,3.6800079345703125,4.397499847412112,239.1799926757812,226.89329421997064,227.78299407958977,228.67269393920893,1.0,0.9889400443374384,1.0000581188876103,1.1025313616057142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2120700665260404,1
2024-01-11,239.5299987792969,241.0200042724609,237.3399963378906,240.6499938964844,240.6499938964844,1035400.0,0.7662618357519903,0.970233605109447,1.9159130903576858,1.7132794893563557,1.8757932981258916,236.0800018310547,235.9020004272461,232.8756663004557,219.5159996032715,216.26519989013673,237.3778201631566,236.62293501835182,231.71980413021942,224.63535761115187,219.41808184344026,236.40838222958237,232.92539777305564,3.4829844565267365,4.466452191609648,0.7438223936509892,0.7438223936509892,0.7438223936509892,0.7438223936509892,-0.7438223936509892,0.7438223936509892,0.7438223936509892,0.7438223936509892,-0.7438223936509892,3.509994506835909,4.2179992675781275,241.0200042724609,229.50549301147456,230.38499298095698,231.2644929504394,1.0,1.0007545565679232,1.0031902450400516,1.1182723555964913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7662618357519903,-1
2024-01-12,242.4700012207031,243.3399963378906,239.8300018310547,242.4400024414062,242.4400024414062,1012600.0,0.7438223936509892,0.8989293288597126,1.9376469454127505,1.58991207513177,1.873990150572381,238.66400146484375,235.65500030517578,233.82866617838542,219.99016621907552,216.66939987182616,239.06521425590648,237.68058364072533,232.41142982771535,225.21911645804545,219.87396145924157,237.3363238006322,233.63018330404458,3.706140496587608,4.31438985260524,-0.3877258009982806,-0.3877258009982806,-0.3877258009982806,-0.3877258009982806,0.3877258009982806,-0.3877258009982806,-0.3877258009982806,-0.3877258009982806,0.3877258009982806,2.549987792968693,3.9764984130859373,243.3399963378906,231.74040588378904,232.58400573730466,233.4276055908203,0.0,1.0127686709629387,1.0058255941397138,1.2187132708279864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7438223936509892,1
2024-01-16,240.2799987792969,242.6799926757812,240.1300048828125,241.5,241.5,1364800.0,-0.3877258009982806,0.6134399171577403,1.9330136674927896,1.494483505188333,1.8522953833941707,239.8740020751953,235.45700073242188,234.59766642252603,220.52116622924805,217.0785998535156,239.87680950393766,238.37502297877526,232.99778919366923,225.7529159184374,220.30219984618728,237.9768893697657,234.21313268893016,3.7637566808355416,4.204263218251301,-1.254657879626047,-1.254657879626047,-1.254657879626047,-1.254657879626047,1.254657879626047,-1.254657879626047,-1.254657879626047,-1.254657879626047,1.254657879626047,4.479995727539006,3.986498260498043,242.6799926757812,234.59169982910154,235.38699951171873,236.1822991943359,0.0,1.0187592695440515,1.0063001001799425,1.293432587768303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3877258009982806,1
