Date_TER_L01d,Open_TER_L01d,High_TER_L01d,Low_TER_L01d,Close_TER_L01d,Adj Close_TER_L01d,Volume_TER_L01d,Daily_Return_TER_L01d,Vol5_TER_L01d,Vol10_TER_L01d,Vol20_TER_L01d,Vol60_TER_L01d,SMA5_TER_L01d,SMA10_TER_L01d,SMA30_TER_L01d,SMA60_TER_L01d,SMA100_TER_L01d,EMA5_TER_L01d,EMA10_TER_L01d,EMA30_TER_L01d,EMA60_TER_L01d,EMA100_TER_L01d,Short12_TER_L01d,Long26_TER_L01d,MACD_TER_L01d,SIGNAL9_TER_L01d,Ret5/10_TER_L01d,Ret10/30_TER_L01d,Ret30/60_TER_L01d,Ret30/100_TER_L01d,Emaret5/10_TER_L01d,Emaret10/30_TER_L01d,Emaret30/60_TER_L01d,Emaret30/100_TER_L01d,RetMACD_TER_L01d,DayRange_TER_L01d,average20r_TER_L01d,PRVHI_TER_L01d,HitLevel_TER_L01d,hitlevel_2_TER_L01d,hitlevel_1.8_TER_L01d,positive_return_dummy,sma_ratio_L01d,ema_ratio_L01d,volatility_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_best,best
2024-01-02,107.0,107.0,103.6399993896484,104.7699966430664,104.7699966430664,2383800.0,-3.4555843310004346,2.2485593849218457,1.9920599513945578,2.485848953151857,2.1003684297884875,108.96599884033203,107.38199844360352,98.66666666666667,94.69799982706705,97.20820007324218,107.51174954719806,106.44924299953823,100.70878762306678,98.22986120231349,98.2331924396494,105.75768070825615,101.52160624872641,4.236074459529732,4.005874703344677,-2.8825014220006344,-2.8825014220006344,-2.8825014220006344,2.8825014220006344,2.8825014220006344,-2.8825014220006344,-2.8825014220006344,-2.8825014220006344,-2.8825014220006344,2.009994506835895,2.3499996185302736,107.0,105.45129959106441,105.92299957275387,106.3946995544433,0.0,1.014751079507618,1.00998134432637,0.8013600137968101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1
2024-01-03,102.7099990844727,103.0899963378906,101.0800018310547,101.75,101.75,1376800.0,-2.8825014220006344,1.6356320639989104,2.185742999804586,2.589581043090907,2.130849585329035,107.24599914550781,107.02899856567383,98.98866678873698,94.71599985758463,97.16150009155274,105.59116636479871,105.59483518144036,100.775962615127,98.34527558912288,98.3028321933197,105.14111444544751,101.53852430437631,3.602590141071204,3.925217790889983,-0.16707436751380667,-0.16707436751380667,-0.16707436751380667,0.16707436751380667,0.16707436751380667,0.16707436751380667,-0.16707436751380667,-0.16707436751380667,0.16707436751380667,2.580001831054716,2.3799995422363294,103.0899963378906,101.83000083923339,102.30000076293945,102.7700006866455,0.0,1.0020274933218292,0.9999652557188489,0.8440527496276762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8825014220006344,1
2024-01-04,100.1900024414062,102.5299987792969,99.94999694824219,101.5800018310547,101.5800018310547,1441900.0,-0.16707436751380667,1.4873030294725218,2.164768686573727,2.5258776999236625,2.1200392146822664,105.41199951171875,106.5989990234375,99.27200012207031,94.75816650390625,97.16000007629394,104.25411152021738,104.86486548137023,100.8278361129288,98.451332187219,98.36772664159169,104.59325096631017,101.54159671375989,3.0516542525502786,3.750505083222042,-1.1714853224662016,1.1714853224662016,1.1714853224662016,-1.1714853224662016,-1.1714853224662016,-1.1714853224662016,1.1714853224662016,1.1714853224662016,-1.1714853224662016,1.5999984741210938,2.3539997100830092,102.5299987792969,97.85399734497067,98.32999725341794,98.8059971618652,1.0,0.9888648155930829,0.9941757998892264,0.8570362241367232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16707436751380667,1
2024-01-05,101.6999969482422,103.1699981689453,101.5699996948242,102.7699966430664,102.7699966430664,1404500.0,1.1714853224662016,1.9150341985688362,2.1201674360521485,2.52530624538924,2.123987324269687,103.87799835205078,106.51499862670899,99.63899993896484,94.81116650899251,97.14030006408692,103.75940656116705,104.48398023804226,100.95313679229253,98.59292774314842,98.45490030498722,104.31275030119573,101.63258930111593,2.6801610000798064,3.536436266593595,-3.0359081915884114,3.0359081915884114,3.0359081915884114,-3.0359081915884114,-3.0359081915884114,-3.0359081915884114,3.0359081915884114,3.0359081915884114,-3.0359081915884114,2.9700012207030966,2.4064998626708984,103.1699981689453,97.35119941711429,97.82199935913088,98.29279930114748,1.0,0.9752429206341183,0.9930652175077516,0.8395684443909316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1714853224662016,1
2024-01-08,103.1800003051758,106.0400009155273,103.0699996948242,105.8899993896484,105.8899993896484,1421600.0,3.0359081915884114,2.729970764208205,2.145210459698061,2.575683240523668,2.1580412346806974,103.35199890136718,106.44499893188477,100.08733317057292,94.91666653951009,97.18050003051758,104.46960417066084,104.73962008378882,101.27164405663807,98.83217599385334,98.602129989832,104.55540400711153,101.94795301137759,2.6074509957339416,3.3506392124216644,0.6138460002129672,-0.6138460002129672,-0.6138460002129672,0.6138460002129672,0.6138460002129672,0.6138460002129672,-0.6138460002129672,-0.6138460002129672,0.6138460002129672,1.6399993896483949,2.4019996643066386,106.0400009155273,97.87569847106933,98.3569984436035,98.83829841613768,0.0,0.9709427398040857,0.9974220269950189,0.8328704500410204,0.0,0.0,1.0,0.001417627,0.001417627,0.995720446,0.995720446,3.0359081915884114,1
2024-01-09,104.3600006103516,105.8000030517578,104.1600036621094,105.2399978637695,105.2399978637695,1055100.0,-0.6138460002129672,2.1933690162183797,2.1199103345533166,2.5821238394946597,2.1598293630828627,103.44599914550778,106.20599899291992,100.51233317057292,95.01416651407878,97.22040000915527,104.72640206836374,104.83059786196712,101.52766688290461,99.04226851417846,98.73357291802877,104.66072613890506,102.19180818562884,2.468917953276218,3.174294960592575,0.342075843461644,-0.342075843461644,-0.342075843461644,0.342075843461644,0.342075843461644,0.342075843461644,-0.342075843461644,-0.342075843461644,0.342075843461644,2.209999084472699,2.3134998321533202,105.8000030517578,100.7556016540527,101.23600158691403,101.71640151977535,0.0,0.974012768830543,0.9990060555245466,0.8209948346118823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6138460002129672,1
2024-01-10,105.4599990844727,105.5,103.2900009155273,104.879997253418,104.879997253418,1148100.0,-0.342075843461644,1.5172468242724466,1.8909856852891933,2.3999255489762534,2.0983554328752505,104.07199859619138,105.65899887084962,100.94399973551432,95.1688331604004,97.26299995422363,104.77760046338184,104.83957956950363,101.74394626164741,99.23366945644861,98.85528429100677,104.69446015652244,102.39093330176138,2.30352685476106,3.000141339426272,-0.20976470868083172,0.20976470868083172,0.20976470868083172,-0.20976470868083172,-0.20976470868083172,-0.20976470868083172,0.20976470868083172,0.20976470868083172,-0.20976470868083172,2.7200012207030966,2.395499801635741,105.5,100.7103034210205,101.17300338745116,101.63570335388182,1.0,0.9849799800147825,0.9994088195853486,0.7879351449447418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.342075843461644,1
2024-01-11,104.8300018310547,105.6800003051758,102.9599990844727,105.0999984741211,105.0999984741211,1803500.0,0.20976470868083172,1.4774055792017586,1.8839307807026093,2.3925993280732025,2.0915374751930105,104.77599792480467,105.09399871826172,101.40599975585937,95.30383313496908,97.30339996337891,104.8850664669616,104.88692846125224,101.96046575922635,99.42600811276573,98.9789419976031,104.75685066692223,102.59160479601024,2.1652458709119884,2.8331622457234156,0.27592856302342783,-0.27592856302342783,-0.27592856302342783,0.27592856302342783,0.27592856302342783,0.27592856302342783,-0.27592856302342783,-0.27592856302342783,0.27592856302342783,2.5100021362303977,2.3465000152587843,105.6800003051758,100.22990043640137,100.70900039672851,101.18810035705566,0.0,0.9969741298519856,0.9999822476039869,0.7873991932530418,0.0,0.0,1.0,0.011611592,0.011611592,0.815428615,0.815428615,0.20976470868083172,1
2024-01-12,105.0,106.120002746582,103.6100006103516,104.8099975585938,104.8099975585938,1191100.0,-0.27592856302342783,1.5016326897903935,1.8839843123722093,2.3735705236039832,2.090575360566782,105.18399810791016,104.53099822998047,101.80766626993815,95.44199981689454,97.32409996032715,104.86004349750567,104.87294102440524,102.14430652047587,99.60253235689125,99.0944084443554,104.76502711179478,102.75593018583126,2.0090969259635187,2.668349181771436,-0.6869585320815365,-0.6869585320815365,-0.6869585320815365,0.6869585320815365,0.6869585320815365,0.6869585320815365,-0.6869585320815365,-0.6869585320815365,0.6869585320815365,2.099998474121108,2.142999649047846,106.120002746582,100.51770027160647,100.98700027465823,101.45630027770999,0.0,1.0062469496033417,0.999877017591253,0.7937342891803376,0.0,0.0,1.0,0.002227599,0.002227599,0.986221433,0.986221433,-0.27592856302342783,1
2024-01-16,103.9899978637695,105.3099975585938,103.2099990844727,104.0899963378906,104.0899963378906,1671000.0,-0.6869585320815365,0.3541561055066111,1.8362802704755379,1.7126696995953137,2.0638146340275534,104.8239974975586,104.08799819946289,102.20299936930338,95.60883305867513,97.33749992370605,104.60336111096733,104.73058744503894,102.26983489579295,99.74966232348139,99.19333097690064,104.66117622350183,102.85474990079861,1.8064263227032171,2.4959646099577926,-1.1816656458957444,-1.1816656458957444,-1.1816656458957444,1.1816656458957444,1.1816656458957444,1.1816656458957444,-1.1816656458957444,-1.1816656458957444,1.1816656458957444,2.25,2.1479995727539007,105.3099975585938,101.40540351867674,101.83400344848631,102.26260337829588,0.0,1.007070933352809,0.9987852036623172,1.0721742031808188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6869585320815365,1
