Date_TYL_L01d,Open_TYL_L01d,High_TYL_L01d,Low_TYL_L01d,Close_TYL_L01d,Adj Close_TYL_L01d,Volume_TYL_L01d,Daily_Return_TYL_L01d,Vol5_TYL_L01d,Vol10_TYL_L01d,Vol20_TYL_L01d,Vol60_TYL_L01d,SMA5_TYL_L01d,SMA10_TYL_L01d,SMA30_TYL_L01d,SMA60_TYL_L01d,SMA100_TYL_L01d,EMA5_TYL_L01d,EMA10_TYL_L01d,EMA30_TYL_L01d,EMA60_TYL_L01d,EMA100_TYL_L01d,Short12_TYL_L01d,Long26_TYL_L01d,MACD_TYL_L01d,SIGNAL9_TYL_L01d,Ret5/10_TYL_L01d,Ret10/30_TYL_L01d,Ret30/60_TYL_L01d,Ret30/100_TYL_L01d,Emaret5/10_TYL_L01d,Emaret10/30_TYL_L01d,Emaret30/60_TYL_L01d,Emaret30/100_TYL_L01d,RetMACD_TYL_L01d,DayRange_TYL_L01d,average20r_TYL_L01d,PRVHI_TYL_L01d,HitLevel_TYL_L01d,hitlevel_2_TYL_L01d,hitlevel_1.8_TYL_L01d,positive_return_dummy,sma_ratio_L01d,ema_ratio_L01d,volatility_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_best,best
2024-01-02,414.760009765625,414.760009765625,400.4800109863281,408.2000122070312,408.2000122070312,288700.0,-2.3725205744767144,1.1913658466710562,1.2369965191831709,1.013513201621218,1.6977116674173072,415.3240051269531,414.6200012207031,410.9603342692057,401.09033457438153,394.6604006958008,413.80252818659244,413.6434151374218,410.0643385788039,404.39485183418554,398.8759267474725,413.36863351158144,410.8998618339967,2.468771677584755,2.761389620531545,-0.3184758137360059,-0.3184758137360059,-0.3184758137360059,-0.3184758137360059,0.3184758137360059,-0.3184758137360059,-0.3184758137360059,-0.3184758137360059,0.3184758137360059,5.989990234375,6.535499572753915,414.760009765625,406.6910083007812,407.99000854492186,409.2890087890625,0.0,1.0016979496989469,1.0003846623525188,1.2205036078508582,0.0,1.0,0.0,0.000868067,0.000868067,0.002369185,0.002369185,,-1
2024-01-03,406.6799926757812,411.1499938964844,405.1600036621094,406.8999938964844,406.8999938964844,221100.0,-0.3184758137360059,1.1346842162316784,1.0159970270068226,1.0147651298767852,1.6861495196401621,413.4220031738281,413.46300048828124,410.8123341878255,401.4013346354167,394.8447006225586,411.50168342322314,412.41733854816044,409.86018730897683,404.4769876395068,399.0348191662648,412.3734581861819,410.60357532010687,1.7698828660750223,2.563088269640241,1.3541359869001663,-1.3541359869001663,-1.3541359869001663,-1.3541359869001663,1.3541359869001663,1.3541359869001663,-1.3541359869001663,-1.3541359869001663,1.3541359869001663,8.830017089843693,6.789500427246099,411.1499938964844,400.3819107055664,401.6890106201172,402.99611053466793,0.0,0.9999008440552003,0.9977797850881811,1.0012139726659577,0.0,0.0,1.0,0.010576485,0.010576485,0.511686683,0.511686683,0.3184758137360059,1
2024-01-04,406.7900085449219,409.6300048828125,400.7999877929688,401.3900146484375,401.3900146484375,161700.0,-1.3541359869001663,1.1853138624712731,1.0546694576397355,1.0511646099839702,1.6897824462736413,410.5800048828125,412.14300231933595,410.45900166829426,401.54200134277346,394.98300079345705,408.1311271649613,410.4123705663926,409.313724556684,404.37577541029134,399.08145670056524,410.6836976419135,409.9210893444276,0.7626082974858832,2.202992275209369,0.14200834684887248,-0.14200834684887248,-0.14200834684887248,-0.14200834684887248,0.14200834684887248,0.14200834684887248,-0.14200834684887248,-0.14200834684887248,0.14200834684887248,6.570007324218693,6.564500427246093,409.6300048828125,396.21309295654294,397.57099304199215,398.92889312744137,0.0,0.9962076332056405,0.9944415822596111,1.0033342519549044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3541359869001663,1
2024-01-05,401.0599975585938,405.2000122070312,398.6300048828125,400.8200073242188,400.8200073242188,243000.0,-0.14200834684887248,1.0013677104250713,0.9917120130049786,0.9904149630247294,1.689540518071627,407.08600463867185,411.32200317382814,410.1183349609375,401.6890014648437,395.11330078125,405.6940872180472,408.6683045223609,408.7657427997508,404.2591928500922,399.11588344558805,409.16620682380665,409.2469351207085,-0.0807282969018388,1.7462481607871276,-3.3930457200243187,3.3930457200243187,3.3930457200243187,3.3930457200243187,-3.3930457200243187,-3.3930457200243187,-3.3930457200243187,3.3930457200243187,-3.3930457200243187,11.949981689453068,6.758999633789057,405.2000122070312,395.18810394287107,396.5010040283203,397.8139041137695,1.0,0.9897015027096274,0.9927221727953923,1.0013096025692987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14200834684887248,1
2024-01-08,404.3900146484375,414.4299926757812,402.4800109863281,414.4200134277344,414.4200134277344,243300.0,3.3930457200243187,2.1777725573161852,1.4910462057149012,1.244110895798724,1.743784742962305,406.34600830078125,411.51500549316404,410.2033355712891,402.0556681315104,395.45500091552736,408.6027292879429,409.7140697778833,409.1305344531691,404.59233450837553,399.4189355244425,409.97448476287246,409.63012610641414,0.34435865645832564,1.4658702599213673,0.42227690345489577,-0.42227690345489577,-0.42227690345489577,-0.42227690345489577,0.42227690345489577,0.42227690345489577,-0.42227690345489577,-0.42227690345489577,0.42227690345489577,5.119995117187614,6.808999633789062,414.4299926757812,390.33021301269525,391.6820129394531,393.0338128662109,0.0,0.9874391039855565,0.9972875217818541,1.1984833592809618,0.0,0.0,1.0,0.006007134,0.006007134,0.914254129,0.914254129,3.3930457200243187,1
2024-01-09,410.6799926757812,415.7999877929688,410.6799926757812,412.6700134277344,412.6700134277344,102500.0,-0.42227690345489577,1.828867038489221,1.4842693503912527,1.2506460910343256,1.734520379867069,407.24000854492186,411.2820068359375,410.2883361816406,402.48250172932944,395.8108010864258,409.95849066787343,410.2515140778562,409.35888793539914,404.8571764401578,399.6813331066859,410.3891814805435,409.8553029450304,0.5338785355131108,1.279471915039716,-1.388513893014768,1.388513893014768,1.388513893014768,1.388513893014768,-1.388513893014768,-1.388513893014768,1.388513893014768,1.388513893014768,-1.388513893014768,5.970001220703182,6.79049987792969,415.7999877929688,399.45019348144524,400.8119934082031,402.17379333496086,1.0,0.9901721976069134,0.9992857469139598,1.1868020545794158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42227690345489577,1
2024-01-10,413.5799865722656,418.6499938964844,412.6799926757812,418.3999938964844,418.3999938964844,163600.0,1.388513893014768,1.8596630233874816,1.5501784202624669,1.2822210240719274,1.6902859906881504,409.5400085449219,411.481005859375,410.5260030110677,403.20316823323566,396.2588009643555,412.7723250774104,411.7330558630613,409.94218509417885,405.30120324200453,400.0519996569789,411.6216141599191,410.4882430155085,1.133371144410603,1.2502517609138935,-1.641968264198205,1.641968264198205,1.641968264198205,1.641968264198205,-1.641968264198205,1.641968264198205,1.641968264198205,1.641968264198205,-1.641968264198205,6.760009765625,6.841999816894534,418.6499938964844,400.8608880615235,402.2189880371094,403.57708801269536,1.0,0.995282899363971,1.0025241335364017,1.2089791004514898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.388513893014768,1
2024-01-11,421.2699890136719,425.9400024414062,419.1799926757812,425.2699890136719,425.2699890136719,177200.0,1.641968264198205,1.538597510024606,1.6239130863965785,1.3133518082204603,1.6773909269390457,414.3160034179688,412.4480041503906,411.1300028483073,403.8913345336914,396.7898007202148,416.9382130561643,414.19431643589957,410.93107566963005,405.95591752960013,400.551365782854,413.7213641374195,411.5831871635206,2.138176973898908,1.4278368035108964,0.877092454837722,0.877092454837722,0.877092454837722,0.877092454837722,-0.877092454837722,0.877092454837722,0.877092454837722,0.877092454837722,0.877092454837722,4.6500244140625,6.8160003662109405,425.9400024414062,403.5975942993164,404.9659942626953,406.3343942260742,1.0,1.0045290539626348,1.0066246602412985,1.2364646519175364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.641968264198205,1
2024-01-12,426.9700012207031,430.4200134277344,425.7699890136719,429.0,429.0,171000.0,0.877092454837722,1.3804054805582346,1.6318917621317945,1.303792515323423,1.6769683990885236,419.952001953125,413.5190032958984,411.8530029296875,404.5818344116211,397.32930084228514,420.9588087041096,416.8862589020996,412.09681272320233,406.71146121715424,401.11470507428265,416.07192350089343,412.87332144770426,3.198602053189177,1.7819898534465526,-2.7482537400750293,-2.7482537400750293,-2.7482537400750293,-2.7482537400750293,2.7482537400750293,-2.7482537400750293,-2.7482537400750293,-2.7482537400750293,-2.7482537400750293,12.989990234375,7.01499938964844,430.4200134277344,410.9448016357421,412.3080017089843,413.6712017822265,0.0,1.0155567183272187,1.0097689710683564,1.251649892871936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.877092454837722,1
2024-01-16,427.0,429.3999938964844,416.4100036621094,417.2099914550781,417.2099914550781,179800.0,-2.7482537400750293,1.8038771733951031,1.8921211884803644,1.4547480409533409,1.6937452319908903,420.50999755859374,413.4280029296875,412.1320027669271,405.21200103759764,397.74540069580075,419.70920295443244,416.9451193662775,412.426695222033,407.05567532331565,401.4334236164766,416.2470108784603,413.1945562630653,3.0524546153949927,2.036082805836241,0.5584758604935347,0.5584758604935347,0.5584758604935347,0.5584758604935347,-0.5584758604935347,0.5584758604935347,0.5584758604935347,0.5584758604935347,0.5584758604935347,8.510009765625,7.159001159667969,429.3999938964844,414.9870147705078,416.3900146484375,417.7930145263672,1.0,1.017129934544155,1.0066293702930404,1.3006521646459133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7482537400750293,1
