Date_PTC_L01d,Open_PTC_L01d,High_PTC_L01d,Low_PTC_L01d,Close_PTC_L01d,Adj Close_PTC_L01d,Volume_PTC_L01d,Daily_Return_PTC_L01d,Vol5_PTC_L01d,Vol10_PTC_L01d,Vol20_PTC_L01d,Vol60_PTC_L01d,SMA5_PTC_L01d,SMA10_PTC_L01d,SMA30_PTC_L01d,SMA60_PTC_L01d,SMA100_PTC_L01d,EMA5_PTC_L01d,EMA10_PTC_L01d,EMA30_PTC_L01d,EMA60_PTC_L01d,EMA100_PTC_L01d,Short12_PTC_L01d,Long26_PTC_L01d,MACD_PTC_L01d,SIGNAL9_PTC_L01d,Ret5/10_PTC_L01d,Ret10/30_PTC_L01d,Ret30/60_PTC_L01d,Ret30/100_PTC_L01d,Emaret5/10_PTC_L01d,Emaret10/30_PTC_L01d,Emaret30/60_PTC_L01d,Emaret30/100_PTC_L01d,RetMACD_PTC_L01d,DayRange_PTC_L01d,average20r_PTC_L01d,PRVHI_PTC_L01d,HitLevel_PTC_L01d,hitlevel_2_PTC_L01d,hitlevel_1.8_PTC_L01d,positive_return_dummy,sma_ratio_L01d,ema_ratio_L01d,volatility_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_best,best
2024-01-02,173.9900054931641,174.1399993896484,166.9499969482422,168.6300048828125,168.6300048828125,1258900.0,-3.617970729394683,1.745933041524193,1.5207212923539932,1.2804018704484754,1.3855729689373724,174.10800170898438,172.86900024414064,164.845334370931,154.5643341064453,149.7354998779297,172.66259206605366,172.16718894152427,165.59643472677325,158.4467070335065,152.87964545408818,171.6273455357327,166.8875071834915,4.7398383522412075,5.294645018750298,-1.2868398897653641,-1.2868398897653641,-1.2868398897653641,-1.2868398897653641,1.2868398897653641,-1.2868398897653641,-1.2868398897653641,-1.2868398897653641,1.2868398897653641,2.830001831054716,2.592000579833986,174.1399993896484,170.57729919433592,171.0929992675781,171.6086993408203,0.0,1.0071672854189815,1.0028774537562883,1.187690620774666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1
2024-01-03,168.75,168.9199981689453,166.0899963378906,166.4600067138672,166.4600067138672,891200.0,-1.2868398897653641,1.5734796888970364,1.5457092850740874,1.32796326616333,1.4010250676601528,172.33800354003907,172.33100128173828,165.26266784667968,154.9996676127116,149.975,170.59506361532485,171.1295194455866,165.65214904852127,158.7094381705675,153.14856349883627,170.83237033236878,166.85584048203785,3.976529850330934,5.031021985066426,0.7569352733487205,0.7569352733487205,0.7569352733487205,0.7569352733487205,-0.7569352733487205,-0.7569352733487205,0.7569352733487205,0.7569352733487205,-0.7569352733487205,3.1600036621094034,2.6330001831054703,168.9199981689453,168.43759811401364,168.95599822998042,169.47439834594724,1.0,1.0000406326096216,0.9968768928236739,1.1639699112610666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2868398897653641,1
2024-01-04,169.8399963378906,170.75,167.5899963378906,167.7200012207031,167.7200012207031,1174500.0,0.7569352733487205,1.6907486952059252,1.5789580066576518,1.3318647764103948,1.400177564131848,170.73800354003907,171.90500183105468,165.66866811116537,155.46266759236653,150.21960006713869,169.63670948378427,170.5096070410623,165.7855588660814,159.00486646729325,153.43710682006136,170.35354431518945,166.91985238860565,3.433691926583805,4.711555973369902,1.114950574515421,-1.114950574515421,-1.114950574515421,-1.114950574515421,1.114950574515421,1.114950574515421,-1.114950574515421,-1.114950574515421,1.114950574515421,2.1100006103515057,2.6305000305175765,170.75,163.1273977661133,163.65399780273438,164.18059783935547,0.0,0.9932113767570154,0.9948806546890474,1.1855242623903726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7569352733487205,1
2024-01-05,166.7599945068359,167.8500061035156,165.7400054931641,165.8500061035156,165.8500061035156,938800.0,-1.114950574515421,1.5899474435199101,1.5359659188611052,1.3547687750717419,1.3997746397202255,168.72400512695313,171.57300262451173,165.99566853841145,155.8545010884603,150.4202001953125,168.37447502369474,169.66240687059926,165.7897167523675,159.22929727503825,153.68290680587234,169.66069228262424,166.84060451563602,2.820087766988223,4.333262332093566,-2.2912195677563236,2.2912195677563236,2.2912195677563236,2.2912195677563236,-2.2912195677563236,-2.2912195677563236,2.2912195677563236,2.2912195677563236,-2.2912195677563236,3.570007324218807,2.6470001220703123,167.8500061035156,164.96289993286132,165.48899993896484,166.01509994506836,1.0,0.9833948380340837,0.992408855499222,1.1337476528271535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.114950574515421,-1
2024-01-08,167.0099945068359,169.75,166.1799926757812,169.6499938964844,169.6499938964844,878800.0,2.2912195677563236,2.238600742486358,1.6781981498282663,1.3680066887092255,1.4223131615321154,167.66200256347656,171.41900177001952,166.50566813151042,156.29000091552734,150.666600189209,168.7996479812913,169.66014996621473,166.03876689069762,159.57095945934796,153.99908674826068,169.65904637706424,167.0487074327359,2.6103389443283334,3.98867765454052,1.1965805200886426,-1.1965805200886426,-1.1965805200886426,-1.1965805200886426,1.1965805200886426,1.1965805200886426,-1.1965805200886426,-1.1965805200886426,1.1965805200886426,2.810012817382784,2.586500549316402,169.75,162.02660583496092,162.55600585937498,163.08540588378904,0.0,0.9780829478193821,0.9949280842608308,1.2267470354342493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2912195677563236,1
2024-01-09,168.6000061035156,170.1000061035156,167.2899932861328,167.6199951171875,167.6199951171875,721900.0,-1.1965805200886426,1.5884715280267412,1.5954399138938555,1.3280612150443876,1.4350220131238958,167.46000061035156,170.78400115966798,166.9290013631185,156.68133417765299,150.89960006713866,168.40643035992338,169.28921272093703,166.1407816149873,159.83486226780173,154.2688077060612,169.34534618323704,167.09102503899157,2.2543211442454663,3.641806352481509,-0.882956108722818,0.882956108722818,0.882956108722818,0.882956108722818,-0.882956108722818,-0.882956108722818,0.882956108722818,0.882956108722818,-0.882956108722818,2.1000061035157103,2.544500732421878,170.1000061035156,164.0596987915039,164.5769989013672,165.09429901123048,1.0,0.9805368153530448,0.9947853596409072,1.2013301012186637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1965805200886426,1
2024-01-10,167.9299926757812,169.8200073242188,167.7200012207031,169.1000061035156,169.1000061035156,561800.0,0.882956108722818,1.4792364203211774,1.6046799507798104,1.3161225760670505,1.4291698044858832,167.98800048828124,170.16300201416016,167.40733489990234,157.11866760253906,151.178800201416,168.63762227445415,169.2548115177695,166.33169932392462,160.13863747553006,154.5624948030405,169.30760155558758,167.2398384511785,2.0677631044090674,3.326997702867021,-1.756357843585828,1.756357843585828,1.756357843585828,1.756357843585828,-1.756357843585828,-1.756357843585828,1.756357843585828,1.756357843585828,-1.756357843585828,2.460006713867216,2.5510009765625044,169.8200073242188,164.50210449218747,165.01100463867184,165.51990478515623,1.0,0.9872181290872036,0.9963534907056362,1.2192481004125404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.882956108722818,1
2024-01-11,169.6900024414062,172.1399993896484,169.6799926757812,172.0700073242188,172.0700073242188,792500.0,1.756357843585828,1.613782548554771,1.7331383012442734,1.3694533731121912,1.438023781347181,168.85800170898438,169.79800262451172,167.99466857910156,157.5795010884603,151.5002003479004,169.78175062437572,169.76666530076025,166.70191274329844,160.52982992958542,154.90917821930145,169.73258705845393,167.5976287380704,2.1349583203835323,3.0885898263703235,-0.05811055992930848,0.05811055992930848,0.05811055992930848,0.05811055992930848,-0.05811055992930848,0.05811055992930848,0.05811055992930848,0.05811055992930848,-0.05811055992930848,1.6800079345703978,2.537501525878915,172.1399993896484,164.2078051757813,164.7180053710938,165.2282055664063,1.0,0.9944640048705046,1.0000888591620076,1.265569412783715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.756357843585828,1
2024-01-12,172.8399963378906,173.0700073242188,171.3899993896484,172.1699981689453,172.1699981689453,672700.0,0.05811055992930848,1.3850382704174586,1.7321208269689334,1.3688228563903948,1.4333655262187017,170.12200012207032,169.42300262451172,168.55066833496093,158.01283442179363,151.8122003173828,170.57783313923227,170.20363491315754,167.0546924481789,160.91147478989228,155.2509766341459,170.1075733831449,167.93632276998704,2.1712506131578664,2.9051219837278324,-0.3368774102475028,-0.3368774102475028,-0.3368774102475028,-0.3368774102475028,0.3368774102475028,-0.3368774102475028,-0.3368774102475028,-0.3368774102475028,0.3368774102475028,1.739990234375,2.43850097656251,173.0700073242188,166.5574960327148,167.0649963378906,167.57249664306636,0.0,1.0041257532137342,1.0021985325182134,1.265409047549484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05811055992930848,1
2024-01-16,171.5599975585938,172.3399963378906,170.6000061035156,171.5899963378906,171.5899963378906,974800.0,-0.3368774102475028,1.1338109290866725,1.7287676528653249,1.3597141788840812,1.4298511651278,170.51000061035157,169.08600158691405,169.0250015258789,158.45366770426432,152.1129002380371,170.9152208721184,170.45570062674537,167.34729269912805,161.26159025048239,155.5745215787745,170.3356384531058,168.20696525649842,2.128673196607366,2.7498322263037394,0.08742301910077566,0.08742301910077566,0.08742301910077566,0.08742301910077566,-0.08742301910077566,0.08742301910077566,0.08742301910077566,0.08742301910077566,-0.08742301910077566,2.0599975585937784,2.456001281738293,172.3399963378906,167.7053051757813,168.1930053710938,168.6807055664063,1.0,1.0084217440241825,1.0026958338364949,1.2714198908215595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3368774102475028,1
