Date_AMAT_L01d,Open_AMAT_L01d,High_AMAT_L01d,Low_AMAT_L01d,Close_AMAT_L01d,Adj Close_AMAT_L01d,Volume_AMAT_L01d,Daily_Return_AMAT_L01d,Vol5_AMAT_L01d,Vol10_AMAT_L01d,Vol20_AMAT_L01d,Vol60_AMAT_L01d,SMA5_AMAT_L01d,SMA10_AMAT_L01d,SMA30_AMAT_L01d,SMA60_AMAT_L01d,SMA100_AMAT_L01d,EMA5_AMAT_L01d,EMA10_AMAT_L01d,EMA30_AMAT_L01d,EMA60_AMAT_L01d,EMA100_AMAT_L01d,Short12_AMAT_L01d,Long26_AMAT_L01d,MACD_AMAT_L01d,SIGNAL9_AMAT_L01d,Ret5/10_AMAT_L01d,Ret10/30_AMAT_L01d,Ret30/60_AMAT_L01d,Ret30/100_AMAT_L01d,Emaret5/10_AMAT_L01d,Emaret10/30_AMAT_L01d,Emaret30/60_AMAT_L01d,Emaret30/100_AMAT_L01d,RetMACD_AMAT_L01d,DayRange_AMAT_L01d,average20r_AMAT_L01d,PRVHI_AMAT_L01d,HitLevel_AMAT_L01d,hitlevel_2_AMAT_L01d,hitlevel_1.8_AMAT_L01d,positive_return_dummy,sma_ratio_L01d,ema_ratio_L01d,volatility_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_best,best
2024-01-02,160.0,160.1100006103516,153.4299926757812,154.3699951171875,154.3699951171875,8607300.0,-4.751040821283817,2.2835119514068665,2.2388291629136035,2.267297857076847,2.0050323076608954,161.61000061035156,161.11000061035156,154.63999989827474,147.59283218383788,145.6822994995117,159.81888051183412,159.96000904218576,155.3635607195984,150.6314348321596,146.59174980959858,159.60012862307042,156.2521499665253,3.3479786565451093,3.8492364741019602,-1.8915581144694877,-1.8915581144694877,-1.8915581144694877,-1.8915581144694877,1.8915581144694877,1.8915581144694877,-1.8915581144694877,-1.8915581144694877,1.8915581144694877,2.4400024414062216,3.465998840332044,160.1100006103516,155.653200378418,156.37200012207035,157.0907998657227,0.0,1.003103469667344,0.9991177261667045,0.9874437784720763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1
2024-01-03,151.7100067138672,153.1699981689453,150.7299957275391,151.4499969482422,151.4499969482422,6100100.0,-1.8915581144694877,1.8861698415675132,2.2806918869607316,2.2522532163758404,2.021615550106162,159.04400024414062,160.21900024414063,154.73533325195314,147.77883224487306,145.75069946289062,157.0292526573035,158.4127341160142,155.11107273434962,150.65827293432625,146.68795272323507,158.34626221155838,155.89643492813397,2.449827283424412,3.5693546359664508,1.4130072187322145,-1.4130072187322145,-1.4130072187322145,-1.4130072187322145,1.4130072187322145,1.4130072187322145,-1.4130072187322145,-1.4130072187322145,1.4130072187322145,3.25,3.515998840332044,153.1699981689453,152.4848031616211,153.1780029296875,153.87120269775392,0.0,0.99266628802945,0.9912666019784905,1.0126267643345417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8915581144694877,1
2024-01-04,149.8000030517578,152.0,148.75,149.3099975585938,149.3099975585938,6196100.0,-1.4130072187322145,1.6932545522808853,2.203971738599375,2.2516429490785326,2.0314263515747593,156.06399841308593,158.91699981689453,154.6266662597656,147.93149897257487,145.855499420166,154.45616762440028,156.7576911055741,154.73680981978472,150.61406718430223,146.73987440314318,156.95606764956383,155.4085506785384,1.5475169710254306,3.164987102978247,0.20762009487821093,-0.20762009487821093,-0.20762009487821093,-0.20762009487821093,0.20762009487821093,0.20762009487821093,-0.20762009487821093,-0.20762009487821093,0.20762009487821093,3.4700012207030966,3.4879989624023535,152.0,145.4348007202148,146.13800048828122,146.84120025634763,0.0,0.9820472233486923,0.9853179549600295,0.9788282549421672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4130072187322145,1
2024-01-05,150.0800018310547,151.5200042724609,148.0500030517578,149.0,149.0,5398900.0,-0.20762009487821093,1.7845013953450424,2.0205203345169958,2.237837159516686,2.029357525283063,153.23999938964846,158.125,154.6183329264323,148.05816574096679,145.92659942626952,152.63744508293354,155.34720181365154,154.366693057218,150.56114694875131,146.78462936545716,155.73205724193863,154.9338432208689,0.7982140210697253,2.691632486596543,-1.7181191668414812,1.7181191668414812,1.7181191668414812,1.7181191668414812,-1.7181191668414812,-1.7181191668414812,1.7181191668414812,1.7181191668414812,-1.7181191668414812,3.069992065429716,3.442999267578139,151.5200042724609,144.3264022827148,145.02400207519528,145.72160186767576,1.0,0.9691067155076583,0.9825567715473336,0.9028897951419196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20762009487821093,1
2024-01-08,149.8300018310547,152.7899932861328,149.7200012207031,151.5599975585938,151.5599975585938,6515500.0,1.7181191668414812,2.3756222667460536,1.8356454665040556,2.198660328719034,2.0392471594339385,151.13799743652345,157.14199981689453,154.6876663208008,148.21449915568033,146.04139938354493,152.27829590815364,154.65861922182285,154.1856159282745,150.59389614907403,146.8791911118559,155.09020190603943,154.68392872736706,0.40627317867236457,2.2345606250117074,0.34969569004644735,-0.34969569004644735,-0.34969569004644735,-0.34969569004644735,0.34969569004644735,0.34969569004644735,-0.34969569004644735,-0.34969569004644735,0.34969569004644735,2.760009765625,3.4400001525879036,152.7899932861328,143.945405883789,144.63400573730462,145.32260559082025,0.0,0.9617925036758659,0.9846091777771844,0.834892703764535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7181191668414812,1
2024-01-09,149.8699951171875,151.6900024414062,148.9299926757812,151.0299987792969,151.0299987792969,5606700.0,-0.34969569004644735,1.3939839571128254,1.8042159761134744,2.1973636988189336,2.025446492509712,150.46999816894532,156.03999938964844,154.71066640218103,148.31499913533528,146.1691993713379,151.86219686520138,153.99887005045449,153.98202772511465,150.60819459596655,146.96138532309237,154.46555527115595,154.41326724973223,0.052288021423720465,1.7981061042941102,0.8077873472580162,-0.8077873472580162,-0.8077873472580162,-0.8077873472580162,0.8077873472580162,0.8077873472580162,-0.8077873472580162,-0.8077873472580162,0.8077873472580162,3.6599884033203125,3.2969993591308695,151.6900024414062,145.22199295043941,145.909992980957,146.59799301147459,0.0,0.9643040166464354,0.9861253969944516,0.8210820889974777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34969569004644735,1
2024-01-10,151.7700042724609,151.8999938964844,148.2400054931641,149.8099975585938,149.8099975585938,5035700.0,-0.8077873472580162,1.1770429248140428,1.6525566895267307,1.8781543480300587,1.9967147633793605,150.14199829101568,154.59299926757814,154.67733306884764,148.4594991048177,146.29139938354493,151.17813042966554,153.23725687011617,153.71286448856492,150.5820242012986,147.0177934861716,153.74931562306946,154.0722843096479,-0.32296868657843447,1.3738911461196015,-1.4284756855505472,-1.4284756855505472,1.4284756855505472,1.4284756855505472,-1.4284756855505472,-1.4284756855505472,-1.4284756855505472,1.4284756855505472,-1.4284756855505472,3.9600067138671022,3.3180000305175854,151.8999938964844,144.43660385131827,145.09600372314446,145.75540359497063,1.0,0.9712082630025283,0.9865624947711251,0.8798833233594722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8077873472580162,1
2024-01-11,150.25,152.4400024414062,148.4799957275391,151.9499969482422,151.9499969482422,5995600.0,1.4284756855505472,1.1375024487519483,1.7970425227271207,1.8819378276368537,2.0036129266933287,150.66999816894537,153.36699829101562,154.80699971516927,148.6419990539551,146.38429931640624,151.4354192691911,153.0032096115936,153.59913109886668,150.62687576677214,147.11546088146014,153.47249736540374,153.91507783843267,-0.4425804730289258,1.010596822289896,0.4606758554135564,0.4606758554135564,-0.4606758554135564,-0.4606758554135564,0.4606758554135564,0.4606758554135564,0.4606758554135564,-0.4606758554135564,0.4606758554135564,2.0299987792969034,3.2319999694824304,152.4400024414062,144.6003938293457,145.26399383544924,145.92759384155275,0.0,0.9824147296868088,0.9897532192534887,0.9548894210727802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4284756855505472,1
2024-01-12,152.1999969482422,152.3999938964844,150.3699951171875,151.25,151.25,4083200.0,-0.4606758554135564,1.1739125475200938,1.7993740288266311,1.8831881713878287,2.000068626555288,151.11999816894536,152.1799987792969,154.86999969482423,148.7841657002767,146.40909927368165,151.3736128461274,152.68444422766748,153.4475742537785,150.64730606950093,147.19733294321338,153.13057469380317,153.71766466521544,-0.5870899714122686,0.6910594635494631,-1.659500500387378,-1.659500500387378,1.659500500387378,1.659500500387378,-1.659500500387378,-1.659500500387378,-1.659500500387378,1.659500500387378,-1.659500500387378,4.400009155273494,3.1845008850097742,152.3999938964844,145.32960250854484,145.97600250244133,146.62240249633783,1.0,0.9930345602651184,0.9914147679668958,0.9554934850193807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4606758554135564,1
2024-01-16,151.3000030517578,154.2400054931641,149.8399963378906,153.7599945068359,153.7599945068359,6528000.0,1.659500500387378,1.156443020396338,1.9535627774692073,1.7833365135948238,2.005399533448131,151.55999755859378,151.3489974975586,155.0026662190755,148.98933232625325,146.46819915771485,152.1690733996969,152.8799988238799,153.46773039913705,150.74936142810205,147.32728663754256,153.2274085111928,153.72080020903917,-0.49339169784636283,0.4541692312702979,-0.25364165165281033,0.25364165165281033,-0.25364165165281033,-0.25364165165281033,0.25364165165281033,0.25364165165281033,0.25364165165281033,-0.25364165165281033,0.25364165165281033,3.5500030517578125,3.22600097656251,154.2400054931641,145.3940919494629,146.03099212646487,146.6678923034668,0.0,1.001394129227969,0.9953497813340384,1.0954538095175563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.659500500387378,1
2024-01-17,153.1100006103516,153.75,150.1999969482422,153.3699951171875,153.3699951171875,6630600.0,-0.25364165165281033,1.1438062356847805,1.2641234916501565,1.781240669332922,1.8903999524902126,152.0279968261719,151.2489974975586,155.06199951171874,149.30499903361002,146.5218991088867,152.56938063886045,152.96908905902674,153.4614248970758,150.83528384413762,147.4469442311989,153.24934491211508,153.6948146466798,-0.4454697345647105,0.27424143810329626,4.544566370610779,-4.544566370610779,4.544566370610779,4.544566370610779,-4.544566370610779,-4.544566370610779,-4.544566370610779,4.544566370610779,-4.544566370610779,3.9600067138671875,3.243000793457044,153.75,147.14280334472656,147.78800354003909,148.43320373535158,1.0,1.0051504429219495,0.9973869987549442,0.7096870812654268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25364165165281033,1
