Date_AAPL,Open_AAPL,High_AAPL,Low_AAPL,Close_AAPL,Adj Close_AAPL,Volume_AAPL,Daily Return(%)_AAPL,Vol5_AAPL,Vol10_AAPL,Vol20_AAPL,Vol60_AAPL,SMA5_AAPL,SMA10_AAPL,SMA30_AAPL,SMA60_AAPL,SMA100_AAPL,EMA5_AAPL,EMA10_AAPL,EMA30_AAPL,EMA60_AAPL,EMA100_AAPL,Short12_AAPL,Long26_AAPL,MACD_AAPL,SIGNAL9_AAPL,Ret5/10_AAPL,Ret10/30_AAPL,Ret30/60_AAPL,Ret30/100_AAPL,Emaret5/10_AAPL,Emaret10/30_AAPL,Emaret30/60_AAPL,Emaret30/100_AAPL,RetMACD_AAPL,DayRange_AAPL,average20r_AAPL,PRVHI_AAPL,HitLevel_AAPL,hitlevel_2_AAPL,hitlevel_1.8_AAPL
2011-01-03,11.63000011444092,11.79500007629395,11.6014289855957,11.77035713195801,10.12136554718018,445138400,,,,,,,,,,,0.3333333333333333,0.1818181818181818,0.06451612903225806,0.03278688524590164,0.0198019801980198,0.1538461538461539,0.07407407407407407,,0.2,,,,,,,,,,0.1553573608398402,,,2.2,2.0,1.8
2011-01-04,11.87285709381104,11.875,11.71964263916016,11.83178615570068,10.17419147491455,309080800,0.5218960058219719,,,,,,,,,,,,,,,,,,Sharpe,0.3124441519690855,0.3940530205512158,-0.04653676356210695,0.406332108385935,-0.4799701005507052,0.6271825981580813,0.2168350081270539,0.1830765811917762,0.4813040815694248,0.1728572845459002,,,,,
2011-01-05,11.76964282989502,11.94071388244629,11.76785659790039,11.92857074737549,10.25741767883301,255519600,0.8180049098350055,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08392810821533025,,,,,
2011-01-06,11.95428562164307,11.9732141494751,11.88928604125977,11.91892910003662,10.24912452697754,300428800,-0.08082818589974061,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1589288711547905,,,,,
2011-01-07,11.92821407318115,12.01249980926514,11.85357093811035,12.00428581237793,10.3225212097168,311931200,0.7161441403409986,,,,,11.89078578948975,,,,,11.89078578948975,,,,,,,,,,,,,,,,,,0.2164278030395508,,,,,
2011-01-10,12.10107135772705,12.25821399688721,12.04178619384766,12.23035717010498,10.51692390441895,448560000,1.883255374459202,0.712388989915822,,,,11.98278579711914,,,,,12.00397624969482,,,,,,,,,,,,,,,,,,0.1960706710815412,,,,,
2011-01-11,12.31714344024658,12.31999969482422,12.12392902374268,12.20142936706543,10.49204635620117,444108000,-0.2365245972559155,0.846914740759555,,,,12.05671443939209,,,,,12.06979395548503,,,,,,,,,,,,,,,,,,0.08678531646728871,,,,,
2011-01-12,12.25892925262451,12.30107116699219,12.2142858505249,12.30071353912354,10.57742214202881,302590400,0.8137093538081897,0.8466658254985475,,,,12.1311429977417,,,,,12.1467671500312,,,,,,,,,,,,,,,,,,0.09964275360107955,,,,,
2011-01-13,12.3271427154541,12.38000011444092,12.28035736083984,12.34571361541748,10.61611652374268,296780400,0.3658330563573661,0.7748660776463596,,,,12.21649990081787,,,,,12.21308263849329,,,,,,,,,,,,,,,,,,0.1442852020263707,,,,,
2011-01-14,12.35321426391602,12.44571399688721,12.30142879486084,12.44571399688721,10.70210933685303,308840000,0.8100008195949758,0.7762336995286354,,,,12.30478553771973,12.09778566360474,,,,12.2906264246246,12.09778566360474,,,,,,,,-2.246902498697962,-2.246902498697962,0.0,0.0,2.246902498697962,-2.246902498697962,-2.246902498697962,0.0,0.0,0.6700000762939489,,,,,
