Date_HPE,Open_HPE,High_HPE,Low_HPE,Close_HPE,Adj Close_HPE,Volume_HPE,Daily Return(%)_HPE,Vol5_HPE,Vol10_HPE,Vol20_HPE,Vol60_HPE,SMA5_HPE,SMA10_HPE,SMA30_HPE,SMA60_HPE,SMA100_HPE,EMA5_HPE,EMA10_HPE,EMA30_HPE,EMA60_HPE,EMA100_HPE,Short12_HPE,Long26_HPE,MACD_HPE,SIGNAL9_HPE,Ret5/10_HPE,Ret10/30_HPE,Ret30/60_HPE,Ret30/100_HPE,Emaret5/10_HPE,Emaret10/30_HPE,Emaret30/60_HPE,Emaret30/100_HPE,RetMACD_HPE,DayRange_HPE,average20r_HPE,PRVHI_HPE,HitLevel_HPE,hitlevel_2_HPE,hitlevel_1.8_HPE
2015-10-19,10.7523307800293,10.7523307800293,9.578291893005371,9.618976593017578,8.092440605163574,2721233,,,,,,,,,,,0.3333333333333333,0.1818181818181818,0.06451612903225806,0.03278688524590164,0.0198019801980198,0.1538461538461539,0.07407407407407407,,0.2,,,,,,,,,,0.3952207565307617,,,2.2,2.0,1.8
2015-10-20,9.444615364074707,9.839836120605469,9.444615364074707,9.804963111877441,8.24891185760498,1220907,1.933537492906169,,,,,,,,,,,,,,,,,,,-0.1053394043785717,-0.6037441163837721,-0.009462702246091914,-0.3533686415310957,0.3124776420529508,-0.1366236653746743,-0.1776512107741144,-0.2941963085231294,0.1461639496135054,0.5521469116210884,,,,,
2015-10-21,10.02582168579102,10.08394336700439,9.5317964553833,9.578291893005371,8.058213233947754,135236,-2.311800832758744,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4707775115966797,,,,,
2015-10-22,9.711970329284668,9.90958023071289,9.438802719116211,9.851460456848145,8.288030624389648,189261,2.851954888138845,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2324829101562536,,,,,
2015-10-23,10.02582168579102,10.02582168579102,9.793338775634766,9.88051986694336,8.312479019165039,103061,0.2949756558685112,,,,,9.746842384338379,,,,,9.746842384338379,,,,,,,,,,,,,,,,,,0.4649658203125,,,,,
2015-10-26,9.944453239440918,9.944453239440918,9.479487419128418,9.54341983795166,8.028876304626465,885743,-3.411764092692266,2.686124864508674,,,,9.731731033325195,,,,,9.67903486887614,,,,,,,,,,,,,,,,,,0.6683883666992188,,,,,
2015-10-27,9.624789237976074,9.735218048095703,9.066829681396484,9.142387390136719,7.691486358642578,1094274,-4.202188048147492,2.901426904200347,,,,9.599215888977051,,,,,9.500152375963001,,,,,,,,,,,,,,,,,,0.2935104370117188,,,,,
2015-10-28,9.241191864013672,9.50273609161377,9.20922565460205,9.462051391601562,7.960418701171875,509801,3.496504663647417,3.519813211560395,,,,9.575967788696289,,,,,9.487452047842522,,,,,,,,,,,,,,,,,,0.4184684753417969,,,,,
2015-10-29,9.30512523651123,9.456238746643066,9.03777027130127,9.27025318145752,7.799060821533203,499650,-2.027025665008345,3.117554449994512,,,,9.459726333618164,,,,,9.415052425714189,,,,,,,,,,,,,,,,,,0.8020658493041992,,,,,
2015-10-30,9.241191864013672,9.357434272766113,8.555368423461914,8.555368423461914,7.197628021240234,4214161,-7.711599068572659,4.083610819423975,,,,9.194696044921875,9.470769214630128,,,,9.128491091630098,9.470769214630128,,,,,,,,1.562509405354213,-1.562509405354213,0.0,0.0,1.562509405354213,1.562509405354213,-1.562509405354213,0.0,0.0,0.7613811492919922,,,,,
