Date_NXPI,Open_NXPI,High_NXPI,Low_NXPI,Close_NXPI,Adj Close_NXPI,Volume_NXPI,Daily Return(%)_NXPI,Vol5_NXPI,Vol10_NXPI,Vol20_NXPI,Vol60_NXPI,SMA5_NXPI,SMA10_NXPI,SMA30_NXPI,SMA60_NXPI,SMA100_NXPI,EMA5_NXPI,EMA10_NXPI,EMA30_NXPI,EMA60_NXPI,EMA100_NXPI,Short12_NXPI,Long26_NXPI,MACD_NXPI,SIGNAL9_NXPI,Ret5/10_NXPI,Ret10/30_NXPI,Ret30/60_NXPI,Ret30/100_NXPI,Emaret5/10_NXPI,Emaret10/30_NXPI,Emaret30/60_NXPI,Emaret30/100_NXPI,RetMACD_NXPI,DayRange_NXPI,average20r_NXPI,PRVHI_NXPI,HitLevel_NXPI,hitlevel_2_NXPI,hitlevel_1.8_NXPI
2011-01-03,21.20000076293945,21.52000045776367,20.63999938964844,21.43000030517578,20.6605224609375,256100,,,,,,,,,,,0.3333333333333333,0.1818181818181818,0.06451612903225806,0.03278688524590164,0.0198019801980198,0.1538461538461539,0.07407407407407407,,0.2,,,,,,,,,,1.579999923706051,,,2.2,2.0,1.8
2011-01-04,21.89999961853027,22.75,21.17000007629395,22.01000022888184,21.21969795227051,952100,2.706485839694442,,,,,,,,,,,,,,,,,,,-0.6906821330929059,-0.1329434514286108,-0.05882157111755978,0.1015968570474592,0.06320459244311452,-0.3549646963656986,-0.08601241315307791,0.1249909188261584,-0.3595942815851853,1.920000076293949,,,,,
2011-01-05,21.8700008392334,23.60000038146973,21.68000030517578,23.3799991607666,22.54050254821777,846400,6.224438517211053,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.039999008178711,,,,,
2011-01-06,23.72999954223633,23.79999923706055,22.76000022888184,23.23999977111816,22.4055290222168,453100,-0.5987998061324594,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6499996185302699,,,,,
2011-01-07,23.32999992370605,23.32999992370605,22.68000030517578,22.92000007629395,22.09702110290527,300900,-1.376935017107426,,,,,22.59599990844726,,,,,22.59599990844726,,,,,,,,,,,,,,,,,,0.9099998474121094,,,,,
2011-01-10,22.75,23.61000061035156,22.70000076293945,23.42000007629395,22.57906723022461,254100,2.181500865338773,3.016054352966389,,,,22.9939998626709,,,,,22.87066663106283,,,,,,,,,,,,,,,,,,0.4400005340576172,,,,,
2011-01-11,23.81999969482422,24.06999969482422,23.6299991607666,24.0,23.13824272155762,278200,2.476515464631169,3.001011856805879,,,,23.39199981689453,,,,,23.24711108737522,,,,,,,,,,,,,,,,,,1.29999923706054,,,,,
2011-01-12,24.5,24.57999992370605,23.28000068664551,23.60000038146973,22.75260353088379,303000,-1.666665077209458,1.982300636533169,,,,23.43600006103516,,,,,23.36474085207339,,,,,,,,,,,,,,,,,,0.8700008392333984,,,,,
2011-01-13,23.86000061035156,23.86000061035156,22.98999977111816,23.32999992370605,22.49229621887207,250500,-1.144069717794065,2.051246434656155,,,,23.45400009155274,,,,,23.35316054261761,,,,,,,,,,,,,,,,,,0.5799999237060511,,,,,
2011-01-14,23.32999992370605,23.43000030517578,22.85000038146973,23.38999938964844,22.55014228820801,183200,0.2571773087809714,1.881431212796568,,,,23.54799995422363,23.07199993133545,,,,23.36544015829455,23.07199993133545,,,,,,,,0.8123152587241937,0.8123152587241937,0.0,0.0,-0.8123152587241937,0.8123152587241937,0.8123152587241937,0.0,0.0,0.4099998474121094,,,,,
