Date_INTU,Open_INTU,High_INTU,Low_INTU,Close_INTU,Adj Close_INTU,Volume_INTU,Daily Return(%)_INTU,Vol5_INTU,Vol10_INTU,Vol20_INTU,Vol60_INTU,SMA5_INTU,SMA10_INTU,SMA30_INTU,SMA60_INTU,SMA100_INTU,EMA5_INTU,EMA10_INTU,EMA30_INTU,EMA60_INTU,EMA100_INTU,Short12_INTU,Long26_INTU,MACD_INTU,SIGNAL9_INTU,Ret5/10_INTU,Ret10/30_INTU,Ret30/60_INTU,Ret30/100_INTU,Emaret5/10_INTU,Emaret10/30_INTU,Emaret30/60_INTU,Emaret30/100_INTU,RetMACD_INTU,DayRange_INTU,average20r_INTU,PRVHI_INTU,HitLevel_INTU,hitlevel_2_INTU,hitlevel_1.8_INTU
2011-01-03,49.68000030517578,50.54000091552734,49.68000030517578,49.83000183105469,45.06671524047852,3190300,,,,,,,,,,,0.3333333333333333,0.1818181818181818,0.06451612903225806,0.03278688524590164,0.0198019801980198,0.1538461538461539,0.07407407407407407,,0.2,,,,,,,,,,1.360000610351562,,,2.2,2.0,1.8
2011-01-04,49.79000091552734,50.20000076293945,48.84000015258789,49.29000091552734,44.57834625244141,2220600,-1.083686324873493,,,,,,,,,,,,,,,,,,,-0.5442542983984632,-0.3282944656235119,0.05808775552138241,0.2610675389180735,-0.0665243316305798,-0.5257491082988975,-0.2301653797094547,0.2757289513349469,-0.1723428087692732,1.279998779296875,,,,,
2011-01-05,49.02999877929688,49.52000045776367,48.2400016784668,48.7400016784668,44.08091735839844,3441500,-1.115843430401071,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7300033569336009,,,,,
2011-01-06,48.86999893188477,48.90000152587891,48.16999816894531,48.29999923706055,43.6829719543457,3327700,-0.9027542598560103,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7800025939941335,,,,,
2011-01-07,48.40999984741211,48.7400016784668,47.95999908447266,48.38999938964844,43.76436996459961,2298700,0.1863357225869966,,,,,48.91000061035156,,,,,48.91000061035156,,,,,,,,,,,,,,,,,,0.5200004577636719,,,,,
2011-01-10,48.09999847412109,48.18000030517578,47.65999984741211,47.75,43.18554306030273,2698400,-1.322586066792441,0.5969438977212052,,,,48.49400024414062,,,,,48.52333374023438,,,,,,,,,,,,,,,,,,0.8800010681152273,,,,,
2011-01-11,47.81000137329102,47.84000015258789,46.95999908447266,47.04999923706055,42.55246353149414,4317700,-1.465970184166394,0.6562589236317448,,,,48.04599990844726,,,,,48.03222223917643,,,,,,,,,,,,,,,,,,0.8600006103515696,,,,,
2011-01-12,47.15999984741211,47.27999877929688,46.41999816894531,46.58000183105469,42.12738037109375,4392600,-0.9989318036707847,0.6497727623588718,,,,47.61399993896485,,,,,47.54814876980252,,,,,,,,,,,,,,,,,,0.8899993896484233,,,,,
2011-01-13,46.5099983215332,47.04000091552734,46.15000152587891,46.36000061035156,41.92841339111328,3267500,-0.4723083126983716,0.6773749058366005,,,,47.22600021362305,,,,,47.15209938331887,,,,,,,,,,,,,,,,,,1.099998474121087,,,,,
2011-01-14,46.18000030517578,47.0,45.90000152587891,46.97999954223633,42.48914337158203,2512600,1.337357471359326,1.140135689472288,,,,46.94400024414062,47.92700042724609,,,,47.09473276962469,47.92700042724609,,,,,,,,-0.78756691249458,0.78756691249458,0.0,0.0,-0.78756691249458,-0.78756691249458,0.78756691249458,0.0,0.0,1.0,,,,,
