Date_FFIV,Open_FFIV,High_FFIV,Low_FFIV,Close_FFIV,Adj Close_FFIV,Volume_FFIV,Daily Return(%)_FFIV,Vol5_FFIV,Vol10_FFIV,Vol20_FFIV,Vol60_FFIV,SMA5_FFIV,SMA10_FFIV,SMA30_FFIV,SMA60_FFIV,SMA100_FFIV,EMA5_FFIV,EMA10_FFIV,EMA30_FFIV,EMA60_FFIV,EMA100_FFIV,Short12_FFIV,Long26_FFIV,MACD_FFIV,SIGNAL9_FFIV,Ret5/10_FFIV,Ret10/30_FFIV,Ret30/60_FFIV,Ret30/100_FFIV,Emaret5/10_FFIV,Emaret10/30_FFIV,Emaret30/60_FFIV,Emaret30/100_FFIV,RetMACD_FFIV,DayRange_FFIV,average20r_FFIV,PRVHI_FFIV,HitLevel_FFIV,hitlevel_2_FFIV,hitlevel_1.8_FFIV
2011-01-03,132.8899993896484,137.6900024414062,132.7700042724609,134.3300018310547,134.3300018310547,2307400,,,,,,,,,,,0.3333333333333333,0.1818181818181818,0.06451612903225806,0.03278688524590164,0.0198019801980198,0.1538461538461539,0.07407407407407407,,0.2,,,,,,,,,,4.370010375976591,,,2.2,2.0,1.8
2011-01-04,135.1900024414062,135.9600067138672,131.5899963378906,132.0700073242188,132.0700073242188,1442300,-1.682419769247268,,,,,,,,,,,,,,,,,,,-0.0229373527264437,-0.08260224954068329,-0.2377824611720975,-0.4558223878091808,0.05892278907124633,-0.1821986367153905,0.05228191324042329,0.02463931118764983,0.5187235269778993,5.5,,,,,
2011-01-05,131.8000030517578,137.3000030517578,131.8000030517578,137.2899932861328,137.2899932861328,2296300,3.952438610152763,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.440002441406278,,,,,
2011-01-06,137.8899993896484,139.1999969482422,135.7599945068359,138.0700073242188,138.0700073242188,1995500,0.5681506855786123,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,
2011-01-07,138.1499938964844,139.0,135.5,138.3500061035156,138.3500061035156,1304900,0.2027947884722646,,,,,136.0220031738282,,,,,136.0220031738282,,,,,,,,,,,,,,,,,,5.479995727539006,,,,,
2011-01-10,138.1699981689453,143.5500030517578,138.0700073242188,142.6900024414062,142.6900024414062,2103500,3.136968663841869,2.292565669427844,,,,137.6940032958984,,,,,138.2446695963542,,,,,,,,,,,,,,,,,,3.0,,,,,
2011-01-11,144.0,144.1000061035156,141.1000061035156,142.6499938964844,142.6499938964844,1765900,-0.02803878634609929,1.841060975858796,,,,139.8100006103516,,,,,139.7131110297309,,,,,,,,,,,,,,,,,,2.230010986328097,,,,,
2011-01-12,143.8500061035156,143.8500061035156,141.6199951171875,142.6100006103516,142.6100006103516,1226900,-0.02803595362354806,1.345244602705919,,,,140.8740020751953,,,,,140.6787408899378,,,,,,,,,,,,,,,,,,4.389999389648409,,,,,
2011-01-13,142.0800018310547,145.7599945068359,141.3699951171875,143.9499969482422,143.9499969482422,1776100,0.939622980264773,1.341537301647659,,,,142.05,,,,,141.7691595760393,,,,,,,,,,,,,,,,,,3.550003051757812,,,,,
2011-01-14,144.4700012207031,145.0,141.4499969482422,144.1699981689453,144.1699981689453,1771700,0.152831695288071,1.34768558571935,,,,143.2139984130859,139.618000793457,,,,142.569439107008,139.618000793457,,,,,,,,-1.657764736077539,-1.657764736077539,0.0,0.0,1.657764736077539,-1.657764736077539,-1.657764736077539,0.0,0.0,5.959991455078182,,,,,
