Date_ENPH,Open_ENPH,High_ENPH,Low_ENPH,Close_ENPH,Adj Close_ENPH,Volume_ENPH,Daily Return(%)_ENPH,Vol5_ENPH,Vol10_ENPH,Vol20_ENPH,Vol60_ENPH,SMA5_ENPH,SMA10_ENPH,SMA30_ENPH,SMA60_ENPH,SMA100_ENPH,EMA5_ENPH,EMA10_ENPH,EMA30_ENPH,EMA60_ENPH,EMA100_ENPH,Short12_ENPH,Long26_ENPH,MACD_ENPH,SIGNAL9_ENPH,Ret5/10_ENPH,Ret10/30_ENPH,Ret30/60_ENPH,Ret30/100_ENPH,Emaret5/10_ENPH,Emaret10/30_ENPH,Emaret30/60_ENPH,Emaret30/100_ENPH,RetMACD_ENPH,DayRange_ENPH,average20r_ENPH,PRVHI_ENPH,HitLevel_ENPH,hitlevel_2_ENPH,hitlevel_1.8_ENPH
2012-03-30,7.5,8.239999771118164,7.059999942779541,7.340000152587891,7.340000152587891,5048600,,,,,,,,,,,0.3333333333333333,0.1818181818181818,0.06451612903225806,0.03278688524590164,0.0198019801980198,0.1538461538461539,0.07407407407407407,,0.2,,,,,,,,,,0.7999997138977051,,,2.2,2.0,1.8
2012-04-02,7.650000095367432,8.199999809265137,7.400000095367432,7.809999942779541,7.809999942779541,495500,6.403266763229437,,,,,,,,,,,,,,,,,,,0.587331917182082,-0.06198735466889934,0.3503496058029499,0.479627462769249,-0.1975307485647131,0.6208564202353428,0.2007872590395545,0.4007043248127796,0.5501325313970765,0.3000001907348633,,,,,
2012-04-03,7.75,7.800000190734863,7.5,7.639999866485596,7.639999866485596,316600,-2.176697535716538,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4600000381469727,,,,,
2012-04-04,7.769999980926514,7.769999980926514,7.309999942779541,7.449999809265137,7.449999809265137,165100,-2.486911787183828,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1800003051757812,,,,,
2012-04-05,7.480000019073486,7.550000190734863,7.369999885559082,7.429999828338623,7.429999828338623,104300,-0.2684561266919879,,,,,7.533999919891357,,,,,7.533999919891357,,,,,,,,,,,,,,,,,,1.269999980926514,,,,,
2012-04-09,7.889999866485596,7.889999866485596,6.619999885559082,6.980000019073486,6.980000019073486,123300,-6.05652516368575,4.595462284380627,,,,7.461999893188477,,,,,7.3493332862854,,,,,,,,,,,,,,,,,,0.2600002288818359,,,,,
2012-04-10,7.090000152587891,7.230000019073486,6.96999979019165,7.070000171661377,7.070000171661377,247300,1.289400463351819,2.762426641177642,,,,7.313999938964844,,,,,7.256222248077393,,,,,,,,,,,,,,,,,,0.5300002098083496,,,,,
2012-04-11,7.25,7.53000020980835,7.0,7.130000114440918,7.130000114440918,161900,0.8486554642535695,3.01716113170242,,,,7.211999988555908,,,,,7.214148203531902,,,,,,,,,,,,,,,,,,0.4800000190734863,,,,,
2012-04-12,7.559999942779541,7.559999942779541,7.079999923706055,7.300000190734863,7.300000190734863,41700,2.384292756877122,3.323074272806202,,,,7.182000064849854,,,,,7.242765532599557,,,,,,,,,,,,,,,,,,0.690000057220459,,,,,
2012-04-13,7.690000057220459,7.690000057220459,7.0,7.099999904632568,7.099999904632568,92200,-2.739729875022944,3.485756135471506,,,,7.116000080108643,7.325,,,,7.195176989943894,7.325,,,,,,,,-0.8450696279642564,0.8450696279642564,0.0,0.0,-0.8450696279642564,-0.8450696279642564,0.8450696279642564,0.0,0.0,0.429999828338623,,,,,
