Date_MSFT,Open_MSFT,High_MSFT,Low_MSFT,Close_MSFT,Adj Close_MSFT,Volume_MSFT,Daily Return(%)_MSFT,Vol5_MSFT,Vol10_MSFT,Vol20_MSFT,Vol60_MSFT,SMA5_MSFT,SMA10_MSFT,SMA30_MSFT,SMA60_MSFT,SMA100_MSFT,EMA5_MSFT,EMA10_MSFT,EMA30_MSFT,EMA60_MSFT,EMA100_MSFT,Short12_MSFT,Long26_MSFT,MACD_MSFT,SIGNAL9_MSFT,Ret5/10_MSFT,Ret10/30_MSFT,Ret30/60_MSFT,Ret30/100_MSFT,Emaret5/10_MSFT,Emaret10/30_MSFT,Emaret30/60_MSFT,Emaret30/100_MSFT,RetMACD_MSFT,DayRange_MSFT,average20r_MSFT,PRVHI_MSFT,HitLevel_MSFT,hitlevel_2_MSFT,hitlevel_1.8_MSFT
2011-01-03,28.04999923706055,28.18000030517578,27.92000007629395,27.97999954223633,22.14380264282227,53443800,,,,,,,,,,,0.3333333333333333,0.1818181818181818,0.06451612903225806,0.03278688524590164,0.0198019801980198,0.1538461538461539,0.07407407407407407,,0.2,,,,,,,,,,0.3199996948242188,,,2.2,2.0,1.8
2011-01-04,27.94000053405762,28.17000007629395,27.85000038146973,28.09000015258789,22.23086166381836,54405600,0.3931401434996843,,,,,,,,,,,,,,,,,,,-0.5789798930403545,-0.006813456310293545,0.2859350292834504,0.3642624123229667,-0.18072393905286,-0.607598743496216,-0.06608579868454324,0.09730349876809874,-0.6226839881374298,0.2399997711181712,,,,,
2011-01-05,27.89999961853027,28.01000022888184,27.77000045776367,28.0,22.15962791442871,58998700,-0.320399259875401,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9899997711181712,,,,,
2011-01-06,28.04000091552734,28.85000038146973,27.86000061035156,28.81999969482422,22.8085880279541,88026300,2.928570338657924,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4899997711181605,,,,,
2011-01-07,28.63999938964844,28.73999977111816,28.25,28.60000038146973,22.63448333740234,73762000,-0.7633564041778886,,,,,28.29799995422363,,,,,28.29799995422363,,,,,,,,,,,,,,,,,,0.3599987030029297,,,,,
2011-01-10,28.26000022888184,28.39999961853027,28.04000091552734,28.21999931335449,22.33373832702637,57573600,-1.328675045618001,1.659553518445811,,,,28.34599990844726,,,,,28.27199974060059,,,,,,,,,,,,,,,,,,0.2000007629394496,,,,,
2011-01-11,28.20000076293945,28.25,28.04999923706055,28.11000061035156,22.2466869354248,50298900,-0.3897898854691865,1.671527265266692,,,,28.35,,,,,28.21800003051758,,,,,,,,,,,,,,,,,,0.5200004577636719,,,,,
2011-01-12,28.1200008392334,28.59000015258789,28.06999969482422,28.54999923706055,22.59491729736328,52631100,1.56527434064502,1.783044232066293,,,,28.45999984741211,,,,,28.32866643269857,,,,,,,,,,,,,,,,,,0.3799991607666016,,,,,
2011-01-13,28.32999992370605,28.38999938964844,28.01000022888184,28.19000053405762,22.30999183654785,67077600,-1.260941200081077,1.182348514122689,,,,28.33400001525879,,,,,28.28244446648493,,,,,,,,,,,,,,,,,,0.4699993133544922,,,,,
2011-01-14,28.07999992370605,28.3799991607666,27.90999984741211,28.29999923706055,22.39705276489258,62688400,0.3902046857715921,1.21449005315346,,,,28.27399978637695,28.28599987030029,,,,28.2882960566768,28.28599987030029,,,,,,,,-1.272086996667182,1.272086996667182,0.0,0.0,-1.272086996667182,1.272086996667182,1.272086996667182,0.0,0.0,0.6000003814697195,,,,,
2011-01-18,28.15999984741211,28.73999977111816,28.13999938964844,28.65999984741211,22.68196487426758,53322700,1.272086996667182,1.168885790635708,1.355081402982528,,,28.36199989318848,28.35399990081787,,,,28.41219732025524,28.35399986613881,,,,,,,,-0.6629467378548402,-0.6629467378548402,0.0,0.0,0.6629467378548402,-0.6629467378548402,-0.6629467378548402,0.0,0.0,0.4099998474121129,,,,,
2011-01-19,28.45999908447266,28.68000030517578,28.27000045776367,28.46999931335449,22.53159141540527,50005900,-0.6629467378548402,1.215535330906187,1.383422822777912,,,28.43399963378906,28.39199981689453,,,,28.43146465128832,28.37509067472347,,,,28.33249982198079,,,,-0.4214925703509601,-0.4214925703509601,0.0,0.0,0.4214925703509601,-0.4214925703509601,-0.4214925703509601,0.0,0.0,0.4200000762939489,,,,,
2011-01-20,28.5,28.54999923706055,28.1299991607666,28.35000038146973,22.43662452697754,58613600,-0.4214925703509601,0.9854275758831125,1.387548594708176,,,28.3939998626709,28.4269998550415,,,,28.40430989468213,28.37052880322279,,,,28.33519221574832,,,,1.164020879244002,-1.164020879244002,0.0,0.0,1.164020879244002,-1.164020879244002,-1.164020879244002,0.0,0.0,0.4099998474121129,,,,,
2011-01-21,28.39999961853027,28.43000030517578,28.02000045776367,28.02000045776367,22.17545890808105,58080300,-1.164020879244002,0.9583638781856134,1.028422047114248,,,28.35999984741211,28.34699993133545,,,,28.27620674904264,28.30679637677567,,,,28.28670117605837,,,,1.284791924060038,1.284791924060038,0.0,0.0,-1.284791924060038,-1.284791924060038,1.284791924060038,0.0,0.0,0.5699996948242188,,,,,
2011-01-24,28.02000045776367,28.55999946594238,27.98999977111816,28.3799991607666,22.46037101745605,52047800,1.284791924060038,1.142581524839885,1.120487446687966,,,28.37599983215332,28.32499980926514,,,,28.3108042196173,28.32010597386493,,,,28.30105471216733,,,,0.2466582249573157,0.2466582249573157,0.0,0.0,-0.2466582249573157,-0.2466582249573157,0.2466582249573157,0.0,0.0,0.3299999237060511,,,,,
2011-01-25,28.13999938964844,28.45000076293945,28.1200008392334,28.45000076293945,22.51577186584473,42436600,0.2466582249573157,0.9461512643911411,1.031296772892831,,,28.33400001525879,28.34799995422363,,,,28.35720306739135,28.34372320824211,,,,28.3239694892092,,,,-1.159929401956073,1.159929401956073,0.0,0.0,-1.159929401956073,1.159929401956073,1.159929401956073,0.0,0.0,0.4899997711181605,,,,,
2011-01-26,28.51000022888184,28.98999977111816,28.5,28.78000068664551,22.77693939208984,74628800,1.159929401956073,1.042230710175607,1.067655631837539,,,28.39600028991699,28.41499996185303,,,,28.49813560714274,28.42304638613364,,,,28.39412813496863,,,,-0.3127176874239927,0.3127176874239927,0.0,0.0,-0.3127176874239927,0.3127176874239927,0.3127176874239927,0.0,0.0,0.9699993133544993,,,,,
2011-01-27,28.75,29.45999908447266,28.48999977111816,28.8700008392334,22.8481616973877,146938600,0.3127176874239927,0.978842114877559,0.9634102522783748,,,28.50000038146973,28.44700012207031,,,,28.62209068450629,28.50431083215178,,,,28.46733932024013,,,,-3.879462440857825,-3.879462440857825,0.0,0.0,3.879462440857825,-3.879462440857825,-3.879462440857825,0.0,0.0,1.479999542236332,,,,,
2011-01-28,28.89999961853027,28.93000030517578,27.45000076293945,27.75,21.9617748260498,141249400,-3.879462440857825,2.124366677395278,1.553989270845818,,,28.44600028991699,28.40300006866455,,,,28.33139378967086,28.36716340812418,,,,28.35697942481857,,,,-0.07207372167087683,-0.07207372167087683,0.0,0.0,0.07207372167087683,0.07207372167087683,-0.07207372167087683,0.0,0.0,0.479999542236321,,,,,
2011-01-31,27.77000045776367,27.89999961853027,27.42000007629395,27.72999954223633,21.94594573974609,65029000,-0.07207372167087683,1.972493434016178,1.543098671222262,,,28.31600036621094,28.34600009918213,,,,28.13092904052602,28.25131543250821,,,,28.26052098134438,,,,-0.9376135347056724,0.9376135347056724,0.0,0.0,-0.9376135347056724,-0.9376135347056724,0.9376135347056724,0.0,0.0,0.4499988555908203,0.5289997100830082,27.89999961853027,,,
2011-02-01,27.79999923706055,28.05999946594238,27.61000061035156,27.98999977111816,22.15172004699707,62810700,0.9376135347056724,2.055642545794062,1.511122295448039,1.417987686619721,,28.22400016784668,28.27900009155274,,,,28.08395261739007,28.20380349407365,,,,28.21890233361727,,,,0.1786325025701934,-0.1786325025701934,0.0,0.0,0.1786325025701934,0.1786325025701934,-0.1786325025701934,0.0,0.0,0.2300014495849574,0.524499797821045,28.05999946594238,26.73620025634765,26.84200019836425,26.94780014038086
2011-02-02,27.93000030517578,28.11000061035156,27.8799991607666,27.94000053405762,22.11214447021484,45824000,-0.1786325025701934,1.897732316164618,1.503296912438985,1.415647951998114,,28.0560001373291,28.22600021362305,,,,28.03596858961259,28.15583931952528,,,,28.17599436445424,,,,1.037941696435734,-1.037941696435734,0.0,0.0,1.037941696435734,1.037941696435734,-1.037941696435734,0.0,0.0,0.4299983978271484,0.533999729156494,28.11000061035156,26.90609991073608,27.01099987030029,27.1158998298645
2011-02-03,27.96999931335449,27.96999931335449,27.54000091552734,27.64999961853027,21.88263320922852,60340100,-1.037941696435734,1.834690331340531,1.52687290716558,1.432725923607461,,27.81199989318848,28.1560001373291,,,,27.90731226591848,28.06386846479892,,,,28.09507209585055,,,,-0.4339994245532546,0.4339994245532546,0.0,0.0,-0.4339994245532546,-0.4339994245532546,0.4339994245532546,0.0,0.0,0.3299999237060511,0.5009997367858879,27.96999931335449,26.93520120620727,27.04200115203857,27.14880109786987
2011-02-04,27.70000076293945,27.84000015258789,27.51000022888184,27.77000045776367,21.97760200500488,40412200,0.4339994245532546,0.738330068292682,1.50274193704485,1.257341802199326,,27.81599998474121,28.1310001373291,,,,27.86154166320021,28.01043791806523,,,,28.04506107460642,,,,-1.548434634813144,1.548434634813144,0.0,0.0,-1.548434634813144,-1.548434634813144,1.548434634813144,0.0,0.0,0.5499992370605504,0.5039997100830075,27.84000015258789,26.86779989242553,26.96799983978271,27.06819978713989
2011-02-07,27.79999923706055,28.34000015258789,27.79000091552734,28.20000076293945,22.31791305541992,68980900,1.548434634813144,0.9992488020882839,1.531371602042746,1.305999591174873,,27.91000022888183,28.11300029754639,,,,27.97436136311329,28.04490388986055,,,,28.06889794973458,,,,-0.2836876650414776,0.2836876650414776,0.0,0.0,-0.2836876650414776,-0.2836876650414776,0.2836876650414776,0.0,0.0,0.2900009155273402,0.5004998207092279,28.34000015258789,26.73120079040527,26.83200073242188,26.93280067443848
2011-02-08,28.10000038146973,28.34000015258789,28.04999923706055,28.28000068664551,22.38122177124023,34904200,0.2836876650414776,0.9427892851344177,1.532220903126022,1.27305682949835,,27.9680004119873,28.09600028991699,,,,28.07624113762403,28.08764876200327,,,,28.10137529387472,28.23653852022611,-0.1351632263513913,,1.09618587611072,-1.09618587611072,0.0,0.0,1.09618587611072,1.09618587611072,-1.09618587611072,0.0,0.0,0.3500003814697301,0.507999801635742,28.34000015258789,27.23890054702759,27.33900051116943,27.43910047531128
2011-02-09,28.19000053405762,28.26000022888184,27.90999984741211,27.96999931335449,22.13588714599609,52905100,-1.09618587611072,1.111524399086402,1.500170756572645,1.294594834064723,,27.97400016784668,28.01500015258789,,,,28.04082719620085,28.06625795315803,,,,28.08116360456392,28.21679487527266,-0.1356312707087426,,1.680369413273757,-1.680369413273757,0.0,0.0,1.680369413273757,1.680369413273757,-1.680369413273757,0.0,0.0,0.6499996185302805,0.5144997596740725,28.26000022888184,27.22240058898926,27.32400054931641,27.42560050964356
2011-02-10,27.93000030517578,27.94000053405762,27.29000091552734,27.5,21.76392364501953,76672400,-1.680369413273757,1.288374980867161,1.545167444366607,1.28923860640173,,27.94400024414062,27.87800006866455,,,,27.86055146413391,27.96330196167475,,,,27.99175381924639,28.16369895858579,-0.1719451393394067,,-0.9090909090909091,-0.9090909090909091,0.0,0.0,0.9090909090909091,0.9090909090909091,-0.9090909090909091,0.0,0.0,0.7399997711181605,0.5324997901916504,27.94000053405762,27.12810075759888,27.2310007095337,27.33390066146851
2011-02-11,27.76000022888184,27.80999946594238,27.06999969482422,27.25,21.56606483459473,83939700,-0.9090909090909091,1.288674654642929,1.0109540906956,1.276033580523085,,27.84000015258789,27.82800006866455,,,,27.65703430942261,27.8336106959157,,,,27.87763784705464,28.09601755424611,-0.2183797071914704,,-0.07339617527951678,-0.07339617527951678,0.0,0.0,0.07339617527951678,0.07339617527951678,-0.07339617527951678,0.0,0.0,0.3199996948242188,0.5249998092651367,27.80999946594238,26.76850099563599,26.87500095367432,26.98150091171265
