Date_STX,Open_STX,High_STX,Low_STX,Close_STX,Adj Close_STX,Volume_STX,Daily Return(%)_STX,Vol5_STX,Vol10_STX,Vol20_STX,Vol60_STX,SMA5_STX,SMA10_STX,SMA30_STX,SMA60_STX,SMA100_STX,EMA5_STX,EMA10_STX,EMA30_STX,EMA60_STX,EMA100_STX,Short12_STX,Long26_STX,MACD_STX,SIGNAL9_STX,Ret5/10_STX,Ret10/30_STX,Ret30/60_STX,Ret30/100_STX,Emaret5/10_STX,Emaret10/30_STX,Emaret30/60_STX,Emaret30/100_STX,RetMACD_STX,DayRange_STX,average20r_STX,PRVHI_STX,HitLevel_STX,hitlevel_2_STX,hitlevel_1.8_STX
2011-01-03,15.19999980926514,15.32999992370605,14.89999961853027,14.97000026702881,8.900768280029297,7036900,,,,,,,,,,,0.3333333333333333,0.1818181818181818,0.06451612903225806,0.03278688524590164,0.0198019801980198,0.1538461538461539,0.07407407407407407,,0.2,,,,,,,,,,0.519999504089359,,,2.2,2.0,1.8
2011-01-04,15.02000045776367,15.10999965667725,14.59000015258789,14.77999973297119,8.787798881530762,7352400,-1.269208621699853,,,,,,,,,,,,,,,,,,,0.1762497164938619,0.1512270238630212,0.5004012818649948,0.1370699170658668,-0.2543618282840817,0.2111608835089185,0.1626541714279549,0.1096527549385515,0.6173326272503062,0.3400001525878906,,,,,
2011-01-05,14.71000003814697,14.96000003814697,14.61999988555908,14.69999980926514,8.740234375,9186400,-0.5412714827564287,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5100002288818306,,,,,
2011-01-06,14.72999954223633,14.77000045776367,14.26000022888184,14.75,8.769959449768066,13305400,0.3401373563511581,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32999992370606,,,,,
2011-01-07,14.75,14.76000022888184,14.43000030517578,14.47000026702881,8.60347843170166,5912400,-1.898303274380946,,,,,14.73400001525879,,,,,14.73400001525879,,,,,,,,,,,,,,,,,,0.2399997711181694,,,,,
2011-01-10,14.40999984741211,14.44999980926514,14.21000003814697,14.31999969482422,8.514293670654297,9445800,-1.036631440473291,0.8391103807604455,,,,14.60399990081787,,,,,14.59599990844727,,,,,,,,,,,,,,,,,,0.3800001144409215,,,,,
2011-01-11,14.35000038146973,14.46000003814697,14.07999992370605,14.11999988555908,8.395377159118652,7595200,-1.396646742509552,0.8556208732300796,,,,14.47199993133545,,,,,14.43733323415121,,,,,,,,,,,,,,,,,,0.3200006484985298,,,,,
2011-01-12,14.22000026702881,14.39000034332275,14.06999969482422,14.19999980926514,8.44294548034668,6110300,0.5665717022269822,1.086223838997156,,,,14.37199993133545,,,,,14.35822209252252,,,,,,,,,,,,,,,,,,0.25,,,,,
2011-01-13,14.1899995803833,14.22999954223633,13.97999954223633,14.07999992370605,8.371597290039062,6194400,-0.845069627964319,0.9237643063085703,,,,14.23799991607666,,,,,14.2654813695837,,,,,,,,,,,,,,,,,,0.3599996566772496,,,,,
2011-01-14,14.10999965667725,14.40999984741211,14.05000019073486,14.26000022888184,8.478617668151855,8280700,1.278411265277987,1.149326046528884,,,,14.19599990844727,14.46499996185303,,,,14.26365432268308,14.46499996185303,,,,,,,,-2.244037094586371,2.244037094586371,0.0,0.0,-2.244037094586371,-2.244037094586371,2.244037094586371,0.0,0.0,0.3499994277954102,,,,,
2011-01-18,14.26000022888184,14.60999965667725,14.26000022888184,14.57999992370605,8.668883323669434,8611100,2.244037094586371,1.497773343374363,1.320740616571204,,,14.24799995422363,14.42599992752075,,,,14.3691028563574,14.4859090458263,,,,,,,,3.086418461041702,-3.086418461041702,0.0,0.0,3.086418461041702,3.086418461041702,-3.086418461041702,0.0,0.0,0.8000001907348597,,,,,
