Date_ADSK,Open_ADSK,High_ADSK,Low_ADSK,Close_ADSK,Adj Close_ADSK,Volume_ADSK,Daily Return(%)_ADSK,Vol5_ADSK,Vol10_ADSK,Vol20_ADSK,Vol60_ADSK,SMA5_ADSK,SMA10_ADSK,SMA30_ADSK,SMA60_ADSK,SMA100_ADSK,EMA5_ADSK,EMA10_ADSK,EMA30_ADSK,EMA60_ADSK,EMA100_ADSK,Short12_ADSK,Long26_ADSK,MACD_ADSK,SIGNAL9_ADSK,Ret5/10_ADSK,Ret10/30_ADSK,Ret30/60_ADSK,Ret30/100_ADSK,Emaret5/10_ADSK,Emaret10/30_ADSK,Emaret30/60_ADSK,Emaret30/100_ADSK,RetMACD_ADSK,DayRange_ADSK,average20r_ADSK,PRVHI_ADSK,HitLevel_ADSK,hitlevel_2_ADSK,hitlevel_1.8_ADSK
2011-01-03,38.63000106811523,39.84999847412109,38.63000106811523,39.27000045776367,39.27000045776367,2969500,,,,,,,,,,,0.3333333333333333,0.1818181818181818,0.06451612903225806,0.03278688524590164,0.0198019801980198,0.1538461538461539,0.07407407407407407,,0.2,,,,,,,,,,1.279998779296882,,,2.2,2.0,1.8
2011-01-04,39.27999877929688,39.31999969482422,38.04000091552734,38.52999877929688,38.52999877929688,2690200,-1.884394371888762,,,,,,,,,,,,,,,,,,,-0.5306384230330173,-0.5032477980316092,-0.3738858023292228,-0.2959839995320936,0.4494905223796703,-0.2554055232272035,-0.277985825500678,-0.4823737870743229,0.1472957796931559,1.970001220703125,,,,,
2011-01-05,39.36000061035156,41.33000183105469,39.36000061035156,41.2400016784668,41.2400016784668,6283800,7.033488152161754,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4799995422363281,,,,,
2011-01-06,41.15999984741211,41.38999938964844,40.90999984741211,41.2599983215332,41.2599983215332,2867800,0.04848846326998908,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.100002288818366,,,,,
2011-01-07,41.40999984741211,41.45000076293945,40.34999847412109,40.7599983215332,40.7599983215332,3329000,-1.211827485070582,,,,,40.21199951171875,,,,,40.21199951171875,,,,,,,,,,,,,,,,,,1.239997863769545,,,,,
2011-01-10,40.43999862670898,41.11999893188477,39.88000106811523,40.86999893188477,40.86999893188477,1991800,0.26987393248605,3.568701849006945,,,,40.53199920654297,,,,,40.43133265177409,,,,,,,,,,,,,,,,,,0.7399978637695455,,,,,
2011-01-11,41.18000030517578,41.36999893188477,40.63000106811523,40.79999923706055,40.79999923706055,2374000,-0.1712740314500364,3.31352555085087,,,,40.98599929809571,,,,,40.55422151353625,,,,,,,,,,,,,,,,,,1.569999694824219,,,,,
2011-01-12,40.0099983215332,40.93000030517578,39.36000061035156,40.52999877929688,40.52999877929688,3675100,-0.6617658402268075,0.5947297430667411,,,,40.84399871826172,,,,,40.5461472687898,,,,,,,,,,,,,,,,,,0.9099998474121094,,,,,
2011-01-13,40.43000030517578,41.2400016784668,40.33000183105469,41.08000183105469,41.08000183105469,2311700,1.357027062233104,0.97662811318124,,,,40.80799942016601,,,,,40.72409878954476,,,,,,,,,,,,,,,,,,0.8199996948242259,,,,,
2011-01-14,40.90000152587891,41.61999893188477,40.79999923706055,41.43999862670898,41.43999862670898,1960000,0.876331011704454,0.8049333663244579,,,,40.94399948120117,40.57799949645996,,,,40.9627320685995,40.57799949645996,,,,,,,,1.423745589141108,1.423745589141108,0.0,0.0,-1.423745589141108,1.423745589141108,1.423745589141108,0.0,0.0,0.9099998474121094,,,,,
2011-01-18,41.45999908447266,42.31999969482422,41.40999984741211,42.02999877929688,42.02999877929688,1978100,1.423745589141108,0.9365804228502744,2.464327740388896,,,41.17599945068359,40.85399932861328,,,,41.31848763883197,40.84199936606667,,,,,,,,-1.284789713332271,-1.284789713332271,0.0,0.0,1.284789713332271,-1.284789713332271,-1.284789713332271,0.0,0.0,0.7900009155273366,,,,,
2011-01-19,41.79999923706055,42.0,41.20999908447266,41.4900016784668,41.4900016784668,1603500,-1.284789713332271,1.238946494010741,2.400717195473057,,,41.31399993896484,41.14999961853027,,,,41.37565898537692,40.95981796832124,,,,40.77499961853027,,,,-0.433840197382286,-0.433840197382286,0.0,0.0,0.433840197382286,-0.433840197382286,-0.433840197382286,0.0,0.0,1.060001373291016,,,,,
2011-01-20,41.43999862670898,41.4900016784668,40.43000030517578,41.31000137329102,41.31000137329102,2247600,-0.433840197382286,1.196233235925892,0.9707910053732667,,,41.47000045776367,41.1569995880127,,,,41.35377311468162,41.02348767831574,,,,40.85730758080116,,,,0.4599337215994886,0.4599337215994886,0.0,0.0,-0.4599337215994886,0.4599337215994886,0.4599337215994886,0.0,0.0,0.8300018310546875,,,,,
2011-01-21,41.40000152587891,42.09000015258789,41.2599983215332,41.5,41.5,2860800,0.4599337215994886,1.075703707451545,0.9807442214592731,,,41.55400009155274,41.18099975585938,,,,41.40251540978775,41.11012628225833,,,,40.95618333760098,,,,-1.084339187805911,-1.084339187805911,0.0,0.0,1.084339187805911,-1.084339187805911,-1.084339187805911,0.0,0.0,1.020000457763686,,,,,
