Date_SMCI,Open_SMCI,High_SMCI,Low_SMCI,Close_SMCI,Adj Close_SMCI,Volume_SMCI,Daily Return(%)_SMCI,Vol5_SMCI,Vol10_SMCI,Vol20_SMCI,Vol60_SMCI,SMA5_SMCI,SMA10_SMCI,SMA30_SMCI,SMA60_SMCI,SMA100_SMCI,EMA5_SMCI,EMA10_SMCI,EMA30_SMCI,EMA60_SMCI,EMA100_SMCI,Short12_SMCI,Long26_SMCI,MACD_SMCI,SIGNAL9_SMCI,Ret5/10_SMCI,Ret10/30_SMCI,Ret30/60_SMCI,Ret30/100_SMCI,Emaret5/10_SMCI,Emaret10/30_SMCI,Emaret30/60_SMCI,Emaret30/100_SMCI,RetMACD_SMCI,DayRange_SMCI,average20r_SMCI,PRVHI_SMCI,HitLevel_SMCI,hitlevel_2_SMCI,hitlevel_1.8_SMCI
2011-01-03,11.65999984741211,11.96000003814697,11.53999996185303,11.89999961853027,11.89999961853027,116700,,,,,,,,,,,0.3333333333333333,0.1818181818181818,0.06451612903225806,0.03278688524590164,0.0198019801980198,0.1538461538461539,0.07407407407407407,,0.2,,,,,,,,,,0.5,,,2.2,2.0,1.8
2011-01-04,11.97000026702881,11.97000026702881,11.47000026702881,11.64999961853027,11.64999961853027,124400,-2.100840403479582,,,,,,,,,,,,,,,,,,,-0.02675199951815312,0.092886069082878,0.1841923930472811,0.09394049974444194,-0.1485764639352979,0.07605891613432184,-0.0242193196888172,0.1116806359043148,0.03074140397905308,0.2399997711181605,,,,,
2011-01-05,11.61999988555908,11.84000015258789,11.60000038146973,11.76000022888184,11.76000022888184,84900,0.9442112785703847,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1799993515014595,,,,,
2011-01-06,11.73999977111816,11.77999973297119,11.60000038146973,11.65999984741211,11.65999984741211,67500,-0.8503433632946308,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4000005722045898,,,,,
2011-01-07,11.73999977111816,11.80000019073486,11.39999961853027,11.78999996185303,11.78999996185303,90100,1.114923809109421,,,,,11.7519998550415,,,,,11.7519998550415,,,,,,,,,,,,,,,,,,0.3400001525878906,,,,,
2011-01-10,11.78999996185303,12.0,11.65999984741211,11.89000034332275,11.89000034332275,97200,0.8481796589760482,1.413349577316733,,,,11.75,,,,,11.79800001780192,,,,,,,,,,,,,,,,,,0.2600002288818395,,,,,
2011-01-11,11.90999984741211,11.94999980926514,11.6899995803833,11.8100004196167,11.8100004196167,119900,-0.672833653457192,0.954806300022982,,,,11.78200016021728,,,,,11.80200015174018,,,,,,,,,,,,,,,,,,0.4000005722045898,,,,,
2011-01-12,11.93000030517578,12.3100004196167,11.90999984741211,12.30000019073486,12.30000019073486,78300,4.149024163489943,2.008790727957309,,,,11.89000015258789,,,,,11.96800016473841,,,,,,,,,,,,,,,,,,0.3000001907348597,,,,,
2011-01-13,12.27999973297119,12.47000026702881,12.17000007629395,12.46000003814697,12.46000003814697,71200,1.300811747406583,1.748990897089539,,,,12.05000019073486,,,,,12.13200012254126,,,,,,,,,,,,,,,,,,0.8399991989135707,,,,,
2011-01-14,12.48999977111816,13.1899995803833,12.35000038146973,13.1899995803833,13.1899995803833,173700,5.858744301776857,2.647045479736127,,,,12.33000011444092,12.04099998474121,,,,12.48466660848861,12.04099998474121,,,,,,,,-2.805154642380421,-2.805154642380421,0.0,0.0,2.805154642380421,-2.805154642380421,-2.805154642380421,0.0,0.0,0.4700002670288104,,,,,
