Date_ON,Open_ON,High_ON,Low_ON,Close_ON,Adj Close_ON,Volume_ON,Daily Return(%)_ON,Vol5_ON,Vol10_ON,Vol20_ON,Vol60_ON,SMA5_ON,SMA10_ON,SMA30_ON,SMA60_ON,SMA100_ON,EMA5_ON,EMA10_ON,EMA30_ON,EMA60_ON,EMA100_ON,Short12_ON,Long26_ON,MACD_ON,SIGNAL9_ON,Ret5/10_ON,Ret10/30_ON,Ret30/60_ON,Ret30/100_ON,Emaret5/10_ON,Emaret10/30_ON,Emaret30/60_ON,Emaret30/100_ON,RetMACD_ON,DayRange_ON,average20r_ON,PRVHI_ON,HitLevel_ON,hitlevel_2_ON,hitlevel_1.8_ON
2011-01-03,10.05000019073486,10.13000011444092,9.819999694824219,9.869999885559082,9.869999885559082,8189400,,,,,,,,,,,0.3333333333333333,0.1818181818181818,0.06451612903225806,0.03278688524590164,0.0198019801980198,0.1538461538461539,0.07407407407407407,,0.2,,,,,,,,,,0.3900003433227504,,,2.2,2.0,1.8
2011-01-04,9.949999809265137,10.30000019073486,9.90999984741211,10.22999954223633,10.22999954223633,14494400,3.647412977217637,,,,,,,,,,,,,,,,,,,-0.2479938918832915,-0.2463207375094384,-0.09591830213903861,-0.1527614901096562,0.1644697489090211,-0.1438825175392648,-0.5524834683382047,-0.2339265552408012,-0.02781388671121609,0.2399997711181605,,,,,
2011-01-05,10.1899995803833,10.30000019073486,10.0600004196167,10.28999996185303,10.28999996185303,7561000,0.5865143919995017,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1799993515014613,,,,,
2011-01-06,10.31999969482422,10.4399995803833,10.26000022888184,10.42000007629395,10.42000007629395,6472400,1.263363604692483,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3299999237060494,,,,,
2011-01-07,10.52999973297119,10.77999973297119,10.44999980926514,10.77999973297119,10.77999973297119,12845600,3.454891113640749,,,,,10.31799983978272,,,,,10.31799983978272,,,,,,,,,,,,,,,,,,0.3400001525878906,,,,,
2011-01-10,10.85000038146973,11.0,10.65999984741211,11.0,11.0,12952800,2.040818854159412,1.339375639783297,,,,10.5439998626709,,,,,10.54533322652181,,,,,,,,,,,,,,,,,,0.2399997711181605,,,,,
2011-01-11,11.0,11.14999961853027,10.90999984741211,11.11999988555908,11.11999988555908,11576600,1.090908050537093,1.117641300316909,,,,10.72199993133545,,,,,10.73688877953424,,,,,,,,,,,,,,,,,,0.4600000381469709,,,,,
2011-01-12,11.10000038146973,11.4399995803833,10.97999954223633,11.36999988555908,11.36999988555908,13057200,2.248201461986173,0.9416915186210194,,,,10.93799991607666,,,,,10.94792581487585,,,,,,,,,,,,,,,,,,0.2999992370605504,,,,,
2011-01-13,11.5,11.60999965667725,11.3100004196167,11.43000030517578,11.43000030517578,17473300,0.5277081813598357,1.128361142600963,,,,11.13999996185303,,,,,11.1086173116425,,,,,,,,,,,,,,,,,,0.6499996185302805,,,,,
2011-01-14,11.36999988555908,11.94999980926514,11.30000019073486,11.64000034332275,11.64000034332275,20635300,1.83727062589734,0.71881041220308,,,,11.31200008392334,10.81499996185303,,,,11.28574498886925,10.81499996185303,,,,,,,,-0.343642273824898,-0.343642273824898,0.0,0.0,0.343642273824898,-0.343642273824898,-0.343642273824898,0.0,0.0,0.2200002670288104,,,,,
