Date_ANSS,Open_ANSS,High_ANSS,Low_ANSS,Close_ANSS,Adj Close_ANSS,Volume_ANSS,Daily Return(%)_ANSS,Vol5_ANSS,Vol10_ANSS,Vol20_ANSS,Vol60_ANSS,SMA5_ANSS,SMA10_ANSS,SMA30_ANSS,SMA60_ANSS,SMA100_ANSS,EMA5_ANSS,EMA10_ANSS,EMA30_ANSS,EMA60_ANSS,EMA100_ANSS,Short12_ANSS,Long26_ANSS,MACD_ANSS,SIGNAL9_ANSS,Ret5/10_ANSS,Ret10/30_ANSS,Ret30/60_ANSS,Ret30/100_ANSS,Emaret5/10_ANSS,Emaret10/30_ANSS,Emaret30/60_ANSS,Emaret30/100_ANSS,RetMACD_ANSS,DayRange_ANSS,average20r_ANSS,PRVHI_ANSS,HitLevel_ANSS,hitlevel_2_ANSS,hitlevel_1.8_ANSS
2011-01-03,52.54999923706055,53.45999908447266,52.47999954223633,52.56999969482422,52.56999969482422,383900,,,,,,,,,,,0.3333333333333333,0.1818181818181818,0.06451612903225806,0.03278688524590164,0.0198019801980198,0.1538461538461539,0.07407407407407407,,0.2,,,,,,,,,,1.05999755859375,,,2.2,2.0,1.8
2011-01-04,52.56999969482422,53.0099983215332,51.95000076293945,52.34000015258789,52.34000015258789,408200,-0.4375110206800567,,,,,,,,,,,,,,,,,,,-0.4016067456710634,-0.3974607043756628,-0.05350778563670083,0.1191431610523347,0.05934183921849739,-0.3307849979813909,-0.3862243868715314,-0.2122580755511611,-0.3247833640574755,1.340000152587891,,,,,
2011-01-05,52.36000061035156,53.38999938964844,52.04999923706055,53.20000076293945,53.20000076293945,340300,1.643103950791717,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7700004577636719,,,,,
2011-01-06,53.34000015258789,53.81999969482422,53.04999923706055,53.27000045776367,53.27000045776367,424600,0.1315783718427734,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.439998626708977,,,,,
2011-01-07,53.25,53.25,51.81000137329102,52.45000076293945,52.45000076293945,464500,-1.539327365830181,,,,,52.76600036621094,,,,,52.76600036621094,,,,,,,,,,,,,,,,,,1.840000152587891,,,,,
2011-01-10,52.13000106811523,53.68999862670898,51.84999847412109,53.61000061035156,53.61000061035156,509700,2.211629800836441,1.5298494639584,,,,52.97400054931641,,,,,53.04733378092449,,,,,,,,,,,,,,,,,,0.4900016784667969,,,,,
2011-01-11,53.90000152587891,54.2400016784668,53.75,53.97000122070312,53.97000122070312,225600,0.6715176389720892,1.456353586539023,,,,53.30000076293945,,,,,53.35488959418404,,,,,,,,,,,,,,,,,,1.219997406005859,,,,,
2011-01-12,54.31999969482422,54.41999816894531,53.20000076293945,53.81999969482422,53.81999969482422,309100,-0.2779350055329588,1.371089717311035,,,,53.4240005493164,,,,,53.50992629439743,,,,,,,,,,,,,,,,,,0.3900032043457102,,,,,
2011-01-13,53.72000122070312,54.08000183105469,53.68999862670898,53.95999908447266,53.95999908447266,180100,0.260125214496997,1.369764888130085,,,,53.5620002746582,,,,,53.65995055775585,,,,,,,,,,,,,,,,,,1.290000915527351,,,,,
2011-01-14,53.7599983215332,54.95999908447266,53.66999816894531,54.95999908447266,54.95999908447266,248200,1.853224642266083,1.056956818623171,,,,54.06399993896484,53.41500015258789,,,,54.09330006666146,53.41500015258789,,,,,,,,1.874094998457033,1.874094998457033,0.0,0.0,-1.874094998457033,1.874094998457033,1.874094998457033,0.0,0.0,2.39000320434571,,,,,
