Date_CDW,Open_CDW,High_CDW,Low_CDW,Close_CDW,Adj Close_CDW,Volume_CDW,Daily Return(%)_CDW,Vol5_CDW,Vol10_CDW,Vol20_CDW,Vol60_CDW,SMA5_CDW,SMA10_CDW,SMA30_CDW,SMA60_CDW,SMA100_CDW,EMA5_CDW,EMA10_CDW,EMA30_CDW,EMA60_CDW,EMA100_CDW,Short12_CDW,Long26_CDW,MACD_CDW,SIGNAL9_CDW,Ret5/10_CDW,Ret10/30_CDW,Ret30/60_CDW,Ret30/100_CDW,Emaret5/10_CDW,Emaret10/30_CDW,Emaret30/60_CDW,Emaret30/100_CDW,RetMACD_CDW,DayRange_CDW,average20r_CDW,PRVHI_CDW,HitLevel_CDW,hitlevel_2_CDW,hitlevel_1.8_CDW,Hit?_CDW,Hit?_CDW.1,Hit?_CDW.2,HitAt_2.2_CDW,HitAt_2.0_CDW,HitAt_1.8_CDW,ExitPr_2.2_CDW,ExitPr_2.0_CDW,ExitPr_1.8_CDW,ret_2.2_CDW,Ret2.0_CDW,Ret_1.8_CDW
27-06-2013,17.63999939,18.75,17.37999916,18.37000084,16.92408752,8285800,,,,,,,,,,,0.333333333,0.181818182,0.064516129,0.032786885,0.01980198,0.153846154,0.074074074,,0.2,,,,,,,,,,-0.240001678,,,2.2,2,1.8,,,,,,,,,,,,
28-06-2013,18.39999962,19.17000008,18.37999916,18.62000084,17.15440369,717400,1.360914472,,,,,,,,,,,,,,,,,,,0.319019237,0.014974347,0.011329818,-0.304584392,-0.135001421,0.344182715,0.108950104,0.211948698,3.603420806,0,,,,,,1169,0,0,,,,,,,-0.006503091,,
01-07-2013,18.64999962,18.89999962,18.34000015,18.34000015,16.8964386,394200,-1.503763018,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.959999084,,,,,,,,,,,,,,,,,
02-07-2013,18.34000015,19.63999939,18.26000023,19.21999931,17.70717049,223800,4.798250564,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.409999847,,,,,,,,,,,,,,,,,
03-07-2013,18.98999977,19.20999908,18.67000008,19.07999992,17.57819366,103700,-0.728404759,,,,,18.72600021,,,,,18.72600021,,,,,,,,,,,,,,,,,,-0.670000076,,,,,,,,,,,,,,,,,
05-07-2013,18.79999924,19.36000061,18.54999924,19.21999931,17.70717049,111800,0.733749425,2.442388671,,,,18.89599991,,,,,18.89066658,,,,,,,,,,,,,,,,,,-0.369998932,,,,,,,,,,,,,,,,,
08-07-2013,19.04999924,19.47999954,18.86000061,19.22999954,17.7163868,110500,0.052030329,2.455055196,,,,19.01799965,,,,,19.00377757,,,,,,,,,,,,,,,,,,-0.440000534,,,,,,,,,,,,,,,,,
09-07-2013,19.12999916,19.92000008,19.05999947,19.5,17.96513748,206400,1.404058576,2.13480261,,,,19.24999962,,,,,19.16918505,,,,,,,,,,,,,,,,,,-0.050001144,,,,,,,,,,,,,,,,,
10-07-2013,19.46999931,19.95000076,19.04999924,19.10000038,17.59661484,334900,-2.051280095,1.33988951,,,,19.22599983,,,,,19.14612349,,,,,,,,,,,,,,,,,,-0.530000687,,,,,,,,,,,,,,,,,
11-07-2013,19.04999924,19.64999962,19.04999924,19.57999992,18.03883362,108800,2.513086558,1.705108935,,,,19.32599983,19.02600002,,,,19.29074897,19.02600002,,,,,,,,-0.357506104,0,0,0.357506104,-0.357506104,-0.357506104,0,0,0,-0.300001144,,,,,,,,,,,,,,,,,
12-07-2013,19.22999954,19.54000092,19.20999908,19.51000023,17.97434235,114600,-0.357506104,1.742002397,2.026506591,,,19.38400002,19.13999996,,,,19.36383272,19.11400006,,,,,,,,0.256274918,0,0,-0.256274918,0.256274918,0.256274918,0,0,0,-0.340000153,,,,,,,,,,,,,,,,,
15-07-2013,19.36000061,19.75,19.21999931,19.55999947,18.02041054,177300,0.256274918,1.736766787,2.011813693,,,19.45,19.23399982,,,,19.42922164,19.19509086,,,,19.11083333,,,,2.760740952,0,0,-2.760740952,2.760740952,2.760740952,0,0,-2.760740952,-1.059999466,,,,,,,,,,,,,,,,,
16-07-2013,19.04000092,20.64999962,19.04000092,20.10000038,18.5179081,239300,2.760740952,2.024228812,1.988982799,,,19.57000008,19.40999985,,,,19.65281455,19.35961987,,,,19.26301287,,,,1.343285834,0,0,-1.343285834,1.343285834,1.343285834,0,0,-1.343285834,-0.650001526,,,,,,,,,,,,,,,,,
17-07-2013,20.01000023,20.46999931,19.71999931,20.37000084,18.76665878,139200,1.343285834,1.36417144,1.4785206,,,19.82400017,19.525,,,,19.89187665,19.5433255,,,,19.43331871,,,,2.258218289,0,0,-2.258218289,2.258218289,2.258218289,0,0,-2.258218289,-0.770000458,,,,,,,,,,,,,,,,,
18-07-2013,20.5,21,20.05999947,20.82999992,19.19045067,162000,2.258218289,1.311400563,1.48366761,,,20.07400017,19.7,,,,20.20458441,19.7772663,,,,19.64819275,,,,0.04800878,0,0,-0.04800878,0.04800878,0.04800878,0,0,-0.04800878,-0.069999695,,,,,,,,,,,,,,,,,
19-07-2013,21,21.38999939,20.77000046,20.84000015,19.19966125,631400,0.04800878,1.194269419,1.50741402,,,20.34000015,19.86200008,,,,20.41638965,19.97049064,,,,19.83154773,,,,-2.399232228,0,0,2.399232228,-2.399232228,-2.399232228,0,0,2.399232228,-0.120000839,,,,,,,,,,,,,,,,,
22-07-2013,20.60000038,20.70000076,20.21999931,20.34000015,18.73901558,492900,-2.399232228,2.065588204,1.8146527,,,20.49600029,19.97300014,,,,20.39092649,20.03767419,,,,19.90977118,,,,-0.589974623,0,0,0.589974623,-0.589974623,-0.589974623,0,0,0.589974623,-0.219999313,,,,,,,,,,,,,,,,,
23-07-2013,20.29000092,20.69000053,20,20.21999931,18.62846184,41500,-0.589974623,1.797460434,1.823279167,,,20.52000008,20.04500008,,,,20.33395076,20.07082421,,,,19.95749859,,,,1.730961391,0,0,-1.730961391,1.730961391,1.730961391,0,0,-1.730961391,-0.520000458,,,,,,,,,,,,,,,,,
24-07-2013,20.22999954,20.69000053,20.04999924,20.56999969,18.9509182,43600,1.730961391,1.869680071,1.647100577,,,20.55999985,20.19200001,,,,20.41263374,20.16158339,,,,20.05172953,,,,6.854642043,0,0,-6.854642043,6.854642043,6.854642043,0,0,-6.854642043,-1.979999542,,,,,,,,,,,,,,,,,
25-07-2013,20.34000015,21.97999954,20,21.97999954,20.24993134,232400,6.854642043,3.52552027,2.508524999,,,20.78999977,20.43199997,,,,20.93508901,20.49220451,,,,20.34838645,,,,-1.774337569,0,0,1.774337569,-1.774337569,-1.774337569,0,0,1.774337569,-0.540000916,-0.512000275,20,,,,,,,,,,,,,,,
26-07-2013,22.12000084,22.13999939,21.04999924,21.59000015,19.89062881,141300,-1.774337569,3.752111972,2.642128679,2.302158181,,20.93999977,20.63999996,,,,21.15339272,20.69180372,,,,20.53940394,,,,0.50949796,0,0,-0.50949796,0.50949796,0.50949796,0,0,-0.50949796,-0.640001297,-0.532000256,21.04999924,20,0.67600174,0.568001556,,,,,,,,,,0,0,0
29-07-2013,21.5,22,21.05999947,21.70000076,19.99197006,85200,0.50949796,3.342064192,2.634892035,2.29980161,,21.21199989,20.85400009,,,,21.3355954,20.87511227,,,,20.7179573,,,,-0.460831235,0,0,0.460831235,-0.460831235,-0.460831235,0,0,0.460831235,-0.800001144,-0.572000313,21.05999947,21.04999924,0.876002598,0.748002338,,,,,,,,,,0,0,0
30-07-2013,21.70999908,21.79999924,20.79999924,21.60000038,19.89984322,94600,-0.460831235,3.323809458,2.602516522,2.25639938,,21.48800011,21.00400009,,,,21.4237304,21.00691011,,,,20.85365624,,,,-0.462964721,0,0,0.462964721,-0.462964721,-0.462964721,0,0,0.462964721,-0.309999466,-0.539500332,20.79999924,21.05999947,1.188002205,1.028001976,1,,,21.05999947,,,21.60000038,,,2.564106976,0,0
31-07-2013,21.79000092,21.79000092,21.19000053,21.5,19.80770874,52500,-0.462964721,3.408311825,2.619545819,2.07027381,,21.67400017,21.11700001,,,,21.4491536,21.09656282,,,,20.95309374,,,,0.744185337,0,0,-0.744185337,0.744185337,0.744185337,0,0,-0.744185337,-0.5,-0.54400034,21.19000053,20.79999924,0.142498493,0.0804986,,,,,,,,,,0,0,0
01-08-2013,21.45000076,21.79999924,21.15999985,21.65999985,19.95512009,181600,0.744185337,0.996379479,2.554156706,2.047274867,,21.61000023,21.2,,,,21.51943568,21.19900591,,,,21.06184852,,,,3.55494212,0,0,-3.55494212,3.55494212,3.55494212,0,0,-3.55494212,-1.260000229,-0.573500347,21.15999985,21.19000053,0.55599966,0.45599966,1,,,21.19000053,,,21.65999985,,,2.218024075,0,0
02-08-2013,21.67000008,22.5,21.17000008,22.43000031,20.66451073,224500,3.55494212,1.647675274,2.731973366,2.147670722,,21.77800026,21.35900002,,,,21.82295722,21.42282307,,,,21.27233341,20.19461544,1.077717976,,1.604996012,0,0,-1.604996012,1.604996012,1.604996012,0,0,-1.604996012,-0.530000687,-0.581500435,21.17000008,21.15999985,2.198500156,1.946500111,,,,,,,,,,0,0,0
05-08-2013,22.43000031,23,22.26000023,22.79000092,20.99617386,104800,1.604996012,1.675813744,2.499275244,2.147404253,,21.99600029,21.60400009,,,,22.14530512,21.67140086,,,,21.50582072,20.38686621,1.118954508,,0.087751424,0,0,-0.087751424,0.087751424,0.087751424,0,0,-0.087751424,-0.219999313,-0.570500374,22.26000023,21.17000008,0.584501076,0.478500938,,,,,,,,,,0,0,0
06-08-2013,22.82999992,23.10000038,22.59000015,22.80999947,21.01460457,419400,0.087751424,1.57128169,2.455010838,2.150483892,,22.23800011,21.86300011,,,,22.3668699,21.87841879,,,,21.70646361,20.56635757,1.14010604,,0.613771593,0,0,-0.613771593,0.613771593,0.613771593,0,0,-0.613771593,-0.310001373,-0.583500385,22.59000015,22.26000023,-0.086501884,-0.130501747,,,,,,,,,,0,0,0
