Date_STX,Open_STX,High_STX,Low_STX,Close_STX,Adj Close_STX,Volume_STX,Daily Return(%)_STX,Vol5_STX,Vol10_STX,Vol20_STX,Vol60_STX,SMA5_STX,SMA10_STX,SMA30_STX,SMA60_STX,SMA100_STX,EMA5_STX,EMA10_STX,EMA30_STX,EMA60_STX,EMA100_STX,Short12_STX,Long26_STX,MACD_STX,SIGNAL9_STX,Ret5/10_STX,Ret10/30_STX,Ret30/60_STX,Ret30/100_STX,Emaret5/10_STX,Emaret10/30_STX,Emaret30/60_STX,Emaret30/100_STX,RetMACD_STX,DayRange_STX,average20r_STX,PRVHI_STX,HitLevel_STX,hitlevel_2_STX,hitlevel_1.8_STX,Hit?_STX,Hit?_STX.1,Hit?_STX.2,HitAt_2.2_STX,HitAt_2.0_STX,HitAt_1.8_STX,ExitPr_2.2_STX,ExitPr_2.0_STX,ExitPr_1.8_STX,ret_2.2_STX,Ret2.0_STX,Ret_1.8_STX
2011-01-03,15.19999980926514,15.32999992370605,14.89999961853027,14.97000026702881,8.900768280029297,7036900,,,,,,,,,,,0.3333333333333333,0.18181818181818182,0.06451612903225806,0.03278688524590164,0.019801980198019802,0.15384615384615385,0.07407407407407407,,0.2,,,,,,,,,,0.519999504089359,,,2.2,2.0,1.8,,,,,,,,,,,,
2011-01-04,15.02000045776367,15.10999965667725,14.59000015258789,14.77999973297119,8.787798881530762,7352400,-1.2692086216998533,,,,,,,,,,,,,,,,,,,0.17624971649386192,0.1512270238630212,0.5004012818649948,0.13706991706586683,-0.2543618282840817,0.21116088350891848,0.16265417142795485,0.10965275493855149,0.6173326272503062,0.3400001525878906,,,,,,205.0,293.0,430.0,,,,,,,0.26857494053828274,0.31191682073833726,0.6335826611361423
2011-01-05,14.71000003814697,14.96000003814697,14.61999988555908,14.69999980926514,8.740234375,9186400,-0.5412714827564287,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5100002288818306,,,,,,,,,,,,,,,,,
2011-01-06,14.72999954223633,14.77000045776367,14.26000022888184,14.75,8.769959449768066,13305400,0.3401373563511581,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32999992370606,,,,,,,,,,,,,,,,,
2011-01-07,14.75,14.76000022888184,14.43000030517578,14.47000026702881,8.60347843170166,5912400,-1.8983032743809465,,,,,14.73400001525879,,,,,14.73400001525879,,,,,,,,,,,,,,,,,,0.2399997711181694,,,,,,,,,,,,,,,,,
2011-01-10,14.40999984741211,14.44999980926514,14.21000003814697,14.31999969482422,8.514293670654297,9445800,-1.0366314404732913,0.8391103807604455,,,,14.603999900817872,,,,,14.595999908447268,,,,,,,,,,,,,,,,,,0.3800001144409215,,,,,,,,,,,,,,,,,
2011-01-11,14.35000038146973,14.46000003814697,14.07999992370605,14.11999988555908,8.395377159118652,7595200,-1.3966467425095521,0.8556208732300796,,,,14.47199993133545,,,,,14.437333234151208,,,,,,,,,,,,,,,,,,0.3200006484985298,,,,,,,,,,,,,,,,,
2011-01-12,14.22000026702881,14.39000034332275,14.06999969482422,14.19999980926514,8.44294548034668,6110300,0.5665717022269822,1.086223838997156,,,,14.371999931335449,,,,,14.358222092522519,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,
2011-01-13,14.1899995803833,14.22999954223633,13.97999954223633,14.07999992370605,8.371597290039062,6194400,-0.845069627964319,0.9237643063085703,,,,14.23799991607666,,,,,14.265481369583696,,,,,,,,,,,,,,,,,,0.35999965667724965,,,,,,,,,,,,,,,,,
2011-01-14,14.10999965667725,14.40999984741211,14.05000019073486,14.26000022888184,8.478617668151855,8280700,1.2784112652779873,1.1493260465288841,,,,14.195999908447266,14.464999961853028,,,,14.263654322683077,14.464999961853028,,,,,,,,-2.244037094586371,2.244037094586371,0.0,0.0,-2.244037094586371,-2.244037094586371,2.244037094586371,0.0,0.0,0.34999942779541016,,,,,,,,,,,,,,,,,
2011-01-18,14.26000022888184,14.60999965667725,14.26000022888184,14.57999992370605,8.668883323669434,8611100,2.244037094586371,1.4977733433743634,1.3207406165712043,,,14.247999954223634,14.425999927520753,,,,14.3691028563574,14.485909045826304,,,,,,,,3.0864184610417023,-3.0864184610417023,0.0,0.0,3.0864184610417023,3.0864184610417023,-3.0864184610417023,0.0,0.0,0.8000001907348597,,,,,,,,,,,,,,,,,
2011-01-19,14.56999969482422,14.80000019073486,14.0,14.13000011444092,8.401326179504395,14396200,-3.0864184610417023,2.075222859543743,1.5760143187581874,,,14.25,14.360999965667725,,,,14.289401942385242,14.421198331028961,,,,14.446666638056437,,,,5.803253278010787,-5.803253278010787,0.0,0.0,5.803253278010787,5.803253278010787,-5.803253278010787,0.0,0.0,0.6500005722045898,,,,,,,,,,,,,,,,,
2011-01-20,13.53999996185303,13.55000019073486,12.89999961853027,13.3100004196167,7.913775444030762,31653200,-5.803253278010787,3.2737360601167884,2.318186346733959,,,14.072000122070312,14.222000026702881,,,,13.962934768129063,14.219162347135821,,,,14.271794912142632,,,,0.22539959203377358,-0.22539959203377358,0.0,0.0,0.22539959203377358,0.22539959203377358,-0.22539959203377358,0.0,0.0,0.30000019073485973,,,,,,,,,,,,,,,,,
2011-01-21,13.39000034332275,13.43000030517578,13.13000011444092,13.27999973297119,7.895936012268066,12392200,-0.22539959203377358,3.304129386347956,2.2895653437960473,,,13.91200008392334,14.075,,,,13.735289756409772,14.048405508196797,,,,14.119211038423948,,,,-1.8072344097764834,1.8072344097764834,0.0,0.0,-1.8072344097764834,-1.8072344097764834,1.8072344097764834,0.0,0.0,0.3999996185302699,,,,,,,,,,,,,,,,,
2011-01-24,13.25,13.64999961853027,13.25,13.52000045776367,8.0386381149292,12549400,1.8072344097764834,3.406901725109852,2.4273837017553603,,,13.764000129699706,13.980000019073486,,,,13.663526656861073,13.9523318626635,,,,14.027024795245444,,,,0.14793237490006975,-0.14793237490006975,0.0,0.0,0.14793237490006975,0.14793237490006975,-0.14793237490006975,0.0,0.0,0.25,,,,,,,,,,,,,,,,,
2011-01-25,13.4399995803833,13.52000045776367,13.27000045776367,13.5,8.02674674987793,9062600,-0.14793237490006975,2.9759373960675646,2.4279124594192503,,,13.548000144958497,13.898000049591065,,,,13.609017771240717,13.870089705815591,,,,13.945944057515375,,,,-1.4074042991355613,1.4074042991355613,0.0,0.0,-1.4074042991355613,-1.4074042991355613,1.4074042991355613,0.0,0.0,0.4799995422363299,,,,,,,,,,,,,,,,,
2011-01-26,13.85000038146973,14.0,13.52000045776367,13.6899995803833,8.139711380004883,21043400,1.4074042991355613,3.0513396725462174,2.481979708776272,,,13.460000038146973,13.855000019073486,,,,13.636011707621579,13.837346046646083,,,,13.90656798411044,,,,-2.2644297232916326,2.2644297232916326,0.0,0.0,-2.2644297232916326,-2.2644297232916326,2.2644297232916326,0.0,0.0,0.48000049591064986,,,,,,,,,,,,,,,,,
2011-01-27,13.68000030517578,14.13000011444092,13.64999961853027,14.0,8.324029922485352,11210800,2.2644297232916326,1.1438427599442353,2.601552427921223,,,13.597999954223633,13.835000038146973,,,,13.757341138414386,13.86691949271043,,,,13.920942140401142,,,,1.4285700661795733,-1.4285700661795733,0.0,0.0,1.4285700661795733,1.4285700661795733,-1.4285700661795733,0.0,0.0,0.7399997711181605,,,,,,,,,,,,,,,,,
2011-01-28,14.0600004196167,14.1899995803833,13.44999980926514,13.80000019073486,8.205114364624023,12904800,-1.4285700661795733,1.5322546462112896,2.6262809055418277,,,13.702000045776368,13.807000064849854,,,,13.771560822521213,13.854752346896689,,,,13.902335686606328,,,,-1.449273960151229,1.449273960151229,0.0,0.0,-1.449273960151229,-1.449273960151229,1.449273960151229,0.0,0.0,0.5100002288818395,,,,,,,,,,,,,,,,,
