Date_FTNT,Open_FTNT,High_FTNT,Low_FTNT,Close_FTNT,Adj Close_FTNT,Volume_FTNT,Daily Return(%)_FTNT,Vol5_FTNT,Vol10_FTNT,Vol20_FTNT,Vol60_FTNT,SMA5_FTNT,SMA10_FTNT,SMA30_FTNT,SMA60_FTNT,SMA100_FTNT,EMA5_FTNT,EMA10_FTNT,EMA30_FTNT,EMA60_FTNT,EMA100_FTNT,Short12_FTNT,Long26_FTNT,MACD_FTNT,SIGNAL9_FTNT,Ret5/10_FTNT,Ret10/30_FTNT,Ret30/60_FTNT,Ret30/100_FTNT,Emaret5/10_FTNT,Emaret10/30_FTNT,Emaret30/60_FTNT,Emaret30/100_FTNT,RetMACD_FTNT,DayRange_FTNT,average20r_FTNT,PRVHI_FTNT,HitLevel_FTNT,hitlevel_2_FTNT,hitlevel_1.8_FTNT,Hit?_FTNT,Hit?_FTNT.1,Hit?_FTNT.2,HitAt_2.2_FTNT,HitAt_2.0_FTNT,HitAt_1.8_FTNT,ExitPr_2.2_FTNT,ExitPr_2.0_FTNT,ExitPr_1.8_FTNT,ret_2.2_FTNT,Ret2.0_FTNT,Ret_1.8_FTNT
2011-01-03,3.265000104904175,3.33899998664856,3.246999979019165,3.309999942779541,3.309999942779541,5036000,,,,,,,,,,,0.3333333333333333,0.18181818181818182,0.06451612903225806,0.03278688524590164,0.019801980198019802,0.15384615384615385,0.07407407407407407,,0.2,,,,,,,,,,0.18400001525878906,,,2.2,2.0,1.8,,,,,,,,,,,,
2011-01-04,3.338000059127808,3.5,3.315999984741211,3.496999979019165,3.496999979019165,11695000,5.649548020311823,,,,,,,,,,,,,,,,,,,-0.10325990022062208,0.1474469251024749,-0.008272171847814716,-0.32204170835966117,0.21146407567397904,-0.33391998426891156,-0.04703193321313216,-0.2713877486526422,-0.4075140788912208,0.20099997520446777,,,,,,202.0,282.0,375.0,,,,,,,0.39881236561408134,0.48209578635662387,0.3920508621342499
2011-01-05,3.5,3.694999933242798,3.49399995803833,3.650000095367432,3.650000095367432,14327000,4.37518207795873,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09200000762939498,,,,,,,,,,,,,,,,,
2011-01-06,3.648000001907349,3.691999912261963,3.599999904632568,3.638000011444092,3.638000011444092,5714000,-0.32876941396716003,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16599988937377885,,,,,,,,,,,,,,,,,
2011-01-07,3.654999971389771,3.665999889373779,3.5,3.523000001907349,3.523000001907349,4276000,-3.1610777673168244,,,,,3.5236000061035155,,,,,3.5236000061035155,,,,,,,,,,,,,,,,,,0.13199996948242232,,,,,,,,,,,,,,,,,
2011-01-10,3.54800009727478,3.609999895095825,3.477999925613403,3.601000070571899,3.601000070571899,5599000,2.214024088059061,3.562068954049177,,,,3.581800031661987,,,,,3.549400027592977,,,,,,,,,,,,,,,,,,0.0850000381469731,,,,,,,,,,,,,,,,,
2011-01-11,3.647000074386597,3.677999973297119,3.592999935150146,3.605999946594238,3.605999946594238,3229000,0.13884687376706448,2.831373601025264,,,,3.603600025177002,,,,,3.568266667260064,,,,,,,,,,,,,,,,,,0.09800004959106401,,,,,,,,,,,,,,,,,
2011-01-12,3.640000104904175,3.680999994277954,3.58299994468689,3.657999992370605,3.657999992370605,3148000,1.442042333513613,2.066552450356756,,,,3.605200004577637,,,,,3.5981777756302447,,,,,,,,,,,,,,,,,,0.14499998092651323,,,,,,,,,,,,,,,,,
2011-01-13,3.687000036239624,3.799999952316284,3.654999971389771,3.678999900817871,3.678999900817871,8138000,0.5740816974047301,2.063421724353076,,,,3.6133999824523926,,,,,3.62511848402612,,,,,,,,,,,,,,,,,,0.16199994087219194,,,,,,,,,,,,,,,,,
2011-01-14,3.698999881744385,3.746999979019165,3.585000038146973,3.736999988555908,3.736999988555908,9042000,1.5765177847692582,0.8285259338094217,,,,3.6561999797821043,3.58989999294281,,,,3.662412318869383,3.58989999294281,,,,,,,,-1.873158508353339,-1.873158508353339,0.0,0.0,1.873158508353339,-1.873158508353339,-1.873158508353339,0.0,0.0,0.14000010490417525,,,,,,,,,,,,,,,,,
2011-01-18,3.740000009536743,3.740000009536743,3.599999904632568,3.66700005531311,3.66700005531311,10441000,-1.873158508353339,1.3903045756242791,2.650642125185666,,,3.6693999767303467,3.625600004196167,,,,3.6639415643506257,3.6039181861010463,,,,,,,,-2.945187849065881,-2.945187849065881,0.0,0.0,2.945187849065881,-2.945187849065881,-2.945187849065881,0.0,0.0,0.08599996566772461,,,,,,,,,,,,,,,,,
