Date_APH,Open_APH,High_APH,Low_APH,Close_APH,Adj Close_APH,Volume_APH,Daily Return(%)_APH,Vol5_APH,Vol10_APH,Vol20_APH,Vol60_APH,SMA5_APH,SMA10_APH,SMA30_APH,SMA60_APH,SMA100_APH,EMA5_APH,EMA10_APH,EMA30_APH,EMA60_APH,EMA100_APH,Short12_APH,Long26_APH,MACD_APH,SIGNAL9_APH,Ret5/10_APH,Ret10/30_APH,Ret30/60_APH,Ret30/100_APH,Emaret5/10_APH,Emaret10/30_APH,Emaret30/60_APH,Emaret30/100_APH,RetMACD_APH,DayRange_APH,average20r_APH,PRVHI_APH,HitLevel_APH,hitlevel_2_APH,hitlevel_1.8_APH,Hit?_APH,Hit?_APH.1,Hit?_APH.2,HitAt_2.2_APH,HitAt_2.0_APH,HitAt_1.8_APH,ExitPr_2.2_APH,ExitPr_2.0_APH,ExitPr_1.8_APH,ret_2.2_APH,Ret2.0_APH,Ret_1.8_APH
2011-01-03,13.3100004196167,13.47000026702881,13.30249977111816,13.35249996185303,12.12670612335205,2449600,,,,,,,,,,,0.3333333333333333,0.18181818181818182,0.06451612903225806,0.03278688524590164,0.019801980198019802,0.15384615384615385,0.07407407407407407,,0.2,,,,,,,,,,0.3374996185302699,,,2.2,2.0,1.8,,,,,,,,,,,,
2011-01-04,13.35499954223633,13.39999961853027,13.0625,13.08749961853027,11.88603496551514,3532400,-1.9846496467316455,,,,,,,,,,,,,,,,,,,-0.5609304060002989,0.37536947870175585,-0.10375969210440929,0.23152868794760784,-0.07364176845581513,-0.2564943787146659,0.24610225695482232,0.05273728540014933,-0.05878775341418441,0.17750072479248047,,,,,,223.0,313.0,430.0,,,,,,,0.4057770737395424,0.5313987060285065,0.4654380543871112
2011-01-05,13.05749988555908,13.10000038146973,12.92249965667725,12.98250007629395,11.79067516326904,4894800,-0.8022887892783812,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22500038146973012,,,,,,,,,,,,,,,,,
2011-01-06,12.90999984741211,13.09000015258789,12.86499977111816,12.92000007629395,11.73391246795654,3582400,-0.48141728968001335,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11999988555908025,,,,,,,,,,,,,,,,,
2011-01-07,12.93249988555908,13.03499984741211,12.91499996185303,12.96000003814697,11.77023887634277,3086400,0.30959722613634894,,,,,13.060499954223635,,,,,13.060499954223635,,,,,,,,,,,,,,,,,,0.19000053405761008,,,,,,,,,,,,,,,,,
2011-01-10,12.91499996185303,13.01500034332275,12.82499980926514,12.97749996185303,11.7861328125,4077200,0.13503027511225524,0.9129155942642564,,,,12.985499954223636,,,,,13.0328332901001,,,,,,,,,,,,,,,,,,0.13999938964843928,,,,,,,,,,,,,,,,,
2011-01-11,13.01249980926514,13.10999965667725,12.97000026702881,13.09749984741211,11.89511585235596,2829200,0.9246764470184266,0.6787994288553539,,,,12.9875,,,,,13.054388809204104,,,,,,,,,,,,,,,,,,0.09749984741210938,,,,,,,,,,,,,,,,,
2011-01-12,13.19999980926514,13.22999954223633,13.13249969482422,13.20499992370605,11.9927453994751,2825600,0.8207679140777434,0.568030068557901,,,,13.031999969482422,,,,,13.104592514038087,,,,,,,,,,,,,,,,,,0.14249992370605113,,,,,,,,,,,,,,,,,
2011-01-13,13.19750022888184,13.23999977111816,13.09749984741211,13.14999961853027,11.94279766082764,4182000,-0.4165112116134217,0.5447816606479887,,,,13.077999877929685,,,,,13.119728215535481,,,,,,,,,,,,,,,,,,0.21250057220458984,,,,,,,,,,,,,,,,,
2011-01-14,13.13749980926514,13.19250011444092,12.97999954223633,13.0649995803833,11.86559963226318,8748000,-0.646388141541781,0.7079076609771661,,,,13.09899978637695,13.079749870300294,,,,13.101485337151423,13.079749870300294,,,,,,,,1.2055129895701677,1.2055129895701677,0.0,0.0,-1.2055129895701677,1.2055129895701677,1.2055129895701677,0.0,0.0,0.33999919891357955,,,,,,,,,,,,,,,,,
