Date_ANET,Open_ANET,High_ANET,Low_ANET,Close_ANET,Adj Close_ANET,Volume_ANET,Daily Return(%)_ANET,Vol5_ANET,Vol10_ANET,Vol20_ANET,Vol60_ANET,SMA5_ANET,SMA10_ANET,SMA30_ANET,SMA60_ANET,SMA100_ANET,EMA5_ANET,EMA10_ANET,EMA30_ANET,EMA60_ANET,EMA100_ANET,Short12_ANET,Long26_ANET,MACD_ANET,SIGNAL9_ANET,Ret5/10_ANET,Ret10/30_ANET,Ret30/60_ANET,Ret30/100_ANET,Emaret5/10_ANET,Emaret10/30_ANET,Emaret30/60_ANET,Emaret30/100_ANET,RetMACD_ANET,DayRange_ANET,average20r_ANET,PRVHI_ANET,HitLevel_ANET,hitlevel_2_ANET,hitlevel_1.8_ANET,Hit?_ANET,Hit?_ANET.1,Hit?_ANET.2,HitAt_2.2_ANET,HitAt_2.0_ANET,HitAt_1.8_ANET,ExitPr_2.2_ANET,ExitPr_2.0_ANET,ExitPr_1.8_ANET,ret_2.2_ANET,Ret2.0_ANET,Ret_1.8_ANET
06-06-2014,13.8125,15.0,13.75,13.75,13.75,29020400,,,,,,,,,,,0.333333333,0.181818182,0.064516129,0.032786885,0.01980198,0.153846154,0.074074074,,0.2,,,,,,,,,,0.5,,,2.2,2.0,1.8,,,,,,,,,,,,
09-06-2014,14.0625,14.25,13.75,13.80000019,13.80000019,2867600,0.363637751,,,,,,,,,,,,,,,,,,,0.276315498,-0.246390211,-0.391784304,0.327949516,-0.008774486,0.19185382,-0.281744171,-0.111480728,-0.170052119,1.1875,,,,,,162.0,228.0,310.0,,,,,,,1.96216462,1.492948117,1.390529929
10-06-2014,13.8125,15.0,13.8125,15.0,15.0,3947200,8.695650672,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.210000038,,,,,,,,,,,,,,,,,
11-06-2014,15.0,15.875,14.66499996,15.875,15.875,2642000,5.833333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.190000534,,,,,,,,,,,,,,,,,
12-06-2014,15.91250038,16.95750046,15.76749992,16.5,16.5,2917200,3.937007874,,,,,14.98500004,,,,,14.98500004,,,,,,,,,,,,,,,,,,1.25,,,,,,,,,,,,,,,,,
13-06-2014,17.11750031,18.0,16.75,17.39500046,17.39500046,4262800,5.424245199,3.043301206,,,,15.71400013,,,,,15.78833351,,,,,,,,,,,,,,,,,,0.966249466,,,,,,,,,,,,,,,,,
16-06-2014,17.80500031,17.875,16.90875053,17.875,17.875,1668000,2.75941092,2.243779529,,,,16.52900009,,,,,16.48388901,,,,,,,,,,,,,,,,,,0.907499313,,,,,,,,,,,,,,,,,
17-06-2014,17.97249985,18.15749931,17.25,17.42749977,17.42749977,1114400,-2.503497784,3.357398819,,,,17.01450005,,,,,16.79842593,,,,,,,,,,,,,,,,,,0.780000687,,,,,,,,,,,,,,,,,
18-06-2014,17.51749992,17.75,16.96999931,17.23999977,17.23999977,835200,-1.075885827,3.367905616,,,,17.2875,,,,,16.94561721,,,,,,,,,,,,,,,,,,1.074998856,,,,,,,,,,,,,,,,,
19-06-2014,17.00749969,17.20249939,16.12750053,16.41749954,16.41749954,2606400,-4.770883061,4.099316694,,,,17.27099991,16.12799997,,,,16.76957799,16.12799997,,,,,,,,-0.791832888,-0.791832888,0.0,0.0,0.791832888,-0.791832888,-0.791832888,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
20-06-2014,16.26250076,17.125,16.125,16.28750038,16.28750038,1176000,-0.791832888,2.751361561,4.231976066,,,17.04949989,16.38175001,,,,16.60888545,16.15700005,,,,,,,,0.859551106,0.859551106,0.0,0.0,-0.859551106,0.859551106,0.859551106,0.0,0.0,0.617500305,,,,,,,,,,,,,,,,,
23-06-2014,16.25499916,16.87249947,16.25499916,16.42749977,16.42749977,466000,0.859551106,2.11140133,4.216318609,,,16.75999985,16.64449997,,,,16.54842356,16.20618182,,,,16.16624999,,,,-2.176229379,-2.176229379,0.0,0.0,2.176229379,-2.176229379,-2.176229379,0.0,0.0,0.720000267,,,,,,,,,,,,,,,,,
24-06-2014,16.58749962,16.6875,15.96749973,16.06999969,16.06999969,771200,-2.176229379,2.083468328,3.609169191,,,16.48849983,16.75149994,,,,16.38894894,16.18142143,,,,16.15144225,,,,-0.326694288,0.326694288,0.0,0.0,-0.326694288,0.326694288,0.326694288,0.0,0.0,0.839500427,,,,,,,,,,,,,,,,,
25-06-2014,15.95250034,16.33950043,15.5,16.12249947,16.12249947,744800,0.326694288,2.257336971,3.136456917,,,16.26499977,16.77624989,,,,16.30013245,16.17070835,,,,16.14698952,,,,1.054421636,-1.054421636,0.0,0.0,1.054421636,-1.054421636,-1.054421636,0.0,0.0,0.57749939,,,,,,,,,,,,,,,,,
26-06-2014,16.20249939,16.20249939,15.625,15.95250034,15.95250034,388400,-1.054421636,1.194935783,2.86049271,,,16.17199993,16.72149992,,,,16.18425508,16.13103416,,,,16.11706811,,,,1.974615435,-1.974615435,0.0,0.0,1.974615435,-1.974615435,-1.974615435,0.0,0.0,0.414999962,,,,,,,,,,,,,,,,,
27-06-2014,15.97749996,15.97749996,15.5625,15.63749981,15.63749981,978800,-1.974615435,1.356644447,2.060220884,,,16.04199982,16.54574986,,,,16.00200332,16.04130064,,,,16.04328837,,,,0.255795123,-0.255795123,0.0,0.0,0.255795123,0.255795123,-0.255795123,0.0,0.0,0.782499313,,,,,,,,,,,,,,,,,
30-06-2014,15.51749992,16.29999924,15.51749992,15.59749985,15.59749985,928000,-0.255795123,1.077810307,1.61485696,,,15.87599983,16.31799984,,,,15.86716883,15.96060959,,,,15.97470552,,,,-21.81439452,21.81439452,0.0,0.0,-21.81439452,-21.81439452,21.81439452,0.0,0.0,2.682500839,,,,,,,,,,,,,,,,,
01-07-2014,16.74250031,19.20750046,16.52499962,19.0,19.0,6632800,21.81439452,10.12347763,7.447508219,,,16.46199989,16.47524986,,,,16.91144589,16.51322603,,,,16.44013544,,,,0.855265166,-0.855265166,0.0,0.0,0.855265166,-0.855265166,-0.855265166,0.0,0.0,1.832500458,,,,,,,,,,,,,,,,,
02-07-2014,19.68499947,20.13249969,18.29999924,18.83749962,18.83749962,4506000,-0.855265166,10.23718068,7.440702571,,,17.00499992,16.63499985,,,,17.5534638,16.93582123,,,,16.8089607,,,,1.406775328,1.406775328,0.0,0.0,-1.406775328,1.406775328,1.406775328,0.0,0.0,0.881750107,,,,,,,,,,,,,,,,,
03-07-2014,19.11000061,19.40674973,18.52499962,19.10250092,19.10250092,975600,1.406775328,10.01817369,7.148712024,,,17.63500004,16.90349998,,,,18.0698095,17.32976299,,,,17.16181304,,,,-5.549018833,-5.549018833,0.0,0.0,5.549018833,-5.549018833,-5.549018833,0.0,0.0,1.315000534,1.036500025,19.40674973,,,,,,,,,,,,,,,
07-07-2014,18.79000092,19.32250023,18.00749969,18.04249954,18.04249954,1266400,-5.549018833,10.6604573,7.485522593,5.92454308,,18.11599998,17.0789999,,,,18.06070618,17.45935145,,,,17.29730327,,,,-3.796588518,-3.796588518,0.0,0.0,3.796588518,-3.796588518,-3.796588518,0.0,0.0,2.227500916,1.122875071,19.32250023,17.12644967,17.33374968,17.54104968,,,,,,,,,,,,
08-07-2014,17.98250008,18.01250076,15.78499985,17.35750008,17.35750008,4714800,-3.796588518,11.06659805,7.655675125,6.039227398,,18.46800003,17.17199993,,,,17.82630415,17.44083302,,,,17.30656432,,,,3.557541711,3.557541711,0.0,0.0,-3.557541711,3.557541711,3.557541711,0.0,0.0,1.722499847,1.149625063,18.01250076,16.85217507,17.07675009,17.3013251,1.0,1.0,1.0,16.85217507,17.07675009,17.3013251,17.35750008,17.35750008,17.35750008,2.998574371,1.644048119,0.324685965
09-07-2014,17.32500076,18.22500038,16.50250053,17.97500038,17.97500038,1488000,3.557541711,3.711064203,7.623600394,5.813704004,,18.26300011,17.3625,,,,17.87586956,17.53795436,,,,17.40940063,,,,-5.785818601,-5.785818601,0.0,0.0,5.785818601,-5.785818601,-5.785818601,0.0,0.0,0.75399971,1.126825047,18.22500038,15.48332562,15.71325064,15.94317565,,,,,,,,,,,,
10-07-2014,16.87999916,17.53499985,16.78100014,16.93499947,16.93499947,1187200,-5.785818601,4.261528199,7.953729752,5.891185933,,17.88250008,17.44375,,,,17.56224619,17.4283262,,,,17.33641584,,,,2.790078904,2.790078904,0.0,0.0,-2.790078904,2.790078904,2.790078904,0.0,0.0,0.537500381,1.094200039,17.53499985,15.74598528,15.97135029,16.1967153,,,,,,,,,,,,
