Date_TYL,Open_TYL,High_TYL,Low_TYL,Close_TYL,Adj Close_TYL,Volume_TYL,Daily Return(%)_TYL,Vol5_TYL,Vol10_TYL,Vol20_TYL,Vol60_TYL,SMA5_TYL,SMA10_TYL,SMA30_TYL,SMA60_TYL,SMA100_TYL,EMA5_TYL,EMA10_TYL,EMA30_TYL,EMA60_TYL,EMA100_TYL,Short12_TYL,Long26_TYL,MACD_TYL,SIGNAL9_TYL,Ret5/10_TYL,Ret10/30_TYL,Ret30/60_TYL,Ret30/100_TYL,Emaret5/10_TYL,Emaret10/30_TYL,Emaret30/60_TYL,Emaret30/100_TYL,RetMACD_TYL,DayRange_TYL,average20r_TYL,PRVHI_TYL,HitLevel_TYL,hitlevel_2_TYL,hitlevel_1.8_TYL,Hit?_TYL,Hit?_TYL.1,Hit?_TYL.2,HitAt_2.2_TYL,HitAt_2.0_TYL,HitAt_1.8_TYL,ExitPr_2.2_TYL,ExitPr_2.0_TYL,ExitPr_1.8_TYL,ret_2.2_TYL,Ret2.0_TYL,Ret_1.8_TYL
2011-01-18,21.13999938964844,21.17000007629395,20.75,20.93000030517578,20.93000030517578,135900,-1.3666306199934741,1.254591824492699,1.014969771809426,,,20.871999740600586,20.6420000076294,,,,20.879470340639806,20.67718179876154,,,,,,,,-1.5766837978709702,-1.5766837978709702,0.0,0.0,1.5766837978709702,-1.5766837978709702,-1.5766837978709702,0.0,0.0,0.43000030517578836,,,,,,,,,,,,,,,,,
2011-01-19,20.92000007629395,21.01000022888184,20.57999992370605,20.60000038146973,20.60000038146973,90400,-1.5766837978709702,1.5232169833343951,1.0666862647910393,,,20.86999969482422,20.6560001373291,,,,20.786313687583114,20.663148813799395,,,,20.644999980926514,,,,-1.5533965480508793,-1.5533965480508793,0.0,0.0,1.5533965480508793,-1.5533965480508793,-1.5533965480508793,0.0,0.0,0.30999946594237926,,,,,,,,,,,,,,,,,
2011-01-20,20.5,20.56999969482422,20.26000022888184,20.28000068664551,20.28000068664551,249800,-1.5533965480508793,1.5505132518930038,1.1853485673471116,,,20.76599998474121,20.64000015258789,,,,20.617542687270582,20.593485517953233,,,,20.588846243344822,,,,0.24654455309493423,0.24654455309493423,0.0,0.0,-0.24654455309493423,0.24654455309493423,0.24654455309493423,0.0,0.0,0.40000152587889914,,,,,,,,,,,,,,,,,
2011-01-21,20.32999992370605,20.54000091552734,20.13999938964844,20.32999992370605,20.32999992370605,169100,0.24654455309493423,1.5739533352510986,1.1815441970402394,,,20.672000122070312,20.638000106811525,,,,20.521695099415737,20.545579046271925,,,,20.549023732631163,,,,0.04918951755714764,0.04918951755714764,0.0,0.0,-0.04918951755714764,-0.04918951755714764,0.04918951755714764,0.0,0.0,0.3100013732910085,,,,,,,,,,,,,,,,,
2011-01-24,20.32999992370605,20.52000045776367,20.20999908447266,20.34000015258789,20.34000015258789,138700,0.04918951755714764,0.9083246027522498,1.1815444366780163,,,20.496000289916992,20.636000061035155,,,,20.46113011713979,20.508201065602098,,,,20.51686625877835,,,,-0.3933132896062428,0.3933132896062428,0.0,0.0,-0.3933132896062428,-0.3933132896062428,0.3933132896062428,0.0,0.0,0.25999832153321023,,,,,,,,,,,,,,,,,
2011-01-25,20.22999954223633,20.45999908447266,20.20000076293945,20.42000007629395,20.42000007629395,100600,0.3933132896062428,0.990598732538169,1.179601392513345,,,20.394000244140624,20.632999992370607,,,,20.447420103524507,20.49216452209152,,,,20.501963769165368,,,,-2.3016616630678923,2.3016616630678923,0.0,0.0,-2.3016616630678923,-2.3016616630678923,2.3016616630678923,0.0,0.0,0.6800003051757777,,,,,,,,,,,,,,,,,
2011-01-26,20.45000076293945,21.02000045776367,20.34000015258789,20.88999938964844,20.88999938964844,240000,2.3016616630678923,1.3707126782713792,1.3745057544850228,,,20.452000045776366,20.660999870300294,,,,20.594946532232488,20.564498134374595,,,,20.561661556931995,,,,-0.9095286721346697,0.9095286721346697,0.0,0.0,-0.9095286721346697,0.9095286721346697,0.9095286721346697,0.0,0.0,0.3099994659423899,,,,,,,,,,,,,,,,,
2011-01-27,20.92000007629395,21.17000007629395,20.86000061035156,21.07999992370605,21.07999992370605,243100,0.9095286721346697,0.9083525154822701,1.3737341864646293,,,20.611999893188475,20.688999938964844,,,,20.756630996057012,20.658225732434857,,,,20.64140592105108,,,,1.8500919879503732,-1.8500919879503732,0.0,0.0,1.8500919879503732,-1.8500919879503732,-1.8500919879503732,0.0,0.0,0.5799999237060582,,,,,,,,,,,,,,,,,
2011-01-28,21.10000038146973,21.26000022888184,20.68000030517578,20.69000053405762,20.69000053405762,182800,-1.8500919879503732,1.504513933811035,1.5125884171045227,,,20.68400001525879,20.678000068664552,,,,20.73442084205722,20.664002969093538,,,,20.64888201535978,,,,0.2899925780263499,0.2899925780263499,0.0,0.0,-0.2899925780263499,0.2899925780263499,0.2899925780263499,0.0,0.0,0.3699989318847585,,,,,,,,,,,,,,,,,
2011-01-31,20.75,20.89999961853027,20.53000068664551,20.75,20.75,96500,0.2899925780263499,1.4958778777755553,1.3396224740920564,,,20.76599998474121,20.631000137329103,,,,20.739613894704814,20.67963879289471,,,,20.664438628381355,,,,2.3132508059582246,2.3132508059582246,0.0,0.0,-2.3132508059582246,2.3132508059582246,2.3132508059582246,0.0,0.0,0.5900001525878906,0.4005002021789542,20.89999961853027,,,,,,,,,,,,,,,
2011-02-01,20.86000061035156,21.45000076293945,20.86000061035156,21.22999954223633,21.22999954223633,198000,2.3132508059582246,1.7204471144677305,1.48577622873017,1.2386369716060746,,20.927999877929686,20.661000061035157,,,,20.90307577721532,20.779704383684095,,,,20.75144799974366,,,,0.6123460712120825,0.6123460712120825,0.0,0.0,-0.6123460712120825,0.6123460712120825,0.6123460712120825,0.0,0.0,0.4200000762939524,0.39600019454956037,21.45000076293945,20.01889917373657,20.098999214172363,20.179099254608154,,,,,,,,,,0.0,0.0,0.0
2011-02-02,21.14999961853027,21.47999954223633,21.05999946594238,21.36000061035156,21.36000061035156,160300,0.6123460712120825,1.5020924305652361,1.3585415416559379,1.1985697959637243,,21.022000122070313,20.73700008392334,,,,21.0553840549274,20.885212788532723,,,,20.84507147829872,,,,-0.1872701984285282,-0.1872701984285282,0.0,0.0,0.1872701984285282,-0.1872701984285282,-0.1872701984285282,0.0,0.0,0.4499988555908203,0.40250015258789046,21.47999954223633,20.578800334930417,20.65800037384033,20.73720041275024,,,,,,,,,,0.0,0.0,0.0
2011-02-03,21.38999938964844,21.45999908447266,21.01000022888184,21.31999969482422,21.31999969482422,46400,-0.1872701984285282,1.499204729949023,1.203319969224652,1.1999942301793258,,21.070000076293944,20.84099998474121,,,,21.143589268226343,20.96426495331299,,,,20.918137357764184,,,,-0.32832877967260166,-0.32832877967260166,0.0,0.0,0.32832877967260166,-0.32832877967260166,-0.32832877967260166,0.0,0.0,0.28999900817871094,0.40400009155273453,21.45999908447266,20.594499206542974,20.67499923706055,20.755499267578127,,,,,,,,,,0.0,0.0,0.0
2011-02-04,21.32999992370605,21.32999992370605,21.04000091552734,21.25,21.25,53200,-0.32832877967260166,1.0600793480920507,1.2306129000042916,1.197019351797923,,21.181999969482423,20.932999992370604,,,,21.179059512150896,21.016216779983356,,,,20.969193148877388,,,,0.7058805577895053,0.7058805577895053,0.0,0.0,-0.7058805577895053,0.7058805577895053,0.7058805577895053,0.0,0.0,0.34999847412110086,0.39899997711181656,21.32999992370605,20.571198883056645,20.65199890136719,20.732798919677737,,,,,,,,,,0.0,0.0,0.0
2011-02-07,21.22999954223633,21.54999923706055,21.20000076293945,21.39999961853027,21.39999961853027,115400,0.7058805577895053,1.0518429739340875,1.2243321432634462,1.2009886246939316,,21.311999893188478,21.038999938964842,,,,21.252706214277353,21.085995477900976,,,,21.035471067285524,,,,0.1869201693476389,0.1869201693476389,0.0,0.0,-0.1869201693476389,0.1869201693476389,0.1869201693476389,0.0,0.0,0.2600002288818395,0.39599990844726596,21.54999923706055,20.452199974060054,20.531999969482417,20.61179996490478,,,,,,,,,,0.0,0.0,0.0
2011-02-08,21.35000038146973,21.44000053405762,21.18000030517578,21.44000053405762,21.44000053405762,31400,0.1869201693476389,0.46238597501769396,1.2283636873490205,1.2002659553379056,,21.354000091552734,21.14099998474121,,,,21.315137654204108,21.150360033565818,,,,21.097706369865847,20.789230786837063,0.308475583028784,,-1.8656698160752272,-1.8656698160752272,0.0,0.0,1.8656698160752272,-1.8656698160752272,-1.8656698160752272,0.0,0.0,0.4799995422363281,0.40199985504150443,21.44000053405762,20.678799438476567,20.75799942016602,20.83719940185547,,,,,,,,,,0.0,0.0,0.0
2011-02-09,21.34000015258789,21.45999908447266,20.97999954223633,21.04000091552734,21.04000091552734,64000,-1.8656698160752272,0.9635472032612121,1.2541136044443388,1.2810282400399093,,21.29000015258789,21.1560001373291,,,,21.22342540797852,21.130294739377003,,,,21.088828607659924,20.80780635192523,0.28102225573469397,,-0.23764801441752445,-0.23764801441752445,0.0,0.0,0.23764801441752445,-0.23764801441752445,-0.23764801441752445,0.0,0.0,0.21000099182128906,0.39549989700317434,21.45999908447266,20.55560085296631,20.636000823974612,20.716400794982913,,,,,,,,,,0.0,0.0,0.0
2011-02-10,20.8799991607666,21.01000022888184,20.79999923706055,20.98999977111816,20.98999977111816,90200,-0.23764801441752445,0.9623665375213936,1.2217157948565602,1.2685805885405053,,21.22400016784668,21.147000122070313,,,,21.145616862358402,21.10478656332994,,,,21.073624171268882,20.821302160754335,0.25232201051454695,,1.0004811534597844,1.0004811534597844,0.0,0.0,-1.0004811534597844,1.0004811534597844,1.0004811534597844,0.0,0.0,0.4200000762939382,0.4074998855590824,21.01000022888184,20.589899311065675,20.66899929046631,20.748099269866945,,,,,,,,,,0.0,0.0,0.0
2011-02-11,20.88999938964844,21.20000076293945,20.78000068664551,21.20000076293945,21.20000076293945,51900,1.0004811534597844,1.1250051634685314,1.075197384922999,1.285982869178209,,21.21400032043457,21.198000144958495,,,,21.163744829218754,21.122098235986215,,,,21.093066723833584,20.84935390906434,0.24371281476924267,,0.14150367083629614,0.14150367083629614,0.0,0.0,-0.14150367083629614,0.14150367083629614,0.14150367083629614,0.0,0.0,0.3100013732910192,0.3924999237060554,21.20000076293945,20.113500480651858,20.195000457763676,20.27650043487549,,,,,,,,,,0.0,0.0,0.0
2011-02-14,21.13999938964844,21.3700008392334,21.05999946594238,21.22999954223633,21.22999954223633,60400,0.14150367083629614,1.0574949609800475,1.0755935607964249,1.2047062615920163,,21.18000030517578,21.24600009918213,20.832666714986164,,,21.18582973355795,21.141716655304418,20.832666714986164,,,21.114133311280163,20.877549881891895,0.23658342938826848,,0.5652328519651595,-0.5652328519651595,-0.5652328519651595,0.0,0.5652328519651595,-0.5652328519651595,-0.5652328519651595,-0.5652328519651595,0.0,0.18000030517578125,0.380499935150147,21.3700008392334,20.336500930786126,20.41500091552734,20.49350090026855,,,,,,,,,,0.0,0.0,0.0
2011-02-15,21.13999938964844,21.23999977111816,21.05999946594238,21.11000061035156,21.11000061035156,95900,-0.5652328519651595,1.0501897187816502,0.8096556020637645,1.1693431823723597,,21.114000320434567,21.234000205993652,20.8456667582194,,,21.16055335915582,21.135950101676624,20.850559224364577,,,21.1134975111373,20.894768454370386,0.21872905676691445,,-0.6631898891551455,0.6631898891551455,0.6631898891551455,0.0,-0.6631898891551455,0.6631898891551455,0.6631898891551455,0.6631898891551455,0.0,0.13000106811524148,0.3654999732971197,21.23999977111816,20.532900981903076,20.609000968933103,20.685100955963133,,,,,,,,,,0.0,0.0,0.0
2011-02-16,21.19000053405762,21.28000068664551,21.14999961853027,21.25,21.25,33600,0.6631898891551455,0.6395023105683336,0.8144483588987591,1.111235129521872,,21.1560001373291,21.223000144958498,20.87200012207031,,,21.19036890610388,21.156686446826328,20.876329596986217,,,21.134497894039253,20.9210819021948,0.21341599184445315,,-0.047059900620421126,0.047059900620421126,0.047059900620421126,0.0,-0.047059900620421126,0.047059900620421126,0.047059900620421126,0.047059900620421126,0.0,0.2599983215332031,0.3629999160766609,21.28000068664551,20.435899829864496,20.508999824523922,20.582099819183345,,,,,,,,,,0.0,0.0,0.0
2011-02-17,21.22999954223633,21.3799991607666,21.1200008392334,21.26000022888184,21.26000022888184,155600,0.047059900620421126,0.6023360275668418,0.8133861773772247,1.0363598730815073,,21.210000228881835,21.217000198364257,20.899333445231118,,,21.21357934702987,21.17547077083642,20.901082540979484,,,21.153805945553497,20.946186963430875,0.20761898212262153,,0.04703776469510155,-0.04703776469510155,-0.04703776469510155,0.0,0.04703776469510155,-0.04703776469510155,-0.04703776469510155,-0.04703776469510155,0.0,0.2700004577636719,0.3564998626708995,21.3799991607666,20.481400871276858,20.55400085449219,20.62660083770752,,,,,,,,,,0.0,0.0,0.0
