Date_GLW,Open_GLW,High_GLW,Low_GLW,Close_GLW,Adj Close_GLW,Volume_GLW,Daily Return(%)_GLW,Vol5_GLW,Vol10_GLW,Vol20_GLW,Vol60_GLW,SMA5_GLW,SMA10_GLW,SMA30_GLW,SMA60_GLW,SMA100_GLW,EMA5_GLW,EMA10_GLW,EMA30_GLW,EMA60_GLW,EMA100_GLW,Short12_GLW,Long26_GLW,MACD_GLW,SIGNAL9_GLW,Ret5/10_GLW,Ret10/30_GLW,Ret30/60_GLW,Ret30/100_GLW,Emaret5/10_GLW,Emaret10/30_GLW,Emaret30/60_GLW,Emaret30/100_GLW,RetMACD_GLW,DayRange_GLW,average20r_GLW,PRVHI_GLW,HitLevel_GLW,hitlevel_2_GLW,hitlevel_1.8_GLW,Hit?_GLW,Hit?_GLW.1,Hit?_GLW.2,HitAt_2.2_GLW,HitAt_2.0_GLW,HitAt_1.8_GLW,ExitPr_2.2_GLW,ExitPr_2.0_GLW,ExitPr_1.8_GLW,ret_2.2_GLW,Ret2.0_GLW,Ret_1.8_GLW
2011-01-03,19.43000030517578,19.5,19.1299991607666,19.19000053405762,14.6655740737915,13770300,,,,,,,,,,,0.3333333333333333,0.18181818181818182,0.06451612903225806,0.03278688524590164,0.019801980198019802,0.15384615384615385,0.07407407407407407,,0.2,,,,,,,,,,0.19000053405762074,,,2.2,2.0,1.8,,,,,,,,,,,,
2011-01-04,19.15999984741211,19.19000053405762,19.0,19.06999969482422,14.57386779785156,9788800,-0.6253300463459053,,,,,,,,,,,,,,,,,,,-0.285747775376505,-0.20882245141364855,-0.13322593991806458,0.07182745638589086,0.13526430256031735,-0.1384950024768687,-0.16166793298544913,-0.3736607754285411,0.20564108502252745,0.1900005340576172,,,,,,231.0,315.0,436.0,,,,,,,0.38406595039979585,0.3408590868309578,0.41794310369266696
2011-01-05,19.02000045776367,19.1200008392334,18.93000030517578,18.97999954223633,14.50508594512939,10519000,-0.4719462717784625,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6300010681152379,,,,,,,,,,,,,,,,,
2011-01-06,19.07999992370605,19.6200008392334,18.98999977111816,19.51000022888184,14.91013050079346,17072300,2.792416751465633,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,
2011-01-07,19.54999923706055,19.59000015258789,19.09000015258789,19.45999908447266,14.87191581726074,20241000,-0.256284694118865,,,,,19.24199981689453,,,,,19.24199981689453,,,,,,,,,,,,,,,,,,0.38999938964844105,,,,,,,,,,,,,,,,,
2011-01-10,19.39999961853027,19.51000022888184,19.1200008392334,19.5,14.90249347686768,12349700,0.20555456017085508,1.4123101411580028,,,,19.30399971008301,,,,,19.327999877929688,,,,,,,,,,,,,,,,,,0.36000061035155895,,,,,,,,,,,,,,,,,
2011-01-11,19.68000030517578,19.75,19.38999938964844,19.47999954223633,14.88719940185547,8588700,-0.10256645007009396,1.341589584860455,,,,19.385999679565433,,,,,19.37866643269857,,,,,,,,,,,,,,,,,,0.5900001525878871,,,,,,,,,,,,,,,,,
2011-01-12,19.69000053405762,20.02000045776367,19.43000030517578,19.93000030517578,15.23110675811768,14629800,2.3100655724542634,1.4451263581103806,,,,19.57599983215332,,,,,19.562444390190976,,,,,,,,,,,,,,,,,,0.1999988555908203,,,,,,,,,,,,,,,,,
2011-01-13,19.8799991607666,19.97999954223633,19.78000068664551,19.85000038146973,15.16996669769287,7054600,-0.40140452825419837,1.1180029142464314,,,,19.6439998626709,,,,,19.658296387283894,,,,,,,,,,,,,,,,,,0.2199993133544993,,,,,,,,,,,,,,,,,
2011-01-14,19.85000038146973,19.92000007629395,19.70000076293945,19.80999946594238,15.13940334320068,14880500,-0.2015159433684057,1.110809763798013,,,,19.713999938964843,19.477999877929687,,,,19.708864080170056,19.477999877929687,,,,,,,,0.1514421375784939,0.1514421375784939,0.0,0.0,-0.1514421375784939,0.1514421375784939,0.1514421375784939,0.0,0.0,0.37999916076660156,,,,,,,,,,,,,,,,,
