Date_KEYS,Open_KEYS,High_KEYS,Low_KEYS,Close_KEYS,Adj Close_KEYS,Volume_KEYS,Daily Return(%)_KEYS,Vol5_KEYS,Vol10_KEYS,Vol20_KEYS,Vol60_KEYS,SMA5_KEYS,SMA10_KEYS,SMA30_KEYS,SMA60_KEYS,SMA100_KEYS,EMA5_KEYS,EMA10_KEYS,EMA30_KEYS,EMA60_KEYS,EMA100_KEYS,Short12_KEYS,Long26_KEYS,MACD_KEYS,SIGNAL9_KEYS,Ret5/10_KEYS,Ret10/30_KEYS,Ret30/60_KEYS,Ret30/100_KEYS,Emaret5/10_KEYS,Emaret10/30_KEYS,Emaret30/60_KEYS,Emaret30/100_KEYS,RetMACD_KEYS,DayRange_KEYS,average20r_KEYS,PRVHI_KEYS,HitLevel_KEYS,hitlevel_2_KEYS,hitlevel_1.8_KEYS,Hit?_KEYS,Hit?_KEYS.1,Hit?_KEYS.2,HitAt_2.2_KEYS,HitAt_2.0_KEYS,HitAt_1.8_KEYS,ExitPr_2.2_KEYS,ExitPr_2.0_KEYS,ExitPr_1.8_KEYS,ret_2.2_KEYS,Ret2.0_KEYS,Ret_1.8_KEYS
2014-10-20,27.89999961853027,33.0,27.31999969482422,28.25,28.25,1333600,,,,,,,,,,,0.3333333333333333,0.18181818181818182,0.06451612903225806,0.03278688524590164,0.019801980198019802,0.15384615384615385,0.07407407407407407,,0.2,,,,,,,,,,1.19000053405761,,,2.2,2.0,1.8,,,,,,,,,,,,
2014-10-21,28.48999977111816,29.48999977111816,28.29999923706055,28.30999946594238,28.30999946594238,697700,0.21238749006151947,,,,,,,,,,,,,,,,,,,-0.15880430052973096,0.04754597990338105,-0.2369390630629695,0.012639482278082592,-0.4128892399168325,-0.13080118988814096,0.020980974367684875,0.08929815169689743,0.14456749832751192,0.9099998474121094,,,,,,153.0,209.0,301.0,,,,,,,0.24687472344884762,0.3721827985159493,0.5582323252923508
2014-10-22,28.46999931335449,28.90999984741211,28.0,28.75,28.75,768800,1.5542230390606406,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.289999008178711,,,,,,,,,,,,,,,,,
2014-10-23,28.75,29.88999938964844,28.60000038146973,29.25,29.25,1270700,1.7391304347826086,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9799995422363317,,,,,,,,,,,,,,,,,
2014-10-24,29.11000061035156,30.09000015258789,29.11000061035156,29.75,29.75,1540700,1.7094017094017095,,,,,28.861999893188475,,,,,28.861999893188475,,,,,,,,,,,,,,,,,,0.9200000762939418,,,,,,,,,,,,,,,,,
2014-10-27,29.85000038146973,30.29000091552734,29.3700008392334,30.10000038146973,30.10000038146973,766700,1.1764718704864878,0.6365699767376288,,,,29.231999969482423,,,,,29.274666722615564,,,,,,,,,,,,,,,,,,1.3500003814697195,,,,,,,,,,,,,,,,,
2014-10-28,30.29999923706055,31.29000091552734,29.94000053405762,30.64999961853027,30.64999961853027,536200,1.8272399670769848,0.25711245434167174,,,,29.7,,,,,29.7331110212538,,,,,,,,,,,,,,,,,,1.0599994659423793,,,,,,,,,,,,,,,,,
2014-10-29,30.64999961853027,31.0,29.94000053405762,30.0,30.0,596300,-2.1207165631979175,1.6892700804278034,,,,29.95,,,,,29.822074014169203,,,,,,,,,,,,,,,,,,0.9400005340576207,,,,,,,,,,,,,,,,,
2014-10-30,30.14999961853027,30.69000053405762,29.75,30.25,30.25,415600,0.8333333333333334,1.6193906036068755,,,,30.15,,,,,29.964716009446136,,,,,,,,,,,,,,,,,,1.7299995422363317,,,,,,,,,,,,,,,,,
2014-10-31,30.25,31.97999954223633,30.25,31.5,31.5,29854300,4.132231404958678,2.244380799073057,,,,30.5,29.680999946594238,,,,30.476477339630758,29.680999946594238,,,,,,,,-2.8253948877728288,-2.8253948877728288,0.0,0.0,2.8253948877728288,-2.8253948877728288,-2.8253948877728288,0.0,0.0,1.5100002288818395,,,,,,,,,,,,,,,,,
