Date_SWKS,Open_SWKS,High_SWKS,Low_SWKS,Close_SWKS,Adj Close_SWKS,Volume_SWKS,Daily Return(%)_SWKS,Vol5_SWKS,Vol10_SWKS,Vol20_SWKS,Vol60_SWKS,SMA5_SWKS,SMA10_SWKS,SMA30_SWKS,SMA60_SWKS,SMA100_SWKS,EMA5_SWKS,EMA10_SWKS,EMA30_SWKS,EMA60_SWKS,EMA100_SWKS,Short12_SWKS,Long26_SWKS,MACD_SWKS,SIGNAL9_SWKS,Ret5/10_SWKS,Ret10/30_SWKS,Ret30/60_SWKS,Ret30/100_SWKS,Emaret5/10_SWKS,Emaret10/30_SWKS,Emaret30/60_SWKS,Emaret30/100_SWKS,RetMACD_SWKS,DayRange_SWKS,average20r_SWKS,PRVHI_SWKS,HitLevel_SWKS,hitlevel_2_SWKS,hitlevel_1.8_SWKS,Hit?_SWKS,Hit?_SWKS.1,Hit?_SWKS.2,HitAt_2.2_SWKS,HitAt_2.0_SWKS,HitAt_1.8_SWKS,ExitPr_2.2_SWKS,ExitPr_2.0_SWKS,ExitPr_1.8_SWKS,ret_2.2_SWKS,Ret2.0_SWKS,Ret_1.8_SWKS
2011-01-03,29.13999938964844,30.13999938964844,29.04000091552734,29.55999946594238,26.72017669677734,3791000,,,,,,,,,,,0.3333333333333333,0.18181818181818182,0.06451612903225806,0.03278688524590164,0.019801980198019802,0.15384615384615385,0.07407407407407407,,0.2,,,,,,,,,,0.7700004577636719,,,2.2,2.0,1.8,,,,,,,,,,,,
2011-01-04,29.79999923706055,29.93000030517578,29.15999984741211,29.6299991607666,26.783447265625,3528500,0.23680546714783474,,,,,,,,,,,,,,,,,,,-0.23108724713235917,0.30444446681346815,-0.061816935267918975,0.17897183088065596,0.13582356060503448,-0.16516150580150415,0.11198651632744867,0.2313441437792643,-0.42473522666984986,0.8299999237060582,,,,,,222.0,314.0,430.0,,,,,,,0.4014297956019511,0.3710488179854741,0.29133035409033886
2011-01-05,29.78000068664551,30.26000022888184,29.43000030517578,30.20000076293945,27.29869079589844,3566300,1.9237314151786855,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8700008392333984,,,,,,,,,,,,,,,,,
2011-01-06,30.42000007629395,30.92000007629395,30.04999923706055,30.14999961853027,27.25349235534668,4088200,-0.16556669915896036,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0799999237060511,,,,,,,,,,,,,,,,,
2011-01-07,30.28000068664551,30.43000030517578,29.35000038146973,30.23999977111816,27.33484840393066,3367200,0.2985079725592311,,,,,29.955999755859374,,,,,29.955999755859374,,,,,,,,,,,,,,,,,,2.220001220703118,,,,,,,,,,,,,,,,,
2011-01-10,29.97999954223633,31.95000076293945,29.72999954223633,31.70000076293945,28.65458679199219,6446200,4.828045644417357,2.0639854181862463,,,,30.38400001525879,,,,,30.537333424886068,,,,,,,,,,,,,,,,,,1.129999160766598,,,,,,,,,,,,,,,,,
2011-01-11,31.85000038146973,32.18999862670898,31.05999946594238,31.61000061035156,28.57323265075684,3673400,-0.28391214644105,2.1502188428319418,,,,30.780000305175776,,,,,30.894889153374564,,,,,,,,,,,,,,,,,,0.6300010681152379,,,,,,,,,,,,,,,,,
2011-01-12,31.97999954223633,32.2400016784668,31.61000061035156,31.8799991607666,28.81729316711426,3081100,0.8541554735896595,2.128252226682925,,,,31.11599998474121,,,,,31.223259155838576,,,,,,,,,,,,,,,,,,0.6800022125244176,,,,,,,,,,,,,,,,,
2011-01-13,31.81999969482422,32.08000183105469,31.39999961853027,31.79999923706055,28.74498176574707,2838000,-0.2509407961481496,2.1413092303832695,,,,31.445999908447266,,,,,31.415505849579233,,,,,,,,,,,,,,,,,,1.0200004577636683,,,,,,,,,,,,,,,,,
2011-01-14,31.84000015258789,32.56999969482422,31.54999923706055,32.5099983215332,29.38676643371582,3469600,2.2327015770654524,2.1374700682181325,,,,31.899999618530273,30.927999687194824,,,,31.78033667356389,30.927999687194824,,,,,,,,0.7689941953470077,0.7689941953470077,0.0,0.0,-0.7689941953470077,0.7689941953470077,0.7689941953470077,0.0,0.0,0.7100028991699148,,,,,,,,,,,,,,,,,
2011-01-18,32.54000091552734,32.9900016784668,32.27999877929688,32.7599983215332,29.61275100708008,3831300,0.7689941953470077,1.0300074540488844,1.5891368744858982,,,32.111999130249025,31.247999572753905,,,,32.10689055622033,31.261090347983618,,,,,,,,-2.594623069813738,-2.594623069813738,0.0,0.0,2.594623069813738,-2.594623069813738,-2.594623069813738,0.0,0.0,1.25,,,,,,,,,,,,,,,,,
2011-01-19,32.75,33.06999969482422,31.81999969482422,31.90999984741211,28.84441184997559,4004300,-2.594623069813738,1.7956053308911277,1.9583425065934514,,,32.17199897766113,31.475999641418458,,,,32.04126031995092,31.37907389333425,,,,31.16249958674113,,,,-5.891567438910738,-5.891567438910738,0.0,0.0,5.891567438910738,-5.891567438910738,-5.891567438910738,0.0,0.0,2.6499996185302805,,,,,,,,,,,,,,,,,
