Date_FSLR,Open_FSLR,High_FSLR,Low_FSLR,Close_FSLR,Adj Close_FSLR,Volume_FSLR,Daily Return(%)_FSLR,Vol5_FSLR,Vol10_FSLR,Vol20_FSLR,Vol60_FSLR,SMA5_FSLR,SMA10_FSLR,SMA30_FSLR,SMA60_FSLR,SMA100_FSLR,EMA5_FSLR,EMA10_FSLR,EMA30_FSLR,EMA60_FSLR,EMA100_FSLR,Short12_FSLR,Long26_FSLR,MACD_FSLR,SIGNAL9_FSLR,Ret5/10_FSLR,Ret10/30_FSLR,Ret30/60_FSLR,Ret30/100_FSLR,Emaret5/10_FSLR,Emaret10/30_FSLR,Emaret30/60_FSLR,Emaret30/100_FSLR,RetMACD_FSLR,DayRange_FSLR,average20r_FSLR,PRVHI_FSLR,HitLevel_FSLR,hitlevel_2_FSLR,hitlevel_1.8_FSLR,Hit?_FSLR,Hit?_FSLR.1,Hit?_FSLR.2,HitAt_2.2_FSLR,HitAt_2.0_FSLR,HitAt_1.8_FSLR,ExitPr_2.2_FSLR,ExitPr_2.0_FSLR,ExitPr_1.8_FSLR,ret_2.2_FSLR,Ret2.0_FSLR,Ret_1.8_FSLR
2011-01-03,131.8500061035156,133.1999969482422,131.7299957275391,132.7799987792969,132.7799987792969,1079000,,,,,,,,,,,0.3333333333333333,0.18181818181818182,0.06451612903225806,0.03278688524590164,0.019801980198019802,0.15384615384615385,0.07407407407407407,,0.2,,,,,,,,,,3.0899963378905966,,,2.2,2.0,1.8,,,,,,,,,,,,
2011-01-04,133.5,133.5099945068359,130.4199981689453,131.1199951171875,131.1199951171875,1106600,-1.2501910508890828,,,,,,,,,,,,,,,,,,,-0.1403712811642147,0.09967840003017413,0.34831635881262457,0.20155457336826904,-0.42829040440984445,0.20796050317167628,0.04003655421207481,0.4786443160562876,-0.19812602486845035,2.4599914550780966,,,,,,196.0,272.0,401.0,,,,,,,0.1546163130806818,0.00480093907185702,0.16935391663664484
2011-01-05,130.5200042724609,132.6999969482422,130.2400054931641,131.6000061035156,131.6000061035156,806000,0.3660852686114657,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.839996337890597,,,,,,,,,,,,,,,,,
2011-01-06,131.9499969482422,135.8399963378906,131.0,134.5299987792969,134.5299987792969,1477700,2.2264381002206,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1000061035155966,,,,,,,,,,,,,,,,,
2011-01-07,135.5,135.5,132.3999938964844,133.5800018310547,133.5800018310547,718600,-0.7061599322547626,,,,,132.7220001220703,,,,,132.7220001220703,,,,,,,,,,,,,,,,,,3.610000610351591,,,,,,,,,,,,,,,,,
2011-01-10,133.7700042724609,137.3800048828125,133.7700042724609,136.4299926757812,136.4299926757812,1530800,2.133546044063565,1.5945559913163438,,,,133.45199890136718,,,,,133.95799763997394,,,,,,,,,,,,,,,,,,3.0800018310546875,,,,,,,,,,,,,,,,,
2011-01-11,137.3899993896484,138.4700012207031,135.3899993896484,137.6900024414062,137.6900024414062,1044900,0.9235577462936233,1.2356284712701329,,,,134.76600036621093,,,,,135.20199924045136,,,,,,,,,,,,,,,,,,2.020004272460909,,,,,,,,,,,,,,,,,
2011-01-12,139.0,140.1399993896484,138.1199951171875,139.8300018310547,139.8300018310547,1275400,1.554215521609253,1.1996827136104529,,,,136.41199951171873,,,,,136.7446667706525,,,,,,,,,,,,,,,,,,3.110000610351591,,,,,,,,,,,,,,,,,
2011-01-13,139.5,142.1100006103516,139.0,141.5500030517578,141.5500030517578,1383700,1.2300659359078487,1.0674947035765958,,,,137.81600036621091,,,,,138.34644553102095,,,,,,,,,,,,,,,,,,2.2799987792969034,,,,,,,,,,,,,,,,,
2011-01-14,140.7700042724609,141.4900054931641,139.2100067138672,140.8399963378906,140.8399963378906,979800,-0.5015942766229413,0.9852092445490483,,,,139.2679992675781,135.99499969482423,,,,139.17762913331086,135.99499969482423,,,,,,,,5.0482823027728,5.0482823027728,0.0,0.0,-5.0482823027728,5.0482823027728,5.0482823027728,0.0,0.0,8.77999877929679,,,,,,,,,,,,,,,,,
2011-01-18,140.0099945068359,148.4299926757812,139.6499938964844,147.9499969482422,147.9499969482422,2222200,5.0482823027728,2.0549278621054268,1.8278603784839955,,,141.57200012207028,137.51199951171876,,,,142.101751738288,138.16863555908205,,,,,,,,-2.886113119660816,-2.886113119660816,0.0,0.0,2.886113119660816,-2.886113119660816,-2.886113119660816,0.0,0.0,5.479995727539119,,,,,,,,,,,,,,,,,
