Date_MU,Open_MU,High_MU,Low_MU,Close_MU,Adj Close_MU,Volume_MU,Daily Return(%)_MU,Vol5_MU,Vol10_MU,Vol20_MU,Vol60_MU,SMA5_MU,SMA10_MU,SMA30_MU,SMA60_MU,SMA100_MU,EMA5_MU,EMA10_MU,EMA30_MU,EMA60_MU,EMA100_MU,Short12_MU,Long26_MU,MACD_MU,SIGNAL9_MU,Ret5/10_MU,Ret10/30_MU,Ret30/60_MU,Ret30/100_MU,Emaret5/10_MU,Emaret10/30_MU,Emaret30/60_MU,Emaret30/100_MU,RetMACD_MU,DayRange_MU,average20r_MU,PRVHI_MU,HitLevel_MU,hitlevel_2_MU,hitlevel_1.8_MU,Hit?_MU,Hit?_MU.1,Hit?_MU.2,HitAt_2.2_MU,HitAt_2.0_MU,HitAt_1.8_MU,ExitPr_2.2_MU,ExitPr_2.0_MU,ExitPr_1.8_MU,ret_2.2_MU,Ret2.0_MU,Ret_1.8_MU
2011-01-03,8.140000343322754,8.479999542236328,8.140000343322754,8.279999732971191,8.279999732971191,43343100,,,,,,,,,,,0.3333333333333333,0.18181818181818182,0.06451612903225806,0.03278688524590164,0.019801980198019802,0.15384615384615385,0.07407407407407407,,0.2,,,,,,,,,,0.2200002670288086,,,2.2,2.0,1.8,,,,,,,,,,,,
2011-01-04,8.380000114440918,8.579999923706055,8.359999656677246,8.4399995803833,8.4399995803833,44645900,1.9323653692280385,,,,,,,,,,,,,,,,,,,-0.4095302914495614,-0.0690571320491813,0.49342237342833645,0.5709147011932028,-0.6424624765431,-0.45426305333373007,0.06098367008247691,0.5031748756072172,-0.3251644855388409,0.38000011444091797,,,,,,222.0,332.0,451.0,,,,,,,0.8489937044943036,0.7769572505530423,0.4250607268938843
2011-01-05,8.40999984741211,8.779999732971191,8.399999618530273,8.539999961853027,8.539999961853027,38533500,1.1848387019135973,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14999961853027344,,,,,,,,,,,,,,,,,
2011-01-06,8.670000076293945,8.699999809265137,8.550000190734863,8.579999923706055,8.579999923706055,25273800,0.46838363034779296,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,
2011-01-07,8.5600004196167,8.699999809265137,8.449999809265137,8.649999618530273,8.649999618530273,24517000,0.8158472662780981,,,,,8.49799976348877,,,,,8.49799976348877,,,,,,,,,,,,,,,,,,0.28999996185302734,,,,,,,,,,,,,,,,,
2011-01-10,8.680000305175781,8.680000305175781,8.390000343322754,8.550000190734863,8.550000190734863,30493200,-1.1560628000628874,1.145956124064333,,,,8.551999855041505,,,,,8.515333239237467,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,
2011-01-11,8.619999885559082,8.729999542236328,8.479999542236328,8.720000267028809,8.720000267028809,27511400,1.9883049415386502,1.1617808134397896,,,,8.607999992370605,,,,,8.583555581834581,,,,,,,,,,,,,,,,,,0.6599998474121094,,,,,,,,,,,,,,,,,
2011-01-12,8.850000381469727,9.5,8.84000015258789,9.34000015258789,9.34000015258789,92085800,7.1100902129941845,3.1504887191088597,,,,8.768000030517578,,,,,8.835703772085685,,,,,,,,,,,,,,,,,,0.28999996185302734,,,,,,,,,,,,,,,,,
2011-01-13,9.789999961853027,9.869999885559082,9.579999923706055,9.630000114440918,9.630000114440918,75174700,3.1049245943821027,3.0823179488023507,,,,8.978000068664551,,,,,9.10046921953743,,,,,,,,,,,,,,,,,,0.21000003814697266,,,,,,,,,,,,,,,,,
2011-01-14,9.729999542236328,9.859999656677246,9.649999618530273,9.710000038146973,9.710000038146973,40679500,0.8307364772103035,3.0804445637197606,,,,9.19000015258789,8.84399995803833,,,,9.303646159073946,8.84399995803833,,,,,,,,-0.5149350209931118,-0.5149350209931118,0.0,0.0,0.5149350209931118,-0.5149350209931118,-0.5149350209931118,0.0,0.0,0.31999969482421875,,,,,,,,,,,,,,,,,
2011-01-18,9.75,9.90999984741211,9.59000015258789,9.65999984741211,9.65999984741211,28222900,-0.5149350209931118,2.9050343429517635,2.300000048525547,,,9.41200008392334,8.981999969482422,,,,9.422430721853335,8.992363574288108,,,,,,,,-3.002070045898786,-3.002070045898786,0.0,0.0,3.002070045898786,-3.002070045898786,-3.002070045898786,0.0,0.0,0.46000003814697266,,,,,,,,,,,,,,,,,
2011-01-19,9.609999656677246,9.680000305175781,9.220000267028809,9.369999885559082,9.369999885559082,43365400,-3.002070045898786,3.834880747250162,2.7082446189108134,,,9.542000007629394,9.075,,,,9.404953776421918,9.06102472179192,,,,8.955833276112875,,,,2.4546477985033723,2.4546477985033723,0.0,0.0,-2.4546477985033723,2.4546477985033723,2.4546477985033723,0.0,0.0,0.3899993896484375,,,,,,,,,,,,,,,,,
2011-01-20,9.460000038146973,9.65999984741211,9.270000457763672,9.600000381469727,9.600000381469727,31235700,2.4546477985033723,2.448590580991994,2.7430941688263566,,,9.594000053405761,9.18100004196167,,,,9.469969311437854,9.159020296278793,,,,9.054935907706238,,,,2.499997516473233,2.499997516473233,0.0,0.0,-2.499997516473233,2.499997516473233,2.499997516473233,0.0,0.0,0.2700004577636719,,,,,,,,,,,,,,,,,
2011-01-21,10.0,10.0,9.729999542236328,9.84000015258789,9.84000015258789,56867600,2.499997516473233,2.3029265367350225,2.7572630923687473,,,9.636000061035157,9.307000064849854,,,,9.593312925154533,9.28283481560772,,,,9.175715022303415,,,,2.1341466960418667,2.1341466960418667,0.0,0.0,-2.1341466960418667,2.1341466960418667,2.1341466960418667,0.0,0.0,0.4600000381469673,,,,,,,,,,,,,,,,,
2011-01-24,9.829999923706055,10.07999992370605,9.619999885559082,10.05000019073486,10.05000019073486,65245900,2.1341466960418667,2.426721850500048,2.7570470759579635,,,9.704000091552734,9.447000122070312,,,,9.745542013681309,9.4223194292672,,,,9.31022043283133,,,,-0.6965238524379882,-0.6965238524379882,0.0,0.0,0.6965238524379882,-0.6965238524379882,-0.6965238524379882,0.0,0.0,0.32999992370605646,,,,,,,,,,,,,,,,,
2011-01-25,10.05000019073486,10.22000026702881,9.890000343322754,9.979999542236328,9.979999542236328,51957000,-0.6965238524379882,2.4509562881734492,2.710460574306967,,,9.768000030517578,9.59000005722046,,,,9.823694523199649,9.523715813443404,,,,9.41326337273979,,,,-0.3005985405533299,-0.3005985405533299,0.0,0.0,0.3005985405533299,-0.3005985405533299,-0.3005985405533299,0.0,0.0,0.20000076293945668,,,,,,,,,,,,,,,,,
