Date_IT,Open_IT,High_IT,Low_IT,Close_IT,Adj Close_IT,Volume_IT,Daily Return(%)_IT,Vol5_IT,Vol10_IT,Vol20_IT,Vol60_IT,SMA5_IT,SMA10_IT,SMA30_IT,SMA60_IT,SMA100_IT,EMA5_IT,EMA10_IT,EMA30_IT,EMA60_IT,EMA100_IT,Short12_IT,Long26_IT,MACD_IT,SIGNAL9_IT,Ret5/10_IT,Ret10/30_IT,Ret30/60_IT,Ret30/100_IT,Emaret5/10_IT,Emaret10/30_IT,Emaret30/60_IT,Emaret30/100_IT,RetMACD_IT,DayRange_IT,average20r_IT,PRVHI_IT,HitLevel_IT,hitlevel_2_IT,hitlevel_1.8_IT,Hit?_IT,Hit?_IT.1,Hit?_IT.2,HitAt_2.2_IT,HitAt_2.0_IT,HitAt_1.8_IT,ExitPr_2.2_IT,ExitPr_2.0_IT,ExitPr_1.8_IT,ret_2.2_IT,Ret2.0_IT,Ret_1.8_IT
2011-01-03,33.40999984741211,33.75,33.29999923706055,33.52999877929688,33.52999877929688,318500,,,,,,,,,,,0.3333333333333333,0.18181818181818182,0.06451612903225806,0.03278688524590164,0.019801980198019802,0.15384615384615385,0.07407407407407407,,0.2,,,,,,,,,,0.4700012207031179,,,2.2,2.0,1.8,,,,,,,,,,,,
2011-01-04,33.61999893188477,33.72000122070312,33.25,33.34000015258789,33.34000015258789,253100,-0.5666526502419864,,,,,,,,,,,,,,,,,,,0.14945236693204902,-0.3772771306411212,0.03540131405247823,-0.11117695413201166,0.09709008125227019,-0.25984284296806953,-0.28463369855754744,-0.14623191194065027,0.09214133341286429,1.0,,,,,,186.0,251.0,379.0,,,,,,,0.3804764557959708,0.2706104766805103,0.5481169457922648
2011-01-05,33.11000061035156,34.11000061035156,33.11000061035156,33.81000137329102,33.81000137329102,222700,1.4097217113139395,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2899971008300639,,,,,,,,,,,,,,,,,
2011-01-06,33.77999877929688,33.93999862670898,33.65000152587891,33.90999984741211,33.90999984741211,159600,0.29576595699307695,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6599998474121094,,,,,,,,,,,,,,,,,
2011-01-07,33.93000030517578,34.31999969482422,33.65999984741211,34.0099983215332,34.0099983215332,135900,0.29489376163687975,,,,,33.71999969482422,,,,,33.71999969482422,,,,,,,,,,,,,,,,,,0.7999992370605469,,,,,,,,,,,,,,,,,
2011-01-10,33.93000030517578,34.54999923706055,33.75,34.45999908447266,34.45999908447266,208800,1.3231425614465415,0.8236335169428711,,,,33.905999755859376,,,,,33.96666615804037,,,,,,,,,,,,,,,,,,0.7299995422363352,,,,,,,,,,,,,,,,,
2011-01-11,34.59999847412109,35.27000045776367,34.54000091552734,34.81999969482422,34.81999969482422,345500,1.0446912940104172,0.5448807936349064,,,,34.20199966430664,,,,,34.25111067030166,,,,,,,,,,,,,,,,,,0.31999969482420454,,,,,,,,,,,,,,,,,
2011-01-12,35.04000091552734,35.09999847412109,34.77999877929688,34.90000152587891,34.90000152587891,214700,0.22975827615123842,0.5090002119379324,,,,34.41999969482422,,,,,34.46740762216074,,,,,,,,,,,,,,,,,,0.39000320434571023,,,,,,,,,,,,,,,,,
2011-01-13,34.83000183105469,34.83000183105469,34.43999862670898,34.66999816894531,34.66999816894531,118200,-0.6590353778725472,0.7775771219256743,,,,34.57199935913086,,,,,34.53493780442227,,,,,,,,,,,,,,,,,,0.220001220703125,,,,,,,,,,,,,,,,,
2011-01-14,34.61000061035156,34.72999954223633,34.5099983215332,34.59999847412109,34.59999847412109,212500,-0.20190279354247598,0.8316811250397299,,,,34.689999389648435,34.20499954223633,,,,34.556624694321876,34.20499954223633,,,,,,,,0.5202321188263227,0.5202321188263227,0.0,0.0,-0.5202321188263227,0.5202321188263227,0.5202321188263227,0.0,0.0,0.4099998474121094,,,,,,,,,,,,,,,,,
2011-01-18,34.65999984741211,34.86999893188477,34.45999908447266,34.77999877929688,34.77999877929688,454100,0.5202321188263227,0.6548906776526975,0.7273540621658051,,,34.75399932861328,34.32999954223633,,,,34.63108272264688,34.30954485806552,,,,,,,,-1.2075853469992859,-1.2075853469992859,0.0,0.0,1.2075853469992859,-1.2075853469992859,-1.2075853469992859,0.0,0.0,0.6200027465820312,,,,,,,,,,,,,,,,,
2011-01-19,34.79000091552734,34.90000152587891,34.27999877929688,34.36000061035156,34.36000061035156,157000,-1.2075853469992859,0.6908471504272478,0.8386874801765697,,,34.66199951171875,34.431999588012694,,,,34.54072201854844,34.31871863120844,,,,34.26583290100098,,,,-0.4365585658159404,-0.4365585658159404,0.0,0.0,0.4365585658159404,-0.4365585658159404,-0.4365585658159404,0.0,0.0,0.3299980163574361,,,,,,,,,,,,,,,,,
2011-01-20,34.22999954223633,34.36999893188477,34.04000091552734,34.20999908447266,34.20999908447266,144600,-0.4365585658159404,0.6337692205030658,0.7687707938968859,,,34.5239990234375,34.47199935913086,,,,34.43048104052319,34.29895144089284,,,,34.25724308307355,,,,0.3215452010973096,0.3215452010973096,0.0,0.0,-0.3215452010973096,0.3215452010973096,0.3215452010973096,0.0,0.0,0.299999237060554,,,,,,,,,,,,,,,,,
2011-01-21,34.38999938964844,34.43000030517578,34.13000106811523,34.31999969482422,34.31999969482422,123600,0.3215452010973096,0.6822631206903268,0.7694673194880214,,,34.45399932861328,34.51299934387207,,,,34.3936539252902,34.302778396153094,,,,34.2668979464198,,,,-0.4953437795869679,0.4953437795869679,0.0,0.0,-0.4953437795869679,0.4953437795869679,0.4953437795869679,0.0,0.0,0.4099998474121094,,,,,,,,,,,,,,,,,
2011-01-24,34.36999893188477,34.65999984741211,34.25,34.4900016784668,34.4900016784668,216500,0.4953437795869679,0.7498985571194773,0.7770190069405808,,,34.43199996948242,34.56099967956543,,,,34.425769843015736,34.3368189929374,,,,34.301221597503954,,,,0.5798804094124677,-0.5798804094124677,0.0,0.0,0.5798804094124677,-0.5798804094124677,-0.5798804094124677,0.0,0.0,0.23999786376952414,,,,,,,,,,,,,,,,,
2011-01-25,34.43999862670898,34.43999862670898,34.20000076293945,34.29000091552734,34.29000091552734,428900,-0.5798804094124677,0.6960348129467265,0.6832403534584762,,,34.33400039672851,34.5439998626709,,,,34.380513533852934,34.32830661522648,,,,34.29949533873832,,,,-2.4496941678631408,2.4496941678631408,0.0,0.0,-2.4496941678631408,2.4496941678631408,2.4496941678631408,0.0,0.0,0.8500022888183452,,,,,,,,,,,,,,,,,
2011-01-26,34.43999862670898,35.22000122070312,34.36999893188477,35.13000106811523,35.13000106811523,317500,2.4496941678631408,1.2107821029039703,1.0025854415627424,,,34.48800048828125,34.575,,,,34.630342711940365,34.47406924302443,,,,34.42726545095015,,,,-3.131222432895068,3.131222432895068,0.0,0.0,-3.131222432895068,3.131222432895068,3.131222432895068,0.0,0.0,1.5499992370605398,,,,,,,,,,,,,,,,,
2011-01-27,35.13000106811523,36.63000106811523,35.08000183105469,36.22999954223633,36.22999954223633,892500,3.131222432895068,1.558919725675802,1.3910789788413427,,,34.89200057983398,34.707999801635744,,,,35.163561655372355,34.793329297426595,,,,34.70460915730187,,,,-2.2909136816019466,-2.2909136816019466,0.0,0.0,2.2909136816019466,-2.2909136816019466,-2.2909136816019466,0.0,0.0,1.1500015258788991,,,,,,,,,,,,,,,,,
2011-01-28,36.20000076293945,36.27000045776367,35.11999893188477,35.40000152587891,35.40000152587891,260700,-2.2909136816019466,2.212490952505098,1.6060505101045857,,,35.108000946044925,34.7810001373291,,,,35.242374945541215,34.90363333896338,,,,34.81159259862141,,,,0.056487689843122586,0.056487689843122586,0.0,0.0,-0.056487689843122586,0.056487689843122586,0.056487689843122586,0.0,0.0,0.7299995422363281,,,,,,,,,,,,,,,,,
