Date_AAPL,Open_AAPL,High_AAPL,Low_AAPL,Close_AAPL,Adj Close_AAPL,Volume_AAPL,Daily Return(%)_AAPL,Vol5_AAPL,Vol10_AAPL,Vol20_AAPL,Vol60_AAPL,SMA5_AAPL,SMA10_AAPL,SMA30_AAPL,SMA60_AAPL,SMA100_AAPL,EMA5_AAPL,EMA10_AAPL,EMA30_AAPL,EMA60_AAPL,EMA100_AAPL,Short12_AAPL,Long26_AAPL,MACD_AAPL,SIGNAL9_AAPL,Ret5/10_AAPL,Ret10/30_AAPL,Ret30/60_AAPL,Ret30/100_AAPL,Emaret5/10_AAPL,Emaret10/30_AAPL,Emaret30/60_AAPL,Emaret30/100_AAPL,RetMACD_AAPL,DayRange_AAPL,average20r_AAPL,PRVHI_AAPL,HitLevel_AAPL,hitlevel_2_AAPL,hitlevel_1.8_AAPL,Hit?_AAPL,Hit?_AAPL.1,Hit?_AAPL.2,HitAt_2.2_AAPL,HitAt_2.0_AAPL,HitAt_1.8_AAPL,ExitPr_2.2_AAPL,ExitPr_2.0_AAPL,ExitPr_1.8_AAPL,ret_2.2_AAPL,Ret2.0_AAPL,Ret_1.8_AAPL
1/3/2011,11.63000011444092,11.79500007629395,11.60142899,11.77035713195801,10.12136554718018,445138400,,,,,,,,,,,0.3333333333333333,0.18181818181818182,0.064516129,0.032786885,0.019801980198019802,0.15384615384615385,0.074074074,,0.2,,,,,,,,,,0.1553573608398402,,,2.2,2,1.8,,,,,,,,,,,,
1/4/2011,11.87285709381104,11.875,11.71964263916016,11.83178615570068,10.17419147491455,309080800,0.5218960058219719,,,,,,,,,,,,,,,,,,Sharpe,0.31244415196908554,0.39405302055121577,-0.046536764,0.40633210838593503,-0.479970101,0.6271825981580813,0.21683500812705395,0.18307658119177622,0.4813040815694248,0.1728572845459002,,,,,,255,339,442,,,,,,,1.2685301105052267,1.2620155713033792,1.0581950709398793
1/5/2011,11.76964282989502,11.94071388244629,11.76785659790039,11.92857074737549,10.25741767883301,255519600,0.8180049098350055,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.083928108,,,,,,,,,,,,,,,,,
1/6/2011,11.95428562164307,11.97321415,11.88928604125977,11.91892910003662,10.24912452697754,300428800,-0.080828186,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15892887115479049,,,,,,,,,,,,,,,,,
1/7/2011,11.92821407318115,12.01249980926514,11.85357093811035,12.00428581237793,10.32252121,311931200,0.7161441403409986,,,,,11.890785789489746,,,,,11.890785789489746,,,,,,,,,,,,,,,,,,0.21642780303955078,,,,,,,,,,,,,,,,,
1/10/2011,12.10107135772705,12.25821399688721,12.04178619384766,12.23035717010498,10.51692390441895,448560000,1.8832553744592015,0.71238899,,,,11.98278579711914,,,,,12.003976249694825,,,,,,,,,,,,,,,,,,0.1960706710815412,,,,,,,,,,,,,,,,,
1/11/2011,12.31714344024658,12.31999969482422,12.12392902374268,12.20142936706543,10.49204635620117,444108000,-0.236524597,0.846914741,,,,12.05671443939209,,,,,12.069793955485027,,,,,,,,,,,,,,,,,,0.086785316,,,,,,,,,,,,,,,,,
1/12/2011,12.25892925262451,12.30107116699219,12.21428585,12.30071353912354,10.57742214202881,302590400,0.8137093538081897,0.8466658254985475,,,,12.131142997741701,,,,,12.146767150031199,,,,,,,,,,,,,,,,,,0.099642754,,,,,,,,,,,,,,,,,
1/13/2011,12.32714272,12.38000011444092,12.28035736083984,12.34571361541748,10.61611652374268,296780400,0.36583305635736607,0.7748660776463596,,,,12.216499900817873,,,,,12.213082638493294,,,,,,,,,,,,,,,,,,0.14428520202637074,,,,,,,,,,,,,,,,,
1/14/2011,12.35321426391602,12.44571399688721,12.30142879486084,12.44571399688721,10.70210933685303,308840000,0.8100008195949758,0.7762336995286354,,,,12.304785537719729,12.097785663604736,,,,12.29062642,12.097785663604736,,,,,,,,-2.246902499,-2.246902499,0,0,2.2469024986979624,-2.246902499,-2.246902499,0,0,0.6700000762939489,,,,,,,,,,,,,,,,,
