Date_JNPR,Open_JNPR,High_JNPR,Low_JNPR,Close_JNPR,Adj Close_JNPR,Volume_JNPR,Daily Return(%)_JNPR,Vol5_JNPR,Vol10_JNPR,Vol20_JNPR,Vol60_JNPR,SMA5_JNPR,SMA10_JNPR,SMA30_JNPR,SMA60_JNPR,SMA100_JNPR,EMA5_JNPR,EMA10_JNPR,EMA30_JNPR,EMA60_JNPR,EMA100_JNPR,Short12_JNPR,Long26_JNPR,MACD_JNPR,SIGNAL9_JNPR,Ret5/10_JNPR,Ret10/30_JNPR,Ret30/60_JNPR,Ret30/100_JNPR,Emaret5/10_JNPR,Emaret10/30_JNPR,Emaret30/60_JNPR,Emaret30/100_JNPR,RetMACD_JNPR,DayRange_JNPR,average20r_JNPR,PRVHI_JNPR,HitLevel_JNPR,hitlevel_2_JNPR,hitlevel_1.8_JNPR,Hit?_JNPR,Hit?_JNPR.1,Hit?_JNPR.2,HitAt_2.2_JNPR,HitAt_2.0_JNPR,HitAt_1.8_JNPR,ExitPr_2.2_JNPR,ExitPr_2.0_JNPR,ExitPr_1.8_JNPR,ret_2.2_JNPR,Ret2.0_JNPR,Ret_1.8_JNPR
2011-01-03,37.2400016784668,37.63000106811523,37.09000015258789,37.2400016784668,31.07555389404297,3115200,,,,,,,,,,,0.3333333333333333,0.18181818181818182,0.06451612903225806,0.03278688524590164,0.019801980198019802,0.15384615384615385,0.07407407407407407,,0.2,,,,,,,,,,0.7099990844726562,,,2.2,2.0,1.8,,,,,,,,,,,,
2011-01-04,37.5099983215332,37.5099983215332,36.79999923706055,37.15999984741211,31.00880813598633,2937200,-0.21482767843414674,,,,,,,,,,,,,,,,,,,-0.27866128395894724,-0.242153900136815,-0.15933220208410792,-0.18956814463256885,0.40385150805920567,-0.2508546647820429,-0.32377978457381035,-0.030416091171590484,0.0017228121393721633,1.0200004577636648,,,,,,216.0,296.0,403.0,,,,,,,0.6030705392512807,0.6210764586097797,0.626252592485987
2011-01-05,36.97000122070312,37.88999938964844,36.86999893188477,37.88000106811523,31.60962295532227,3947500,1.9375705695899244,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6100006103515554,,,,,,,,,,,,,,,,,
2011-01-06,37.95999908447266,38.47999954223633,37.86999893188477,38.20999908447266,31.88498687744141,4418000,0.8711668612786964,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94000244140625,,,,,,,,,,,,,,,,,
2011-01-07,38.18000030517578,38.20000076293945,37.2599983215332,37.59000015258789,31.36762428283691,4718500,-1.6226091252033572,,,,,37.61600036621094,,,,,37.61600036621094,,,,,,,,,,,,,,,,,,0.7700004577636719,,,,,,,,,,,,,,,,,
2011-01-10,37.43000030517578,37.70000076293945,36.93000030517578,37.61000061035156,31.38431930541992,3650300,0.053206857362289584,1.3214604202754805,,,,37.69000015258789,,,,,37.61400044759115,,,,,,,,,,,,,,,,,,0.3899993896484446,,,,,,,,,,,,,,,,,
2011-01-11,37.90999984741211,37.93000030517578,37.54000091552734,37.84999847412109,31.5845947265625,2461900,0.6381224670958088,1.30872395939953,,,,37.827999877929685,,,,,37.692666456434466,,,,,,,,,,,,,,,,,,0.4700012207031179,,,,,,,,,,,,,,,,,
2011-01-12,38.15000152587891,38.47000122070312,38.0,38.31999969482422,31.97677993774414,2620200,1.2417470003981181,1.125222992152355,,,,37.91599960327149,,,,,37.90177753589772,,,,,,,,,,,,,,,,,,0.7700004577636648,,,,,,,,,,,,,,,,,
2011-01-13,38.4900016784668,38.72000122070312,37.95000076293945,38.22000122070312,31.89334678649902,3999100,-0.2609563541687799,1.0784752191045808,,,,37.918000030517575,,,,,38.00785209749952,,,,,,,,,,,,,,,,,,0.7900009155273509,,,,,,,,,,,,,,,,,
2011-01-14,38.20000076293945,38.72999954223633,37.93999862670898,38.72999954223633,32.31891632080078,3724600,1.3343754715971932,0.7058363859220811,,,,38.145999908447266,37.8810001373291,,,,38.248567912411794,37.8810001373291,,,,,,,,-2.0139395520680576,-2.0139395520680576,0.0,0.0,2.0139395520680576,-2.0139395520680576,-2.0139395520680576,0.0,0.0,0.7999992370605398,,,,,,,,,,,,,,,,,
