Date_INTC,Open_INTC,High_INTC,Low_INTC,Close_INTC,Adj Close_INTC,Volume_INTC,Daily Return(%)_INTC,Vol5_INTC,Vol10_INTC,Vol20_INTC,Vol60_INTC,SMA5_INTC,SMA10_INTC,SMA30_INTC,SMA60_INTC,SMA100_INTC,EMA5_INTC,EMA10_INTC,EMA30_INTC,EMA60_INTC,EMA100_INTC,Short12_INTC,Long26_INTC,MACD_INTC,SIGNAL9_INTC,Ret5/10_INTC,Ret10/30_INTC,Ret30/60_INTC,Ret30/100_INTC,Emaret5/10_INTC,Emaret10/30_INTC,Emaret30/60_INTC,Emaret30/100_INTC,RetMACD_INTC,DayRange_INTC,average20r_INTC,PRVHI_INTC,HitLevel_INTC,hitlevel_2_INTC,hitlevel_1.8_INTC,Hit?_INTC,Hit?_INTC.1,Hit?_INTC.2,HitAt_2.2_INTC,HitAt_2.0_INTC,HitAt_1.8_INTC,ExitPr_2.2_INTC,ExitPr_2.0_INTC,ExitPr_1.8_INTC,ret_2.2_INTC,Ret2.0_INTC,Ret_1.8_INTC
2011-01-03,21.01000022888184,21.04999923706055,20.78000068664551,20.85000038146973,15.20751285552979,58223800,,,,,,,,,,,0.3333333333333333,0.18181818181818182,0.06451612903225806,0.03278688524590164,0.019801980198019802,0.15384615384615385,0.07407407407407407,,0.2,,,,,,,,,,0.15000152587889914,,,2.2,2.0,1.8,,,,,,,,,,,,
2011-01-04,21.1200008392334,21.20000076293945,21.04999923706055,21.14999961853027,15.42631816864014,75206200,1.4388452353562624,,,,,,,,,,,,,,,,,,,-0.28200377435951074,-0.3727565220205581,-0.2803041372051213,0.09385540642062641,0.34782803317790767,-0.27349877919961746,-0.23755606872532264,-0.07785243091710098,-0.027364589761933185,0.3099994659423899,,,,,,213.0,290.0,388.0,,,,,,,0.28365604763607644,0.13222976241410228,-0.1403432625702513
2011-01-05,21.19000053405762,21.20999908447266,20.89999961853027,20.94000053405762,15.27315044403076,61810500,-0.9929034905923186,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2700004577636683,,,,,,,,,,,,,,,,,
2011-01-06,20.67000007629395,20.81999969482422,20.54999923706055,20.77000045776367,15.14915657043457,116669000,-0.8118437056267395,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,
2011-01-07,20.70999908447266,20.77000045776367,20.27000045776367,20.65999984741211,15.06892395019531,74806100,-0.5296129413923126,,,,,20.87400016784668,,,,,20.87400016784668,,,,,,,,,,,,,,,,,,0.20000076293944957,,,,,,,,,,,,,,,,,
2011-01-10,20.70999908447266,20.77000045776367,20.56999969482422,20.69000053405762,15.0908088684082,51449700,0.14521145627825008,0.9879534829407838,,,,20.842000198364257,,,,,20.812666956583662,,,,,,,,,,,,,,,,,,0.3800010681152379,,,,,,,,,,,,,,,,,
2011-01-11,20.82999992370605,21.1200008392334,20.73999977111816,21.04999923706055,15.35338020324707,64452600,1.7399646868560448,1.1105907930070387,,,,20.822000122070314,,,,,20.891777716742627,,,,,,,,,,,,,,,,,,0.2600002288818324,,,,,,,,,,,,,,,,,
2011-01-12,21.27000045776367,21.32999992370605,21.06999969482422,21.29999923706055,15.53572368621826,53380600,1.1876484991023226,1.0953453198699188,,,,20.8939998626709,,,,,21.027851556848603,,,,,,,,,,,,,,,,,,0.23999977111816762,,,,,,,,,,,,,,,,,
2011-01-13,21.26000022888184,21.31999969482422,21.07999992370605,21.29000091552734,15.52843570709229,104066300,-0.046940478363087595,0.934811706832197,,,,20.997999954223634,,,,,21.115234676408182,,,,,,,,,,,,,,,,,,0.45000076293946023,,,,,,,,,,,,,,,,,
2011-01-14,21.35000038146973,21.42000007629395,20.96999931335449,21.07999992370605,15.37526321411133,154888800,-0.9863831977016497,1.0726503180177576,,,,21.081999969482425,20.97800006866455,,,,21.10348975884081,20.97800006866455,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26000022888182883,,,,,,,,,,,,,,,,,
2011-01-18,21.03000068664551,21.20000076293945,20.94000053405762,21.07999992370605,15.37526321411133,55272100,0.0,1.0834522071467356,1.0164792323794156,,,21.15999984741211,21.001000022888185,,,,21.09565981379589,20.996545496853912,,,,,,,,-0.33206686469430063,-0.33206686469430063,0.0,0.0,0.33206686469430063,-0.33206686469430063,-0.33206686469430063,0.0,0.0,0.179998397827152,,,,,,,,,,,,,,,,,
2011-01-19,21.06999969482422,21.1299991607666,20.95000076293945,21.01000022888184,15.32421112060547,43339000,-0.33206686469430063,0.7889255564675495,0.9086393885617987,,,21.15200004577637,20.98700008392334,,,,21.06710661882454,20.99899181176808,,,,20.989166736602783,,,,-0.285575751017415,-0.285575751017415,0.0,0.0,0.285575751017415,-0.285575751017415,-0.285575751017415,0.0,0.0,0.32999992370605113,,,,,,,,,,,,,,,,,
2011-01-20,20.94000053405762,20.95000076293945,20.6200008392334,20.95000076293945,15.280442237854,56170800,-0.285575751017415,0.39428390599215835,0.8540741052962952,,,21.082000350952146,20.988000106811523,,,,21.02807133352951,20.99008434834469,,,,20.983141202193043,,,,-0.6205301354699839,-0.6205301354699839,0.0,0.0,0.6205301354699839,-0.6205301354699839,-0.6205301354699839,0.0,0.0,0.23000144958496094,,,,,,,,,,,,,,,,,
2011-01-21,20.95000076293945,21.04000091552734,20.80999946594238,20.81999969482422,15.18563270568848,63697600,-0.6205301354699839,0.3741996592693305,0.8356111646972753,,,20.988000106811523,20.993000030517578,,,,20.958714120627747,20.95915986588642,,,,20.958042508751685,,,,-2.0172914622969587,2.0172914622969587,0.0,0.0,-2.0172914622969587,-2.0172914622969587,2.0172914622969587,0.0,0.0,0.30999946594237926,,,,,,,,,,,,,,,,,
2011-01-24,21.03000068664551,21.23999977111816,20.93000030517578,21.23999977111816,15.49196815490723,82375700,2.0172914622969587,1.0635952251535452,1.0157706638441917,,,21.020000076293947,21.051000022888186,,,,21.05247600412455,21.010221666837644,,,,21.001420549115757,,,,-1.459507859147544,1.459507859147544,0.0,0.0,-1.459507859147544,1.459507859147544,1.459507859147544,0.0,0.0,0.3999996185302699,,,,,,,,,,,,,,,,,
