Date_NOW,Open_NOW,High_NOW,Low_NOW,Close_NOW,Adj Close_NOW,Volume_NOW,Daily Return(%)_NOW,Vol5_NOW,Vol10_NOW,Vol20_NOW,Vol60_NOW,SMA5_NOW,SMA10_NOW,SMA30_NOW,SMA60_NOW,SMA100_NOW,EMA5_NOW,EMA10_NOW,EMA30_NOW,EMA60_NOW,EMA100_NOW,Short12_NOW,Long26_NOW,MACD_NOW,SIGNAL9_NOW,Ret5/10_NOW,Ret10/30_NOW,Ret30/60_NOW,Ret30/100_NOW,Emaret5/10_NOW,Emaret10/30_NOW,Emaret30/60_NOW,Emaret30/100_NOW,RetMACD_NOW,DayRange_NOW,average20r_NOW,PRVHI_NOW,HitLevel_NOW,hitlevel_2_NOW,hitlevel_1.8_NOW,Hit?_NOW,Hit?_NOW.1,Hit?_NOW.2,HitAt_2.2_NOW,HitAt_2.0_NOW,HitAt_1.8_NOW,ExitPr_2.2_NOW,ExitPr_2.0_NOW,ExitPr_1.8_NOW,ret_2.2_NOW,Ret2.0_NOW,Ret_1.8_NOW
2012-06-29,23.75,24.75,22.82999992370605,24.60000038146973,24.60000038146973,10922400,,,,,,,,,,,0.3333333333333333,0.18181818181818182,0.06451612903225806,0.03278688524590164,0.019801980198019802,0.15384615384615385,0.07407407407407407,,0.2,,,,,,,,,,1.1000003814697195,,,2.2,2.0,1.8,,,,,,,,,,,,
2012-07-02,24.75,25.20000076293945,24.10000038146973,24.77000045776367,24.77000045776367,656700,0.691057209990911,,,,,,,,,,,,,,,,,,,-0.7313581325206833,-0.24462435577937966,0.08878004378494135,0.06356431686932973,-0.2697438978222955,-0.5284525467551349,-0.2928836026900494,0.23688963213698797,-0.08097626329905051,0.7199993133544886,,,,,,206.0,282.0,388.0,,,,,,,0.9873359945690647,0.8193436038212478,0.7733823204633552
2012-07-03,24.85000038146973,25.31999969482422,24.60000038146973,25.30999946594238,25.30999946594238,401100,2.180052475572155,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1200008392333984,,,,,,,,,,,,,,,,,
2012-07-05,25.5,26.26000022888184,25.13999938964844,25.95999908447266,25.95999908447266,541000,2.5681534264942694,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0200004577636683,,,,,,,,,,,,,,,,,
2012-07-06,25.75,26.1200008392334,25.10000038146973,25.84000015258789,25.84000015258789,355100,-0.4622455166284794,,,,,25.295999908447264,,,,,25.295999908447264,,,,,,,,,,,,,,,,,,1.1199989318847692,,,,,,,,,,,,,,,,,
2012-07-09,25.95999908447266,26.29999923706055,25.18000030517578,25.27000045776367,25.27000045776367,152400,-2.205881158894407,1.9601877499727962,,,,25.429999923706056,,,,,25.287333424886068,,,,,,,,,,,,,,,,,,0.6400012969970703,,,,,,,,,,,,,,,,,
2012-07-10,25.21999931335449,25.69000053405762,25.04999923706055,25.04999923706055,25.04999923706055,304000,-0.8706023613684867,2.05505505018799,,,,25.48599967956543,,,,,25.208222028944228,,,,,,,,,,,,,,,,,,1.8600006103515696,,,,,,,,,,,,,,,,,
2012-07-11,25.02000045776367,25.35000038146973,23.48999977111816,23.73999977111816,23.73999977111816,296500,-5.229538945471479,2.832522576232507,,,,25.171999740600587,,,,,24.718814609668875,,,,,,,,,,,,,,,,,,1.8499984741210902,,,,,,,,,,,,,,,,,
2012-07-12,23.29999923706055,24.46999931335449,22.6200008392334,24.07999992370605,24.07999992370605,325500,1.4321826279102636,2.4735160234349096,,,,24.795999908447264,,,,,24.505876381014602,,,,,,,,,,,,,,,,,,0.9400005340576172,,,,,,,,,,,,,,,,,
2012-07-13,24.69000053405762,24.92000007629395,23.97999954223633,24.18000030517578,24.18000030517578,89100,0.4152839775189645,2.5909919356553486,,,,24.463999938964843,24.879999923706055,,,,24.39725102240166,24.879999923706055,,,,,,,,-0.8271251160737583,0.8271251160737583,0.0,0.0,-0.8271251160737583,-0.8271251160737583,0.8271251160737583,0.0,0.0,0.7600002288818288,,,,,,,,,,,,,,,,,
