Date_CDNS,Open_CDNS,High_CDNS,Low_CDNS,Close_CDNS,Adj Close_CDNS,Volume_CDNS,Daily Return(%)_CDNS,Vol5_CDNS,Vol10_CDNS,Vol20_CDNS,Vol60_CDNS,SMA5_CDNS,SMA10_CDNS,SMA30_CDNS,SMA60_CDNS,SMA100_CDNS,EMA5_CDNS,EMA10_CDNS,EMA30_CDNS,EMA60_CDNS,EMA100_CDNS,Short12_CDNS,Long26_CDNS,MACD_CDNS,SIGNAL9_CDNS,Ret5/10_CDNS,Ret10/30_CDNS,Ret30/60_CDNS,Ret30/100_CDNS,Emaret5/10_CDNS,Emaret10/30_CDNS,Emaret30/60_CDNS,Emaret30/100_CDNS,RetMACD_CDNS,DayRange_CDNS,average20r_CDNS,PRVHI_CDNS,HitLevel_CDNS,hitlevel_2_CDNS,hitlevel_1.8_CDNS,Hit?_CDNS,Hit?_CDNS.1,Hit?_CDNS.2,HitAt_2.2_CDNS,HitAt_2.0_CDNS,HitAt_1.8_CDNS,ExitPr_2.2_CDNS,ExitPr_2.0_CDNS,ExitPr_1.8_CDNS,ret_2.2_CDNS,Ret2.0_CDNS,Ret_1.8_CDNS
2011-01-03,8.3100004196167,8.390000343322754,8.270000457763672,8.350000381469727,8.350000381469727,1811800,,,,,,,,,,,0.3333333333333333,0.18181818181818182,0.06451612903225806,0.03278688524590164,0.019801980198019802,0.15384615384615385,0.07407407407407407,,0.2,,,,,,,,,,0.23000049591064453,,,2.2,2.0,1.8,,,,,,,,,,,,
2011-01-04,8.359999656677246,8.430000305175781,8.199999809265137,8.319999694824219,8.319999694824219,2143700,-0.35928964401109686,,,,,,,,,,,,,,,,,,,-0.28649160803452006,-0.170595016374598,0.0588043112530003,-0.19771908150894069,-0.08917442404956667,-0.22512749469870386,0.10070039428597545,0.07669727557660784,-0.24620834574212463,0.20000076293945312,,,,,,199.0,274.0,378.0,,,,,,,0.8009409794935501,0.7304468259136652,0.6689558892549787
2011-01-05,8.3100004196167,8.430000305175781,8.229999542236328,8.319999694824219,8.319999694824219,2500400,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2800006866455078,,,,,,,,,,,,,,,,,
2011-01-06,8.350000381469727,8.510000228881836,8.229999542236328,8.4399995803833,8.4399995803833,2389800,1.442306369719372,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2799997329711914,,,,,,,,,,,,,,,,,
2011-01-07,8.449999809265137,8.550000190734863,8.270000457763672,8.420000076293945,8.420000076293945,2049500,-0.23696096070714728,,,,,8.369999885559082,,,,,8.369999885559082,,,,,,,,,,,,,,,,,,0.2199993133544922,,,,,,,,,,,,,,,,,
2011-01-10,8.399999618530273,8.489999771118164,8.270000457763672,8.479999542236328,8.479999542236328,1747200,0.7125827244504197,0.7562060830803947,,,,8.395999717712403,,,,,8.406666437784832,,,,,,,,,,,,,,,,,,0.13000011444091797,,,,,,,,,,,,,,,,,
2011-01-11,8.539999961853027,8.569999694824219,8.4399995803833,8.460000038146973,8.460000038146973,1331900,-0.2358432213320762,0.730395850710822,,,,8.423999786376953,,,,,8.424444304572212,,,,,,,,,,,,,,,,,,0.09000015258789062,,,,,,,,,,,,,,,,,
2011-01-12,8.539999961853027,8.600000381469727,8.510000228881836,8.600000381469727,8.600000381469727,989200,1.6548503864240967,0.8960045604467872,,,,8.479999923706055,,,,,8.482962996871384,,,,,,,,,,,,,,,,,,0.1400003433227539,,,,,,,,,,,,,,,,,
2011-01-13,8.600000381469727,8.630000114440918,8.489999771118164,8.579999923706055,8.579999923706055,1455500,-0.23256345205247336,0.8455279256163886,,,,8.507999992370605,,,,,8.515308639149609,,,,,,,,,,,,,,,,,,0.3000001907348633,,,,,,,,,,,,,,,,,
2011-01-14,8.59000015258789,8.880000114440918,8.579999923706055,8.819999694824219,8.819999694824219,3549700,2.7972001544552265,1.3009065673999929,,,,8.58799991607666,8.478999900817872,,,,8.61687232437448,8.478999900817872,,,,,,,,3.9682584306110007,3.9682584306110007,0.0,0.0,-3.9682584306110007,3.9682584306110007,3.9682584306110007,0.0,0.0,0.38000011444091797,,,,,,,,,,,,,,,,,
2011-01-18,8.819999694824219,9.199999809265137,8.819999694824219,9.170000076293945,9.170000076293945,4951300,3.9682584306110007,1.8556057791326854,1.4962124033430566,,,8.726000022888183,8.560999870300293,,,,8.80124824168097,8.604636296358976,,,,,,,,-3.053432177116767,-3.053432177116767,0.0,0.0,3.053432177116767,-3.053432177116767,-3.053432177116767,0.0,0.0,0.3000001907348633,,,,,,,,,,,,,,,,,
2011-01-19,9.15999984741211,9.15999984741211,8.859999656677246,8.890000343322754,8.890000343322754,3015900,-3.053432177116767,2.7575003444108104,1.9362315376371602,,,8.81200008392334,8.617999935150147,,,,8.830832275561566,8.656520668534208,,,,8.570833285649618,,,,-3.712034993945938,-3.712034993945938,0.0,0.0,3.712034993945938,-3.712034993945938,-3.712034993945938,0.0,0.0,0.34999942779541016,,,,,,,,,,,,,,,,,
2011-01-20,8.8100004196167,8.859999656677246,8.510000228881836,8.5600004196167,8.5600004196167,3271200,-3.712034993945938,3.4175035969763443,2.3852034223370984,,,8.804000091552734,8.642000007629395,,,,8.740554990246611,8.638971532367387,,,,8.569166690875324,,,,-0.5841143491100693,-0.5841143491100693,0.0,0.0,0.5841143491100693,-0.5841143491100693,-0.5841143491100693,0.0,0.0,0.23999977111816406,,,,,,,,,,,,,,,,,
2011-01-21,8.630000114440918,8.699999809265137,8.460000038146973,8.510000228881836,8.510000228881836,2384900,-0.5841143491100693,3.425894233076368,2.3643465462073325,,,8.79000015258789,8.649000072479248,,,,8.66370340312502,8.615522204460923,,,,8.560064158260941,,,,0.23501179261405597,0.23501179261405597,0.0,0.0,-0.23501179261405597,0.23501179261405597,0.23501179261405597,0.0,0.0,0.19999980926513672,,,,,,,,,,,,,,,,,
2011-01-24,8.5,8.619999885559082,8.420000076293945,8.529999732971191,8.529999732971191,2054800,0.23501179261405597,3.0523061768395023,2.3614087986948276,,,8.732000160217286,8.660000038146972,,,,8.619135513073743,8.599972664190062,,,,8.555438862062518,,,,-0.3516967633097665,-0.3516967633097665,0.0,0.0,0.3516967633097665,-0.3516967633097665,-0.3516967633097665,0.0,0.0,0.21000003814697266,,,,,,,,,,,,,,,,,
2011-01-25,8.510000228881836,8.59000015258789,8.380000114440918,8.5,8.5,2012900,-0.3516967633097665,1.7659087973919168,2.3574661452395858,,,8.598000144958496,8.66200008392334,,,,8.579423675382497,8.581795816155505,,,,8.546909806360592,,,,-0.7058872896082261,0.7058872896082261,0.0,0.0,-0.7058872896082261,-0.7058872896082261,0.7058872896082261,0.0,0.0,0.2200002670288086,,,,,,,,,,,,,,,,,
2011-01-26,8.529999732971191,8.619999885559082,8.399999618530273,8.5600004196167,8.5600004196167,1597500,0.7058872896082261,1.735605092091439,2.3636441080867674,,,8.532000160217285,8.672000122070312,,,,8.572949256793898,8.577833016784814,,,,8.548923746861531,,,,-1.7523319062756555,1.7523319062756555,0.0,0.0,-1.7523319062756555,-1.7523319062756555,1.7523319062756555,0.0,0.0,0.19999980926513672,,,,,,,,,,,,,,,,,
2011-01-27,8.569999694824219,8.729999542236328,8.529999732971191,8.710000038146973,8.710000038146973,1592300,1.7523319062756555,0.931577932870053,2.370763587802599,,,8.56200008392334,8.683000087738037,,,,8.618632850578257,8.601863384305206,,,,8.5737047147516,,,,2.6406486211632263,-2.6406486211632263,0.0,0.0,2.6406486211632263,-2.6406486211632263,-2.6406486211632263,0.0,0.0,0.38000011444091797,,,,,,,,,,,,,,,,,
