Date_ON_L01d,Open_ON_L01d,High_ON_L01d,Low_ON_L01d,Close_ON_L01d,Adj Close_ON_L01d,Volume_ON_L01d,Daily_Return_ON_L01d,Vol5_ON_L01d,Vol10_ON_L01d,Vol20_ON_L01d,Vol60_ON_L01d,SMA5_ON_L01d,SMA10_ON_L01d,SMA30_ON_L01d,SMA60_ON_L01d,SMA100_ON_L01d,EMA5_ON_L01d,EMA10_ON_L01d,EMA30_ON_L01d,EMA60_ON_L01d,EMA100_ON_L01d,Short12_ON_L01d,Long26_ON_L01d,MACD_ON_L01d,SIGNAL9_ON_L01d,Ret5/10_ON_L01d,Ret10/30_ON_L01d,Ret30/60_ON_L01d,Ret30/100_ON_L01d,Emaret5/10_ON_L01d,Emaret10/30_ON_L01d,Emaret30/60_ON_L01d,Emaret30/100_ON_L01d,RetMACD_ON_L01d,DayRange_ON_L01d,average20r_ON_L01d,PRVHI_ON_L01d,HitLevel_ON_L01d,hitlevel_2_ON_L01d,hitlevel_1.8_ON_L01d,positive_return_dummy,sma_ratio_L01d,RetMACD_L01d,R_sma_ratio_L01d,ret_sma_ratio_L01d,ema_ratio_L01d,R_ema_ratio_L01d,ret_ema_ratio_L01d,volatility_ratio_L01d,R_vol_ratio_L01d,ret_vol_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_best,best
2024-01-03,79.37999725341797,79.77999877929688,77.55999755859375,79.30999755859375,79.30999755859375,6156400.0,-2.627378109060349,1.1531394686932444,2.2410258974488664,2.6743318552919035,3.836389870974792,82.86399993896484,83.33600006103515,77.68166656494141,77.64916648864747,84.24789978027344,81.97513761595825,82.37849251457807,79.77965881258197,80.20172487866007,82.0071176195419,82.1741703782496,80.11042891915906,2.0637414590905365,2.479819624124384,3.9213222873369937,-3.9213222873369937,-3.9213222873369937,3.9213222873369937,-3.9213222873369937,3.9213222873369937,-3.9213222873369937,3.9213222873369937,3.9213222873369937,3.1899948120117188,2.371500015258789,79.77999877929688,78.6929998779297,79.15,79.60700012207032,0.0,1.0727885194297004,2.627378109060349,1.0,-2.627378109060349,0.9951036382639747,-1.0,-2.627378109060349,0.6970959535487409,-1.0,2.627378109060349,0.0,0.0,1.0,0.003846465,0.003846465,0.957613826,0.957613826,,1
2024-01-04,75.8499984741211,77.98999786376953,74.80000305175781,76.19999694824219,76.19999694824219,10670000.0,-3.9213222873369937,1.4099826702559335,2.387545926669346,2.829274257381004,3.867091406785576,81.09399871826172,82.48199996948242,77.86566645304362,77.40366643269857,84.06419975280761,80.05009072671956,81.25512968433517,79.54871288585036,80.07052068422013,81.89212513100132,81.25506677363308,79.82076729168375,1.4342994819493242,2.270715595689372,0.6561680052817039,-0.6561680052817039,-0.6561680052817039,0.6561680052817039,-0.6561680052817039,0.6561680052817039,-0.6561680052817039,0.6561680052817039,0.6561680052817039,2.0199966430664062,2.3924999237060547,77.98999786376953,74.56269874572754,75.0369987487793,75.51129875183105,0.0,1.0592858666306113,3.9213222873369937,1.0,-3.9213222873369937,0.9851696875963767,-1.0,3.9213222873369937,0.7316284927779269,-1.0,3.9213222873369937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9213222873369937,1
2024-01-05,76.16000366210938,77.08999633789062,75.06999969482422,75.69999694824219,75.69999694824219,6839500.0,-0.6561680052817039,1.2067246267632945,2.1095846129206204,2.819637174668643,3.8493786999595097,79.23799743652344,81.93499984741212,78.10933303833008,77.10999972025553,83.84999969482422,78.60005946722711,80.24510555050009,79.30040863181112,79.92722482402414,81.76950873134273,80.40044064664987,79.51552504402142,0.8849156026284533,1.9935555970771883,-2.9590562529290527,2.9590562529290527,2.9590562529290527,-2.9590562529290527,2.9590562529290527,-2.9590562529290527,2.9590562529290527,-2.9590562529290527,-2.9590562529290527,2.5500030517578125,2.386000061035156,77.08999633789062,72.72649803161622,73.20499801635742,73.68349800109863,1.0,1.0489783571344118,0.6561680052817039,1.0,-0.6561680052817039,0.9794997330742159,-1.0,0.6561680052817039,0.7324914991342114,-1.0,0.6561680052817039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6561680052817039,1
2024-01-08,76.33999633789062,78.72000122070312,76.16999816894531,77.94000244140625,77.94000244140625,6371300.0,2.9590562529290527,2.673602834104669,2.090806523554796,2.8026791123681987,3.861419603255884,78.11999816894532,81.36399993896484,78.42199986775717,76.82333310445149,83.6880997467041,78.38004045862016,79.8259958943012,79.21264049049468,79.86206999180716,81.69367692362121,80.021911691997,79.39881966604992,0.6230920259470878,1.7194628828511682,1.1675694554840406,-1.1675694554840406,-1.1675694554840406,1.1675694554840406,-1.1675694554840406,1.1675694554840406,-1.1675694554840406,1.1675694554840406,1.1675694554840406,2.1299972534179688,2.405999755859375,78.72000122070312,71.84079620361328,72.31799621582032,72.79519622802735,0.0,1.037514984011741,-2.9590562529290527,1.0,2.9590562529290527,0.9818861585191414,-1.0,-2.9590562529290527,0.7258157362657575,-1.0,-2.9590562529290527,0.0,1.0,1.0,0.28211388,0.1426356385,0.715675354,0.360625773,2.9590562529290527,1
2024-01-09,76.5999984741211,77.88999938964844,75.76000213623047,77.02999877929688,77.02999877929688,7559800.0,-1.1675694554840406,2.59657143763929,2.056898518065686,2.8179186565300003,3.85491473178382,77.23599853515626,80.66599960327149,78.68033320109049,76.55633303324382,83.5365997314453,77.9300265655124,79.31763278248224,79.07182489622386,79.76921519795437,81.60132686135736,79.56161739773545,79.22335145221636,0.3382659455190833,1.4432234953847511,1.8434352738519857,-1.8434352738519857,-1.8434352738519857,1.8434352738519857,-1.8434352738519857,1.8434352738519857,-1.8434352738519857,1.8434352738519857,1.8434352738519857,3.180000305175781,2.377499771118164,77.88999938964844,73.4268017578125,73.90800170898437,74.38920166015625,0.0,1.02523713768606,1.1675694554840406,1.0,-1.1675694554840406,0.9825057031041868,-1.0,1.1675694554840406,0.7309937709636547,-1.0,1.1675694554840406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1675694554840406,1
2024-01-10,76.0,76.3499984741211,73.16999816894531,75.61000061035156,75.61000061035156,11842800.0,-1.8434352738519857,2.5019227715573678,1.859617835729388,2.667868245717513,3.825689158986084,76.49599914550781,79.67999954223633,78.91133321126303,76.33083305358886,83.39239974975585,77.1566845804588,78.64351784209484,78.84848139390952,79.63284750655755,81.48268673757507,78.95367635352254,78.95569583430046,-0.0020194807779176,1.1541749001522177,1.560640517987551,-1.560640517987551,-1.560640517987551,1.560640517987551,-1.560640517987551,1.560640517987551,1.560640517987551,1.560640517987551,1.560640517987551,2.959999084472656,2.4589996337890625,76.3499984741211,72.65949989318848,73.1349998474121,73.61049980163574,0.0,1.0097408863808626,1.8434352738519857,1.0,-1.8434352738519857,0.981094013817879,-1.0,1.8434352738519857,0.6973562500369407,-1.0,1.8434352738519857,1.0,0.0,0.0,0.898056149,0.898056149,0.094549678,0.094549678,-1.8434352738519857,-1
2024-01-11,75.58999633789062,75.9000015258789,72.94000244140625,74.43000030517578,74.43000030517578,10264100.0,-1.560640517987551,1.9592211183965051,1.8448566350711904,2.6746823861461526,3.8083651774343146,76.14199981689453,78.61799926757813,79.08899993896485,76.04316635131836,83.22939971923829,76.24778982203114,77.87742374447319,78.5634180978622,79.46226235241389,81.34302958049786,78.25772619223842,78.62045912843936,-0.3627329362009419,0.8507933328815857,1.2898012636524183,1.2898012636524183,-1.2898012636524183,1.2898012636524183,-1.2898012636524183,1.2898012636524183,1.2898012636524183,1.2898012636524183,1.2898012636524183,2.0800018310546875,2.374999618530273,75.9000015258789,70.94019927978516,71.43199920654297,71.92379913330078,0.0,0.9940446753435976,1.560640517987551,-1.0,-1.560640517987551,0.9790743729814546,-1.0,1.560640517987551,0.7023177299263299,-1.0,1.560640517987551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.560640517987551,1
2024-01-12,74.19999694824219,75.33000183105469,73.25,73.47000122070312,73.47000122070312,5096800.0,-1.2898012636524183,1.9957391008322105,1.7944282119490484,2.541959482552977,3.810459265878877,75.69600067138671,77.46699905395508,79.15066655476888,75.73949966430663,83.03379974365234,75.32186028825514,77.07607419469682,78.23481055740034,79.265794774325,81.18712802881876,77.52115311969453,78.23894372786631,-0.7177906081717822,0.5370765446709121,-0.4491654084275368,-0.4491654084275368,0.4491654084275368,-0.4491654084275368,0.4491654084275368,-0.4491654084275368,-0.4491654084275368,-0.4491654084275368,-0.4491654084275368,2.279998779296875,2.288999557495117,75.33000183105469,70.6750023651123,71.15000228881836,71.62500221252441,1.0,0.9787283218941842,1.2898012636524183,-1.0,1.2898012636524183,0.9772404870801998,-1.0,1.2898012636524183,0.667100552764124,-1.0,1.2898012636524183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2898012636524183,1
2024-01-16,73.12999725341797,74.83000183105469,72.55000305175781,73.80000305175781,73.80000305175781,6901800.0,0.4491654084275368,0.8949651370154199,1.884783085638264,1.992514076736164,3.8024978592690224,74.86800079345703,76.49399948120117,79.23299992879232,75.47633310953776,82.84809974670411,74.81457454275603,76.48042489598063,77.94869394413308,79.08658848833919,81.04084832630271,76.94866849385811,77.91013330741383,-0.9614648135557218,0.2373682730255853,2.073179329841456,2.073179329841456,-2.073179329841456,2.073179329841456,-2.073179329841456,2.073179329841456,2.073179329841456,2.073179329841456,2.073179329841456,1.7000045776367188,2.260499954223633,74.83000183105469,70.29420280456543,70.75200271606445,71.20980262756348,0.0,0.9654310647072214,-0.4491654084275368,-1.0,-0.4491654084275368,0.9782186048849717,-1.0,-0.4491654084275368,0.5240013671221888,-1.0,-0.4491654084275368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4491654084275368,1
2024-01-17,72.31999969482422,72.4000015258789,70.69999694824219,72.2699966430664,72.2699966430664,8164300.0,-2.073179329841456,1.0017625159664325,1.8578559684983167,2.0138566104021947,3.794442584962189,73.91600036621094,75.5759994506836,79.16933314005534,75.23066635131836,82.64199974060058,73.96638190952616,75.71489248635986,77.58232637632234,78.86309367374008,80.86716809495148,76.22887282450554,77.49234540635106,-1.2634725818455197,-0.0627998979486355,-1.3145214082805168,-1.3145214082805168,1.3145214082805168,-1.3145214082805168,1.3145214082805168,-1.3145214082805168,-1.3145214082805168,-1.3145214082805168,-1.3145214082805168,2.6299972534179688,2.268000030517578,72.4000015258789,69.85690193176269,70.30900192260742,70.76110191345215,1.0,0.9546120505648958,2.073179329841456,-1.0,2.073179329841456,0.9769066491489942,-1.0,2.073179329841456,0.5307384590251383,-1.0,2.073179329841456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.073179329841456,1
