Date_SMCI_L01d,Open_SMCI_L01d,High_SMCI_L01d,Low_SMCI_L01d,Close_SMCI_L01d,Adj Close_SMCI_L01d,Volume_SMCI_L01d,Daily_Return_SMCI_L01d,Vol5_SMCI_L01d,Vol10_SMCI_L01d,Vol20_SMCI_L01d,Vol60_SMCI_L01d,SMA5_SMCI_L01d,SMA10_SMCI_L01d,SMA30_SMCI_L01d,SMA60_SMCI_L01d,SMA100_SMCI_L01d,EMA5_SMCI_L01d,EMA10_SMCI_L01d,EMA30_SMCI_L01d,EMA60_SMCI_L01d,EMA100_SMCI_L01d,Short12_SMCI_L01d,Long26_SMCI_L01d,MACD_SMCI_L01d,SIGNAL9_SMCI_L01d,Ret5/10_SMCI_L01d,Ret10/30_SMCI_L01d,Ret30/60_SMCI_L01d,Ret30/100_SMCI_L01d,Emaret5/10_SMCI_L01d,Emaret10/30_SMCI_L01d,Emaret30/60_SMCI_L01d,Emaret30/100_SMCI_L01d,RetMACD_SMCI_L01d,DayRange_SMCI_L01d,average20r_SMCI_L01d,PRVHI_SMCI_L01d,HitLevel_SMCI_L01d,hitlevel_2_SMCI_L01d,hitlevel_1.8_SMCI_L01d,positive_return_dummy,sma_ratio_L01d,RetMACD_L01d,R_sma_ratio_L01d,ret_sma_ratio_L01d,ema_ratio_L01d,R_ema_ratio_L01d,ret_ema_ratio_L01d,volatility_ratio_L01d,R_vol_ratio_L01d,ret_vol_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_best,best
2024-01-03,277.25,287.8900146484375,276.5199890136719,280.6400146484375,280.6400146484375,1677600.0,-1.6850577519348986,1.2415098039568035,2.1340652128604694,3.6765741456191434,3.9465207643426576,287.360009765625,294.3050018310547,284.8573338826497,276.8611666361491,271.44419998168945,286.4527807578123,289.0810693826914,284.72251397081067,278.6847580105647,268.88037726490046,289.0941633484912,285.7579171831312,3.3362461653599667,5.292418399888176,-2.9076299595955493,2.9076299595955493,2.9076299595955493,2.9076299595955493,-2.9076299595955493,-2.9076299595955493,2.9076299595955493,2.9076299595955493,-2.9076299595955493,19.21002197265625,14.013999938964847,287.8900146484375,257.1570013427734,259.8700012207031,262.5830010986328,1.0,1.033166314588541,1.6850577519348986,1.0,-1.6850577519348986,0.9909081261166925,-1.0,1.6850577519348986,0.931598834811027,-1.0,1.6850577519348986,0.0,0.0,2.0,0.014083145,0.0095506565,0.985004306,0.982665688,,1
2024-01-04,280.5,295.4800109863281,276.2699890136719,288.7999877929688,288.7999877929688,2311100.0,2.9076299595955493,2.1318768929877496,2.5037970599926256,3.6997305594087577,3.9640639559370494,286.1200073242188,291.5910003662109,284.3306666056315,276.84116643269857,271.7878999328613,287.2351831028645,289.02996363910546,284.9855767980467,279.0164048886763,269.27482499812953,289.0489055707185,285.98325574682286,3.065649823895626,4.847064684689666,-1.1530530576860247,1.1530530576860247,1.1530530576860247,1.1530530576860247,-1.1530530576860247,-1.1530530576860247,1.1530530576860247,1.1530530576860247,-1.1530530576860247,11.309997558593691,13.844999694824216,295.4800109863281,257.05921478271483,259.8620147705078,262.6648147583008,1.0,1.025534824812441,-2.9076299595955493,1.0,2.9076299595955493,0.9937903305468978,-1.0,-2.9076299595955493,0.9333175752292304,-1.0,-2.9076299595955493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9076299595955493,1
2024-01-05,288.7999877929688,298.8800048828125,287.5700073242188,292.1300048828125,292.1300048828125,2342000.0,1.1530530576860247,2.171581479407349,2.2367384090518407,3.5688194056961238,3.86121181643088,286.256005859375,290.59600219726565,284.4066665649414,276.5381665547689,272.01460006713864,288.86679036284715,289.59360750159766,285.4465076422252,279.4463589868447,269.7274028176282,289.5229208495022,286.43857049763693,3.0843503518652824,4.49452181812479,-9.636118654698514,9.636118654698514,9.636118654698514,9.636118654698514,-9.636118654698514,-9.636118654698514,9.636118654698514,9.636118654698514,-9.636118654698514,28.30001831054693,14.899500274658203,298.8800048828125,265.02101165771484,267.7900115966797,270.5590115356445,1.0,1.0217622733921075,-1.1530530576860247,1.0,1.1530530576860247,0.9974902169111364,-1.0,-1.1530530576860247,0.9242744442326322,-1.0,-1.1530530576860247,0.0,0.0,1.0,0.002713294,0.002713294,0.993480802,0.993480802,1.1530530576860247,1
2024-01-08,294.8900146484375,321.8200073242188,293.5199890136719,320.2799987792969,320.2799987792969,4262600.0,9.636118654698514,4.322917148217014,3.872641870251284,4.083313600079202,4.057106471470184,293.4600036621094,292.2060028076172,285.52733306884767,276.7285001118978,272.5752000427246,299.33785983499706,295.1729513702702,287.6938296510685,280.7851668488923,270.72844432181967,294.2547789925476,288.9453429629451,5.309436029602409,4.657504660420314,7.321722335583784,7.321722335583784,7.321722335583784,7.321722335583784,-7.321722335583784,7.321722335583784,7.321722335583784,7.321722335583784,7.321722335583784,31.970001220703068,15.518499755859375,321.8200073242188,266.10110427856443,269.0810043334961,272.06090438842773,1.0,1.0233906493889295,-9.636118654698514,1.0,9.636118654698514,1.0141100613907619,1.0,-9.636118654698514,1.0064595614616743,1.0,-9.636118654698514,0.0,2.0,4.0,0.068880938,0.0131221533333333,0.996812522,0.6516227006666667,9.636118654698514,1
2024-01-09,318.3299865722656,349.1799926757812,317.2099914550781,343.7300109863281,343.7300109863281,6703300.0,7.321722335583784,4.591543317840934,3.9063439103051074,4.147016814853132,4.102633080486253,305.1160034179687,297.6070037841797,287.4626663208008,277.5705004374186,273.4752001953125,314.13524355210745,304.0015076640989,291.30906715656914,282.8489322304476,272.1740198993347,301.86635314543685,293.0034665202328,8.862886625204055,5.498581053377063,-0.3927518867618811,-0.3927518867618811,-0.3927518867618811,-0.3927518867618811,0.3927518867618811,-0.3927518867618811,-0.3927518867618811,-0.3927518867618811,-0.3927518867618811,25.75,16.12199859619141,349.1799926757812,287.6793078613282,290.78300781250005,293.88670776367195,0.0,1.0352892345751017,7.321722335583784,1.0,7.321722335583784,1.0333344922065508,1.0,7.321722335583784,1.010818353358965,1.0,7.321722335583784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.321722335583784,1
2024-01-10,347.0,357.989990234375,332.239990234375,342.3800048828125,342.3800048828125,5345400.0,-0.3927518867618811,4.222440140229828,3.967467787689985,3.9953678880177104,4.083961611275403,317.46400146484376,302.4120056152344,289.19633331298826,278.5235003153483,274.45840026855467,323.5501639956758,310.9794162493195,294.6039663647139,284.80077067806604,273.56423742376006,308.0992226434946,296.6609878804239,11.43823476307074,6.686511795315798,0.2716258725738433,0.2716258725738433,0.2716258725738433,0.2716258725738433,-0.2716258725738433,0.2716258725738433,0.2716258725738433,0.2716258725738433,0.2716258725738433,24.440002441406197,16.828999328613282,357.989990234375,313.7115957641601,316.9359954833984,320.16039520263666,1.0,1.0456979248348326,-0.3927518867618811,1.0,-0.3927518867618811,1.0404230861899812,1.0,-0.3927518867618811,0.9783069157621133,-1.0,-0.3927518867618811,0.0,0.0,4.0,0.001875337,0.00156812675,0.997888625,0.996130541,-0.3927518867618811,1
2024-01-11,344.8399963378906,355.1799926757812,330.739990234375,343.3099975585938,343.3099975585938,4172900.0,0.2716258725738433,4.563266810028101,3.9658115642082903,4.0033575739332745,4.076425350660854,328.3660034179687,307.2430053710938,291.11966705322266,279.38383356730145,275.45600021362304,330.1367751833152,316.8577037600967,297.7462909578675,286.7191059856244,274.9453415848459,313.5162649381253,300.11647007880686,13.399794859318432,8.029168408116327,-1.09230725194945,-1.09230725194945,-1.09230725194945,-1.09230725194945,1.09230725194945,-1.09230725194945,-1.09230725194945,-1.09230725194945,-1.09230725194945,11.19000244140625,16.733000183105467,355.1799926757812,320.9661917114258,324.3319915771484,327.6977914428711,0.0,1.055383885537776,0.2716258725738433,1.0,0.2716258725738433,1.0419086273290439,1.0,0.2716258725738433,0.9820755268544943,-1.0,-0.2716258725738433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2716258725738433,1
2024-01-12,345.5299987792969,349.4800109863281,338.2900085449219,339.5599975585938,339.5599975585938,2286900.0,-1.09230725194945,4.957476564792336,3.957245682100687,4.020305764031846,4.072058089546289,337.852001953125,312.05400390625,292.85066680908204,280.06750005086263,276.3252001953125,333.2778493084081,320.9853935416416,300.44394944823694,288.45159423391846,276.2248397229399,317.522993033582,303.0382128550873,14.484780178494644,9.320290762191991,-3.902108639199647,-3.902108639199647,-3.902108639199647,-3.902108639199647,3.902108639199647,-3.902108639199647,-3.902108639199647,-3.902108639199647,-3.902108639199647,27.690002441406197,17.196000671386717,349.4800109863281,318.36739227294913,321.71399230957024,325.06059234619136,0.0,1.065573820631548,-1.09230725194945,1.0,-1.09230725194945,1.0382959973073411,1.0,-1.09230725194945,0.987290867572027,-1.0,1.09230725194945,0.0,0.0,2.0,0.013824788,0.0076049874999999,0.996962607,0.9653528035,-1.09230725194945,1
2024-01-16,340.5499877929688,352.0,324.3099975585938,326.3099975585938,326.3099975585938,4732900.0,-3.902108639199647,4.161784267751339,4.143075354320952,3.860510246200087,4.060333285384127,339.0580017089844,316.2590026855469,294.6120000203451,280.7555000305176,277.00740020751954,330.9552320584701,321.9535033629056,302.1127267456793,289.69285335931767,277.2166250266162,318.8748398835838,304.7620487590508,14.112791124532976,10.278790834660189,-2.476168867861549,-2.476168867861549,-2.476168867861549,-2.476168867861549,2.476168867861549,-2.476168867861549,-2.476168867861549,-2.476168867861549,-2.476168867861549,16.25,17.536000061035153,352.0,311.6488095092773,315.0880096435547,318.527209777832,0.0,1.07347631007463,-3.902108639199647,1.0,-3.902108639199647,1.0279597165476957,1.0,-3.902108639199647,0.9507865425965555,-1.0,3.902108639199647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.902108639199647,1
2024-01-17,320.510009765625,322.0,305.75,318.2300109863281,318.2300109863281,3585800.0,-2.476168867861549,1.6772163987818445,4.321494280598125,3.9049683549345326,3.962924551962325,333.9580017089844,319.53700256347656,296.2320002237956,281.6418337504069,277.4136004638672,326.7134917010894,321.2765047489824,303.1525515353986,290.62849787167863,278.02877128324417,318.77563543785215,305.75967559070097,13.01595984715118,10.826224637158388,-2.1336795118338623,-2.1336795118338623,-2.1336795118338623,-2.1336795118338623,2.1336795118338623,-2.1336795118338623,-2.1336795118338623,-2.1336795118338623,-2.1336795118338623,27.529998779296875,17.682501220703116,322.0,313.42079986572264,316.92799987792966,320.43519989013674,0.0,1.0786714545426377,-2.476168867861549,1.0,-2.476168867861549,1.0169230767632853,1.0,-2.476168867861549,0.9853753973188578,-1.0,2.476168867861549,0.0,0.0,1.0,0.002692636,0.002692636,0.995920777,0.995920777,-2.476168867861549,1
