Date_FFIV_L01d,Open_FFIV_L01d,High_FFIV_L01d,Low_FFIV_L01d,Close_FFIV_L01d,Adj Close_FFIV_L01d,Volume_FFIV_L01d,Daily_Return_FFIV_L01d,Vol5_FFIV_L01d,Vol10_FFIV_L01d,Vol20_FFIV_L01d,Vol60_FFIV_L01d,SMA5_FFIV_L01d,SMA10_FFIV_L01d,SMA30_FFIV_L01d,SMA60_FFIV_L01d,SMA100_FFIV_L01d,EMA5_FFIV_L01d,EMA10_FFIV_L01d,EMA30_FFIV_L01d,EMA60_FFIV_L01d,EMA100_FFIV_L01d,Short12_FFIV_L01d,Long26_FFIV_L01d,MACD_FFIV_L01d,SIGNAL9_FFIV_L01d,Ret5/10_FFIV_L01d,Ret10/30_FFIV_L01d,Ret30/60_FFIV_L01d,Ret30/100_FFIV_L01d,Emaret5/10_FFIV_L01d,Emaret10/30_FFIV_L01d,Emaret30/60_FFIV_L01d,Emaret30/100_FFIV_L01d,RetMACD_FFIV_L01d,DayRange_FFIV_L01d,average20r_FFIV_L01d,PRVHI_FFIV_L01d,HitLevel_FFIV_L01d,hitlevel_2_FFIV_L01d,hitlevel_1.8_FFIV_L01d,positive_return_dummy,sma_ratio_L01d,RetMACD_L01d,R_sma_ratio_L01d,ret_sma_ratio_L01d,ema_ratio_L01d,R_ema_ratio_L01d,ret_ema_ratio_L01d,volatility_ratio_L01d,R_vol_ratio_L01d,ret_vol_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_best,best
2024-01-03,175.4100036621094,175.9499969482422,173.2599945068359,174.0899963378906,174.0899963378906,451100.0,-1.2199325285182698,0.6462729818146011,0.802284127862715,1.037117484219243,1.1972216822348178,177.7699981689453,178.19699859619138,173.55433400472006,163.9803332010905,162.03320053100586,176.84233177381913,177.2057581439313,173.08417626578853,167.76094747014525,163.42807614629166,176.9982264129529,174.00993834853315,2.9882880644197485,3.827778080199206,1.3268985049033075,-1.3268985049033075,-1.3268985049033075,-1.3268985049033075,1.3268985049033075,1.3268985049033075,-1.3268985049033075,-1.3268985049033075,1.3268985049033075,1.8500061035157105,2.459497833251957,175.9499969482422,172.55979980468751,173.06799926757816,173.57619873046878,0.0,0.9976037731801887,1.2199325285182698,-1.0,-1.2199325285182698,1.031731036787275,1.0,-1.2199325285182698,0.8662702151228057,-1.0,1.2199325285182698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1
2024-01-04,173.0299987792969,173.2799987792969,171.4299926757812,171.7799987792969,171.7799987792969,429100.0,-1.3268985049033075,0.6338886573253809,0.8642198962616021,0.9998389944040552,1.21204407627238,176.15799865722656,177.48099822998046,173.8066670735677,164.24366658528646,162.18000045776367,175.15488744231175,176.2192564412705,173.00003578278907,167.89271964421576,163.59346075288582,176.19542216162122,173.84475763970084,2.350664521920379,3.532355368543441,0.1921072496214781,-0.1921072496214781,-0.1921072496214781,-0.1921072496214781,0.1921072496214781,0.1921072496214781,-0.1921072496214781,-0.1921072496214781,0.1921072496214781,1.5599975585937784,2.4179977416992218,173.2799987792969,170.5391017150879,171.03100128173827,171.52290084838867,0.0,0.9925456832790654,1.3268985049033075,-1.0,1.3268985049033075,1.0304201167828855,1.0,-1.3268985049033075,0.8249196658582271,-1.0,1.3268985049033075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3268985049033075,1
2024-01-05,171.7799987792969,172.6100006103516,171.0500030517578,171.4499969482422,171.4499969482422,447200.0,-0.1921072496214781,0.5973386601937073,0.8237636981783435,0.980154474442104,1.2048941901559125,174.50799865722655,176.93899841308593,173.9903335571289,164.46966654459635,162.31500045776366,173.91992394428857,175.35211835162897,172.90003327733444,168.00935168697072,163.7490357270513,175.46535674417828,173.66736795885203,1.7979887853262255,3.185482051899998,-1.883928716845697,1.883928716845697,1.883928716845697,1.883928716845697,-1.883928716845697,-1.883928716845697,1.883928716845697,1.883928716845697,-1.883928716845697,3.300003051757784,2.468498229980466,172.6100006103516,167.96040374755862,168.44400329589843,168.9276028442383,1.0,0.9862608030018125,0.1921072496214781,-1.0,0.1921072496214781,1.0291095795636178,1.0,-0.1921072496214781,0.8134776335134231,-1.0,0.1921072496214781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1921072496214781,1
2024-01-08,171.5299987792969,174.8300018310547,171.5299987792969,174.6799926757812,174.6799926757812,365300.0,1.883928716845697,1.4177546017628104,1.042055721709964,1.0593334821381342,1.2236868161410204,173.647998046875,176.597998046875,174.24399973551434,164.75883305867512,162.5063003540039,174.17328018811946,175.229913683293,173.01486936755683,168.22806122758746,163.96549032009543,175.34453150288644,173.7423771971431,1.6021543057433405,2.8688165026686665,0.3434800033682921,-0.3434800033682921,-0.3434800033682921,-0.3434800033682921,0.3434800033682921,0.3434800033682921,-0.3434800033682921,-0.3434800033682921,0.3434800033682921,1.810012817382784,2.4649993896484306,174.8300018310547,167.17930450439457,167.67300415039065,168.16670379638674,0.0,0.9832953938740745,-1.883928716845697,-1.0,-1.883928716845697,1.028454278703798,1.0,1.883928716845697,0.8656900345456155,-1.0,-1.883928716845697,0.0,0.0,2.0,0.001713588,0.001576266,0.997298419,0.9969207045,1.883928716845697,1
2024-01-09,173.8200073242188,175.1000061035156,173.2899932861328,174.0800018310547,174.0800018310547,288900.0,-0.3434800033682921,1.2908999462590975,1.0134555486579333,1.0455156413941056,1.2063246593108057,173.21599731445312,176.10699768066405,174.44366658528645,165.07666651407877,162.69110031127929,174.1421874024312,175.02083880106784,173.0835875910083,168.41992813261916,164.16577767674812,175.1499884764508,173.7673864292847,1.3826020471661025,2.571573611568154,-0.942095227710323,0.942095227710323,0.942095227710323,0.942095227710323,-0.942095227710323,-0.942095227710323,0.942095227710323,0.942095227710323,-0.942095227710323,2.5500030517578125,2.452500152587885,175.1000061035156,169.40700317382814,169.90000305175784,170.3930029296875,1.0,0.9835838416173944,0.3434800033682921,-1.0,0.3434800033682921,1.0276906629167828,1.0,-0.3434800033682921,0.8666950752639235,-1.0,0.3434800033682921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3434800033682921,1
2024-01-10,173.8600006103516,175.7799987792969,173.2299957275391,175.7200012207031,175.7200012207031,205500.0,0.942095227710323,1.2416312869753787,1.042509371300641,1.006954037495749,1.1388959504160427,173.54199829101563,175.65599822998047,174.71499989827473,165.49683329264323,162.8963003540039,174.66812534185516,175.14795924100153,173.2536787929241,168.65927479124483,164.394574182569,175.23768274479733,173.91202456198235,1.3256581828149765,2.3223905258175184,-0.3129996858280307,0.3129996858280307,0.3129996858280307,0.3129996858280307,-0.3129996858280307,-0.3129996858280307,0.3129996858280307,0.3129996858280307,-0.3129996858280307,1.8699951171875,2.389499664306635,175.7799987792969,169.70450576782224,170.19500579833982,170.6855058288574,1.0,0.9879651138573871,-0.942095227710323,-1.0,-0.942095227710323,1.027240743252133,1.0,0.942095227710323,0.884149282581877,-1.0,-0.942095227710323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.942095227710323,1
2024-01-11,176.0599975585938,176.8899993896484,175.0200042724609,176.2700042724609,176.2700042724609,231500.0,0.3129996858280307,0.9129631900303984,1.0576367900967425,0.9814130087612648,1.1078237156452548,174.43999938964845,175.2989990234375,174.95733337402345,165.86899998982747,163.1058003234863,175.2020849853904,175.35196742853958,173.44828043676517,168.90880690538307,164.629731214052,175.39650144136095,174.0866897257215,1.309811715639455,2.119874763781905,0.06808326605076,-0.06808326605076,-0.06808326605076,-0.06808326605076,0.06808326605076,0.06808326605076,-0.06808326605076,-0.06808326605076,0.06808326605076,1.4700012207032105,2.1824996948242203,176.8899993896484,170.52309951782232,171.00099945068362,171.47889938354496,0.0,0.9950998029733519,-0.3129996858280307,-1.0,-0.3129996858280307,1.0268752921446243,1.0,0.3129996858280307,0.8858927597425897,-1.0,-0.3129996858280307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3129996858280307,1
2024-01-12,176.8000030517578,177.5700073242188,176.1000061035156,176.1499938964844,176.1499938964844,206600.0,-0.06808326605076,0.8901552492770352,1.0577617408270752,0.962367661905042,1.1028615820240044,175.37999877929684,174.94399871826172,175.160666402181,166.25516662597656,163.30560028076172,175.51805462242174,175.4970631499841,173.62258453094063,169.1462228723044,164.8578552275655,175.5124233575338,174.23952707170392,1.2728962858298871,1.950479068191502,0.0056825239692499,-0.0056825239692499,0.0056825239692499,0.0056825239692499,-0.0056825239692499,0.0056825239692499,0.0056825239692499,0.0056825239692499,-0.0056825239692499,2.1000061035155966,2.066500091552736,177.5700073242188,172.08850006103512,172.52499999999998,172.9614999389648,1.0,1.0024922264509186,0.06808326605076,1.0,0.06808326605076,1.0264644494131898,1.0,-0.06808326605076,0.8726096525539281,-1.0,0.06808326605076,0.0,0.0,1.0,0.001391849,0.001391849,0.997084677,0.997084677,-0.06808326605076,1
2024-01-16,175.4400024414062,176.7100067138672,174.6100006103516,176.1600036621094,176.1600036621094,319900.0,0.0056825239692499,0.4908985169195429,1.0567578912986475,0.8827022566621501,1.0846455380684945,175.6760009765625,174.66199951171876,175.32633310953776,166.67466659545897,163.5063003540039,175.73203763565098,175.6175977885523,173.78628899101605,169.37618289819966,165.08166014706143,175.61205109669928,174.38178459691915,1.2302664997801287,1.806436554509228,0.7095821832506382,-0.7095821832506382,0.7095821832506382,0.7095821832506382,-0.7095821832506382,0.7095821832506382,0.7095821832506382,0.7095821832506382,-0.7095821832506382,2.5399932861328125,2.066500091552736,176.7100067138672,173.0237071228028,173.43700714111333,173.8503071594239,1.0,1.005805507023156,-0.0056825239692499,1.0,0.0056825239692499,1.0260373449050213,1.0,0.0056825239692499,0.8138163350895637,-1.0,-0.0056825239692499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056825239692499,1
2024-01-17,175.6100006103516,178.1499938964844,175.6100006103516,177.4100036621094,177.4100036621094,498500.0,0.7095821832506382,0.4387355845064075,0.96592622614365,0.8931707834871431,1.056753311045033,176.34200134277344,174.77899932861328,175.48666636149088,167.15633341471354,163.69760040283202,176.29135964447045,175.94348976556267,174.0200770343124,169.6395868576721,165.32578576122077,175.88865918368543,174.60609712026655,1.2825620634188797,1.701661656291158,1.5669909936936277,-1.5669909936936277,1.5669909936936277,1.5669909936936277,-1.5669909936936277,1.5669909936936277,1.5669909936936277,1.5669909936936277,-1.5669909936936277,2.489990234375,2.0519996643066465,178.1499938964844,172.16370651245117,172.5770065307617,172.99030654907227,1.0,1.008942733510114,-0.7095821832506382,1.0,0.7095821832506382,1.0258223346200173,1.0,0.7095821832506382,0.8452027300523699,-1.0,-0.7095821832506382,0.0,0.0,1.0,0.001646658,0.001646658,0.996902227,0.996902227,0.7095821832506382,1
