Date_FFIV_L01d,Open_FFIV_L01d,High_FFIV_L01d,Low_FFIV_L01d,Close_FFIV_L01d,Adj Close_FFIV_L01d,Volume_FFIV_L01d,Daily_Return_FFIV_L01d,Vol5_FFIV_L01d,Vol10_FFIV_L01d,Vol20_FFIV_L01d,Vol60_FFIV_L01d,SMA5_FFIV_L01d,SMA10_FFIV_L01d,SMA30_FFIV_L01d,SMA60_FFIV_L01d,SMA100_FFIV_L01d,EMA5_FFIV_L01d,EMA10_FFIV_L01d,EMA30_FFIV_L01d,EMA60_FFIV_L01d,EMA100_FFIV_L01d,Short12_FFIV_L01d,Long26_FFIV_L01d,MACD_FFIV_L01d,SIGNAL9_FFIV_L01d,Ret5/10_FFIV_L01d,Ret10/30_FFIV_L01d,Ret30/60_FFIV_L01d,Ret30/100_FFIV_L01d,Emaret5/10_FFIV_L01d,Emaret10/30_FFIV_L01d,Emaret30/60_FFIV_L01d,Emaret30/100_FFIV_L01d,RetMACD_FFIV_L01d,DayRange_FFIV_L01d,average20r_FFIV_L01d,PRVHI_FFIV_L01d,HitLevel_FFIV_L01d,hitlevel_2_FFIV_L01d,hitlevel_1.8_FFIV_L01d,positive_return_dummy,sma_ratio_L01d,ema_ratio_L01d,volatility_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_logit,logit,ret_tree,tree,ret_xgb,xgb,ret_rf,rf
2023-01-03,144.2100067138672,146.1799926757812,143.6499938964844,144.8500061035156,144.8500061035156,414300.0,0.9337409574047875,1.7206710752816994,1.4913214066354215,1.7768640165540324,2.4366781137076674,142.30799865722653,141.93699951171874,148.51333312988282,145.8753328959147,150.48109954833984,143.11092731073649,143.4037835262725,145.91677409064118,147.71659845151765,151.1973491400671,143.76044216029845,145.6227111115253,-1.862268951226838,-1.6088981531620972,0.29685375054386737,-0.29685375054386737,0.29685375054386737,-0.29685375054386737,0.29685375054386737,-0.29685375054386737,-0.29685375054386737,-0.29685375054386737,-0.29685375054386737,3.7100067138671875,3.6864997863769333,146.1799926757812,135.71340026855475,136.44400024414068,137.1746002197266,1.0,1.0026138297046159,0.9979578208584549,0.8392996834544609,0.0,0.0,1.0,0.001362875,0.001362875,0.9974492192268372,0.9974492192268372,,-1,,1,,1,,-1
2023-01-04,145.9299926757812,147.6100006103516,143.8999938964844,145.2799987792969,145.2799987792969,552900.0,0.29685375054386737,1.7119165544092034,1.3577119496505874,1.7333947995228078,2.3375161851909683,143.1259979248047,142.29299926757812,148.3769999186198,145.89383290608723,150.23149948120118,143.83395113358998,143.74491357227691,145.87569181248995,147.63670993767434,151.08017388539838,143.99422010168283,145.5973250128417,-1.60310491115888,-1.6077395047614538,-3.599942023323028,3.599942023323028,-3.599942023323028,3.599942023323028,-3.599942023323028,-3.599942023323028,3.599942023323028,3.599942023323028,-3.599942023323028,5.160003662109403,3.7879997253417783,147.6100006103516,138.06969314575193,138.80699310302734,139.54429306030272,0.0,1.0058541085050863,1.00061941364811,0.783267579909872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29685375054386737,1,0.29685375054386737,-1,0.29685375054386737,1,-0.29685375054386737,1
2023-01-05,143.8399963378906,144.4199981689453,139.2599945068359,140.0500030517578,140.0500030517578,542100.0,-3.599942023323028,2.4199605416700583,1.7970282895105223,1.8881938384395127,2.383656138915351,143.3679992675781,142.0009994506836,147.95233357747395,145.83566640218098,149.9054995727539,142.5726351063126,143.07311165945526,145.4998409247008,147.3879654496115,150.86175466096984,143.38741747861744,145.18641227498364,-1.7989947963662019,-1.6459905630824037,1.1353061786817575,-1.1353061786817575,1.1353061786817575,-1.1353061786817575,1.1353061786817575,-1.1353061786817575,-1.1353061786817575,-1.1353061786817575,-1.1353061786817575,2.789993286132784,3.771999359130838,144.4199981689453,139.27640121459967,140.03400115966804,140.7916011047364,1.0,1.009626691517543,0.9965019524120373,0.9517181196797392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.599942023323028,1,3.599942023323028,1,-3.599942023323028,1,-3.599942023323028,1
2023-01-06,141.6600036621094,142.5899963378906,139.8000030517578,141.6399993896484,141.6399993896484,541800.0,1.1353061786817575,1.9415624064943795,1.836500697510306,1.9138688876180532,2.3524097644674598,143.06600036621094,141.9539993286133,147.4366668701172,145.87899983723958,149.58929962158203,142.2617565340912,142.81254579221763,145.2508188901813,147.19950754600617,150.67914564569614,143.11858392646838,144.92371502421807,-1.805131097749694,-1.6778186700158617,1.2425829669726909,-1.2425829669726909,1.2425829669726909,-1.2425829669726909,1.2425829669726909,-1.2425829669726909,-1.2425829669726909,-1.2425829669726909,-1.2425829669726909,4.309997558593807,3.789498901367169,142.5899963378906,136.12159957885746,136.87599945068365,137.63039932250982,1.0,1.0078335308822364,0.9961432712016226,0.9595749789297022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1353061786817575,1,1.1353061786817575,-1,1.1353061786817575,1,1.1353061786817575,-1
2023-01-09,142.3399963378906,146.6499938964844,142.3399963378906,143.3999938964844,143.3999938964844,499400.0,1.2425829669726909,2.046490584673247,1.7980385104448908,1.8480610705448008,2.3573731598306265,143.04400024414062,142.29199829101563,147.02566680908203,145.94916636149088,149.29379959106444,142.64116898822226,142.91935453844795,145.13141082607183,147.07493332798907,150.53500402689986,143.1618777680093,144.81084679253408,-1.6489690245247743,-1.6720487409176443,0.3765750124868231,-0.3765750124868231,0.3765750124868231,-0.3765750124868231,0.3765750124868231,-0.3765750124868231,-0.3765750124868231,-0.3765750124868231,0.3765750124868231,1.75,3.668498992919905,146.6499938964844,134.2530987548828,135.01099853515626,135.76889831542968,1.0,1.0052849208821075,0.9980535487924356,0.9729324095955533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2425829669726909,1,-1.2425829669726909,1,1.2425829669726909,1,-1.2425829669726909,1
2023-01-10,143.0,144.75,143.0,143.9400024414062,143.9400024414062,241400.0,0.3765750124868231,1.9976391269358247,1.791801944431664,1.8247850447044642,2.3493889428004597,142.86199951171875,142.58499908447263,146.64800008138022,145.9914998372396,149.0306996154785,143.07411347261692,143.10492688444035,145.05454576899663,146.97214870875683,150.404409936098,143.2815892562242,144.74633980356163,-1.4647505473374167,-1.6305891022015988,2.5010356979756696,-2.5010356979756696,2.5010356979756696,-2.5010356979756696,2.5010356979756696,-2.5010356979756696,-2.5010356979756696,-2.5010356979756696,2.5010356979756696,4.070007324218807,3.624499511718736,144.75,138.5792961120606,139.3129959106446,140.04669570922857,1.0,1.001942703854015,0.999784679587948,0.9819249393957291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3765750124868231,1,0.3765750124868231,1,0.3765750124868231,1,0.3765750124868231,-1
2023-01-11,144.8899993896484,147.5700073242188,143.5,147.5399932861328,147.5399932861328,533900.0,2.5010356979756696,2.3260120955985895,1.9300067716969365,1.7903955781661465,2.3683034485609493,143.31399841308593,143.21999816894532,146.5189997355143,146.10983301798504,148.76909957885744,144.5627400771222,143.91130259383897,145.2148972217151,146.99076656375277,150.3476888143165,143.9367283377486,144.95327709856687,-1.0165487608182673,-1.5077810339249327,-0.1762196818944452,0.1762196818944452,-0.1762196818944452,0.1762196818944452,-0.1762196818944452,-0.1762196818944452,0.1762196818944452,0.1762196818944452,-0.1762196818944452,3.7200012207030966,3.489498901367172,147.5700073242188,136.7761010742188,137.50100097656252,138.2259008789063,0.0,1.000656334627443,1.004526659626741,1.077977847595999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5010356979756696,1,2.5010356979756696,1,2.5010356979756696,1,-2.5010356979756696,1
2023-01-12,148.1100006103516,148.2700042724609,144.5500030517578,147.2799987792969,147.2799987792969,484900.0,-0.1762196818944452,1.0125656534737346,1.8012691912310796,1.7835156796944183,2.360885230573582,144.75999755859374,144.06399841308593,146.43433278401693,146.18733291625978,148.52649963378906,145.46849297784712,144.52379280937677,145.3481295802688,147.00024958721323,150.2869424769894,144.45107763644833,145.125626852695,-0.6745492162466746,-1.3411346703892812,-0.4820691614358567,0.4820691614358567,-0.4820691614358567,0.4820691614358567,-0.4820691614358567,-0.4820691614358567,0.4820691614358567,0.4820691614358567,-0.4820691614358567,1.4700012207030966,3.3344993591308425,148.2700042724609,139.89310974121102,140.59100952148447,141.28890930175788,0.0,1.0048311802613732,1.0065366411308925,1.0099542222918405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1762196818944452,1,-0.1762196818944452,1,-0.1762196818944452,1,-0.1762196818944452,1
2023-01-13,145.9799957275391,147.2200012207031,145.75,146.5700073242188,146.5700073242188,502000.0,-0.4820691614358567,1.2049364888868055,1.5937889693224945,1.7547371806460021,2.3568899360759703,145.74599914550782,144.40599975585937,146.1663330078125,146.223166402181,148.33149963378906,145.8356644266377,144.8958318120753,145.42696040245914,146.98614328350848,150.2133398006969,144.77706681918227,145.23261799873382,-0.45555117955154856,-1.1640179722217348,0.36160111401537354,-0.36160111401537354,-0.36160111401537354,-0.36160111401537354,0.36160111401537354,0.36160111401537354,-0.36160111401537354,-0.36160111401537354,0.36160111401537354,2.75,3.213499450683578,147.2200012207031,140.93410568237306,141.60100555419922,142.26790542602538,1.0,1.0092793886120655,1.0064862639788101,0.9082778816687209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4820691614358567,1,-0.4820691614358567,1,-0.4820691614358567,1,-0.4820691614358567,1
2023-01-17,146.5700073242188,148.1900024414062,145.4400024414062,147.1000061035156,147.1000061035156,786100.0,0.36160111401537354,1.1682203381646994,1.5941965710791752,1.5360732875619334,2.349471553058721,146.48600158691406,144.76500091552734,145.9019999186198,146.30149993896484,148.1445997619629,146.2571116522637,145.29659077415533,145.53489883478537,146.98987649072183,150.15168962847548,145.13444209369507,145.37094304353246,-0.23650094983739223,-0.9785145677448662,-2.3113589491497315,2.3113589491497315,2.3113589491497315,2.3113589491497315,-2.3113589491497315,-2.3113589491497315,2.3113589491497315,2.3113589491497315,-2.3113589491497315,6.0699920654296875,3.404998779296862,148.1900024414062,140.15030242919923,140.79300231933593,141.43570220947265,0.0,1.0118882372155058,1.006610759915223,1.0378388739573068,2.0,0.0,0.0,0.9174711108207704,0.7383033931255341,0.3864801824092865,0.2258639297046432,0.36160111401537354,-1,0.36160111401537354,-1,0.36160111401537354,1,0.36160111401537354,1
