Date_APH_L01d,Open_APH_L01d,High_APH_L01d,Low_APH_L01d,Close_APH_L01d,Adj Close_APH_L01d,Volume_APH_L01d,Daily_Return_APH_L01d,Vol5_APH_L01d,Vol10_APH_L01d,Vol20_APH_L01d,Vol60_APH_L01d,SMA5_APH_L01d,SMA10_APH_L01d,SMA30_APH_L01d,SMA60_APH_L01d,SMA100_APH_L01d,EMA5_APH_L01d,EMA10_APH_L01d,EMA30_APH_L01d,EMA60_APH_L01d,EMA100_APH_L01d,Short12_APH_L01d,Long26_APH_L01d,MACD_APH_L01d,SIGNAL9_APH_L01d,Ret5/10_APH_L01d,Ret10/30_APH_L01d,Ret30/60_APH_L01d,Ret30/100_APH_L01d,Emaret5/10_APH_L01d,Emaret10/30_APH_L01d,Emaret30/60_APH_L01d,Emaret30/100_APH_L01d,RetMACD_APH_L01d,DayRange_APH_L01d,average20r_APH_L01d,PRVHI_APH_L01d,HitLevel_APH_L01d,hitlevel_2_APH_L01d,hitlevel_1.8_APH_L01d,positive_return_dummy,sma_ratio_L01d,ema_ratio_L01d,volatility_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_logit,logit,ret_tree,tree,ret_xgb,xgb,ret_rf,rf
2023-01-03,76.70999908447266,76.87999725341797,75.5,76.4000015258789,76.4000015258789,2542600.0,0.34147903639964716,1.5710940819858223,1.3441486330918633,1.6861872102520652,1.970515507531123,76.08000030517579,76.12299957275391,78.39000040690104,75.97750002543131,75.18129997253418,76.2351519026626,76.57280122261622,77.25686844411015,76.43364495302446,75.42686079235291,76.74027664428345,77.2797312793514,-0.5394546350679406,-0.23855156600063915,-1.4790539670803615,-1.4790539670803615,1.4790539670803615,1.4790539670803615,-1.4790539670803615,-1.4790539670803615,-1.4790539670803615,1.4790539670803615,-1.4790539670803615,1.3600006103515625,1.5224998474121094,76.87999725341797,72.9270026397705,73.23000259399414,73.53300254821778,1.0,0.999435134350729,0.9955904797191368,0.7971526678173112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,-1,,1,,1
2023-01-04,77.44999694824219,77.93000030517578,76.56999969482422,77.52999877929688,77.52999877929688,2131600.0,1.4790539670803615,1.6720435541993202,1.2196624586756604,1.7054960270459427,1.933014922819345,76.31600036621094,76.28099975585937,78.31733373006185,76.10016670227051,75.17769996643067,76.66676752820736,76.7468371420127,77.27448975605769,76.46959098011536,75.46850708912409,76.86177235736244,77.29826961268068,-0.436497255318244,-0.2781407038641601,-1.0705557127860112,1.0705557127860112,-1.0705557127860112,-1.0705557127860112,1.0705557127860112,1.0705557127860112,1.0705557127860112,-1.0705557127860112,1.0705557127860112,0.9199981689453125,1.4744998931884765,77.93000030517578,73.53049758911133,73.83499755859376,74.13949752807618,0.0,1.0004588378556074,0.9989567047087924,0.7151364994899546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4790539670803615,1,-1.4790539670803615,-1,1.4790539670803615,1,1.4790539670803615,1
2023-01-05,76.81999969482422,77.38999938964844,76.47000122070312,76.69999694824219,76.69999694824219,3413200.0,-1.0705557127860112,1.4137444218943427,1.282520631891883,1.688714599615564,1.9313764100217081,76.6779998779297,76.32799911499023,78.22166697184245,76.22316665649414,75.14989990234375,76.6778440015523,76.73832074314532,77.23742570394057,76.47714527415229,75.4928930269284,76.83688383288239,77.25395311901858,-0.4170692861361829,-0.3059264203185647,2.4380740821201403,-2.4380740821201403,2.4380740821201403,2.4380740821201403,-2.4380740821201403,-2.4380740821201403,-2.4380740821201403,2.4380740821201403,-2.4380740821201403,1.7300033569335938,1.5049999237060547,77.38999938964844,74.68610054016114,74.98100051879882,75.27590049743652,1.0,1.0045854832695427,0.9992119094996169,0.7594655912750733,0.0,0.0,1.0,0.004066718,0.004066718,0.9783147573471068,0.9783147573471068,-1.0705557127860112,1,1.0705557127860112,1,-1.0705557127860112,1,-1.0705557127860112,1
2023-01-06,77.9800033569336,79.12000274658203,77.38999938964844,78.56999969482422,78.56999969482422,1821100.0,2.4380740821201403,1.4555612483252451,1.4793497497803423,1.7794683303728895,1.9233115709774657,77.06799926757813,76.50699920654297,78.17133356730143,76.40466664632162,75.13929992675781,77.30856256597627,77.07135327981422,77.32339821948146,76.54576345187924,75.55382583223327,77.10351704241191,77.35143805055974,-0.24792100814782714,-0.2943253378844172,0.7000166143491073,-0.7000166143491073,0.7000166143491073,0.7000166143491073,-0.7000166143491073,0.7000166143491073,-0.7000166143491073,0.7000166143491073,0.7000166143491073,1.779998779296875,1.5364997863769532,79.12000274658203,74.07899955749512,74.37999954223633,74.68099952697754,1.0,1.007332663244583,1.0030777879986206,0.8313436797553699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4380740821201403,1,2.4380740821201403,-1,2.4380740821201403,1,2.4380740821201403,-1
2023-01-09,79.05999755859375,80.41999816894531,78.63999938964844,79.12000274658203,79.12000274658203,1972400.0,0.7000166143491073,1.3096862276634595,1.4240341471233804,1.7328471427369487,1.919112184206011,77.66399993896485,76.8129997253418,78.13966700236003,76.60416666666667,75.13479995727539,77.91237595951154,77.44383500104473,77.43930818897184,76.63016474023014,75.62444319687384,77.41374561228425,77.48244284285768,-0.06869723057343435,-0.24919971642222066,0.22750290562086367,-0.22750290562086367,0.22750290562086367,0.22750290562086367,-0.22750290562086367,0.22750290562086367,0.22750290562086367,0.22750290562086367,0.22750290562086367,0.9300003051757812,1.518499755859375,80.41999816894531,75.73970321655274,76.04700317382813,76.35430313110352,1.0,1.0110788566605386,1.0060500743340057,0.8217886690652858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000166143491073,1,-0.7000166143491073,-1,0.7000166143491073,1,-0.7000166143491073,-1
2023-01-10,79.12999725341797,79.6500015258789,78.72000122070312,79.30000305175781,79.30000305175781,1473300.0,0.22750290562086367,1.3201252181105876,1.4029297553719695,1.7062782552582423,1.882272269006589,78.24400024414062,77.1620002746582,78.10500055948893,76.7715000152588,75.13139999389648,78.37491832359363,77.78132010117437,77.559353018829,76.7177004225753,75.69722656033689,77.70393906451095,77.61707693240584,0.08686213210511085,-0.18198734671675437,1.7402234556249223,-1.7402234556249223,1.7402234556249223,1.7402234556249223,-1.7402234556249223,1.7402234556249223,1.7402234556249223,1.7402234556249223,1.7402234556249223,1.1299972534179688,1.484499740600586,79.6500015258789,77.07929870605469,77.38299865722657,77.68669860839844,1.0,1.0140224458364355,1.007631629569248,0.8222162774732417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22750290562086367,1,-0.22750290562086367,-1,0.22750290562086367,1,-0.22750290562086367,1
2023-01-11,79.83999633789062,80.69999694824219,79.56999969482422,80.68000030517578,80.68000030517578,2138200.0,1.7402234556249223,1.360494987830433,1.459974084504272,1.6828686643217816,1.836895926035132,78.8740005493164,77.59500045776367,78.20033391316731,76.99866663614908,75.13680000305176,79.14327898412103,78.30835286553827,77.7606851018191,76.84761189413597,75.7958953473634,78.16179463999785,77.84396014520362,0.31783449479422643,-0.08202297841455822,0.27268371327585567,-0.27268371327585567,0.27268371327585567,0.27268371327585567,-0.27268371327585567,0.27268371327585567,0.27268371327585567,0.27268371327585567,0.27268371327585567,1.4300003051757812,1.4569999694824218,80.69999694824219,76.38410209655761,76.68100204467774,76.97790199279785,1.0,1.016483021895836,1.0106620314184924,0.8675508169216882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7402234556249223,1,-1.7402234556249223,1,1.7402234556249223,1,1.7402234556249223,1
2023-01-12,80.8499984741211,81.58000183105469,80.1500015258789,80.9000015258789,80.9000015258789,2075500.0,0.27268371327585567,0.9750725660969835,1.1862651248848861,1.6048927925674965,1.7901990886353394,79.71400146484375,78.19600067138671,78.31700057983399,77.1908332824707,75.15370002746582,79.72885316470699,78.77956171287292,77.96322164530685,76.9804771279636,75.89696675683895,78.58305723782571,78.0703335808092,0.5127236570165081,0.03692634867165505,-0.6551282686037218,0.6551282686037218,-0.6551282686037218,-0.6551282686037218,0.6551282686037218,-0.6551282686037218,-0.6551282686037218,-0.6551282686037218,-0.6551282686037218,1.05999755859375,1.4009998321533204,81.58000183105469,77.49459701538086,77.78599700927734,78.07739700317383,0.0,1.0194127676661666,1.0120499712259627,0.7391553693671384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27268371327585567,1,0.27268371327585567,1,0.27268371327585567,-1,0.27268371327585567,-1
2023-01-13,80.30999755859375,80.81999969482422,79.76000213623047,80.37000274658203,80.37000274658203,2069700.0,-0.6551282686037218,0.8702284455550299,1.1309512938335387,1.6096850763478638,1.7914813667197769,80.07400207519531,78.57100067138671,78.3150006612142,77.3625,75.18320007324219,79.94256969199867,79.06873280991094,78.11849784538913,77.09160911545928,75.98554172693288,78.85797193148053,78.24067944494053,0.6172924865400091,0.15299957624532587,0.3981581235392302,0.3981581235392302,0.3981581235392302,0.3981581235392302,-0.3981581235392302,0.3981581235392302,0.3981581235392302,0.3981581235392302,0.3981581235392302,1.160003662109375,1.331500244140625,80.81999969482422,78.49780220031738,78.77800216674805,79.05820213317871,1.0,1.0191292129534497,1.0110516110608287,0.7025916500384654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6551282686037218,1,-0.6551282686037218,-1,0.6551282686037218,-1,0.6551282686037218,-1
2023-01-17,80.5,81.58000183105469,80.41999816894531,80.69000244140625,80.69000244140625,2013400.0,0.3981581235392302,0.8595649777605509,1.0634994994260687,1.2532894999324309,1.7913615938530265,80.38800201416015,79.0260009765625,78.30900065104167,77.53916676839192,75.21510009765625,80.1917139418012,79.36350910654645,78.28440136771282,77.20958922450671,76.07869936484323,79.1398227791614,78.42211077801205,0.7177120011493514,0.26594206122613095,-2.205971899169834,-2.205971899169834,-2.205971899169834,-2.205971899169834,2.205971899169834,-2.205971899169834,-2.205971899169834,-2.205971899169834,-2.205971899169834,2.660003662109375,1.4045005798339845,81.58000183105469,77.89069915771485,78.15699920654296,78.42329925537109,0.0,1.0172348470220782,1.0104355873949937,0.8485665119538667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3981581235392302,1,-0.3981581235392302,1,-0.3981581235392302,1,-0.3981581235392302,1
