Date_MPWR_L01d,Open_MPWR_L01d,High_MPWR_L01d,Low_MPWR_L01d,Close_MPWR_L01d,Adj Close_MPWR_L01d,Volume_MPWR_L01d,Daily_Return_MPWR_L01d,Vol5_MPWR_L01d,Vol10_MPWR_L01d,Vol20_MPWR_L01d,Vol60_MPWR_L01d,SMA5_MPWR_L01d,SMA10_MPWR_L01d,SMA30_MPWR_L01d,SMA60_MPWR_L01d,SMA100_MPWR_L01d,EMA5_MPWR_L01d,EMA10_MPWR_L01d,EMA30_MPWR_L01d,EMA60_MPWR_L01d,EMA100_MPWR_L01d,Short12_MPWR_L01d,Long26_MPWR_L01d,MACD_MPWR_L01d,SIGNAL9_MPWR_L01d,Ret5/10_MPWR_L01d,Ret10/30_MPWR_L01d,Ret30/60_MPWR_L01d,Ret30/100_MPWR_L01d,Emaret5/10_MPWR_L01d,Emaret10/30_MPWR_L01d,Emaret30/60_MPWR_L01d,Emaret30/100_MPWR_L01d,RetMACD_MPWR_L01d,DayRange_MPWR_L01d,average20r_MPWR_L01d,PRVHI_MPWR_L01d,HitLevel_MPWR_L01d,hitlevel_2_MPWR_L01d,hitlevel_1.8_MPWR_L01d,positive_return_dummy,sma_ratio_L01d,ema_ratio_L01d,volatility_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_logit,logit,ret_tree,tree,ret_xgb,xgb,ret_rf,rf
2023-01-03,359.6499938964844,361.0299987792969,339.2799987792969,342.9500122070312,342.9500122070312,588700.0,-3.014613157468689,2.6990739956771987,2.706561449612364,2.7764320082935257,3.65329404481338,346.50800170898435,351.46300048828124,368.176665242513,356.84066619873045,390.56659912109376,348.46787908445197,353.37724592089586,362.9607183577461,370.72761439699434,382.59415549423403,355.2107669139542,362.0109843302221,-6.800217416267856,-3.7895924308982325,-4.338817272370216,-4.338817272370216,4.338817272370216,-4.338817272370216,4.338817272370216,-4.338817272370216,-4.338817272370216,-4.338817272370216,-4.338817272370216,12.58001708984375,14.869502258300784,361.0299987792969,321.43528442382814,324.4029846191406,327.3706848144531,1.0,0.9859017911631864,0.9861072921555825,0.9748344067232873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,-1,,1,,1
2023-01-04,348.6799926757812,361.1000061035156,348.5199890136719,357.8299865722656,357.8299865722656,591800.0,4.338817272370216,3.1158801810114087,3.057140810551394,2.950073412849013,3.539912079508679,349.6179992675781,351.3449981689453,367.52733154296874,356.7611658732096,388.96519927978517,351.58858158038987,354.1868351302358,362.62970340384413,370.3047413535606,382.1037759116208,355.6137237844637,361.70128079259564,-6.0875570081319665,-4.24918534634498,3.0098061699188428,3.0098061699188428,-3.0098061699188428,3.0098061699188428,-3.0098061699188428,3.0098061699188428,3.0098061699188428,3.0098061699188428,3.0098061699188428,11.100006103515568,14.679002380371093,361.1000061035156,328.31709381103514,331.29099426269534,334.2648947143555,0.0,0.9950846065537646,0.9926641724306592,1.036293129939089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.338817272370216,1,-4.338817272370216,-1,4.338817272370216,1,4.338817272370216,1
2023-01-05,352.1799926757812,357.4299926757812,346.3299865722656,347.0599975585938,347.0599975585938,627100.0,-3.0098061699188428,3.5669374171416255,3.2041333243243186,2.9512544984919264,3.500124125119975,350.9739990234375,350.2639984130859,366.8199981689453,356.80649922688804,387.1582992553711,350.0790535731245,352.8910464808463,361.6252062525377,369.5426186061846,381.4098397066104,354.2977659035606,360.6167412937807,-6.318975390220089,-4.6631433551200026,5.875069092338987,-5.875069092338987,5.875069092338987,-5.875069092338987,5.875069092338987,-5.875069092338987,-5.875069092338987,-5.875069092338987,-5.875069092338987,24.919982910156307,15.406501770019535,357.4299926757812,328.8062008666992,331.74200134277345,334.6778018188477,1.0,1.0020270442111332,0.9920315549635957,1.0856851979256996,0.0,0.0,1.0,0.0111469160765409,0.0111469160765409,0.9854555726051332,0.9854555726051332,-3.0098061699188428,1,3.0098061699188428,1,-3.0098061699188428,1,-3.0098061699188428,1
2023-01-06,350.9599914550781,370.6199951171875,345.7000122070312,367.4500122070312,367.4500122070312,549800.0,5.875069092338987,4.1197847283348965,3.6671098537801927,3.2409018001153482,3.520901697872928,353.7799987792969,350.3089996337891,366.6009989420573,357.4638326009115,385.4639993286133,355.8693731177601,355.5381311583344,362.0010001850856,369.47400856031066,381.13340747889595,356.32118841178686,361.122909509577,-4.801721097790164,-4.690858903654036,4.357049589381012,-4.357049589381012,4.357049589381012,-4.357049589381012,4.357049589381012,4.357049589381012,-4.357049589381012,-4.357049589381012,-4.357049589381012,19.019989013671875,15.169500732421877,370.6199951171875,323.5356887817382,326.61698913574213,329.698289489746,1.0,1.0099083927308072,1.0009316636681036,1.1315090922068898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.875069092338987,1,5.875069092338987,-1,5.875069092338987,1,5.875069092338987,1
2023-01-09,377.0,391.5,372.4800109863281,383.4599914550781,383.4599914550781,615000.0,4.357049589381012,4.354993962873658,3.3561570202396442,3.2095980263257564,3.5523276001630513,359.75,353.89499816894534,366.85999857584636,358.4718322753906,383.98449951171875,365.0662458968661,360.61483303046964,363.38545123476257,369.9325653765325,381.17947844872134,360.49638887998555,362.77750817220675,-2.281119292221206,-4.20891098136747,1.228295539981522,-1.228295539981522,1.228295539981522,-1.228295539981522,1.228295539981522,1.228295539981522,-1.228295539981522,-1.228295539981522,1.228295539981522,10.08001708984375,15.002500915527346,391.5,337.24709350585937,340.28099365234374,343.3148937988281,1.0,1.016544460535889,1.0123439538772947,1.0456627255848807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.357049589381012,1,-4.357049589381012,-1,4.357049589381012,1,4.357049589381012,1
2023-01-10,383.4200134277344,391.4200134277344,381.3399963378906,388.1700134277344,388.1700134277344,391700.0,1.228295539981522,3.5418715524671267,3.356063920875996,3.2207876912563016,3.5399422177279054,368.79400024414065,357.6510009765625,367.4896657307943,359.4086659749349,382.6611996459961,372.7675017404889,365.6248658299723,364.9844552472124,370.5305144929654,381.3179048839493,364.75386957963923,364.658434487431,0.09543509220821988,-3.3480417666523326,2.370090777546856,-2.370090777546856,2.370090777546856,-2.370090777546856,2.370090777546856,2.370090777546856,2.370090777546856,-2.370090777546856,2.370090777546856,9.3800048828125,14.949000549316409,391.4200134277344,358.4944979858398,361.4949981689453,364.4954983520508,1.0,1.0311560690090404,1.019535421624847,1.042000976961921,0.0,1.0,0.0,0.023224402219057,0.023224402219057,0.035624761,0.035624761,1.228295539981522,1,-1.228295539981522,-1,1.228295539981522,-1,1.228295539981522,-1
2023-01-11,390.3699951171875,397.8999938964844,388.5199890136719,397.3699951171875,397.3699951171875,486200.0,2.370090777546856,3.4010214179310925,3.142963902474744,3.2394588706130345,3.4212513392816977,376.702001953125,363.1600006103516,368.8856658935547,360.87816569010414,381.36249969482424,380.9683328660551,371.39670751855687,367.07384491624305,371.41049746425136,381.63576805688473,369.77173504695435,367.08151305259815,2.690221994356193,-2.1403890144506272,0.5712609304033017,-0.5712609304033017,0.5712609304033017,-0.5712609304033017,0.5712609304033017,0.5712609304033017,0.5712609304033017,-0.5712609304033017,0.5712609304033017,17.420013427734375,14.511500549316409,397.8999938964844,358.53221221923826,361.5220123291016,364.51181243896485,1.0,1.0372893526820515,1.025771971462671,0.9702126274811973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.370090777546856,1,-2.370090777546856,-1,-2.370090777546856,-1,-2.370090777546856,-1
2023-01-12,398.0,404.5299987792969,387.1099853515625,399.6400146484375,399.6400146484375,457600.0,0.5712609304033017,2.2062708845211714,3.0764095476032285,3.2057072630914085,3.4133116975495708,387.21800537109374,369.09600219726565,370.3753326416016,362.26933237711586,380.2423999023438,387.19222679351594,376.53185426944424,369.1748881247717,372.33605540471643,381.9922877913709,374.36685498564407,369.4932539115492,4.873601074094893,-0.7375909967415233,-0.2952715319053922,0.2952715319053922,-0.2952715319053922,0.2952715319053922,0.2952715319053922,-0.2952715319053922,-0.2952715319053922,0.2952715319053922,-0.2952715319053922,7.399993896484375,14.078500366210937,404.5299987792969,365.9746926879883,368.8769927978516,371.7792929077148,0.0,1.0490983458665117,1.0283120070803975,0.9596663996813319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5712609304033017,1,-0.5712609304033017,1,-0.5712609304033017,-1,-0.5712609304033017,-1
2023-01-13,392.75,398.739990234375,391.3399963378906,398.4599914550781,398.4599914550781,208900.0,-0.2952715319053922,1.8008451604826745,3.0267925187196907,3.1860950480365275,3.413702420792705,393.4200012207031,373.6,370.9253326416016,363.6503321329753,379.31059967041017,390.94814834737,380.51878830319583,371.06424962995277,373.1925778981709,382.31838093322654,378.073491365557,371.6389381740328,6.43455319152423,0.6968378409116275,0.8081115519137603,0.8081115519137603,0.8081115519137603,-0.8081115519137603,-0.8081115519137603,0.8081115519137603,0.8081115519137603,-0.8081115519137603,0.8081115519137603,7.8599853515625,13.897500610351562,398.739990234375,373.5572979736328,376.372998046875,379.1886981201172,1.0,1.0530513951303615,1.0274082656750818,0.9500006977459731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2952715319053922,1,-0.2952715319053922,1,0.2952715319053922,-1,0.2952715319053922,-1
2023-01-17,395.9200134277344,403.7799987792969,395.9200134277344,401.6799926757812,401.6799926757812,478500.0,0.8081115519137603,0.9756371550123664,3.0030435189092275,2.8942437484730714,3.412802187783435,397.0640014648437,378.40700073242186,371.57899881998696,365.09783223470055,378.35229949951173,394.5254297901738,384.36628000730224,373.03945885871593,374.1265914974368,382.70177918555436,381.7052607978992,373.86420147045857,7.841059327440632,2.1256821382174285,-0.9534919941499224,-0.9534919941499224,-0.9534919941499224,0.9534919941499224,0.9534919941499224,-0.9534919941499224,-0.9534919941499224,0.9534919941499224,-0.9534919941499224,12.3599853515625,13.764999389648438,403.7799987792969,368.16548889160157,370.9449890136719,373.7244891357422,0.0,1.0493040580547148,1.0264309079940066,1.0375917786791649,0.0,1.0,0.0,0.001431352,0.001431352,0.003578806,0.003578806,0.8081115519137603,1,0.8081115519137603,-1,-0.8081115519137603,-1,-0.8081115519137603,-1
