Date_ANET_L01d,Open_ANET_L01d,High_ANET_L01d,Low_ANET_L01d,Close_ANET_L01d,Adj Close_ANET_L01d,Volume_ANET_L01d,Daily_Return_ANET_L01d,Vol5_ANET_L01d,Vol10_ANET_L01d,Vol20_ANET_L01d,Vol60_ANET_L01d,SMA5_ANET_L01d,SMA10_ANET_L01d,SMA30_ANET_L01d,SMA60_ANET_L01d,SMA100_ANET_L01d,EMA5_ANET_L01d,EMA10_ANET_L01d,EMA30_ANET_L01d,EMA60_ANET_L01d,EMA100_ANET_L01d,Short12_ANET_L01d,Long26_ANET_L01d,MACD_ANET_L01d,SIGNAL9_ANET_L01d,Ret5/10_ANET_L01d,Ret10/30_ANET_L01d,Ret30/60_ANET_L01d,Ret30/100_ANET_L01d,Emaret5/10_ANET_L01d,Emaret10/30_ANET_L01d,Emaret30/60_ANET_L01d,Emaret30/100_ANET_L01d,RetMACD_ANET_L01d,DayRange_ANET_L01d,average20r_ANET_L01d,PRVHI_ANET_L01d,HitLevel_ANET_L01d,hitlevel_2_ANET_L01d,hitlevel_1.8_ANET_L01d,DayRange_ANET.1_L01d,average20r_ANET.1_L01d,PRVHI_ANET.1_L01d,HitLevel_ANET.1_L01d,hitlevel_2_ANET.1_L01d,hitlevel_1.8_ANET.1_L01d,Hit?_ANET.3_L01d,Hit?_ANET.4_L01d,Hit?_ANET.5_L01d,HitAt_2.2_ANET.1_L01d,HitAt_2.0_ANET.1_L01d,HitAt_1.8_ANET.1_L01d,ExitPr_2.2_ANET.1_L01d,ExitPr_2.0_ANET.1_L01d,ExitPr_1.8_ANET.1_L01d,ret_2.2_ANET.1_L01d,Ret2.0_ANET.1_L01d,Ret_1.8_ANET.1_L01d,positive_return_dummy,sma_ratio_L01d,ema_ratio_L01d,volatility_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_logit,logit,ret_tree,tree,ret_xgb,xgb,ret_rf,rf
2023-01-04,120.5999984741211,121.0999984741211,113.1500015258789,113.8399963378906,113.8399963378906,4614100.0,-5.847330336682799,3.0155001173567246,2.1936540357006153,2.0568962995039386,2.8654101753860446,119.42999877929688,120.12499923706055,127.92666702270508,123.24100023905436,122.09170043945312,118.58848046921784,120.46225803344838,124.27678336323343,123.72126466488722,121.7983696107177,121.13421111830436,123.9922275969483,-2.8580164786439326,-1.9566278937564685,3.8211512772802476,3.8211512772802476,-3.8211512772802476,-3.8211512772802476,-3.8211512772802476,3.8211512772802476,3.8211512772802476,-3.8211512772802476,3.8211512772802476,3.2000045776367045,3.5133506774902274,121.0999984741211,115.74537879943853,116.47579879760747,117.20621879577641,1.7000262762603882,2.7297516290827444,123.72126466488722,117.8804367862776,116.47579879760747,117.20621879577641,1.0,1.0,1.0,117.8804367862776,116.47579879760747,117.20621879577641,113.8399963378906,113.8399963378906,113.8399963378906,-3.427575057015184,-2.262961479488916,-2.872051067316844,0.0,0.9942143561941498,0.98444510675111,1.0664874239064257,1.0,0.0,0.0,0.7987313866615295,0.7987313866615295,0.1678090691566467,0.1678090691566467,,1,,-1,,-1,,1
2023-01-05,112.370002746582,112.370002746582,109.1699981689453,109.4899978637695,109.4899978637695,3707900.0,-3.8211512772802476,3.196212082317092,2.402630112950838,2.1194696797967096,2.802838738566403,117.49399871826172,118.89699935913086,127.089333597819,123.2411668141683,121.91800041198731,115.5556529340684,118.4673016389613,123.3227972019777,123.25466575337515,121.55463947711476,119.34279369452977,122.91798835745357,-3.575194662923792,-2.2803412475899334,-2.703442453397078,-2.703442453397078,2.703442453397078,2.703442453397078,2.703442453397078,-2.703442453397078,-2.703442453397078,2.703442453397078,-2.703442453397078,4.089996337890597,3.5168506622314366,112.370002746582,113.3706269836426,114.07329711914063,114.77596725463869,1.5260647910932903,2.645286131771564,123.25466575337515,117.71581108090518,114.07329711914063,114.77596725463869,1.0,1.0,1.0,117.71581108090518,112.370002746582,112.370002746582,109.4899978637695,109.4899978637695,109.4899978637695,-6.987857571216276,-2.5629659272212684,-2.5629659272212684,1.0,0.9881998650224019,0.975422343004263,1.133599662148169,2.0,0.0,5.0,0.9964460730552672,0.2783163410261753,0.997501552,0.7089513960002953,-3.8211512772802476,1,3.8211512772802476,-1,3.8211512772802476,-1,-3.8211512772802476,1
2023-01-19,114.5500030517578,115.0699996948242,111.0,111.5100021362305,111.5100021362305,1743000.0,-3.0347807511039155,1.7524707667336985,2.1843089320900546,2.147712646750081,2.6760032196710166,114.99800109863281,114.33600082397462,120.77333424886068,124.68750025431315,120.68600036621093,114.21666368955687,115.27329485416683,119.49225147411039,121.07871266350185,120.45293892714064,115.73627226796567,118.87381654181608,-3.137544273850409,-3.1203421424636333,3.246341178224527,-3.246341178224527,-3.246341178224527,3.246341178224527,3.246341178224527,-3.246341178224527,-3.246341178224527,-3.246341178224527,-3.246341178224527,3.639999389648409,3.134100341796865,115.0699996948242,111.61138259887694,112.22580261230468,112.84022262573241,0.5361386724685246,1.664397311082181,121.07871266350185,117.48078452827657,112.22580261230468,112.84022262573241,1.0,1.0,1.0,117.48078452827657,112.22580261230468,112.84022262573241,111.5100021362305,111.5100021362305,111.5100021362305,-5.082348075917864,-0.6378216590234456,-1.1788531239556101,1.0,1.005789954781411,0.9908336864496957,1.0170396563038129,0.0,0.0,1.0,0.1516751497983932,0.1516751497983932,0.8461356163024902,0.8461356163024902,-3.0347807511039155,1,3.0347807511039155,1,3.0347807511039155,1,-3.0347807511039155,1
2023-05-02,145.3099975585938,146.0,134.7299957275391,134.9799957275391,134.9799957275391,16415800.0,-15.721782816446945,7.5521232481281455,5.162501219473248,3.7946474265953034,2.830981092823061,153.6040008544922,154.7509994506836,161.321001180013,151.94883346557617,139.84520042419433,150.64619852720972,154.2312057809969,156.50141928574453,151.31492002279393,144.59616450356071,155.05867120573015,156.80373788606875,-1.7450666803385957,0.34958779043224114,1.6669136695941877,1.6669136695941877,-1.6669136695941877,-1.6669136695941877,1.6669136695941877,1.6669136695941877,1.6669136695941877,-1.6669136695941877,1.6669136695941877,3.860000610351591,4.125699615478513,146.0,153.10090698242186,153.9180969238281,154.73528686523434,6.344387378190049,7.33457115358364,151.31492002279393,135.62777769313658,153.9180969238281,154.73528686523434,1.0,1.0,1.0,135.62777769313658,145.3099975585938,145.3099975585938,134.9799957275391,134.9799957275391,134.9799957275391,-0.47761747380622993,-7.108940888178954,-7.108940888178954,0.0,0.992588102175347,0.9767556297337273,1.3604692713455155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.721782816446945,1,-15.721782816446945,-1,-15.721782816446945,-1,-15.721782816446945,-1
2023-05-03,135.1000061035156,136.1100006103516,132.25,132.7299957275391,132.7299957275391,5045400.0,-1.6669136695941877,7.27430865478708,5.14780618435753,3.796120138181244,2.830415055455816,148.95799865722657,152.21499938964843,160.14266764322917,151.99950002034504,139.90490036010743,144.6741309273195,150.32189486218638,154.9677790561829,150.70557824262164,144.3611908644316,151.62349036293153,155.02049772617767,-3.397007363246132,-0.39973124030343354,-1.9663984738680869,-1.9663984738680869,1.9663984738680869,1.9663984738680869,-1.9663984738680869,-1.9663984738680869,-1.9663984738680869,1.9663984738680869,-1.9663984738680869,5.130004882812614,4.206700134277348,136.1100006103516,136.92346084594726,137.74860076904298,138.57374069213867,6.019235322920196,7.26677464888711,150.70557824262164,135.17886348490993,137.74860076904298,138.57374069213867,1.0,1.0,1.0,135.17886348490993,135.1000061035156,135.1000061035156,132.7299957275391,132.7299957275391,132.7299957275391,-1.811575932981714,-1.7542637075534764,-1.7542637075534764,1.0,0.9786026295340027,0.9624288667991799,1.3560704079360069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6669136695941877,1,1.6669136695941877,1,1.6669136695941877,1,1.6669136695941877,1
2023-07-28,157.0,157.1799926757812,149.1000061035156,151.0899963378906,151.0899963378906,7285000.0,-6.149455753446674,3.3255844426416075,3.1489855001147005,2.5023624417241734,2.9322060898291524,164.46799926757814,168.55799865722656,161.78333231608073,156.4051663716634,157.54279983520507,161.57319536463007,164.64179814648523,163.14126553509792,159.4504134633301,154.8023932824861,164.8913364081196,163.67570725975466,1.2156291483649397,2.8958399945717117,-2.6474287490580033,2.6474287490580033,2.6474287490580033,-2.6474287490580033,-2.6474287490580033,-2.6474287490580033,2.6474287490580033,2.6474287490580033,-2.6474287490580033,4.699996948242216,4.631201171875015,157.1799926757812,154.7254620361328,155.64860229492186,156.57174255371092,4.499360574919933,4.444833908959713,159.4504134633301,149.9918403265149,155.64860229492186,156.57174255371092,1.0,1.0,1.0,149.9918403265149,155.64860229492186,156.57174255371092,151.0899963378906,151.0899963378906,151.0899963378906,0.7321438346146923,-2.928780528586853,-3.5011082628398578,1.0,0.9757353586170319,0.9813619456517053,1.2584050366201116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.149455753446674,-1,-6.149455753446674,-1,-6.149455753446674,-1,-6.149455753446674,-1
2023-10-26,180.0,183.5700073242188,168.25,169.8200073242188,169.8200073242188,5404100.0,-8.743075573030675,4.11494107054974,3.306910412432587,2.654354114725026,2.050390087041269,183.80600280761718,188.68100128173828,186.9723327636719,186.19133275349935,176.90749938964845,182.3015106589869,186.0377593874836,187.3288725537323,183.7373511255108,177.59845957208472,186.67521720378693,187.53646849757592,-0.861251293788996,1.1070826347605784,-3.7510274658190594,3.7510274658190594,3.7510274658190594,3.7510274658190594,-3.7510274658190594,-3.7510274658190594,-3.7510274658190594,3.7510274658190594,-3.7510274658190594,6.1300048828125,6.658000946044926,183.5700073242188,177.82180252075196,179.14800262451175,180.4742027282715,5.919327738420975,6.627386651382565,183.7373511255108,169.54112085381826,179.14800262451175,180.4742027282715,1.0,1.0,1.0,169.54112085381826,179.14800262451175,180.0,169.8200073242188,169.8200073242188,169.8200073242188,0.16449488418860458,-5.2068653647476655,-5.655551486545107,1.0,0.9741627485491147,0.9799167183006394,1.2458437229936676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.743075573030675,-1,8.743075573030675,1,8.743075573030675,-1,8.743075573030675,-1
