Date_IT_L01d,Open_IT_L01d,High_IT_L01d,Low_IT_L01d,Close_IT_L01d,Adj Close_IT_L01d,Volume_IT_L01d,Daily_Return_IT_L01d,Vol5_IT_L01d,Vol10_IT_L01d,Vol20_IT_L01d,Vol60_IT_L01d,SMA5_IT_L01d,SMA10_IT_L01d,SMA30_IT_L01d,SMA60_IT_L01d,SMA100_IT_L01d,EMA5_IT_L01d,EMA10_IT_L01d,EMA30_IT_L01d,EMA60_IT_L01d,EMA100_IT_L01d,Short12_IT_L01d,Long26_IT_L01d,MACD_IT_L01d,SIGNAL9_IT_L01d,Ret5/10_IT_L01d,Ret10/30_IT_L01d,Ret30/60_IT_L01d,Ret30/100_IT_L01d,Emaret5/10_IT_L01d,Emaret10/30_IT_L01d,Emaret30/60_IT_L01d,Emaret30/100_IT_L01d,RetMACD_IT_L01d,DayRange_IT_L01d,average20r_IT_L01d,PRVHI_IT_L01d,HitLevel_IT_L01d,hitlevel_2_IT_L01d,hitlevel_1.8_IT_L01d,positive_return_dummy,sma_ratio_L01d,ema_ratio_L01d,volatility_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_logit,logit,ret_tree,tree,ret_xgb,xgb,ret_rf,rf
2023-01-03,339.4100036621094,342.0599975585938,334.2300109863281,337.489990234375,337.489990234375,277600.0,0.40161109273152557,1.3346111445804885,1.3143874214879125,1.230618749790677,1.9265904749882359,336.4760009765625,337.0000030517578,342.4983306884766,324.8178314208984,313.3095993041992,337.05108463041444,337.89413203652725,337.01079020653094,327.23829089630345,316.0779754808338,338.2897725092171,337.9408507297434,0.34892177947369873,1.8500187489113913,0.9896578963930499,0.9896578963930499,-0.9896578963930499,-0.9896578963930499,0.9896578963930499,0.9896578963930499,-0.9896578963930499,-0.9896578963930499,0.9896578963930499,10.079986572265682,6.666497802734364,342.0599975585938,322.6743099975586,323.9630096435547,325.25170928955083,0.0,0.9984450977137979,0.997504995422585,1.0680703684317212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,1,,1,,1
2023-01-04,338.8999938964844,341.7999877929688,331.7200012207031,334.1499938964844,334.1499938964844,481100.0,-0.9896578963930499,1.4240462231161324,1.3445664247069007,1.242320926485334,1.9061992991907772,336.1739990234375,336.5090026855469,342.3803304036458,325.48683115641273,313.65519927978517,336.0840543857711,337.2133796474285,336.826222702657,327.46490410942414,316.43583723163874,337.6528834918736,337.6600465198723,-0.007163027998728921,1.4785823935293674,2.8071240622911136,2.8071240622911136,-2.8071240622911136,-2.8071240622911136,2.8071240622911136,2.8071240622911136,-2.8071240622911136,-2.8071240622911136,2.8071240622911136,8.240020751953125,6.818998718261708,341.7999877929688,327.39370239257823,328.72700195312507,330.06030151367196,0.0,0.9990044734035766,0.9966510069593378,1.082302001070553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9896578963930499,1,-0.9896578963930499,1,-0.9896578963930499,1,-0.9896578963930499,1
2023-01-05,330.9400024414062,332.8500061035156,324.6099853515625,324.7699890136719,324.7699890136719,414500.0,-2.8071240622911136,1.8838432743544962,1.575880842921609,1.3663833765385125,1.9349779435874452,334.5539978027344,335.4130004882812,341.9303304036458,326.0683308919271,313.8229992675781,332.31269926173803,334.9509449867454,336.04840117433537,327.37654623743225,316.60086994019383,335.6708997259964,336.70522744533895,-1.0343277193425706,0.9760003709549798,-1.1854562409562883,-1.1854562409562883,1.1854562409562883,1.1854562409562883,-1.1854562409562883,-1.1854562409562883,-1.1854562409562883,1.1854562409562883,-1.1854562409562883,6.510009765625,6.705999755859364,332.8500061035156,326.79819061279306,328.1619903564454,329.5257901000977,1.0,0.9974389702119586,0.9921234862462867,1.1533226106086132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8071240622911136,1,-2.8071240622911136,-1,-2.8071240622911136,-1,-2.8071240622911136,-1
2023-01-06,327.3999938964844,331.010009765625,324.5,328.6199951171875,328.6199951171875,439300.0,1.1854562409562883,1.5443386819400133,1.4906126727670712,1.3771055365984843,1.938213651370944,332.23399658203124,334.09100036621095,341.45899658203126,326.72466430664065,313.9645993041992,331.0817978802212,333.7998631922803,335.5691491706484,327.41731505316193,316.8388724189462,334.58614517079496,336.1063213469574,-1.5201761761624084,0.47676506153150217,-0.1612801372928859,-0.1612801372928859,0.1612801372928859,0.1612801372928859,-0.1612801372928859,-0.1612801372928859,-0.1612801372928859,0.1612801372928859,-0.1612801372928859,8.17999267578125,6.836997985839832,331.010009765625,318.096806640625,319.4380065917969,320.7792065429688,1.0,0.9944416228448412,0.9918572006409319,1.082424428013669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1854562409562883,1,-1.1854562409562883,-1,-1.1854562409562883,1,-1.1854562409562883,-1
2023-01-09,330.4299926757812,336.0899963378906,327.9100036621094,329.1499938964844,329.1499938964844,501200.0,0.1612801372928859,1.550222623900897,1.3845862825806885,1.344904312586516,1.9367958687350233,330.83599243164065,333.5019989013672,340.988330078125,327.40616404215496,314.0981991577148,330.4378632189756,332.9544324112265,335.15501012070234,327.47412419556593,317.08265700265986,333.7498142055164,335.59103783210753,-1.8412236265911588,0.013167323906970008,-0.8628274010491965,-0.8628274010491965,0.8628274010491965,0.8628274010491965,-0.8628274010491965,-0.8628274010491965,-0.8628274010491965,0.8628274010491965,-0.8628274010491965,4.470001220703182,6.779997253417963,336.0899963378906,315.96861419677737,317.3360137939453,318.7034133911133,1.0,0.9920060255155622,0.9924417008837333,1.0295054225217377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1612801372928859,1,-0.1612801372928859,-1,0.1612801372928859,1,-0.1612801372928859,-1
2023-01-10,327.7000122070312,332.1700134277344,327.7000122070312,331.989990234375,331.989990234375,257200.0,0.8628274010491965,1.6225985986297617,1.4176959707909507,1.357671240485775,1.938293528268713,329.7359924316406,333.1059967041016,340.6356628417969,328.1134974161784,314.2775991821289,330.95523889077543,332.77907928816256,334.9508152893264,327.62218537716626,317.37785172011957,333.47907205611,335.32429356560885,-1.845221509498856,-0.3585104427741952,-1.7199379922946136,-1.7199379922946136,1.7199379922946136,1.7199379922946136,-1.7199379922946136,-1.7199379922946136,-1.7199379922946136,1.7199379922946136,-1.7199379922946136,5.730010986328182,6.858998107910153,332.1700134277344,321.1740023803711,322.5300018310547,323.8860012817383,1.0,0.9898830873481557,0.9945193658168403,1.0442115355435377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8628274010491965,1,-0.8628274010491965,1,0.8628274010491965,1,-0.8628274010491965,1
2023-01-11,333.9800109863281,338.3099975585938,332.5799865722656,337.7000122070312,337.7000122070312,320300.0,1.7199379922946136,1.7861953112603184,1.5314678885438784,1.381192736201367,1.8700389847162013,330.44599609375,333.30999755859375,340.3913299560547,329.1029978434245,314.5046994018555,333.20349666286074,333.67379436432043,335.12818283240415,327.9526059289651,317.7802707396624,334.12844746394404,335.50027272423273,-1.3718252602886878,-0.5611734062770938,0.5241396112727611,0.5241396112727611,-0.5241396112727611,-0.5241396112727611,0.5241396112727611,0.5241396112727611,0.5241396112727611,-0.5241396112727611,0.5241396112727611,5.709991455078182,6.552998352050781,338.3099975585938,317.08021759033204,318.45201721191404,319.8238168334961,0.0,0.9914073940601189,0.9985905464876088,1.1088010010505895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7199379922946136,1,1.7199379922946136,1,1.7199379922946136,1,1.7199379922946136,1
2023-01-12,340.0,340.5499877929688,334.8399963378906,335.9299926757812,335.9299926757812,334900.0,-0.5241396112727611,0.8788344051589243,1.51434693087201,1.3497133464277145,1.8490841061102108,332.67799682617186,333.6159973144531,340.25299682617185,329.94166463216146,314.78419921875,334.11232866716756,334.0840122391315,335.17991249971885,328.2141595927951,318.139671174041,334.4056082657652,335.53210383175485,-1.1264955659896714,-0.6742378382196093,-0.014889504253109788,-0.014889504253109788,0.014889504253109788,0.014889504253109788,-0.014889504253109788,0.014889504253109788,-0.014889504253109788,0.014889504253109788,-0.014889504253109788,5.3699951171875,6.317999267578125,340.5499877929688,323.8934011840821,325.2040008544922,326.5146005249024,1.0,0.9971883827639202,1.0000847584050678,1.121976703334846,1.0,0.0,1.0,0.993392527103424,0.501916071051712,0.654208779,0.3299535535,-0.5241396112727611,1,-0.5241396112727611,-1,-0.5241396112727611,1,-0.5241396112727611,1
2023-01-13,333.3299865722656,337.0400085449219,331.6700134277344,335.9800109863281,335.9800109863281,279900.0,0.014889504253109788,0.8667108826452852,1.3220290739562721,1.3249799102034518,1.8418690471613746,334.15,333.19199829101564,339.77333068847656,330.70716501871743,315.1082992553711,334.7348894402211,334.4287392840763,335.2315317569195,328.4687776712716,318.4929452297298,334.64782406892874,335.56528213950105,-0.9174580705723088,-0.7228818846901492,-0.6161102614830809,0.6161102614830809,-0.6161102614830809,-0.6161102614830809,0.6161102614830809,-0.6161102614830809,0.6161102614830809,-0.6161102614830809,0.6161102614830809,5.959991455078068,6.323999023437497,337.0400085449219,326.6503894042969,327.91398925781255,329.1775891113282,0.0,1.0028752242367704,1.0009154421261766,0.9977729200084803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014889504253109788,1,-0.014889504253109788,-1,0.014889504253109788,1,0.014889504253109788,1
2023-01-17,334.6099853515625,338.1900024414062,332.2300109863281,333.9100036621094,333.9100036621094,466200.0,-0.6161102614830809,0.9915124587971837,1.2812424363869421,1.269627644949981,1.8340940663848067,335.102001953125,332.9689971923828,339.0279978434245,331.5011652628581,315.4268994140625,334.45992751418385,334.33442371644594,335.146271879835,328.64717852343017,318.7982335155195,334.5343132371104,335.4426689189535,-0.9083556818430907,-0.7599766441207376,-0.9912843347883662,0.9912843347883662,-0.9912843347883662,-0.9912843347883662,0.9912843347883662,-0.9912843347883662,0.9912843347883662,-0.9912843347883662,0.9912843347883662,9.619995117187614,6.473999023437509,338.1900024414062,323.12721069335936,324.3920104980469,325.65681030273436,0.0,1.0064060161117938,1.0003753840132368,1.0091481872525063,0.0,0.0,1.0,0.001382488,0.001382488,0.9954734444618224,0.9954734444618224,-0.6161102614830809,1,0.6161102614830809,-1,-0.6161102614830809,-1,-0.6161102614830809,-1
