Date_LRCX_L01d,Open_LRCX_L01d,High_LRCX_L01d,Low_LRCX_L01d,Close_LRCX_L01d,Adj Close_LRCX_L01d,Volume_LRCX_L01d,Daily_Return_LRCX_L01d,Vol5_LRCX_L01d,Vol10_LRCX_L01d,Vol20_LRCX_L01d,Vol60_LRCX_L01d,SMA5_LRCX_L01d,SMA10_LRCX_L01d,SMA30_LRCX_L01d,SMA60_LRCX_L01d,SMA100_LRCX_L01d,EMA5_LRCX_L01d,EMA10_LRCX_L01d,EMA30_LRCX_L01d,EMA60_LRCX_L01d,EMA100_LRCX_L01d,Short12_LRCX_L01d,Long26_LRCX_L01d,MACD_LRCX_L01d,SIGNAL9_LRCX_L01d,Ret5/10_LRCX_L01d,Ret10/30_LRCX_L01d,Ret30/60_LRCX_L01d,Ret30/100_LRCX_L01d,Emaret5/10_LRCX_L01d,Emaret10/30_LRCX_L01d,Emaret30/60_LRCX_L01d,Emaret30/100_LRCX_L01d,RetMACD_LRCX_L01d,DayRange_LRCX_L01d,average20r_LRCX_L01d,PRVHI_LRCX_L01d,HitLevel_LRCX_L01d,hitlevel_2_LRCX_L01d,hitlevel_1.8_LRCX_L01d,positive_return_dummy,sma_ratio_L01d,ema_ratio_L01d,volatility_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_logit,logit,ret_tree,tree,ret_xgb,xgb,ret_rf,rf
2023-01-03,429.7200012207031,430.1000061035156,407.2699890136719,414.2999877929688,414.2999877929688,1324900.0,-1.4275517902121562,2.4774663543441062,3.387850113033281,2.876333159746671,3.8297461614462196,412.69398803710936,420.8619903564453,443.59466451009115,419.6596649169922,424.97929901123047,416.447554893698,422.214676065,433.2662180308587,431.6934454732906,435.3242363699048,424.59744051489827,432.8873002218414,-8.289859706943105,-4.1920990195786025,-1.9695881975712197,-1.9695881975712197,1.9695881975712197,-1.9695881975712197,1.9695881975712197,-1.9695881975712197,-1.9695881975712197,1.9695881975712197,-1.9695881975712197,11.79998779296875,14.3219970703125,430.1000061035156,388.8330017089844,391.7200012207031,394.60700073242185,1.0,0.9805922071688676,0.9863407846807908,1.1778364761235314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,1,,1,,-1
2023-01-04,421.6400146484375,428.2699890136719,416.4700012207031,422.4599914550781,422.4599914550781,1052500.0,1.9695881975712197,2.362097960957539,3.476826964051832,2.9216049477946053,3.7581853566887666,416.0939880371094,419.2389892578125,442.453330485026,420.4533315022787,424.22929901123047,418.45170041415804,422.259278863196,432.56904212274384,431.39070927597214,435.0694988468389,424.26860219800284,432.1149069798589,-7.846304781856077,-4.922940172034098,1.2782261055976283,1.2782261055976283,-1.2782261055976283,1.2782261055976283,-1.2782261055976283,1.2782261055976283,1.2782261055976283,-1.2782261055976283,1.2782261055976283,11.97998046875,14.164996337890624,428.2699890136719,398.5916125488281,401.4560119628906,404.32041137695313,0.0,0.9924983093145255,0.9909828424391556,1.1900400725554425,0.0,1.0,0.0,0.08550743,0.08550743,0.086248845,0.086248845,1.9695881975712197,-1,1.9695881975712197,-1,1.9695881975712197,-1,-1.9695881975712197,-1
2023-01-05,415.6199951171875,424.5799865722656,412.6000061035156,417.0599975585938,417.0599975585938,983400.0,-1.2782261055976283,2.474760347702867,3.489947532312594,2.900658226052976,3.6599694035864316,418.94598999023435,417.2089904785156,441.35033060709634,421.55899810791016,423.21399871826173,417.9877994623033,421.31395498963195,431.56845860247614,430.9208498754024,434.7128750589528,423.1595860996322,430.99972850420966,-7.8401424045774775,-5.506380618542774,6.764012760805422,-6.764012760805422,6.764012760805422,-6.764012760805422,6.764012760805422,-6.764012760805422,-6.764012760805422,6.764012760805422,-6.764012760805422,26.980010986328125,14.854997253417967,424.5799865722656,397.1069970703125,399.93999633789065,402.77299560546874,1.0,1.0041633798680285,0.9921052804258276,1.203157097574189,0.0,0.0,2.0,0.079435684,0.0415636535,0.9944401979446412,0.8775480689723206,1.2782261055976283,1,1.2782261055976283,-1,1.2782261055976283,1,1.2782261055976283,1
2023-01-06,429.1400146484375,447.3399963378906,420.3599853515625,445.2699890136719,445.2699890136719,1481000.0,6.764012760805422,3.3991922789895206,4.100612378329323,3.299341579682582,3.6310866320829964,423.87799072265625,416.94898986816406,441.0053304036458,423.5293314615885,422.493798828125,427.0818626460929,425.66959753945736,432.4524283064243,431.3913134537063,434.9219268204324,426.561186547946,432.0567848382439,-5.495598290297892,-5.504224152893798,1.6080139777597886,-1.6080139777597886,1.6080139777597886,1.6080139777597886,-1.6080139777597886,1.6080139777597886,-1.6080139777597886,1.6080139777597886,1.6080139777597886,18.779998779296875,15.120997619628906,447.3399963378906,391.8989926147461,394.8699920654297,397.84099151611326,1.0,1.016618341866431,1.00331774952874,1.242857788226895,0.0,0.0,1.0,0.3391126096248626,0.3391126096248626,0.6580446362495422,0.6580446362495422,6.764012760805422,-1,-6.764012760805422,-1,6.764012760805422,-1,6.764012760805422,-1
2023-01-09,451.2000122070312,463.3999938964844,444.6199951171875,452.4299926757812,452.4299926757812,1407900.0,1.6080139777597886,3.3251849526945727,2.75101444175085,3.2739872648342647,3.6279182856404812,430.3039916992187,421.28099060058594,440.7063303629557,425.67016448974607,421.9144989013672,435.53123932265567,430.53512392787985,433.74130342702796,432.0811062150858,435.26862119380564,430.5410028753053,433.56591134472814,-3.024908469422826,-5.008361016199604,1.3659555678948967,-1.3659555678948967,1.3659555678948967,1.3659555678948967,-1.3659555678948967,1.3659555678948967,-1.3659555678948967,1.3659555678948967,1.3659555678948967,11.649993896484432,15.042497253417972,463.3999938964844,414.07380157470703,417.09800109863284,420.1222006225586,1.0,1.0214180114933964,1.0116044315947907,0.8402642463821898,0.0,0.0,1.0,0.0622421167790889,0.0622421167790889,0.6480430960655212,0.6480430960655212,-1.6080139777597886,1,-1.6080139777597886,-1,-1.6080139777597886,1,-1.6080139777597886,-1
2023-01-10,448.0799865722656,458.8099975585938,447.1600036621094,458.6099853515625,458.6099853515625,1067600.0,1.3659555678948967,2.9138594219388643,2.7503679799523804,3.276779177229069,3.580823523859295,439.1659912109375,425.92998962402345,440.88499654134114,427.63683115641277,421.5249987792969,443.22415466562467,435.6396441867312,435.34573451893345,432.95090553103586,435.73082642465226,434.85930787165256,435.421027937827,-0.5617200661744164,-4.119032826194567,1.2407061824099728,-1.2407061824099728,1.2407061824099728,1.2407061824099728,-1.2407061824099728,1.2407061824099728,1.2407061824099728,1.2407061824099728,1.2407061824099728,18.880004882812386,15.21199798583984,458.8099975585938,430.30649993896486,433.31499938964845,436.32349884033204,1.0,1.0310755333255537,1.0174100557194525,0.8393510307515333,0.0,1.0,0.0,0.0184252653270959,0.0184252653270959,0.1236769258975982,0.1236769258975982,1.3659555678948967,-1,-1.3659555678948967,1,1.3659555678948967,1,-1.3659555678948967,1
2023-01-11,447.7000122070312,464.4500122070312,445.5700073242188,464.2999877929688,464.2999877929688,1542900.0,1.2407061824099728,2.9392529626045016,2.5790450001761656,3.212684572596451,3.420276023972235,447.53399047851565,431.8139892578125,441.5873291015625,430.1259974161784,421.1364987182617,450.2494323747394,440.85061575150166,437.2137508591938,433.9787442937222,436.2965523923417,439.3886432441627,437.56021014931895,1.8284330948437741,-2.9295396419868984,1.2362741552585483,-1.2362741552585483,1.2362741552585483,1.2362741552585483,-1.2362741552585483,1.2362741552585483,1.2362741552585483,1.2362741552585483,1.2362741552585483,22.1300048828125,15.287998962402341,464.4500122070312,425.34360198974616,428.3860015869141,431.4284011840821,1.0,1.0364045668083197,1.0213197311910656,0.8027694415364949,0.0,0.0,1.0,0.001313459,0.001313459,0.997980773448944,0.997980773448944,-1.2407061824099728,1,1.2407061824099728,1,1.2407061824099728,1,1.2407061824099728,1
2023-01-12,469.989990234375,475.5299987792969,453.3999938964844,470.0400085449219,470.0400085449219,1429900.0,1.2362741552585483,2.420231152855627,2.479460449906722,3.173860162442926,3.4201572039105637,458.12999267578124,438.5379913330078,442.52032979329425,432.70299733479817,421.0689987182617,456.84629109813363,446.1577780775781,439.3315739356924,435.1610808265484,436.9647396428878,444.10423790581797,439.9661211415858,4.138116764232166,-1.5160083607430856,0.7722757247940905,-0.7722757247940905,0.7722757247940905,0.7722757247940905,-0.7722757247940905,0.7722757247940905,0.7722757247940905,0.7722757247940905,0.7722757247940905,12.52001953125,15.031500244140622,475.5299987792969,430.816414489746,433.87401428222654,436.931614074707,1.0,1.0446757218986211,1.023956800812956,0.7812128836823978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2362741552585483,-1,1.2362741552585483,-1,1.2362741552585483,1,1.2362741552585483,-1
2023-01-13,462.2999877929688,474.8200073242188,462.2999877929688,473.6700134277344,473.6700134277344,1202500.0,0.7722757247940905,0.3041264479477878,2.275357014817053,3.1552283593373156,3.415358899787047,463.80999755859375,443.843994140625,442.563330078125,435.2298309326172,421.22999877929686,462.4541985413339,451.1600026866974,441.5469571287274,436.42366878068566,437.6915767475382,448.65281875534356,442.46270575537454,6.190112999969017,0.025215911399334878,-0.5657996321036383,-0.5657996321036383,-0.5657996321036383,-0.5657996321036383,0.5657996321036383,-0.5657996321036383,-0.5657996321036383,-0.5657996321036383,-0.5657996321036383,10.279998779296875,14.760499572753904,474.8200073242188,442.4606982421875,445.4669982910156,448.4732983398438,0.0,1.0449842820485318,1.0250336815927354,0.7211386168242163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7722757247940905,-1,-0.7722757247940905,-1,0.7722757247940905,1,-0.7722757247940905,-1
2023-01-17,469.9100036621094,473.6700134277344,463.3900146484375,470.989990234375,470.989990234375,947400.0,-0.5657996321036383,0.8016470145843502,2.311426112951682,2.9494379510068502,3.411018386463174,467.5219970703125,448.9129943847656,442.8249959309896,437.57833099365234,421.3001986694336,465.2994624390143,454.7654549680933,443.44650765167245,437.5569907955607,438.35095127203,452.0893066751945,444.5758379390042,7.513468736190305,1.522866476357529,-0.8705016393017742,-0.8705016393017742,-0.8705016393017742,-0.8705016393017742,0.8705016393017742,-0.8705016393017742,-0.8705016393017742,-0.8705016393017742,-0.8705016393017742,16.95001220703125,15.115000915527341,473.6700134277344,442.3469082641602,445.299008178711,448.2511080932618,0.0,1.0414534729854512,1.0231636052295574,0.7836835869568405,0.0,1.0,1.0,0.048906725,0.04169612,0.9251262545585632,0.4797674901783466,0.5657996321036383,1,0.5657996321036383,-1,-0.5657996321036383,-1,0.5657996321036383,1
