Date_HPQ_L01d,Open_HPQ_L01d,High_HPQ_L01d,Low_HPQ_L01d,Close_HPQ_L01d,Adj Close_HPQ_L01d,Volume_HPQ_L01d,Daily_Return_HPQ_L01d,Vol5_HPQ_L01d,Vol10_HPQ_L01d,Vol20_HPQ_L01d,Vol60_HPQ_L01d,SMA5_HPQ_L01d,SMA10_HPQ_L01d,SMA30_HPQ_L01d,SMA60_HPQ_L01d,SMA100_HPQ_L01d,EMA5_HPQ_L01d,EMA10_HPQ_L01d,EMA30_HPQ_L01d,EMA60_HPQ_L01d,EMA100_HPQ_L01d,Short12_HPQ_L01d,Long26_HPQ_L01d,MACD_HPQ_L01d,SIGNAL9_HPQ_L01d,Ret5/10_HPQ_L01d,Ret10/30_HPQ_L01d,Ret30/60_HPQ_L01d,Ret30/100_HPQ_L01d,Emaret5/10_HPQ_L01d,Emaret10/30_HPQ_L01d,Emaret30/60_HPQ_L01d,Emaret30/100_HPQ_L01d,RetMACD_HPQ_L01d,DayRange_HPQ_L01d,average20r_HPQ_L01d,PRVHI_HPQ_L01d,HitLevel_HPQ_L01d,hitlevel_2_HPQ_L01d,hitlevel_1.8_HPQ_L01d,positive_return_dummy,sma_ratio_L01d,ema_ratio_L01d,volatility_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_logit,logit,ret_tree,tree,ret_xgb,xgb,ret_rf,rf
2023-01-03,27.0,27.25,26.57999992370605,26.75,26.75,6467300.0,-0.4465978246572398,1.5263725026064254,1.051684565524005,1.8700501221913668,2.405244112742559,26.85400047302246,26.75500030517578,28.170333290100096,27.748499997456868,28.284900074005126,26.827610429494833,26.972020812014947,27.64458228648306,28.068273790433917,28.847930472026725,27.061201877735208,27.565058973695013,-0.5038570959598054,-0.4558123539906601,1.7570067788952846,-1.7570067788952846,1.7570067788952846,-1.7570067788952846,1.7570067788952846,-1.7570067788952846,-1.7570067788952846,-1.7570067788952846,-1.7570067788952846,0.7600002288818395,0.6919997215271019,27.25,25.39729984283447,25.532999801635743,25.66869976043701,1.0,1.0037002491765072,0.9946459190608445,0.5623830896530289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,1,,1,,1
2023-01-04,27.26000022888184,27.69000053405762,26.93000030517578,27.21999931335449,27.21999931335449,5823800.0,1.7570067788952846,1.6575940525211375,1.1571786640772377,1.9206249268481714,2.3044829771259527,26.884000396728517,26.82100028991699,28.09499994913737,27.78483330408732,28.21490005493164,26.95840672411472,27.017107812258498,27.617189836603803,28.040461512496886,28.815694211458958,27.08563225244587,27.539498998854974,-0.45386674640910485,-0.45542323247434907,-0.036738534658678657,0.036738534658678657,-0.036738534658678657,0.036738534658678657,-0.036738534658678657,0.036738534658678657,0.036738534658678657,0.036738534658678657,-0.036738534658678657,0.5599994659423899,0.6634996414184595,27.69000053405762,25.727600612640376,25.866000556945796,26.004400501251215,0.0,1.0023489096652078,0.9978272623201679,0.6025011171630569,1.0,0.0,0.0,0.9643483757972716,0.9643483757972716,0.033593774,0.033593774,1.7570067788952846,-1,1.7570067788952846,1,1.7570067788952846,1,1.7570067788952846,1
2023-01-05,27.04000091552734,27.42000007629395,26.86000061035156,27.20999908447266,27.20999908447266,4778600.0,-0.036738534658678657,1.219970154405694,1.1607329083719393,1.8088687037328772,2.304141751713519,27.018000030517577,26.881000137329103,28.029999923706054,27.82183329264323,28.14050003051758,27.042270844234036,27.05217895266107,27.590919465498573,28.013233236168222,28.783898268350317,27.10476561121922,27.515091597789617,-0.41032598657039543,-0.44640378329355834,4.226393107580608,-4.226393107580608,4.226393107580608,-4.226393107580608,4.226393107580608,-4.226393107580608,-4.226393107580608,-4.226393107580608,4.226393107580608,1.25,0.6949995994567896,27.42000007629395,26.23030132293701,26.3630012512207,26.495701179504394,1.0,1.0050965325876482,0.9996337408367595,0.6416899722885301,1.0,0.0,0.0,0.4447515308856964,0.4447515308856964,0.148873895406723,0.148873895406723,0.036738534658678657,1,-0.036738534658678657,-1,-0.036738534658678657,1,-0.036738534658678657,1
2023-01-06,27.52000045776367,28.56999969482422,27.31999969482422,28.36000061035156,28.36000061035156,5501700.0,4.226393107580608,2.0493592395156397,1.7177622876288834,2.020429323523009,2.358765073175154,27.28199996948242,27.048000144958497,27.995999972025555,27.88149995803833,28.080100021362306,27.481514099606546,27.289964708604796,27.640537603876187,28.024602658272592,28.77550425532064,27.297878688008815,27.577677450571983,-0.2797987625631677,-0.41308277914748026,0.9873017393190076,-0.9873017393190076,0.9873017393190076,-0.9873017393190076,0.9873017393190076,0.9873017393190076,-0.9873017393190076,-0.9873017393190076,0.9873017393190076,0.7000007629394496,0.6849996566772486,28.56999969482422,25.891000957489013,26.03000087738037,26.16900079727173,1.0,1.008651280067652,1.0070190413599676,0.8501966723753707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.226393107580608,1,-4.226393107580608,1,4.226393107580608,1,4.226393107580608,1
2023-01-09,28.6299991607666,29.18000030517578,28.47999954223633,28.63999938964844,28.63999938964844,5792000.0,0.9873017393190076,1.8512059557302811,1.7006482894901587,1.9641044997616406,2.359235730270916,27.63599967956543,27.24600009918213,27.95366662343343,27.947333272298177,28.021500015258788,27.867675862953845,27.53542555970364,27.70501900940988,28.044779600284915,28.772820990653866,27.504358795953372,27.656367964577647,-0.15200916862427505,-0.36086805704283925,1.5712317476588233,-1.5712317476588233,1.5712317476588233,-1.5712317476588233,1.5712317476588233,1.5712317476588233,-1.5712317476588233,-1.5712317476588233,1.5712317476588233,0.5799999237060618,0.6874997138977076,29.18000030517578,27.063000450134272,27.20000038146972,27.33700031280517,1.0,1.014314012294047,1.0120662853940574,0.8658644637780453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9873017393190076,1,0.9873017393190076,-1,0.9873017393190076,-1,0.9873017393190076,-1
2023-01-10,28.6200008392334,29.10000038146973,28.52000045776367,29.09000015258789,29.09000015258789,4372700.0,1.5712317476588233,1.575332292006823,1.714775966692205,1.9777050594520211,2.2687979398113742,28.10399971008301,27.479000091552734,27.918333307902017,27.99849993387858,27.969300003051757,28.27511729283186,27.81807548568259,27.7943726315504,28.07904912658993,28.77910176613771,27.74830362005099,27.762562941467294,-0.01425932141630426,-0.2915463099175323,-0.8937787126780385,0.8937787126780385,0.8937787126780385,-0.8937787126780385,0.8937787126780385,-0.8937787126780385,-0.8937787126780385,0.8937787126780385,-0.8937787126780385,0.5499992370605504,0.6664996147155791,29.10000038146973,27.667500934600824,27.805000877380365,27.942500820159907,0.0,1.0227446274044887,1.01642967024748,0.8670534357470532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5712317476588233,1,-1.5712317476588233,1,-1.5712317476588233,-1,-1.5712317476588233,1
2023-01-11,29.05999946594238,29.09000015258789,28.54000091552734,28.82999992370605,28.82999992370605,6013700.0,-0.8937787126780385,1.952645703610621,1.7948843532375514,1.8842684377807897,2.2509342691807404,28.42599983215332,27.655000114440917,27.905666669209797,28.054999923706056,27.905300006866455,28.460078169789927,28.0020617471414,27.861187295560445,28.10367046420029,28.780109650445993,27.91471843599792,27.841632347559052,0.07308608843886688,-0.21861983024625245,-0.9712129288466091,0.9712129288466091,0.9712129288466091,-0.9712129288466091,0.9712129288466091,-0.9712129288466091,-0.9712129288466091,0.9712129288466091,-0.9712129288466091,0.5399990081787109,0.642499542236331,29.09000015258789,27.633701229095458,27.76700115203857,27.900301074981687,0.0,1.027879215856875,1.0163565249867819,0.9525629773597911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8937787126780385,-1,-0.8937787126780385,-1,0.8937787126780385,1,-0.8937787126780385,1
2023-01-12,28.92000007629395,28.95999908447266,28.42000007629395,28.54999923706055,28.54999923706055,6110900.0,-0.9712129288466091,2.13347577799097,1.6577052158237182,1.8933436971489528,2.2540428905092567,28.6939998626709,27.85599994659424,27.89466667175293,28.102666568756103,27.848500003814696,28.490051858880136,28.101686745308516,27.905626775657225,28.118304194458005,28.775553008596773,28.012453943853707,27.89410396900361,0.1183499748500978,-0.15122586922698242,-2.241679183016098,2.241679183016098,2.241679183016098,-2.241679183016098,2.241679183016098,-2.241679183016098,-2.241679183016098,2.241679183016098,-2.241679183016098,0.6899986267089808,0.6304995536804224,28.95999908447266,27.676501159667964,27.805001068115228,27.933500976562495,0.0,1.0300832825130415,1.0138199929809002,0.875543736892533,1.0,0.0,0.0,0.993392527103424,0.993392527103424,0.005698328,0.005698328,0.9712129288466091,-1,0.9712129288466091,1,-0.9712129288466091,-1,-0.9712129288466091,-1
2023-01-13,28.29999923706055,28.30999946594238,27.6200008392334,27.90999984741211,27.90999984741211,7330000.0,-2.241679183016098,1.5597602849544703,1.8454720213973248,1.9189743914236883,2.274112765159902,28.60399971008301,27.942999839782715,27.82366663614909,28.141999912261962,27.793500003814696,28.296701188390795,28.066834582054625,27.905908909318832,28.111474543735188,28.75841334203866,27.996691775170383,27.89528144147831,0.10141033369207264,-0.10069862864317142,-1.1465413707406023,-1.1465413707406023,1.1465413707406023,-1.1465413707406023,1.1465413707406023,-1.1465413707406023,-1.1465413707406023,1.1465413707406023,-1.1465413707406023,0.6000003814697301,0.6019995689392115,28.30999946594238,27.57290006637573,27.698999977111814,27.825099887847898,0.0,1.0236552937798475,1.0081899726050028,0.9616970552838737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.241679183016098,-1,-2.241679183016098,-1,2.241679183016098,1,2.241679183016098,1
2023-01-17,27.86000061035156,27.90999984741211,27.30999946594238,27.59000015258789,27.59000015258789,6452100.0,-1.1465413707406023,1.3999241779734686,1.8823320053036838,1.4901942060667088,2.2799199292163728,28.3939998626709,28.014999771118163,27.747999954223634,28.176999918619792,27.73539999008179,28.061134176456495,27.980137413060675,27.88552769920716,28.094377022713964,28.735276447198054,27.934123833234615,27.872668012671614,0.06145582056300114,-0.06826773880193691,-0.21746816096610794,-0.21746816096610794,0.21746816096610794,-0.21746816096610794,0.21746816096610794,-0.21746816096610794,-0.21746816096610794,0.21746816096610794,-0.21746816096610794,0.5700016021728516,0.6069996833801294,27.90999984741211,26.985600414276114,27.106000328063956,27.2264002418518,0.0,1.0135284702712533,1.0028947950540805,1.2631454327500056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1465413707406023,-1,1.1465413707406023,1,-1.1465413707406023,-1,-1.1465413707406023,1
