Date_FICO_L01d,Open_FICO_L01d,High_FICO_L01d,Low_FICO_L01d,Close_FICO_L01d,Adj Close_FICO_L01d,Volume_FICO_L01d,Daily_Return_FICO_L01d,Vol5_FICO_L01d,Vol10_FICO_L01d,Vol20_FICO_L01d,Vol60_FICO_L01d,SMA5_FICO_L01d,SMA10_FICO_L01d,SMA30_FICO_L01d,SMA60_FICO_L01d,SMA100_FICO_L01d,EMA5_FICO_L01d,EMA10_FICO_L01d,EMA30_FICO_L01d,EMA60_FICO_L01d,EMA100_FICO_L01d,Short12_FICO_L01d,Long26_FICO_L01d,MACD_FICO_L01d,SIGNAL9_FICO_L01d,Ret5/10_FICO_L01d,Ret10/30_FICO_L01d,Ret30/60_FICO_L01d,Ret30/100_FICO_L01d,Emaret5/10_FICO_L01d,Emaret10/30_FICO_L01d,Emaret30/60_FICO_L01d,Emaret30/100_FICO_L01d,RetMACD_FICO_L01d,DayRange_FICO_L01d,average20r_FICO_L01d,PRVHI_FICO_L01d,HitLevel_FICO_L01d,hitlevel_2_FICO_L01d,hitlevel_1.8_FICO_L01d,positive_return_dummy,sma_ratio_L01d,ema_ratio_L01d,volatility_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_logit,logit,ret_tree,tree,ret_xgb,xgb,ret_rf,rf
2022-12-02,619.0,626.9600219726562,602.2999877929688,621.3200073242188,621.3200073242188,190200.0,0.028977794303451,2.151091295359985,1.77394297166491,7.249992168359255,4.73153915236565,608.1199951171875,594.4549987792968,527.3013346354167,478.2365025838216,473.2110012817383,610.8175380385363,597.1611718961298,543.7371674587843,504.6939936853343,481.8439087031694,591.2787454313398,552.3779429229827,38.90080250835706,38.07010026290418,-1.483942514259006,-1.483942514259006,-1.483942514259006,-1.483942514259006,1.483942514259006,-1.483942514259006,-1.483942514259006,-1.483942514259006,-1.483942514259006,16.46002197265625,23.93149871826171,626.9600219726562,585.1100091552735,589.8900085449219,594.6700079345703,0.0,1.0229874361658182,1.0228688112776059,0.2446820535071517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,-1,,1,,-1
2022-12-05,612.3400268554688,615.530029296875,599.0700073242188,612.0999755859375,612.0999755859375,170100.0,-1.483942514259006,2.401226457786745,1.730242646828132,7.27440779767812,4.738836352159994,613.0039916992188,598.0449951171875,534.0493336995443,480.9086690266927,475.1370010375977,611.2450172210034,599.8773180215493,548.1476712089232,508.2155012886328,484.4232367602539,594.4820116089702,556.8017971943127,37.68021441465748,37.99212309325484,-0.4067946959140845,-0.4067946959140845,-0.4067946959140845,-0.4067946959140845,0.4067946959140845,-0.4067946959140845,-0.4067946959140845,-0.4067946959140845,0.4067946959140845,17.6300048828125,24.05249938964843,615.530029296875,574.3107247924804,579.0970245361328,583.8833242797851,0.0,1.0250131623944116,1.0189500400464313,0.23785340263442462,0.0,0.0,1.0,0.0217366833239793,0.0217366833239793,0.9116357564926147,0.9116357564926147,-1.483942514259006,-1,1.483942514259006,-1,-1.483942514259006,-1,1.483942514259006,1
2022-12-06,609.6500244140625,612.6799926757812,595.0499877929688,609.6099853515625,609.6099853515625,174300.0,-0.4067946959140845,2.466995192624339,1.755373429486807,7.284974026519982,4.737165044479915,616.7779907226562,600.8569946289062,540.5069997151693,483.3910018920898,476.9501010131836,610.7000065978565,601.6468938997334,552.1129817987709,511.5399106021714,486.9021822769135,596.8093921847536,560.7135148355904,36.09587734916317,37.61287394443651,0.6381153101017736,0.6381153101017736,0.6381153101017736,0.6381153101017736,-0.6381153101017736,0.6381153101017736,0.6381153101017736,0.6381153101017736,-0.6381153101017736,17.6400146484375,23.89200134277343,612.6799926757812,562.6145306396485,567.4250305175781,572.2355303955078,1.0,1.0264971469685278,1.01504721920767,0.24095809032353485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4067946959140845,-1,0.4067946959140845,-1,0.4067946959140845,1,-0.4067946959140845,-1
2022-12-07,609.0,616.1199951171875,598.47998046875,613.5,613.5,136800.0,0.6381153101017736,0.8109096836278885,1.711976883980755,7.284038519706804,4.730305192069341,615.5339965820312,604.4169921875,546.5319997151693,486.0438354492188,478.8311010742187,611.6333377319044,603.8020040997818,556.073434585947,514.8828643529198,489.4090697565786,599.3771780024838,564.623624847769,34.75355315471484,37.04100978649218,1.872859043907905,1.872859043907905,1.872859043907905,1.872859043907905,-1.872859043907905,1.872859043907905,1.872859043907905,1.872859043907905,-1.872859043907905,21.4300537109375,24.48150329589844,616.1199951171875,560.1175897216797,564.8959899902344,569.6743902587891,1.0,1.0183929382168704,1.0129700358378213,0.2350312782324036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6381153101017736,1,-0.6381153101017736,-1,0.6381153101017736,1,-0.6381153101017736,-1
2022-12-08,620.6900024414062,632.030029296875,610.5999755859375,624.989990234375,624.989990234375,179400.0,1.872859043907905,1.244879829839506,1.749969946451131,7.243251511538475,4.729043617958909,616.3039916992187,608.9869934082031,552.446332804362,488.7273351033529,480.6767010498047,616.085555232728,607.6543652151623,560.5196639826197,518.4929340539511,492.0938404591092,603.317610653544,569.095207468999,34.22240318454499,36.47728846610273,-1.526420930960223,-1.526420930960223,-1.526420930960223,-1.526420930960223,1.526420930960223,-1.526420930960223,-1.526420930960223,-1.526420930960223,1.526420930960223,11.54998779296875,21.87850341796875,632.030029296875,562.2606878662109,567.1569885253906,572.0532891845703,0.0,1.0120150321274777,1.013874976467223,0.241600052637056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.872859043907905,1,-1.872859043907905,-1,1.872859043907905,1,-1.872859043907905,-1
2022-12-09,620.760009765625,626.4500122070312,614.9000244140625,615.4500122070312,615.4500122070312,142100.0,-1.526420930960223,1.453279610471383,1.855775630149806,2.354143277882447,4.730746487042899,615.1299926757813,611.6249938964844,557.1423329671223,491.3515019734701,482.331201171875,615.8737075574958,609.0717555773202,564.0635574164527,521.671854649134,494.5365369293651,605.184133969465,572.5288967088532,32.6552372606119,35.71287822500457,0.1397327702502684,0.1397327702502684,0.1397327702502684,0.1397327702502684,-0.1397327702502684,0.1397327702502684,0.1397327702502684,0.1397327702502684,-0.1397327702502684,13.9100341796875,20.60950317382812,626.4500122070312,583.8973217773438,588.2730224609375,592.6487231445312,1.0,1.0057306336632315,1.0111677350293944,0.7883019048097519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.526420930960223,1,1.526420930960223,-1,-1.526420930960223,1,1.526420930960223,1
2022-12-12,618.1300048828125,623.2000122070312,609.2899780273438,616.3099975585938,616.3099975585938,120400.0,0.1397327702502684,1.257656686833583,1.844015671908826,2.14462250645937,4.728685157037636,615.9719970703125,614.4879943847657,561.5156667073568,493.8575017293294,483.8321011352539,616.0191375578618,610.3877995739153,567.4342954901392,524.7747445805917,496.9478925853894,606.8958052908695,575.7719412162414,31.12386407462805,34.79507539492927,0.6895880347285692,0.6895880347285692,0.6895880347285692,0.6895880347285692,-0.6895880347285692,0.6895880347285692,0.6895880347285692,0.6895880347285692,-0.6895880347285692,23.52996826171875,20.09350280761719,623.2000122070312,581.1091052246094,585.231005859375,589.3529064941406,1.0,1.0024150230746698,1.0092258364074076,0.8598322858008116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1397327702502684,1,-0.1397327702502684,1,0.1397327702502684,1,0.1397327702502684,1
2022-12-13,628.0,638.8699951171875,615.3400268554688,620.5599975585938,620.5599975585938,237600.0,0.6895880347285692,1.23306345817125,1.845082793881948,2.064403966318075,4.699123160066438,618.1619995117187,617.4699951171875,566.2396667480468,496.7028350830078,485.361201171875,617.5327575581058,612.2372901165841,570.8617601397169,527.915244678231,499.3956570403043,608.9979887166733,579.0895750193787,29.90841369729458,33.81774305540233,-2.236690237433801,-2.236690237433801,-2.236690237433801,-2.236690237433801,2.236690237433801,-2.236690237433801,-2.236690237433801,-2.236690237433801,2.236690237433801,26.1500244140625,20.46250610351563,638.8699951171875,578.9943060302735,583.0130065917969,587.0317071533203,0.0,1.0011207093462084,1.0086493709661386,0.893760535237058,0.0,1.0,0.0,0.0232484936714172,0.0232484936714172,0.4879904985427856,0.4879904985427856,0.6895880347285692,1,0.6895880347285692,-1,0.6895880347285692,1,0.6895880347285692,1
2022-12-14,616.8599853515625,628.6500244140625,602.5,606.6799926757812,606.6799926757812,193800.0,-2.236690237433801,1.66660485169949,1.23562967672593,1.93721126642461,4.713187312600317,616.797998046875,616.1659973144531,570.5916666666667,499.3130015055339,486.7310009765625,613.9151692639977,611.2268724000744,573.172613851721,530.4976954322491,501.5200993301157,608.6413739411514,581.1333096605937,27.50806428055773,32.55580730043341,-1.396118349934028,-1.396118349934028,-1.396118349934028,-1.396118349934028,1.396118349934028,-1.396118349934028,-1.396118349934028,-1.396118349934028,1.396118349934028,14.5799560546875,20.20700378417969,628.6500244140625,593.8524816894532,597.9449829101562,602.0374841308594,0.0,1.0010256988135933,1.004398198091925,0.6378394025172354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.236690237433801,1,2.236690237433801,-1,-2.236690237433801,1,-2.236690237433801,-1
2022-12-15,594.02001953125,598.219970703125,583.6400146484375,598.2100219726562,598.2100219726562,242600.0,-1.396118349934028,1.22753060402407,1.278253840723078,1.958368252159846,4.719435606523968,611.4420043945313,613.872998046875,575.6153340657552,501.7881683349609,488.4369012451172,608.6801201668839,608.860172322362,574.7879305046847,532.7177717122624,503.4347512636314,607.0365505613829,582.3982513133391,24.63829924804384,30.9723056899555,1.267116365728528,-1.267116365728528,-1.267116365728528,-1.267116365728528,1.267116365728528,1.267116365728528,-1.267116365728528,-1.267116365728528,1.267116365728528,12.010009765625,19.19750366210938,598.219970703125,584.1946160888672,588.2360168457031,592.2774176025391,0.0,0.9960399078309712,0.9997042799584157,0.6527137270088589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.396118349934028,1,1.396118349934028,1,-1.396118349934028,1,1.396118349934028,-1
