Date_FFIV_L01d,Open_FFIV_L01d,High_FFIV_L01d,Low_FFIV_L01d,Close_FFIV_L01d,Adj Close_FFIV_L01d,Volume_FFIV_L01d,Daily_Return_FFIV_L01d,Vol5_FFIV_L01d,Vol10_FFIV_L01d,Vol20_FFIV_L01d,Vol60_FFIV_L01d,SMA5_FFIV_L01d,SMA10_FFIV_L01d,SMA30_FFIV_L01d,SMA60_FFIV_L01d,SMA100_FFIV_L01d,EMA5_FFIV_L01d,EMA10_FFIV_L01d,EMA30_FFIV_L01d,EMA60_FFIV_L01d,EMA100_FFIV_L01d,Short12_FFIV_L01d,Long26_FFIV_L01d,MACD_FFIV_L01d,SIGNAL9_FFIV_L01d,Ret5/10_FFIV_L01d,Ret10/30_FFIV_L01d,Ret30/60_FFIV_L01d,Ret30/100_FFIV_L01d,Emaret5/10_FFIV_L01d,Emaret10/30_FFIV_L01d,Emaret30/60_FFIV_L01d,Emaret30/100_FFIV_L01d,RetMACD_FFIV_L01d,DayRange_FFIV_L01d,average20r_FFIV_L01d,PRVHI_FFIV_L01d,HitLevel_FFIV_L01d,hitlevel_2_FFIV_L01d,hitlevel_1.8_FFIV_L01d,positive_return_dummy,sma_ratio_L01d,ema_ratio_L01d,volatility_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_logit,logit,ret_tree,tree,ret_xgb,xgb,ret_rf,rf
2022-12-02,151.9400024414062,154.5099945068359,151.3500061035156,153.9400024414062,153.9400024414062,289300.0,-0.7030873679115781,2.118620721505692,1.886624781016457,2.43799869126608,2.493857164371462,152.9620025634766,153.5080001831055,147.0669998168945,147.3508331298828,153.5003997802734,153.7155181609293,152.6148096010185,149.2551683998922,149.9698070775117,153.947930497907,152.0870611526919,149.5507113461551,2.536349806536833,2.002158647386725,2.013775532253577,-2.013775532253577,2.013775532253577,2.013775532253577,2.013775532253577,-2.013775532253577,-2.013775532253577,2.013775532253577,-2.013775532253577,3.04000854492179,3.728998565673812,154.5099945068359,148.4076980590821,149.1569976806641,149.9062973022461,0.0,0.9964431976250252,1.007212331246151,0.7738415889127125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,1,,1,,1
2022-12-05,152.4400024414062,152.4400024414062,149.3999938964844,150.8399963378906,150.8399963378906,364400.0,-2.013775532253577,1.995636944792957,2.002477499122508,2.491745087493382,2.498740571697072,152.8480010986328,153.6550003051758,147.174333190918,147.1948331197103,153.5602996826172,152.7570108865831,152.2921162804498,149.357415363634,149.998337872934,153.8863872472136,151.8952050273379,149.6462139381355,2.248991089202377,2.051525135749856,1.047468754583757,-1.047468754583757,1.047468754583757,1.047468754583757,-1.047468754583757,-1.047468754583757,-1.047468754583757,1.047468754583757,-1.047468754583757,3.1300048828125,3.722499084472642,152.4400024414062,146.3061976623535,147.0519973754883,147.797797088623,0.0,0.9947479795324577,1.0030526505080355,0.803644606012623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.013775532253577,1,-2.013775532253577,-1,-2.013775532253577,1,-2.013775532253577,1
2022-12-06,150.5599975585938,150.8500061035156,147.7200012207031,149.2599945068359,149.2599945068359,368300.0,-1.047468754583757,1.99530751198297,1.873917460159095,2.507443985131768,2.489764222885215,152.7359985351563,153.3020004272461,147.196999613444,146.9646662394206,153.569599609375,151.5913387600007,151.7408214125199,149.3511301470664,149.9741298937176,153.7947755097804,151.4897880241837,149.6176050913726,1.872182932811171,2.015656695162119,0.5560778920011973,-0.5560778920011973,-0.5560778920011973,0.5560778920011973,-0.5560778920011973,0.5560778920011973,-0.5560778920011973,0.5560778920011973,0.5560778920011973,3.110000610351591,3.647499084472646,150.8500061035156,144.2505044555664,144.9950042724609,145.7395040893554,0.0,0.9963079288560335,0.9990148817495009,0.7473417038509115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.047468754583757,1,1.047468754583757,-1,-1.047468754583757,1,-1.047468754583757,1
2022-12-07,148.8999938964844,150.3800048828125,147.2700042724609,148.4299926757812,148.4299926757812,484600.0,-0.5560778920011973,0.8293582228339376,1.538412502639889,2.510838354600635,2.429369031782705,151.4999969482422,152.4339996337891,147.0289993286133,146.8374994913737,153.5810995483398,150.5375567319275,151.1388525512947,149.2917019231125,149.9235024439492,153.6885421863348,151.0190502782756,149.5296338013287,1.4894164769469,1.910408651519075,-2.384968483192221,2.384968483192221,2.384968483192221,-2.384968483192221,2.384968483192221,-2.384968483192221,2.384968483192221,-2.384968483192221,-2.384968483192221,3.960006713867188,3.721498870849595,150.3800048828125,142.8255081176758,143.5550079345703,144.2845077514648,1.0,0.9938727404136165,0.9960215668624115,0.6127086993955783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5560778920011973,1,0.5560778920011973,1,-0.5560778920011973,1,-0.5560778920011973,1
2022-12-08,149.8800048828125,152.5800018310547,148.6199951171875,151.9700012207031,151.9700012207031,406900.0,2.384968483192221,1.650373094086663,1.788289276224694,2.488874129595998,2.439867177792389,150.8879974365234,152.0580001831055,147.3483327229818,146.8131663004557,153.5839996337891,151.0150382281861,151.2899704911871,149.4644954261829,149.9906007644985,153.6545116721639,151.1653504232645,149.7104017583194,1.454948664945078,1.819316654204276,1.631898208605892,-1.631898208605892,-1.631898208605892,1.631898208605892,-1.631898208605892,1.631898208605892,-1.631898208605892,1.631898208605892,1.631898208605892,4.169998168945284,3.705998229980454,152.5800018310547,142.1927073669434,142.9370071411133,143.6813069152832,0.0,0.9923055495588973,0.9981827462712276,0.7185133450340355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.384968483192221,1,2.384968483192221,1,2.384968483192221,1,2.384968483192221,1
2022-12-09,152.0,153.4299926757812,149.2599945068359,149.4900054931641,149.4900054931641,485800.0,-1.631898208605892,1.744425689372706,1.842845758769728,1.879694447552925,2.437528396015853,149.997998046875,151.4800003051758,147.6776662190755,146.7941663106282,153.5588996887207,150.5066939831787,150.9627041279102,149.4661412369559,149.9741878047826,153.5720462032728,150.9076050494029,149.6940761090487,1.213528940354223,1.698159111434265,-2.909887407105235,2.909887407105235,2.909887407105235,-2.909887407105235,2.909887407105235,-2.909887407105235,2.909887407105235,-2.909887407105235,-2.909887407105235,4.949996948242188,3.636998748779284,153.4299926757812,144.4268057250977,145.1680053710938,145.9092050170899,1.0,0.9902165153464807,0.9969793191810798,0.9803964475017903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.631898208605892,1,-1.631898208605892,1,-1.631898208605892,1,-1.631898208605892,1
2022-12-12,149.5700073242188,154.4799957275391,149.5299987792969,153.8399963378906,153.8399963378906,368000.0,2.909887407105235,2.08427384252879,1.939727292611474,1.821721376959726,2.460736193223211,150.597998046875,151.7229995727539,147.9636662801107,146.8768328348796,153.5289996337891,151.6177947680827,151.4858481660885,149.7483254370162,150.1009356255403,153.5773521465325,151.3587421707087,150.0011813111851,1.357560859523602,1.630039461052133,-0.4745261334541578,0.4745261334541578,0.4745261334541578,-0.4745261334541578,0.4745261334541578,0.4745261334541578,0.4745261334541578,-0.4745261334541578,-0.4745261334541578,6.420013427734375,3.741999816894517,154.4799957275391,145.4285954284668,146.1559951782226,146.8833949279785,1.0,0.9925851615836303,1.0008710160294942,1.064777148220486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.909887407105235,1,2.909887407105235,-1,2.909887407105235,1,2.909887407105235,-1
2022-12-13,159.7299957275391,159.9600067138672,153.5399932861328,154.5700073242188,154.5700073242188,536900.0,0.4745261334541578,1.922739916573317,1.891964763604247,1.822821202500473,2.460880079657478,151.6600006103516,152.1979995727539,148.3523330688477,146.9774996439616,153.5355996704102,152.6018656201281,152.0466043766576,150.0594016878035,150.2474625664806,153.5970086847045,151.8527829635564,150.3396128677061,1.513170095850285,1.606665588011763,1.617390102567646,-1.617390102567646,-1.617390102567646,1.617390102567646,-1.617390102567646,-1.617390102567646,-1.617390102567646,1.617390102567646,1.617390102567646,4.569992065429688,3.770499420166002,159.9600067138672,146.2475961303712,146.9959960937501,147.744396057129,0.0,0.9964651377553414,1.0036519147911716,1.037932168557687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4745261334541578,1,-0.4745261334541578,1,0.4745261334541578,1,-0.4745261334541578,1
2022-12-14,154.0099945068359,155.4499969482422,150.8800048828125,152.0700073242188,152.0700073242188,450300.0,-1.617390102567646,2.144152657944425,1.681794212432778,1.847165284874447,2.465673202691796,152.3880035400391,151.9440002441406,148.6033335367839,147.0648330688477,153.5121997070312,152.4245795214917,152.0508594580324,150.1891181804754,150.307218132308,153.5667710340018,151.886202095966,150.4677902348552,1.418411861110798,1.56901484263157,-3.787735574539988,-3.787735574539988,-3.787735574539988,3.787735574539988,-3.787735574539988,-3.787735574539988,-3.787735574539988,3.787735574539988,3.787735574539988,5.169998168945284,3.825498962402325,155.4499969482422,151.664907989502,152.4190078735352,153.1731077575684,0.0,1.002922150892336,1.0024578622231495,0.9104730508981445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.617390102567646,1,-1.617390102567646,1,-1.617390102567646,1,-1.617390102567646,1
2022-12-15,150.0,150.2299957275391,145.0599975585938,146.3099975585938,146.3099975585938,605800.0,-3.787735574539988,2.532305796918386,2.023201067322451,1.973153285248745,2.515347473167006,151.2560028076172,151.0720001220703,148.8330001831055,147.0658330281576,153.3821997070312,150.3863855338591,151.0070663854072,149.9388523339024,150.1761617200551,153.4230725493403,151.0283244748318,150.1598055921692,0.8685188826626415,1.428915650637784,-1.462647409854186,-1.462647409854186,-1.462647409854186,1.462647409854186,-1.462647409854186,1.462647409854186,-1.462647409854186,1.462647409854186,1.462647409854186,2.240005493164006,3.779499816894512,150.2299957275391,147.0338992309571,147.7989990234375,148.564098815918,0.0,1.001217980071742,0.9958897231341217,1.0253643659860905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.787735574539988,1,-3.787735574539988,-1,-3.787735574539988,1,-3.787735574539988,-1
2022-12-16,144.7400054931641,145.8899993896484,143.6499938964844,144.1699981689453,144.1699981689453,868100.0,-1.462647409854186,2.518337249036093,2.043376926390923,1.994384430360787,2.522161394948171,150.1920013427735,150.0949996948242,149.1296666463216,147.0409996032715,153.1768997192383,148.3142564122211,149.7639630733232,149.5666681942278,149.9792383249367,153.2398433536889,149.9731973508493,149.7161161534118,0.2570811974374294,1.194548759997714,-1.699380578038984,-1.699380578038984,-1.699380578038984,1.699380578038984,-1.699380578038984,1.699380578038984,-1.699380578038984,1.699380578038984,1.699380578038984,3.229995727539006,3.786499023437477,145.8899993896484,141.9150961303712,142.6709960937501,143.426896057129,0.0,1.000646268351021,0.9903200567656432,1.0245652218721308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.462647409854186,1,1.462647409854186,-1,-1.462647409854186,1,1.462647409854186,-1
2022-12-19,143.9700012207031,143.9700012207031,140.7400054931641,141.7200012207031,141.7200012207031,382200.0,-1.699380578038984,1.509732948202299,2.022109811504115,1.99309441613312,2.528090741763964,147.768002319336,149.1830001831055,149.2600001017253,147.0011662801107,152.936199798584,146.1161713483818,148.301424554665,149.0604316152908,149.7084436657815,153.0117276678872,148.7034748692883,149.1238113435815,-0.4203364742932081,0.8715717131395293,-0.8820208786573129,-0.8820208786573129,0.8820208786573129,-0.8820208786573129,0.8820208786573129,-0.8820208786573129,-0.8820208786573129,-0.8820208786573129,-0.8820208786573129,2.459991455078097,3.686998748779273,143.9700012207031,137.559701538086,138.3170013427735,139.0743011474609,1.0,0.9905150193920705,0.9852647861418371,1.01455796330376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.699380578038984,1,1.699380578038984,1,-1.699380578038984,1,1.699380578038984,-1
