Date_PTC_L01d,Open_PTC_L01d,High_PTC_L01d,Low_PTC_L01d,Close_PTC_L01d,Adj Close_PTC_L01d,Volume_PTC_L01d,Daily_Return_PTC_L01d,Vol5_PTC_L01d,Vol10_PTC_L01d,Vol20_PTC_L01d,Vol60_PTC_L01d,SMA5_PTC_L01d,SMA10_PTC_L01d,SMA30_PTC_L01d,SMA60_PTC_L01d,SMA100_PTC_L01d,EMA5_PTC_L01d,EMA10_PTC_L01d,EMA30_PTC_L01d,EMA60_PTC_L01d,EMA100_PTC_L01d,Short12_PTC_L01d,Long26_PTC_L01d,MACD_PTC_L01d,SIGNAL9_PTC_L01d,Ret5/10_PTC_L01d,Ret10/30_PTC_L01d,Ret30/60_PTC_L01d,Ret30/100_PTC_L01d,Emaret5/10_PTC_L01d,Emaret10/30_PTC_L01d,Emaret30/60_PTC_L01d,Emaret30/100_PTC_L01d,RetMACD_PTC_L01d,DayRange_PTC_L01d,average20r_PTC_L01d,PRVHI_PTC_L01d,HitLevel_PTC_L01d,hitlevel_2_PTC_L01d,hitlevel_1.8_PTC_L01d,positive_return_dummy,sma_ratio_L01d,ema_ratio_L01d,volatility_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_logit,logit,ret_tree,tree,ret_xgb,xgb,ret_rf,rf
2022-12-02,125.3300018310547,127.0,124.0100021362305,126.4700012207031,126.4700012207031,564000.0,-0.800060130329857,1.897128206643118,1.380700029905593,1.751780555042386,2.031332565896465,125.3639999389648,124.7099998474121,122.8539995829264,116.5808329264323,116.6826995849609,125.9909806114164,125.5518226999435,122.630072791586,119.3422103993995,117.1965561932406,125.3826140251819,123.2656478127884,2.116966212393507,2.589060517407884,-2.48280173902171,-2.48280173902171,-2.48280173902171,2.48280173902171,2.48280173902171,-2.48280173902171,-2.48280173902171,-2.48280173902171,2.48280173902171,3.739997863769503,3.143999099731436,127.0,121.2411006927491,121.8810005187989,122.5209003448487,0.0,1.0052441672067427,1.0034978218717099,0.7881695146868356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,1,,1,,1
2022-12-05,125.0800018310547,125.75,122.0100021362305,123.3300018310547,123.3300018310547,460800.0,-2.48280173902171,2.134857338824862,1.618501718512766,1.837316504426948,2.058550646888793,125.5139999389648,124.7129997253418,123.2186663309733,116.6368329366048,116.9133995819092,125.1039876846292,125.1478552692364,122.6752295038098,119.4729576594538,117.3180105623062,125.0668275337777,123.2704147771044,1.796412756673291,2.430530965260965,-1.67842346881647,-1.67842346881647,-1.67842346881647,1.67842346881647,1.67842346881647,1.67842346881647,-1.67842346881647,-1.67842346881647,1.67842346881647,4.25,3.157498931884761,125.75,120.0832019805908,120.7120018005371,121.3408016204834,0.0,1.0064227483533157,0.999649473940142,0.8809052303253383,0.0,0.0,2.0,0.007542035,0.007542035,0.9176700115203856,0.9176700115203856,-2.48280173902171,-1,-2.48280173902171,-1,-2.48280173902171,1,-2.48280173902171,-1
2022-12-06,123.0199966430664,124.9300003051758,120.6800003051758,121.2600021362305,121.2600021362305,456000.0,-1.67842346881647,2.269729039965731,1.705397490469498,1.862971175660256,2.06868588785043,125.1520004272461,124.5180000305176,123.5213330586751,116.6431663513184,117.1035996246338,123.8226591684963,124.4409728814171,122.583924512353,119.5315492816432,117.3960698013938,124.4811620880012,123.1214953222249,1.359666765776339,2.21635812536404,0.3133739458382879,0.3133739458382879,0.3133739458382879,-0.3133739458382879,-0.3133739458382879,-0.3133739458382879,0.3133739458382879,0.3133739458382879,-0.3133739458382879,3.080001831054688,3.129499053955075,124.9300003051758,118.8035023498535,119.4350021362305,120.0665019226074,1.0,1.0050916365230176,0.9950312690538831,0.9154180766458115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67842346881647,1,1.67842346881647,-1,-1.67842346881647,1,1.67842346881647,-1
2022-12-07,121.2600021362305,122.4800033569336,119.4000015258789,121.6399993896484,121.6399993896484,755300.0,0.3133739458382879,1.209035479311288,1.626504128899896,1.864322139474536,2.028388156562058,124.0380004882813,124.1860000610352,123.7306663513184,116.7178329467773,117.2958995819092,123.0951059088803,123.9317049738228,122.5230261173398,119.6006787933811,117.4801080110622,124.0440601344085,123.0117548827748,1.032305251633701,1.979547550617972,-0.0986540177443593,0.0986540177443593,0.0986540177443593,-0.0986540177443593,-0.0986540177443593,-0.0986540177443593,0.0986540177443593,0.0986540177443593,-0.0986540177443593,3.429992675781193,3.131498336791985,122.4800033569336,118.0451023864746,118.6710021972657,119.2969020080567,1.0,0.9988082426949804,0.9932495154075447,0.8724372759733092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3133739458382879,1,-0.3133739458382879,1,0.3133739458382879,1,-0.3133739458382879,1
2022-12-08,122.3600006103516,124.8399963378906,121.4100036621094,121.7600021362305,121.7600021362305,739400.0,0.0986540177443593,1.182190058874843,1.624437081794943,1.862340889231414,2.02835370741019,122.8920013427734,123.9440002441406,123.9573331197103,116.7946662902832,117.4375996398926,122.6500713179971,123.5368499124424,122.4737987637199,119.6714762800319,117.5648583897784,123.6926665962272,122.9190324571048,0.7736341391224073,1.73836486831886,0.4681337753152821,0.4681337753152821,-0.4681337753152821,0.4681337753152821,0.4681337753152821,0.4681337753152821,-0.4681337753152821,-0.4681337753152821,0.4681337753152821,2.860000610351506,3.10899848937987,124.8399963378906,115.5907070159912,116.2170066833496,116.843306350708,0.0,0.9915123047562205,0.9928217483684114,0.8722554990807008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0986540177443593,1,0.0986540177443593,1,0.0986540177443593,1,0.0986540177443593,1
2022-12-09,120.5199966430664,122.0400009155273,119.1800003051758,121.1900024414062,121.1900024414062,981100.0,-0.4681337753152821,1.199095357652447,1.614554352423242,1.695216938468554,2.013912192052872,121.8360015869141,123.6000007629395,124.212999979655,116.8979996999105,117.5405996704102,122.1633816924668,123.110150372254,122.3909731945384,119.7212640230278,117.6366434205037,123.3076413416394,122.7909561596457,0.5166851819937222,1.494028931053832,-2.392931626423981,-2.392931626423981,2.392931626423981,-2.392931626423981,-2.392931626423981,-2.392931626423981,2.392931626423981,2.392931626423981,-2.392931626423981,3.209999084472699,3.078998565673819,122.0400009155273,118.0001996612549,118.6219993591309,119.2437990570068,1.0,0.985728162094362,0.9923095806728819,0.9524175436105646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4681337753152821,1,-0.4681337753152821,1,-0.4681337753152821,1,-0.4681337753152821,-1
2022-12-12,121.2600021362305,124.3600006103516,121.1500015258789,124.0899963378906,124.0899963378906,835900.0,2.392931626423981,1.481858078253584,1.732508062301486,1.747751086541638,2.035208712240546,121.9880004882812,123.751000213623,124.4513331095378,117.0511662801107,117.6560996246338,122.8055865742747,123.2883041841879,122.5005875908837,119.8645011481052,117.7644325871846,123.428003648755,122.8871813580342,0.5408222907207829,1.303387602987222,-2.393425182007462,-2.393425182007462,2.393425182007462,-2.393425182007462,-2.393425182007462,-2.393425182007462,2.393425182007462,2.393425182007462,-2.393425182007462,3.080001831054716,3.106498718261709,124.3600006103516,115.2662040710449,115.8820037841797,116.4978034973144,1.0,0.9857536527195865,0.996084643931901,0.9912784924824083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.392931626423981,1,2.392931626423981,1,2.392931626423981,1,-2.392931626423981,1
2022-12-13,128.2400054931641,129.0200042724609,125.9400024414062,127.0599975585938,127.0599975585938,825300.0,2.393425182007462,1.351539497109857,1.875083974781413,1.830912442099191,2.055255538608956,123.1479995727539,124.15,124.7589996337891,117.2568328857422,117.814899597168,124.2237235690478,123.974066615898,122.7947430726714,120.1004190632032,117.9485031806779,123.9867719425763,123.1962788543719,0.7904930882043999,1.200808700030658,-0.1888914668468435,-0.1888914668468435,0.1888914668468435,-0.1888914668468435,-0.1888914668468435,0.1888914668468435,0.1888914668468435,0.1888914668468435,-0.1888914668468435,3.64999389648429,3.16349868774413,129.0200042724609,117.5257034301758,118.1470031738282,118.7683029174805,1.0,0.9919291145610463,1.0020137836885137,1.0241254205643926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.393425182007462,1,2.393425182007462,-1,2.393425182007462,1,2.393425182007462,-1
2022-12-14,127.4800033569336,128.9299926757812,125.2799987792969,127.3000030517578,127.3000030517578,492100.0,0.1888914668468435,1.367163759021053,1.54503351787406,1.801664786377792,2.033456109137801,124.2800003051758,124.1590003967285,125.0683331807454,117.5063329060872,117.9760996246338,125.2491500632844,124.5787823315089,123.085405006806,120.3364709972542,118.1336813959468,124.4964998055273,123.5002584245486,0.996241380978674,1.159895236220261,-2.922231839374437,2.922231839374437,-2.922231839374437,2.922231839374437,2.922231839374437,-2.922231839374437,-2.922231839374437,-2.922231839374437,2.922231839374437,3.400001525878906,3.233999252319325,128.9299926757812,122.0603071594238,122.6930068969726,123.3257066345215,0.0,1.0009745560777765,1.0053810746840632,0.857558814245527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1888914668468435,1,-0.1888914668468435,1,0.1888914668468435,1,-0.1888914668468435,1
2022-12-15,125.8000030517578,126.75,123.3499984741211,123.5800018310547,123.5800018310547,567400.0,-2.922231839374437,2.221851896613099,1.798133728195101,1.877619362388505,2.07176112452647,124.6440002441406,123.768000793457,125.3299997965495,117.7034996032715,118.0990996551514,124.6927673192079,124.3971858768809,123.1173144793382,120.4428162704935,118.2415293253549,124.3555001171469,123.5061653435491,0.8493347735978034,1.09778314369577,-0.0566432220319114,0.0566432220319114,-0.0566432220319114,0.0566432220319114,0.0566432220319114,-0.0566432220319114,-0.0566432220319114,-0.0566432220319114,0.0566432220319114,2.400001525878892,3.082999420166004,126.75,121.8151943206787,122.4619941711425,123.1087940216064,0.0,1.0070777539030096,1.002376110361689,0.9576668009578412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.922231839374437,1,-2.922231839374437,-1,-2.922231839374437,1,-2.922231839374437,1
