Date_INTU_L01d,Open_INTU_L01d,High_INTU_L01d,Low_INTU_L01d,Close_INTU_L01d,Adj Close_INTU_L01d,Volume_INTU_L01d,Daily_Return_INTU_L01d,Vol5_INTU_L01d,Vol10_INTU_L01d,Vol20_INTU_L01d,Vol60_INTU_L01d,SMA5_INTU_L01d,SMA10_INTU_L01d,SMA30_INTU_L01d,SMA60_INTU_L01d,SMA100_INTU_L01d,EMA5_INTU_L01d,EMA10_INTU_L01d,EMA30_INTU_L01d,EMA60_INTU_L01d,EMA100_INTU_L01d,Short12_INTU_L01d,Long26_INTU_L01d,MACD_INTU_L01d,SIGNAL9_INTU_L01d,Ret5/10_INTU_L01d,Ret10/30_INTU_L01d,Ret30/60_INTU_L01d,Ret30/100_INTU_L01d,Emaret5/10_INTU_L01d,Emaret10/30_INTU_L01d,Emaret30/60_INTU_L01d,Emaret30/100_INTU_L01d,RetMACD_INTU_L01d,DayRange_INTU_L01d,average20r_INTU_L01d,PRVHI_INTU_L01d,HitLevel_INTU_L01d,hitlevel_2_INTU_L01d,hitlevel_1.8_INTU_L01d,positive_return_dummy,sma_ratio_L01d,ema_ratio_L01d,volatility_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_logit,logit,ret_tree,tree,ret_xgb,xgb,ret_rf,rf
2022-12-02,401.8699951171875,409.1700134277344,400.1600036621094,407.9200134277344,407.9200134277344,1876000.0,-1.958803507346691,3.998912676973458,3.112824077900024,3.541401776545346,3.121268968718172,399.3860046386719,393.2550048828125,397.4653340657552,402.4806660970052,419.6443997192383,403.1441448201081,397.9981079584581,397.0092982885736,403.4777504907432,412.0348805102283,397.0340806520703,396.3675575897166,0.6665230623537468,-2.584215592331429,-3.132966846099826,3.132966846099826,3.132966846099826,3.132966846099826,-3.132966846099826,-3.132966846099826,-3.132966846099826,3.132966846099826,-3.132966846099826,11.02001953125,14.17599945068359,409.1700134277344,386.1517047119141,389.0670043945312,391.9823040771485,0.0,1.0155903921875995,1.0129298023250581,0.8789807749338734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,1,,1,,1
2022-12-05,401.1600036621094,404.2000122070312,393.1799926757812,395.1400146484375,395.1400146484375,1499000.0,-3.132966846099826,4.263107287777097,3.330595579611633,3.622857996990216,3.127171418167249,401.2860046386719,394.7620056152344,396.7306681315104,401.5658330281576,419.7970999145508,400.4761014295512,397.4784546293634,396.8886993440487,403.2043821024708,411.7003287109849,396.7426858822806,396.2766284829552,0.4660573993254502,-1.974160994000053,-1.356485212946484,1.356485212946484,1.356485212946484,1.356485212946484,-1.356485212946484,-1.356485212946484,-1.356485212946484,1.356485212946484,-1.356485212946484,10.32998657226562,14.04149932861328,404.2000122070312,377.9828146362305,380.8180145263672,383.6532144165039,0.0,1.0165264106743757,1.007541658586207,0.919328216115181,0.0,0.0,2.0,0.081043422,0.081043422,0.6898183822631836,0.6898183822631836,-3.132966846099826,1,-3.132966846099826,1,-3.132966846099826,1,-3.132966846099826,1
2022-12-06,395.4500122070312,395.489990234375,385.1600036621094,389.7799987792969,389.7799987792969,1209800.0,-1.356485212946484,4.241543606825413,3.331934310748315,3.614996080129877,3.125722961891554,403.3000061035156,396.2400054931641,395.7980010986328,400.4726664225261,419.765299987793,396.9107338794665,396.0787353838967,396.4300735011615,402.7642383869569,411.2662627717436,395.6715032510524,395.7953966530546,-0.1238934020021816,-1.604107475600479,-0.2899083807151266,-0.2899083807151266,0.2899083807151266,0.2899083807151266,-0.2899083807151266,-0.2899083807151266,0.2899083807151266,0.2899083807151266,-0.2899083807151266,8.799987792968693,13.43299865722656,395.489990234375,373.308713684082,376.1170135498047,378.9253134155273,0.0,1.0178174856462676,1.0021005886487782,0.9216979042003851,0.0,2.0,0.0,0.010557121,0.0059952164999999,0.2183670997619629,0.1155547797679901,-1.356485212946484,-1,-1.356485212946484,-1,-1.356485212946484,1,-1.356485212946484,-1
2022-12-07,388.0599975585938,394.1900024414062,385.3900146484375,388.6499938964844,388.6499938964844,968600.0,-0.2899083807151266,1.972710980124807,2.995608841005463,3.54456484369459,3.040893221727406,399.5120056152344,395.8820037841797,394.3503346761068,399.7949996948242,419.7692999267578,394.1571538851391,394.7280551134581,395.928132881505,402.3014762725152,410.8184158633226,394.5912710426573,395.2661075599753,-0.6748365173179991,-1.418253283943983,4.299496132123645,4.299496132123645,-4.299496132123645,-4.299496132123645,4.299496132123645,-4.299496132123645,-4.299496132123645,-4.299496132123645,4.299496132123645,17.260009765625,13.71999969482421,394.1900024414062,365.9373931884766,368.6239929199219,371.3105926513672,1.0,1.0091694034999217,0.9985536846927313,0.8451273916837316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2899083807151266,1,0.2899083807151266,1,-0.2899083807151266,-1,0.2899083807151266,-1
2022-12-08,391.6000061035156,406.7200012207031,389.4599914550781,405.3599853515625,405.3599853515625,1525700.0,4.299496132123645,2.866737618316493,3.293271404388515,3.542376294478002,3.084928823760148,397.3700012207031,396.8330017089844,393.7160003662109,399.2703328450521,419.7842999267578,397.8914310406136,396.661133338568,396.5366394924765,402.4017552587135,410.7103281304164,396.2479963209504,396.013802211204,0.2341941097463973,-1.087763805205907,-1.364219207404202,-1.364219207404202,1.364219207404202,1.364219207404202,-1.364219207404202,-1.364219207404202,-1.364219207404202,1.364219207404202,-1.364219207404202,6.54998779296875,13.25999908447265,406.7200012207031,364.0060031127929,366.7500030517577,369.4940029907226,0.0,1.0013532128361453,1.003101634111945,0.9296785916059224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.299496132123645,1,4.299496132123645,1,-4.299496132123645,1,-4.299496132123645,1
2022-12-09,404.1900024414062,405.8299865722656,399.2799987792969,399.8299865722656,399.8299865722656,1061300.0,-1.364219207404202,2.802062298326843,3.316756397457769,2.878315115633127,3.059421755720029,395.7519958496094,397.5690002441406,392.9769999186198,398.8988327026367,419.5780996704102,398.537616217831,397.2372884719675,396.7491134976242,402.3174349739119,410.4948758223342,396.7990717442296,396.2964825342456,0.5025892099840235,-0.769693202167921,-2.738667077200858,2.738667077200858,-2.738667077200858,-2.738667077200858,2.738667077200858,2.738667077200858,2.738667077200858,-2.738667077200858,2.738667077200858,12.6500244140625,13.22750091552734,405.8299865722656,377.5480032348633,380.2000030517578,382.8520028686523,1.0,0.9954297130978134,1.0032734282092837,1.1523256711689822,1.0,0.0,0.0,0.9749683141708374,0.9749683141708374,0.007591229,0.007591229,-1.364219207404202,-1,-1.364219207404202,1,-1.364219207404202,1,-1.364219207404202,1
2022-12-12,400.7300109863281,410.9800109863281,398.3299865722656,410.7799987792969,410.7799987792969,1810500.0,2.738667077200858,2.575214793938508,3.322909534292999,2.932437451064871,3.080338153770797,398.8799926757812,400.0829986572265,392.2766662597656,398.695166015625,419.3388995361328,402.6184104049863,399.6995994369365,397.6543319028934,402.5948960822852,410.500521821482,398.9499835957785,397.3693355894346,1.580648006343836,-0.2996249604655697,-4.286970135223673,4.286970135223673,-4.286970135223673,-4.286970135223673,4.286970135223673,4.286970135223673,4.286970135223673,-4.286970135223673,4.286970135223673,19.77001953125,13.58950195312499,410.9800109863281,376.7294845581055,379.3749847412109,382.0204849243164,1.0,0.9969931089661823,1.007302511616628,1.1331561507258523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.738667077200858,1,2.738667077200858,1,2.738667077200858,1,2.738667077200858,1
2022-12-13,432.1099853515625,441.9800109863281,422.2099914550781,428.3900146484375,428.3900146484375,3247700.0,4.286970135223673,2.626953926940535,3.400169043781379,3.008349379028062,3.129710882452695,406.6019958496094,404.9510009765625,392.3063334147135,398.7734995524089,419.2753997802735,411.2089451528034,404.9160385663002,399.6372791767995,403.440637674618,410.854769204194,403.4792191423414,399.6671636678793,3.81205547446217,0.5227111265199783,-2.2106026977484,-2.2106026977484,2.2106026977484,2.2106026977484,-2.2106026977484,-2.2106026977484,-2.2106026977484,2.2106026977484,-2.2106026977484,18.08999633789062,13.75900115966796,441.9800109863281,381.0831066894531,383.8010070800781,386.5189074707031,0.0,1.0040770238104497,1.0155412628474405,1.1302440692177536,0.0,0.0,1.0,0.2339626550674438,0.2339626550674438,0.5431703925132751,0.5431703925132751,4.286970135223673,-1,4.286970135223673,1,4.286970135223673,1,4.286970135223673,1
2022-12-14,426.5299987792969,434.239990234375,416.1499938964844,418.9200134277344,418.9200134277344,1631400.0,-2.2106026977484,3.126438474598838,2.790072646277485,3.02661525863703,3.137999347380326,412.6559997558594,406.0840026855469,393.1113342285156,398.7918329874674,419.2025997924804,413.7793012444471,407.4622158138337,400.8813265478276,403.9481581911136,411.0144770106007,405.8547259554788,401.0933006871278,4.761425268351047,1.370453954886192,-5.344699210055735,-5.344699210055735,5.344699210055735,5.344699210055735,-5.344699210055735,-5.344699210055735,-5.344699210055735,5.344699210055735,-5.344699210055735,20.92001342773438,13.99150085449218,434.239990234375,411.7102084350586,414.4620086669922,417.2138088989258,0.0,1.0161838364152491,1.0155034876497593,0.9218458270556441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2106026977484,1,-2.2106026977484,-1,-2.2106026977484,1,-2.2106026977484,-1
2022-12-15,410.9400024414062,415.1600036621094,394.239990234375,396.5299987792969,396.5299987792969,1741300.0,-5.344699210055735,3.888274650526641,3.221061527438418,3.18216727960273,3.202012525505863,410.8900024414062,404.1300018310547,393.494667561849,398.5893330891927,419.0256997680664,408.0295337560637,405.4745399893725,400.6005957240515,403.7049398497425,410.7276556594858,404.4201525437585,400.7552783235848,3.664874220173715,1.829338007943697,-2.912765195199598,-2.912765195199598,2.912765195199598,2.912765195199598,-2.912765195199598,-2.912765195199598,-2.912765195199598,2.912765195199598,-2.912765195199598,13.44000244140619,14.14000091552733,415.1600036621094,403.4586883544922,406.2569885253906,409.0552886962891,0.0,1.0167272921577781,1.006301243394365,1.012222565446196,0.0,1.0,0.0,0.061353635,0.061353635,0.019547598,0.019547598,-5.344699210055735,-1,5.344699210055735,1,-5.344699210055735,1,5.344699210055735,1
