Date_APH_L01d,Open_APH_L01d,High_APH_L01d,Low_APH_L01d,Close_APH_L01d,Adj Close_APH_L01d,Volume_APH_L01d,Daily_Return_APH_L01d,Vol5_APH_L01d,Vol10_APH_L01d,Vol20_APH_L01d,Vol60_APH_L01d,SMA5_APH_L01d,SMA10_APH_L01d,SMA30_APH_L01d,SMA60_APH_L01d,SMA100_APH_L01d,EMA5_APH_L01d,EMA10_APH_L01d,EMA30_APH_L01d,EMA60_APH_L01d,EMA100_APH_L01d,Short12_APH_L01d,Long26_APH_L01d,MACD_APH_L01d,SIGNAL9_APH_L01d,Ret5/10_APH_L01d,Ret10/30_APH_L01d,Ret30/60_APH_L01d,Ret30/100_APH_L01d,Emaret5/10_APH_L01d,Emaret10/30_APH_L01d,Emaret30/60_APH_L01d,Emaret30/100_APH_L01d,RetMACD_APH_L01d,DayRange_APH_L01d,average20r_APH_L01d,PRVHI_APH_L01d,HitLevel_APH_L01d,hitlevel_2_APH_L01d,hitlevel_1.8_APH_L01d,positive_return_dummy,sma_ratio_L01d,ema_ratio_L01d,volatility_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_logit,logit,ret_tree,tree,ret_xgb,xgb,ret_rf,rf
2022-12-02,79.83999633789062,80.88999938964844,79.41999816894531,80.62000274658203,80.62000274658203,1340300.0,-0.309138112414082,2.539907080028269,1.727994587960191,2.000956422777692,1.987981326693011,79.4280014038086,79.69100036621094,77.15199966430664,73.85899988810222,74.20429977416993,80.05233060027427,79.56997346816097,77.33887003848258,75.44348167892466,74.36669330234012,79.36138531749934,77.73780784342682,1.623577474072519,1.716452618889098,1.414040375602405,-1.414040375602405,-1.414040375602405,1.414040375602405,1.414040375602405,-1.414040375602405,-1.414040375602405,-1.414040375602405,1.414040375602405,1.209999084472656,1.497999572753906,80.88999938964844,77.92749839782715,78.2349983215332,78.54249824523926,0.0,0.9966997658305986,1.006062049678907,0.8635843181239399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,-1,,1,,-1
2022-12-05,79.98999786376953,80.08000183105469,78.87000274658203,79.4800033569336,79.4800033569336,2053800.0,-1.414040375602405,2.064199901533311,1.776473745294021,1.965232195091152,1.991416501734267,79.76000213623047,79.66800079345703,77.4163330078125,73.91866658528646,74.35169982910156,79.86155485249405,79.55361526611962,77.47700767193105,75.57582665197413,74.46794696678752,79.37963424664308,77.86685936294585,1.512774883697233,1.675717071850725,-1.522403954153369,-1.522403954153369,-1.522403954153369,1.522403954153369,1.522403954153369,-1.522403954153369,-1.522403954153369,-1.522403954153369,1.522403954153369,1.879997253417969,1.533999252319336,80.08000183105469,77.59440032958985,77.89400024414063,78.19360015869141,0.0,1.0011548092315252,1.0038708433971772,0.9039510698691886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.414040375602405,1,1.414040375602405,1,-1.414040375602405,1,1.414040375602405,-1
2022-12-06,79.44999694824219,79.63999938964844,77.76000213623047,78.2699966430664,78.2699966430664,1222300.0,-1.522403954153369,2.221560462610264,1.839940362289545,1.996900315231031,2.000858810535258,79.93400115966797,79.53800048828126,77.63733291625977,73.94983317057292,74.47319976806641,79.3310354493515,79.32023006192813,77.52816825071399,75.66416009430502,74.54323507918907,79.20892076916975,77.89672138369552,1.31219938547423,1.603013534575426,-0.268300873232833,-0.268300873232833,-0.268300873232833,0.268300873232833,0.268300873232833,-0.268300873232833,-0.268300873232833,-0.268300873232833,0.268300873232833,1.120002746582031,1.518999481201172,79.63999938964844,76.70520347595215,77.01200332641602,77.31880317687988,0.0,1.0049787607050176,1.0001362248623704,0.9213982031329758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.522403954153369,1,-1.522403954153369,1,-1.522403954153369,1,1.522403954153369,1
2022-12-07,77.98999786376953,78.69000244140625,77.56999969482422,78.05999755859375,78.05999755859375,1515600.0,-0.268300873232833,0.8694320192877208,1.818886950414841,1.999379296662579,1.963896677060471,79.46000061035156,79.33600006103515,77.81433283487955,74.01416651407878,74.60159973144532,78.90735615243226,79.0910968795037,77.5624798189643,75.74271214231449,74.61287394016738,79.03216335215805,77.90881591516946,1.123347436988595,1.50708031505806,1.908795208513333,1.908795208513333,1.908795208513333,-1.908795208513333,-1.908795208513333,-1.908795208513333,1.908795208513333,1.908795208513333,-1.908795208513333,1.150001525878906,1.492499542236328,78.69000244140625,76.29820053100586,76.6020004272461,76.90580032348633,1.0,1.0015629795959087,0.9976768468978073,0.9097258101306636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.268300873232833,1,-0.268300873232833,-1,-0.268300873232833,1,-0.268300873232833,-1
2022-12-08,78.62999725341797,79.63999938964844,78.48999786376953,79.55000305175781,79.55000305175781,2276600.0,1.908795208513333,1.379584475163443,1.942879195178089,1.972362203354177,1.97660774982291,79.19600067138671,79.28400039672852,78.02633285522461,74.1078332265218,74.7205997467041,79.12157178554078,79.17453436536807,77.69070712430583,75.86754135246017,74.71063887307015,79.11183099825031,78.03038533269452,1.08144566555579,1.421953385157606,1.307354966222547,-1.307354966222547,-1.307354966222547,1.307354966222547,1.307354966222547,1.307354966222547,-1.307354966222547,-1.307354966222547,1.307354966222547,1.290000915527344,1.434999465942383,79.63999938964844,75.40650344848633,75.70500335693359,76.00350326538086,0.0,0.9988900695613054,0.9993310654713435,0.985051930053238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.908795208513333,1,-1.908795208513333,1,1.908795208513333,1,-1.908795208513333,-1
2022-12-09,79.37999725341797,79.7300033569336,78.44000244140625,78.51000213623047,78.51000213623047,1411700.0,-1.307354966222547,1.447968072343495,1.975948252408833,1.454905489706991,1.975329805644336,78.77400054931641,79.1010009765625,78.18033294677734,74.20149993896484,74.81869979858398,78.91771523577069,79.0537103237067,77.74356486701065,75.95417941094443,74.78587378917233,79.01924194255496,78.06591250332681,0.953329439228142,1.328228595971713,-2.139855126052151,2.139855126052151,2.139855126052151,-2.139855126052151,-2.139855126052151,-2.139855126052151,2.139855126052151,2.139855126052151,-2.139855126052151,1.80999755859375,1.458999252319336,79.7300033569336,76.48300056457519,76.77000045776367,77.05700035095215,1.0,0.9958660393268224,0.9982797127752873,1.3581282539574284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.307354966222547,1,-1.307354966222547,-1,-1.307354966222547,-1,1.307354966222547,-1
2022-12-12,78.61000061035156,80.20999908447266,78.4000015258789,80.19000244140625,80.19000244140625,2380500.0,2.139855126052151,1.742170399180998,1.805551469993021,1.532374381629249,1.991411555857249,78.91600036621094,79.3380012512207,78.30566635131837,74.32583325703939,74.92109985351563,79.34181097098255,79.26030889056116,77.90139954922972,76.09305885456612,74.89288623773142,79.19935894237823,78.22325249874011,0.9761064436381162,1.257804165504994,-2.219726555810365,2.219726555810365,2.219726555810365,-2.219726555810365,-2.219726555810365,2.219726555810365,2.219726555810365,2.219726555810365,-2.219726555810365,1.979995727539062,1.4864990234375,80.20999908447266,76.52020500183106,76.81200485229492,77.1038047027588,1.0,0.9946809740810899,1.001028283658772,1.1782704616043798,0.0,0.0,2.0,0.018643046,0.010925595,0.915819764137268,0.8054488599300385,2.139855126052151,1,-2.139855126052151,1,-2.139855126052151,1,-2.139855126052151,1
2022-12-13,82.0,82.73999786376953,80.76000213623047,81.97000122070312,81.97000122070312,3573900.0,2.219726555810365,1.622228504637888,1.870128923507364,1.589604251587726,2.008063160107508,79.65600128173828,79.79500122070313,78.51033299763998,74.47249997456869,75.04259986877442,80.21787438755608,79.75298022331424,78.16388997964737,76.28574548952143,75.03302712848333,79.62561160058206,78.50078944110774,1.12482215947432,1.231207764298859,0.3049896258106406,-0.3049896258106406,-0.3049896258106406,0.3049896258106406,0.3049896258106406,-0.3049896258106406,-0.3049896258106406,-0.3049896258106406,0.3049896258106406,2.180000305175781,1.496499252319336,82.73999786376953,76.93970123291015,77.23700103759765,77.53430084228516,0.0,0.9982580370093562,1.0058291760751774,1.176474535494885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.219726555810365,1,2.219726555810365,-1,2.219726555810365,1,2.219726555810365,-1
2022-12-14,81.91000366210938,82.86000061035156,80.68000030517578,81.72000122070312,81.72000122070312,3346400.0,-0.3049896258106406,1.629120423573848,1.470093360130166,1.572144375120891,1.998224788751962,80.38800201416015,79.92400131225585,78.67533315022787,74.63199996948242,75.16389991760254,80.71858333193843,80.11062040465767,78.3933165113284,76.46391780857655,75.16544245704213,79.94782538829298,78.73924957292962,1.208575815363361,1.22668137451176,-4.368575185385322,-4.368575185385322,-4.368575185385322,4.368575185385322,4.368575185385322,-4.368575185385322,-4.368575185385322,-4.368575185385322,4.368575185385322,2.549995422363281,1.566499328613281,82.86000061035156,79.44769950866699,79.74699935913085,80.04629920959472,0.0,1.0058055239263046,1.0075890428036858,0.9350880131585385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3049896258106406,1,0.3049896258106406,-1,-0.3049896258106406,1,0.3049896258106406,-1
2022-12-15,80.47000122070312,80.58999633789062,78.04000091552734,78.1500015258789,78.1500015258789,2199400.0,-4.368575185385322,2.732538349637772,2.040699853580346,1.861170616657995,2.082868138988639,80.10800170898438,79.65200119018554,78.81266657511394,74.7376667022705,75.25009994506836,79.86238939658526,79.75414424487971,78.37761877033165,76.51919924193072,75.22454263662306,79.67123710176774,78.69560156944439,0.975635532323352,1.176472206074078,-0.6269966144623444,-0.6269966144623444,-0.6269966144623444,0.6269966144623444,0.6269966144623444,-0.6269966144623444,-0.6269966144623444,-0.6269966144623444,0.6269966144623444,1.199996948242188,1.555998992919922,80.58999633789062,79.41370208740234,79.727001953125,80.04030181884765,0.0,1.0057249097572583,1.0013572354481441,1.0964603864447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.368575185385322,1,4.368575185385322,-1,-4.368575185385322,-1,4.368575185385322,-1
