Date_SNPS_L01d,Open_SNPS_L01d,High_SNPS_L01d,Low_SNPS_L01d,Close_SNPS_L01d,Adj Close_SNPS_L01d,Volume_SNPS_L01d,Daily_Return_SNPS_L01d,Vol5_SNPS_L01d,Vol10_SNPS_L01d,Vol20_SNPS_L01d,Vol60_SNPS_L01d,SMA5_SNPS_L01d,SMA10_SNPS_L01d,SMA30_SNPS_L01d,SMA60_SNPS_L01d,SMA100_SNPS_L01d,EMA5_SNPS_L01d,EMA10_SNPS_L01d,EMA30_SNPS_L01d,EMA60_SNPS_L01d,EMA100_SNPS_L01d,Short12_SNPS_L01d,Long26_SNPS_L01d,MACD_SNPS_L01d,SIGNAL9_SNPS_L01d,Ret5/10_SNPS_L01d,Ret10/30_SNPS_L01d,Ret30/60_SNPS_L01d,Ret30/100_SNPS_L01d,Emaret5/10_SNPS_L01d,Emaret10/30_SNPS_L01d,Emaret30/60_SNPS_L01d,Emaret30/100_SNPS_L01d,RetMACD_SNPS_L01d,DayRange_SNPS_L01d,average20r_SNPS_L01d,PRVHI_SNPS_L01d,HitLevel_SNPS_L01d,hitlevel_2_SNPS_L01d,hitlevel_1.8_SNPS_L01d,positive_return_dummy,sma_ratio_L01d,ema_ratio_L01d,volatility_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_logit,logit,ret_tree,tree,ret_xgb,xgb,ret_rf,rf
2022-12-02,348.9700012207031,350.5,340.5,348.1700134277344,348.1700134277344,1076300.0,-2.702320313301525,3.858083626135177,2.683257570381314,3.10009144133583,2.690125968132044,339.6660034179687,334.2930053710937,312.2413350423177,309.651833597819,327.2190008544922,342.9633269119635,336.0210107219176,320.7452664887137,317.5577908952409,318.0983458927811,333.663114686996,322.4060076479457,11.25710703905037,8.647135806780723,-4.853957481197686,-4.853957481197686,-4.853957481197686,4.853957481197686,4.853957481197686,-4.853957481197686,-4.853957481197686,-4.853957481197686,-4.853957481197686,16.9000244140625,9.472000122070312,350.5,343.5255926513672,345.3859924316406,347.246392211914,0.0,1.0160727205192657,1.0206603633955236,0.8655414271345163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,-1,,-1,,-1
2022-12-05,345.3900146484375,345.3900146484375,328.489990234375,331.2699890136719,331.2699890136719,1358200.0,-4.853957481197686,4.650344969302203,3.218456101998854,3.351379303314162,2.754030509099269,340.0960021972656,334.8310028076172,313.4003346761068,309.5033335367838,327.4815008544922,339.065547612533,335.1571885931456,321.4242808451626,318.007371161419,318.3591705090363,333.2949415064846,323.0625988602217,10.23234264626296,8.964177174677172,-0.9810728734216454,-0.9810728734216454,-0.9810728734216454,0.9810728734216454,0.9810728734216454,-0.9810728734216454,-0.9810728734216454,-0.9810728734216454,-0.9810728734216454,6.460021972656193,9.477500915527344,345.3900146484375,329.6615997314453,331.5559997558594,333.4503997802734,0.0,1.0157243485385177,1.0116612716432942,0.9603377626686836,0.0,1.0,1.0,0.043242905,0.0269289834842824,0.9558043479919434,0.5510826483368874,-4.853957481197686,-1,4.853957481197686,1,4.853957481197686,1,4.853957481197686,1
2022-12-06,331.2000122070312,331.2000122070312,324.739990234375,328.0199890136719,328.0199890136719,858800.0,-0.9810728734216454,4.59151925929563,3.23715509159133,3.376773395666079,2.756819652777318,340.9679992675781,335.1510009765625,314.2783345540365,309.3110000610351,327.6187008666992,335.383694746246,333.8595159423322,321.8498104044213,318.3356537139518,318.5504738457618,332.4834103537442,323.4298129456624,9.053597408081773,8.982061221358093,-1.286507335541426,-1.286507335541426,-1.286507335541426,1.286507335541426,1.286507335541426,-1.286507335541426,-1.286507335541426,-1.286507335541426,-1.286507335541426,7.339996337890625,9.25050048828125,331.2000122070312,324.5395126342773,326.4350128173828,328.3305130004883,0.0,1.0173563506421464,1.0045653298202741,0.958653339233855,0.0,0.0,3.0,0.0132363811135292,0.006072800037843,0.9958102703094482,0.9608168800671896,0.9810728734216454,1,-0.9810728734216454,1,-0.9810728734216454,1,-0.9810728734216454,1
2022-12-07,327.1499938964844,328.6000061035156,321.260009765625,323.7999877929688,323.7999877929688,817600.0,-1.286507335541426,3.827427937708965,3.261199296532173,3.32596568044656,2.693184588584225,337.8199951171875,334.8350006103516,315.2473337809245,309.3141667683919,327.7524008178711,331.5224590951536,332.0305108242661,321.9756283004567,318.5148122083458,318.6544246169935,331.147499190548,323.4572333047222,7.690265885825795,8.723702154251633,2.103149417951142,2.103149417951142,2.103149417951142,-2.103149417951142,-2.103149417951142,-2.103149417951142,2.103149417951142,2.103149417951142,-2.103149417951142,8.429992675781193,9.424000549316403,328.6000061035156,310.8489111328124,312.6990112304687,314.5491113281249,1.0,1.008914822230038,0.9984698643270725,0.9805270438311645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.286507335541426,1,-1.286507335541426,-1,-1.286507335541426,1,-1.286507335541426,1
2022-12-08,325.2000122070312,333.4299926757812,325.0,330.6099853515625,330.6099853515625,996500.0,2.103149417951142,2.548647321329193,3.250646772142967,3.332274428191656,2.706309778098468,332.3739929199219,334.4669982910156,316.5099995930989,309.4348332722982,327.8234005737305,331.2183011806233,331.7722334655927,322.5326835940764,318.9113752622218,318.8911683939157,331.0648047537809,323.9870667896733,7.077737964107655,8.394509316222837,1.470005615950925,-1.470005615950925,-1.470005615950925,1.470005615950925,1.470005615950925,1.470005615950925,-1.470005615950925,-1.470005615950925,1.470005615950925,6.019989013671875,9.032000732421873,333.4299926757812,307.8672048950195,309.7520050048828,311.6368051147461,0.0,0.9937422664065869,0.9983303838323564,0.9755039214783441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.103149417951142,1,-2.103149417951142,1,2.103149417951142,1,2.103149417951142,1
2022-12-09,329.2900085449219,331.1600036621094,325.1400146484375,325.75,325.75,819000.0,-1.470005615950925,2.466921729210939,3.279535906889607,2.564986730851146,2.696114329547836,327.889990234375,333.7779968261719,317.7286661783854,309.5983332316081,327.7739004516602,329.3955341204155,330.677281926394,322.7402523944585,319.1355924667391,319.0269868415609,330.2471424839685,324.1176544348827,6.129488049085808,7.941505062795432,-2.636990433734651,2.636990433734651,2.636990433734651,-2.636990433734651,-2.636990433734651,-2.636990433734651,2.636990433734651,2.636990433734651,-2.636990433734651,9.71002197265625,8.80050048828125,331.1600036621094,313.5595910644531,315.3659912109375,317.1723913574218,1.0,0.9823595124670147,0.9961238709883196,1.2785781179465792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.470005615950925,1,-1.470005615950925,-1,-1.470005615950925,-1,-1.470005615950925,-1
2022-12-12,325.489990234375,334.7900085449219,325.0799865722656,334.3399963378906,334.3399963378906,968700.0,2.636990433734651,1.997151391658253,3.374049660565287,2.476372546373263,2.714707346386068,328.5039916992188,334.2999969482422,319.0119995117187,309.9338333129883,327.730700378418,331.0436881929072,331.3432300012115,323.4886229714542,319.6340975116949,319.3302147523793,330.8768123076488,324.8748649462166,6.001947361432201,7.553593522522787,-1.133579166846559,1.133579166846559,1.133579166846559,-1.133579166846559,-1.133579166846559,-1.133579166846559,1.133579166846559,1.133579166846559,-1.133579166846559,14.19000244140619,9.211500549316405,334.7900085449219,311.7989025878906,313.5590026855469,315.3191027832031,1.0,0.9826622635299611,0.9990959772792002,1.3624967961733805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.636990433734651,1,-2.636990433734651,-1,-2.636990433734651,-1,-2.636990433734651,-1
2022-12-13,349.3900146484375,350.4500122070312,336.260009765625,338.1300048828125,338.1300048828125,1130400.0,1.133579166846559,1.906212255481784,3.31741763226812,2.48643816524498,2.715534201891171,330.5259948730469,335.7469970703125,320.5313334147135,310.2806666056315,327.7316003417969,333.405793756209,332.5771890705935,324.4332282560579,320.2405207041905,319.702487824269,331.9926880884432,325.8567271637422,6.13596092470101,7.270067002958433,1.804041645351686,-1.804041645351686,-1.804041645351686,1.804041645351686,1.804041645351686,-1.804041645351686,-1.804041645351686,-1.804041645351686,1.804041645351686,13.75,9.495001220703122,350.4500122070312,314.5247073364258,316.3670074462891,318.2093075561523,0.0,0.9844495937630912,1.0024914657795114,1.3342047586939554,1.0,0.0,0.0,0.6949013471603394,0.6949013471603394,0.071988076,0.071988076,1.133579166846559,-1,-1.133579166846559,-1,-1.133579166846559,-1,-1.133579166846559,-1
2022-12-14,337.9599914550781,342.3599853515625,328.6099853515625,332.0299987792969,332.0299987792969,1483000.0,-1.804041645351686,2.044858300064317,2.986453849116631,2.512933978824683,2.726508352952109,332.1719970703125,334.99599609375,321.8933329264323,310.5434997558594,327.6752001953125,332.9471954305716,332.4776999267214,324.9233424833637,320.6270609689481,319.9465969520913,331.9984281947284,326.3140065426722,5.684421652056187,6.952937932777984,2.472665567949274,-2.472665567949274,-2.472665567949274,2.472665567949274,2.472665567949274,-2.472665567949274,-2.472665567949274,-2.472665567949274,2.472665567949274,5.8699951171875,9.44100189208984,342.3599853515625,329.5610095214843,331.4600097656249,333.3590100097656,0.0,0.9915700514144438,1.001412111260255,1.1884330723696197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.804041645351686,1,1.804041645351686,-1,1.804041645351686,1,1.804041645351686,1
2022-12-15,327.4500122070312,328.2200012207031,322.3500061035156,323.8200073242188,323.8200073242188,1343800.0,-2.472665567949274,2.17871806592115,2.315879133073798,2.567750788790141,2.743339673949566,330.8140014648437,331.5939971923828,323.3170003255208,310.7220001220703,327.5193002319336,329.9047993951207,330.9035739989936,324.8521595698705,320.7317477346947,320.023298147579,330.7402095992653,326.1292658598238,4.610943739441495,6.484539094110687,-1.636707946727386,1.636707946727386,1.636707946727386,-1.636707946727386,-1.636707946727386,-1.636707946727386,1.636707946727386,1.636707946727386,-1.636707946727386,9.3900146484375,9.502502441406246,328.2200012207031,321.5897811889648,323.4779815673828,325.3661819458008,1.0,0.9976477386980968,0.9969816747767253,0.9019096180143641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.472665567949274,1,2.472665567949274,1,-2.472665567949274,1,-2.472665567949274,1
