Date_TDY_L01d,Open_TDY_L01d,High_TDY_L01d,Low_TDY_L01d,Close_TDY_L01d,Adj Close_TDY_L01d,Volume_TDY_L01d,Daily_Return_TDY_L01d,Vol5_TDY_L01d,Vol10_TDY_L01d,Vol20_TDY_L01d,Vol60_TDY_L01d,SMA5_TDY_L01d,SMA10_TDY_L01d,SMA30_TDY_L01d,SMA60_TDY_L01d,SMA100_TDY_L01d,EMA5_TDY_L01d,EMA10_TDY_L01d,EMA30_TDY_L01d,EMA60_TDY_L01d,EMA100_TDY_L01d,Short12_TDY_L01d,Long26_TDY_L01d,MACD_TDY_L01d,SIGNAL9_TDY_L01d,Ret5/10_TDY_L01d,Ret10/30_TDY_L01d,Ret30/60_TDY_L01d,Ret30/100_TDY_L01d,Emaret5/10_TDY_L01d,Emaret10/30_TDY_L01d,Emaret30/60_TDY_L01d,Emaret30/100_TDY_L01d,RetMACD_TDY_L01d,DayRange_TDY_L01d,average20r_TDY_L01d,PRVHI_TDY_L01d,HitLevel_TDY_L01d,hitlevel_2_TDY_L01d,hitlevel_1.8_TDY_L01d,positive_return_dummy,sma_ratio_L01d,ema_ratio_L01d,volatility_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_logit,logit,ret_tree,tree,ret_xgb,xgb,ret_rf,rf
2022-12-02,420.0,428.1799926757812,420.0,427.1900024414062,427.1900024414062,155200.0,0.6455389693895291,1.762574948106133,1.431985174638153,1.767796642926397,1.98340024719594,418.7700012207031,416.1110015869141,401.7406667073568,377.9633321126302,382.3671987915039,421.2737437455006,417.3102379782569,402.0585041659219,390.9304454414639,389.1243947198402,415.8299683192567,404.7746052392046,11.05536308005208,11.41616837026313,-0.8567624806742353,-0.8567624806742353,-0.8567624806742353,0.8567624806742353,0.8567624806742353,-0.8567624806742353,-0.8567624806742353,-0.8567624806742353,0.8567624806742353,3.829986572265625,7.82949829101562,428.1799926757812,410.5323037719726,412.1630035400391,413.7937033081055,0.0,1.0063901209620711,1.0094977439001873,0.810039537278256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,-1,,1,,-1
2022-12-05,423.3999938964844,424.9599914550781,421.1300048828125,423.5299987792969,423.5299987792969,231100.0,-0.8567624806742353,1.570083673934643,1.49919588871286,1.786050049292933,1.974161092860389,420.8100036621094,417.7550018310547,404.1756663004557,378.5613321940104,382.876298828125,422.0258287567661,418.4411035784459,403.4437618829139,391.999283255819,389.8056938101264,417.0145883900321,406.1638936495818,10.85069474045025,11.30307364430055,-2.424855156251542,-2.424855156251542,-2.424855156251542,2.424855156251542,2.424855156251542,-2.424855156251542,-2.424855156251542,-2.424855156251542,2.424855156251542,11.95001220703125,7.675999450683586,424.9599914550781,410.9550964355468,412.5209960937499,414.0868957519531,0.0,1.0073129030596029,1.0085668571936748,0.8393918688372514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8567624806742353,1,0.8567624806742353,-1,-0.8567624806742353,1,0.8567624806742353,1
2022-12-06,424.7900085449219,424.7900085449219,412.8399963378906,413.260009765625,413.260009765625,178400.0,-2.424855156251542,1.968395169158472,1.731496461410023,1.743795263322935,2.001318937082863,421.706005859375,418.5950042724609,406.0460001627604,378.9489990234375,383.1885989379883,419.1038890930524,417.4990865215693,404.0770681979275,392.6963562561405,390.2701357102353,416.4369609093541,406.6895318803998,9.74742902895423,10.99194472123129,-0.5154151944245716,-0.5154151944245716,-0.5154151944245716,0.5154151944245716,0.5154151944245716,-0.5154151944245716,-0.5154151944245716,-0.5154151944245716,0.5154151944245716,7.010009765625,7.557000732421867,424.7900085449219,408.0727926635743,409.607992553711,411.1431924438477,0.0,1.007432008397523,1.0038438469048008,0.9929471067093761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.424855156251542,1,2.424855156251542,-1,-2.424855156251542,1,-2.424855156251542,-1
2022-12-07,412.2900085449219,418.010009765625,411.0,411.1300048828125,411.1300048828125,157200.0,-0.5154151944245716,1.366841450483753,1.532173640323677,1.748733344858158,1.934270004718884,419.9120056152344,418.1880035400391,407.7373331705729,379.5518325805664,383.4794989013672,416.4459276896392,416.341071678159,404.5320963711459,393.3007381783265,390.683202426524,415.62050613604,407.0184558065044,8.602050329535587,10.51396584289215,0.0243246910534127,0.0243246910534127,0.0243246910534127,-0.0243246910534127,-0.0243246910534127,0.0243246910534127,0.0243246910534127,0.0243246910534127,-0.0243246910534127,6.529998779296818,7.60600128173827,418.010009765625,408.1646069335937,409.6760070800781,411.1874072265625,1.0,1.004122552681094,1.0002518512311493,0.8761619630738806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5154151944245716,1,0.5154151944245716,-1,-0.5154151944245716,1,0.5154151944245716,1
2022-12-08,413.989990234375,415.9500122070312,409.4200134277344,411.2300109863281,411.2300109863281,136000.0,0.0243246910534127,1.155540149306275,1.472111920788153,1.739902858271996,1.927605929310895,417.2680053710938,417.3170043945312,408.8893330891927,380.0688329060873,383.6360989379883,414.7072887885355,415.4117879160079,404.9642198947061,393.8885831884248,391.0900699227577,414.9450453437767,407.3304228568618,7.614622486914868,9.934097171696692,1.347180020163002,-1.347180020163002,-1.347180020163002,1.347180020163002,1.347180020163002,1.347180020163002,-1.347180020163002,-1.347180020163002,1.347180020163002,5.16998291015625,7.532501220703116,415.9500122070312,401.2768069458008,402.7980072021485,404.3192074584961,0.0,0.9998825856053758,0.9983040945202671,0.8460885697091144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0243246910534127,1,-0.0243246910534127,-1,0.0243246910534127,-1,0.0243246910534127,1
2022-12-09,409.8599853515625,410.6499938964844,405.4800109863281,405.6900024414062,405.6900024414062,125800.0,-1.347180020163002,0.9290387561792214,1.511422632776586,1.512885819451772,1.915518768891229,412.9680053710937,415.8690032958984,409.7480000813802,380.6253331502278,383.696298828125,411.7015266728258,413.6441905569893,405.0110445751384,394.2755149672111,391.3791774973844,413.5211925895658,407.2089102334947,6.312282356071023,9.209734208571556,-3.478021461374444,3.478021461374444,3.478021461374444,-3.478021461374444,-3.478021461374444,-3.478021461374444,3.478021461374444,3.478021461374444,-3.478021461374444,13.04000854492188,7.676000976562494,410.6499938964844,399.3785095214843,400.8850097656249,402.3915100097656,1.0,0.9930242506611137,0.9953035388178724,0.9990328505585993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.347180020163002,1,1.347180020163002,1,1.347180020163002,1,-1.347180020163002,-1
2022-12-12,411.0899963378906,420.1400146484375,407.1000061035156,419.7999877929688,419.7999877929688,276000.0,3.478021461374444,2.232398743940721,1.852008980078333,1.657317863705216,1.961847722331904,412.2220031738281,416.5160034179688,410.5699991861979,381.4326665242513,383.853198852539,414.4010137128735,414.7634264180764,405.9651699440307,395.1123829287113,391.9419658200692,414.487161082397,408.1415826453076,6.345578437089387,8.636903054275123,-0.2644154124387423,0.2644154124387423,0.2644154124387423,-0.2644154124387423,-0.2644154124387423,-0.2644154124387423,0.2644154124387423,0.2644154124387423,-0.2644154124387423,12.95999145507812,7.72450103759765,420.1400146484375,393.7627917480469,395.2979919433594,396.8331921386719,1.0,0.9896906716454981,0.999126218267766,1.1174736124172655,1.0,0.0,0.0,0.9757261872291564,0.9757261872291564,0.008538921,0.008538921,3.478021461374444,-1,3.478021461374444,1,3.478021461374444,1,-3.478021461374444,-1
2022-12-13,430.7099914550781,430.7099914550781,417.75,420.9100036621094,420.9100036621094,234500.0,0.2644154124387423,1.83864878498956,1.79737277992472,1.617295451687076,1.961849346733896,413.752001953125,417.72900390625,411.3343322753906,382.2468332926432,384.0529989624023,416.5706770292854,415.8809859169915,406.9293527645519,395.9582065593145,392.5155903317928,415.475290710045,409.0873916095151,6.387899100529921,8.187102263526082,-0.038013746577018,0.038013746577018,0.038013746577018,-0.038013746577018,-0.038013746577018,0.038013746577018,0.038013746577018,0.038013746577018,-0.038013746577018,7.559997558593807,7.75050201416015,430.7099914550781,403.1461123657227,404.6910125732422,406.2359127807617,1.0,0.9904794689477259,1.00165838577778,1.111344731755597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2644154124387423,1,0.2644154124387423,1,0.2644154124387423,1,-0.2644154124387423,1
2022-12-14,420.510009765625,425.0499877929688,417.489990234375,421.0700073242188,421.0700073242188,223600.0,0.038013746577018,1.787143294144421,1.575519201227586,1.585603460574902,1.961996661508206,415.7400024414063,417.8260040283203,412.0046661376953,383.050666809082,384.2636990356445,418.0704537942632,416.8244443546691,407.841653058724,396.7815442893113,393.0810243316428,416.3360163429949,409.9749927735672,6.36102356942763,7.821886524706392,3.766598331219697,-3.766598331219697,-3.766598331219697,3.766598331219697,3.766598331219697,-3.766598331219697,-3.766598331219697,-3.766598331219697,3.766598331219697,11.510009765625,8.090002441406241,425.0499877929688,413.6588870239258,415.2089874267578,416.7590878295899,0.0,0.9950074874067134,1.0029892907109208,0.9936401126775671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038013746577018,1,0.038013746577018,1,0.038013746577018,1,0.038013746577018,1
2022-12-15,415.9200134277344,415.9200134277344,404.4100036621094,405.2099914550781,405.2099914550781,182100.0,-3.766598331219697,2.636977354324069,1.928657481446688,1.804854093267185,2.019939024786407,414.5359985351562,415.902001953125,412.4889994303385,383.6683334350586,384.3150988769531,413.7836330145349,414.7127256456526,407.671868439134,397.0578868193364,393.3212018984435,414.6243202063923,409.6220297129384,5.002290493453927,7.2579673184559,2.159374197210542,-2.159374197210542,-2.159374197210542,2.159374197210542,2.159374197210542,2.159374197210542,-2.159374197210542,-2.159374197210542,2.159374197210542,8.58001708984375,8.133503723144523,415.9200134277344,407.2519824218751,408.8699829101563,410.4879833984376,0.0,0.9967155642157193,0.9977596717591166,1.0685946795596044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.766598331219697,1,-3.766598331219697,1,-3.766598331219697,1,-3.766598331219697,1
2022-12-16,400.8599853515625,403.4800109863281,394.8999938964844,396.4599914550781,396.4599914550781,331600.0,-2.159374197210542,2.743059464439065,1.956034491972655,1.792341743239686,2.020677801571405,412.6899963378906,412.8290008544922,412.6699991861979,384.2703333536784,384.5595986938476,408.0090858280494,411.3940467019117,406.9485215369368,397.0382836926394,393.3833561470897,411.8298080908056,408.6470639160598,3.182744174745721,6.442922689713864,1.558793524940458,-1.558793524940458,-1.558793524940458,1.558793524940458,1.558793524940458,1.558793524940458,-1.558793524940458,-1.558793524940458,1.558793524940458,8.3900146484375,8.254504394531239,403.4800109863281,398.0263052368164,399.6530059814453,401.2797067260742,0.0,0.9996632879077926,0.9917719740939398,1.0913289830750088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.159374197210542,1,-2.159374197210542,-1,-2.159374197210542,-1,-2.159374197210542,-1
2022-12-19,396.0599975585938,398.25,389.8599853515625,390.2799987792969,390.2799987792969,193700.0,-1.558793524940458,1.660885687531168,1.973745459976261,1.814141651308448,2.003534245493853,406.7859985351562,409.5040008544922,412.5116658528646,384.9183334350586,384.6277987670899,402.0993901451319,407.5551288977999,405.8731329719278,396.8167005807265,393.3219035259453,408.5144528121119,407.2865405725959,1.227912239515945,5.399920599674281,-0.479141929649585,-0.479141929649585,0.479141929649585,0.479141929649585,-0.479141929649585,-0.479141929649585,0.479141929649585,0.479141929649585,-0.479141929649585,4.809997558593807,8.4020034790039,398.25,385.3201013183594,386.9710021972656,388.6219030761719,1.0,0.993362696545908,0.9866134950444064,1.0879775890447687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.558793524940458,1,1.558793524940458,-1,1.558793524940458,-1,1.558793524940458,-1
2022-12-20,391.0,394.239990234375,389.4299926757812,392.1499938964844,392.1499938964844,203200.0,0.479141929649585,1.717665590697292,1.920499355612172,1.818159529547499,1.999451940183028,401.0339965820312,407.3929992675781,411.9739990234375,385.6451665242513,384.6352987670899,398.7829247289161,404.7541952611971,404.9877691606089,396.663693804194,393.2986973946689,405.9968437481692,406.1653148928839,-0.168471144714772,4.28624225079647,-1.915086034046303,-1.915086034046303,1.915086034046303,1.915086034046303,-1.915086034046303,-1.915086034046303,-1.915086034046303,1.915086034046303,-1.915086034046303,7.3599853515625,8.301501464843748,394.239990234375,379.7655923461914,381.4459930419922,383.126393737793,1.0,0.9843909868432219,0.9852471682759765,1.0562875943510541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479141929649585,1,-0.479141929649585,1,-0.479141929649585,1,-0.479141929649585,-1
2022-12-21,394.3699951171875,399.7099914550781,392.3500061035156,399.6600036621094,399.6600036621094,157000.0,1.915086034046303,2.235755636456246,2.067402273188756,1.773328174483223,2.000237666399661,396.7519958496094,406.2459991455078,411.6889994303385,386.5768330891927,384.7003988647461,399.0752843733139,403.8279786068175,404.6440423542541,396.7619334716666,393.4246638554102,405.0219452733908,405.6834399869006,-0.6614947135098532,3.296694857935206,1.588852035562745,1.588852035562745,-1.588852035562745,-1.588852035562745,1.588852035562745,1.588852035562745,1.588852035562745,-1.588852035562745,1.588852035562745,8.8900146484375,8.309501647949213,399.7099914550781,375.9766870117188,377.6369873046875,379.2972875976562,0.0,0.9766299155785706,0.9882308941299706,1.1658317410939636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.915086034046303,1,1.915086034046303,-1,1.915086034046303,1,-1.915086034046303,-1
2022-12-22,397.1400146484375,397.1400146484375,388.25,393.3099975585938,393.3099975585938,132700.0,-1.588852035562745,1.718825563238953,2.105060416364062,1.771686504886671,2.003968263462402,394.3719970703125,404.4539978027344,411.2873331705729,387.2986663818359,384.7185989379883,397.1535221017405,401.9156184162314,403.9128136577599,396.6487552450085,393.4223932356713,403.220107163422,404.7668886959149,-1.546781532492901,2.327999579849584,-0.1118716646252154,-0.1118716646252154,0.1118716646252154,0.1118716646252154,-0.1118716646252154,-0.1118716646252154,-0.1118716646252154,0.1118716646252154,-0.1118716646252154,4.589996337890568,8.364001464843742,397.1400146484375,381.4290878295898,383.0909881591797,384.7528884887695,1.0,0.9750725650205113,0.9881515022151761,1.1881675514025072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.588852035562745,1,1.588852035562745,-1,-1.588852035562745,1,1.588852035562745,-1
2022-12-23,393.739990234375,395.9100036621094,391.3200073242188,393.75,393.75,94600.0,0.1118716646252154,1.481689794084936,2.084474723574064,1.772354740562742,1.988832446704788,393.8299987792969,403.2599975585937,410.3706665039062,388.1248331705729,384.6625988769531,396.0190147344937,400.4309605223712,403.2571482604851,396.5537140894344,393.4288804983312,401.7631675998186,403.9508228665879,-2.187655266769298,1.424868610525808,-0.8330155629960317,-0.8330155629960317,0.8330155629960317,0.8330155629960317,-0.8330155629960317,-0.8330155629960317,-0.8330155629960317,0.8330155629960317,-0.8330155629960317,6.6400146484375,8.346502685546866,395.9100036621094,378.7392114257813,380.41201171875,382.0848120117188,1.0,0.9766155858840756,0.9889820063310738,1.1761046904821213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1118716646252154,1,-0.1118716646252154,-1,0.1118716646252154,1,-0.1118716646252154,-1
2022-12-27,395.75,398.260009765625,391.6199951171875,397.0299987792969,397.0299987792969,97500.0,0.8330155629960317,1.276257054056975,1.684195413108638,1.761380618255847,1.969164193650899,395.1799987792969,400.9829986572266,409.838666788737,389.1174997965495,384.651298828125,396.3560094160948,399.8126038418122,402.8553966810535,396.5693299809053,393.5001897712216,401.0349877812768,403.4381692304923,-2.403181449215481,0.6592585985775503,1.59685574323944,1.59685574323944,-1.59685574323944,-1.59685574323944,1.59685574323944,1.59685574323944,1.59685574323944,-1.59685574323944,1.59685574323944,10.66998291015619,8.50900115966796,398.260009765625,377.5476977539063,379.2169982910157,380.886298828125,0.0,0.9855280650367667,0.9913544635849325,0.9561791447304336,0.0,0.0,1.0,0.002040421,0.002040421,0.9870076775550842,0.9870076775550842,0.8330155629960317,1,-0.8330155629960317,1,0.8330155629960317,1,-0.8330155629960317,1
