Date_TXN_L01d,Open_TXN_L01d,High_TXN_L01d,Low_TXN_L01d,Close_TXN_L01d,Adj Close_TXN_L01d,Volume_TXN_L01d,Daily_Return_TXN_L01d,Vol5_TXN_L01d,Vol10_TXN_L01d,Vol20_TXN_L01d,Vol60_TXN_L01d,SMA5_TXN_L01d,SMA10_TXN_L01d,SMA30_TXN_L01d,SMA60_TXN_L01d,SMA100_TXN_L01d,EMA5_TXN_L01d,EMA10_TXN_L01d,EMA30_TXN_L01d,EMA60_TXN_L01d,EMA100_TXN_L01d,Short12_TXN_L01d,Long26_TXN_L01d,MACD_TXN_L01d,SIGNAL9_TXN_L01d,Ret5/10_TXN_L01d,Ret10/30_TXN_L01d,Ret30/60_TXN_L01d,Ret30/100_TXN_L01d,Emaret5/10_TXN_L01d,Emaret10/30_TXN_L01d,Emaret30/60_TXN_L01d,Emaret30/100_TXN_L01d,RetMACD_TXN_L01d,DayRange_TXN_L01d,average20r_TXN_L01d,PRVHI_TXN_L01d,HitLevel_TXN_L01d,hitlevel_2_TXN_L01d,hitlevel_1.8_TXN_L01d,positive_return_dummy,sma_ratio_L01d,ema_ratio_L01d,volatility_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_logit,logit,ret_tree,tree,ret_xgb,xgb,ret_rf,rf
2022-12-02,175.1399993896484,177.9900054931641,173.4799957275391,177.6600036621094,177.6600036621094,3822900.0,0.0901429082306498,2.580583139897718,2.079729862128878,2.348536292789138,2.184570389897293,176.3200012207031,176.2449996948242,169.3320007324219,164.7631663004557,167.8396002197265,177.1338935528688,176.1148702043354,171.032811567907,168.1437798542776,167.6346602260888,175.5916623742138,171.8331439601925,3.758518414021268,3.85718717413793,-0.1519780856103741,-0.1519780856103741,-0.1519780856103741,0.1519780856103741,0.1519780856103741,-0.1519780856103741,-0.1519780856103741,-0.1519780856103741,0.1519780856103741,3.300003051757812,4.361498260498041,177.9900054931641,170.8169085693359,171.6990081787109,172.5811077880859,0.0,1.0004255526455148,1.0057861289472667,0.8855429948067681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1,,1,,1,,-1
2022-12-05,176.7400054931641,178.6399993896484,175.3399963378906,177.3899993896484,177.3899993896484,4875300.0,-0.1519780856103741,2.239283253406782,2.080453058550054,2.224675518997849,2.178414104891699,177.1980010986328,176.4660003662109,169.9210006713867,164.8739995320638,168.0350001525879,177.2192621651287,176.3467118743923,171.4429527176968,168.4469345931422,167.8278352590306,175.8683296073576,172.2447628808929,3.623566726464617,3.810463084603268,-1.71937711384636,-1.71937711384636,-1.71937711384636,1.71937711384636,1.71937711384636,-1.71937711384636,-1.71937711384636,-1.71937711384636,1.71937711384636,4.98001098632821,4.372998809814452,178.6399993896484,168.3947093200684,169.267008972168,170.1393086242676,0.0,1.0041481119926945,1.0049479249227957,0.9351714624374691,0.0,2.0,0.0,0.0276809763163328,0.0191480191424488,0.1463609486818313,0.1081404348409156,0.1519780856103741,1,-0.1519780856103741,1,-0.1519780856103741,1,0.1519780856103741,1
2022-12-06,178.1399993896484,178.1600036621094,173.1799926757812,174.3399963378906,174.3399963378906,4417900.0,-1.71937711384636,2.46037042158488,2.09308433992518,2.249436445185661,2.190773928330151,177.4700012207031,176.6600006103516,170.3440007527669,164.9366661071777,168.1730001831055,176.2595068893827,175.9818545041193,171.6298587577093,168.6401497323143,167.9567889437605,175.633201412055,172.3999653591891,3.233236052865891,3.695017678255793,-0.3384170874634626,-0.3384170874634626,-0.3384170874634626,0.3384170874634626,0.3384170874634626,-0.3384170874634626,-0.3384170874634626,-0.3384170874634626,0.3384170874634626,2.779998779296903,4.307998657226562,178.1600036621094,169.0194020080566,169.8940017700195,170.7686015319824,0.0,1.0045850821213234,1.001577733034157,0.9304927660458635,0.0,0.0,1.0,0.0188255012035369,0.0188255012035369,0.9797695875167848,0.9797695875167848,-1.71937711384636,1,-1.71937711384636,1,-1.71937711384636,1,-1.71937711384636,-1
2022-12-07,172.5299987792969,175.0299987792969,172.25,173.75,173.75,3242800.0,-0.3384170874634626,0.8609732308393996,1.872861507773671,2.235603284043233,2.102649509198931,176.1279998779297,176.3130004882813,170.7303339640299,165.121666208903,168.313800201416,175.4230045929218,175.5760627760976,171.7666420636635,168.8076858066646,168.0715059943791,175.3434781178927,172.4999679251751,2.843510192717559,3.524716181148146,-1.502158624662786,1.502158624662786,1.502158624662786,-1.502158624662786,-1.502158624662786,-1.502158624662786,1.502158624662786,1.502158624662786,-1.502158624662786,3.669998168945312,4.349998474121094,175.0299987792969,168.682406616211,169.5440063476563,170.4056060791016,1.0,0.9989507262094159,0.9991282514213172,0.8377432262429315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3384170874634626,1,-0.3384170874634626,1,-0.3384170874634626,1,0.3384170874634626,1
2022-12-08,173.7599945068359,176.5200042724609,172.8500061035156,176.3600006103516,176.3600006103516,3902700.0,1.502158624662786,1.149155491475053,1.914797939946487,2.199796052192254,2.101473633087409,175.9,176.0510009765625,171.3466674804687,165.3066663106283,168.431000213623,175.7353365987317,175.7185969277801,172.0629877763531,169.055302685474,168.235634600636,175.4998661936556,172.7858962722252,2.713969921430362,3.362566929204589,1.190749657659289,-1.190749657659289,-1.190749657659289,1.190749657659289,1.190749657659289,-1.190749657659289,-1.190749657659289,-1.190749657659289,1.190749657659289,2.460006713867188,4.157498931884769,176.5200042724609,165.4600021362305,166.3300018310547,167.2000015258789,0.0,0.9991422884520685,1.000095264082711,0.8704433931674047,0.0,1.0,1.0,0.006789484,0.0055567675,0.9899861216545104,0.5515491738915442,1.502158624662786,1,1.502158624662786,-1,1.502158624662786,-1,1.502158624662786,1
2022-12-09,175.9600067138672,176.5800018310547,174.1199951171875,174.2599945068359,174.2599945068359,3966700.0,-1.190749657659289,1.229582220227176,1.921897290321418,1.796726900637877,2.096877200689479,175.2199981689453,175.7699996948242,171.9300008138021,165.4998329162598,168.5203001403809,175.2435559014331,175.4533964876084,172.2047301460617,169.2259483189613,168.3549288562043,175.3091167033756,172.8950887340482,2.414027969327407,3.172859137229153,-1.847814370599482,1.847814370599482,1.847814370599482,-1.847814370599482,-1.847814370599482,-1.847814370599482,1.847814370599482,1.847814370599482,-1.847814370599482,4.660003662109403,4.020999145507818,176.5800018310547,167.3735066223144,168.2050064086914,169.0365061950683,1.0,0.9968709021628614,0.9988040095525303,1.0696657848441535,0.0,0.0,1.0,0.005364361,0.005364361,0.9586594104766846,0.9586594104766846,-1.190749657659289,1,1.190749657659289,-1,1.190749657659289,-1,-1.190749657659289,-1
2022-12-12,174.1100006103516,177.5700073242188,172.9100036621094,177.4799957275391,177.4799957275391,5347000.0,1.847814370599482,1.593542393523508,1.851264933874872,1.7345623116079,2.100142749239764,175.2379974365234,176.2179992675781,172.467333984375,165.7034996032715,168.6297001647949,175.9890358434685,175.8218690766867,172.5450698609957,169.4965728241606,168.535623249696,175.6430980917085,173.2347114743068,2.408386617401703,3.019964633263664,-0.0112712829290456,0.0112712829290456,0.0112712829290456,-0.0112712829290456,-0.0112712829290456,0.0112712829290456,0.0112712829290456,0.0112712829290456,-0.0112712829290456,7.220001220703097,4.188499450683598,177.5700073242188,167.7338037109375,168.5380035400391,169.3422033691406,1.0,0.9944386961880856,1.000950773459864,1.0672807321397357,0.0,1.0,1.0,0.0240046773105859,0.0142064406552929,0.9352080821990968,0.4956168718636036,1.847814370599482,1,-1.847814370599482,-1,-1.847814370599482,-1,-1.847814370599482,1
2022-12-13,182.1300048828125,183.0899963378906,175.8699951171875,177.5,177.5,6951000.0,0.0112712829290456,1.277902067700188,1.850891454259971,1.715129982880887,2.099338352013036,175.8699981689453,176.6699996948242,173.0296671549479,165.8909996032715,168.7657002258301,176.4926905623123,176.1269837900164,172.8647427731896,169.7589802725487,168.7131356605931,175.9287753083687,173.5506587725063,2.378116535862461,2.891595013783423,0.946474746918982,-0.946474746918982,-0.946474746918982,0.946474746918982,0.946474746918982,-0.946474746918982,-0.946474746918982,-0.946474746918982,0.946474746918982,5.669998168945398,4.181499481201183,183.0899963378906,168.3553085327149,169.1930084228516,170.0307083129883,0.0,0.9954717749065443,1.0020763812814277,1.0791552084880744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0112712829290456,-1,-0.0112712829290456,-1,-0.0112712829290456,-1,0.0112712829290456,-1
2022-12-14,176.7599945068359,179.8099975585938,174.1399993896484,175.8200073242188,175.8200073242188,5114600.0,-0.946474746918982,1.386098822886805,1.208033797649315,1.72842959916266,2.103728981744613,176.2839996337891,176.2059997558594,173.4603342692057,166.0536664326986,168.8919003295898,176.2684628162812,176.0711698871441,173.0554050022882,169.9577024709641,168.8538657925461,175.9120417723456,173.7187586652257,2.193283107119925,2.751932632450723,-3.304523134656122,-3.304523134656122,-3.304523134656122,3.304523134656122,3.304523134656122,-3.304523134656122,-3.304523134656122,-3.304523134656122,3.304523134656122,5.430007934570312,4.284500122070324,179.8099975585938,173.890697479248,174.7269973754882,175.5632972717285,0.0,1.0004426630082845,1.0011205294385421,0.6989198739911354,0.0,0.0,1.0,0.026502015069127,0.026502015069127,0.9720868468284608,0.9720868468284608,0.946474746918982,-1,0.946474746918982,1,0.946474746918982,1,0.946474746918982,-1
2022-12-15,173.5299987792969,174.5200042724609,169.0899963378906,170.0099945068359,170.0099945068359,6007300.0,-3.304523134656122,1.876234533167663,1.499721948780708,1.809410117303643,2.137681506260848,175.0139984130859,175.456999206543,173.8443339029948,166.1654996236165,168.9836003112793,174.1823067131327,174.9691379998153,172.8589269058075,169.9594169639435,168.8767594304528,175.0040345007287,173.4440353942339,1.559999106494871,2.513545927259553,0.2705673018885962,-0.2705673018885962,-0.2705673018885962,0.2705673018885962,0.2705673018885962,0.2705673018885962,-0.2705673018885962,-0.2705673018885962,0.2705673018885962,2.570007324218722,4.173001098632826,174.5200042724609,170.3840972900391,171.2409973144532,172.0978973388672,0.0,0.9974751603215576,0.9955030281586948,0.8288457848437215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.304523134656122,1,-3.304523134656122,1,-3.304523134656122,1,3.304523134656122,1
