Date_ORCL_L01d,Open_ORCL_L01d,High_ORCL_L01d,Low_ORCL_L01d,Close_ORCL_L01d,Adj Close_ORCL_L01d,Volume_ORCL_L01d,Daily_Return_ORCL_L01d,Vol5_ORCL_L01d,Vol10_ORCL_L01d,Vol20_ORCL_L01d,Vol60_ORCL_L01d,SMA5_ORCL_L01d,SMA10_ORCL_L01d,SMA30_ORCL_L01d,SMA60_ORCL_L01d,SMA100_ORCL_L01d,EMA5_ORCL_L01d,EMA10_ORCL_L01d,EMA30_ORCL_L01d,EMA60_ORCL_L01d,EMA100_ORCL_L01d,Short12_ORCL_L01d,Long26_ORCL_L01d,MACD_ORCL_L01d,SIGNAL9_ORCL_L01d,Ret5/10_ORCL_L01d,Ret10/30_ORCL_L01d,Ret30/60_ORCL_L01d,Ret30/100_ORCL_L01d,Emaret5/10_ORCL_L01d,Emaret10/30_ORCL_L01d,Emaret30/60_ORCL_L01d,Emaret30/100_ORCL_L01d,RetMACD_ORCL_L01d,DayRange_ORCL_L01d,average20r_ORCL_L01d,PRVHI_ORCL_L01d,HitLevel_ORCL_L01d,hitlevel_2_ORCL_L01d,hitlevel_1.8_ORCL_L01d,positive_return_dummy,sma_ratio_L01d,ema_ratio_L01d,volatility_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_logit,logit,ret_tree,tree,ret_xgb,xgb,ret_rf,rf
2022-12-02,83.19999694824219,83.62000274658203,82.58000183105469,83.3499984741211,83.3499984741211,4798900.0,-0.9035811802585269,1.779664211777748,1.459535581671391,1.228042582215189,2.041551487076221,82.5459991455078,81.96800003051757,78.22833302815755,72.41433334350586,73.74040008544922,82.86460194392531,81.89094812581115,78.16502508570504,75.49238899828048,74.61220603274127,81.48950694327883,78.79246356778425,2.697043375494573,2.649523430728292,-4.703057277394447,-4.703057277394447,-4.703057277394447,4.703057277394447,4.703057277394447,-4.703057277394447,-4.703057277394447,-4.703057277394447,-4.703057277394447,3.009994506835938,1.73599967956543,83.62000274658203,80.77459884643555,81.11599884033203,81.45739883422851,0.0,1.007051521505649,1.011889639091958,1.1885056779046101,0.0,0.0,1.0,0.000889705,0.000889705,0.9983547329902648,0.9983547329902648,,1,,-1,,-1,,-1
2022-12-05,82.41000366210938,82.41999816894531,79.41000366210938,79.43000030517578,79.43000030517578,9102900.0,-4.703057277394447,2.797512538524218,2.200016466068998,1.681334736004898,2.127736808289421,82.15399932861328,81.9379997253418,78.45266647338867,72.47299995422364,73.84020011901856,81.7197347310088,81.4435030675138,78.24663639018702,75.62149100834262,74.70760789952216,81.17265976818605,78.83968851129474,2.332971256891312,2.586212995960896,-0.654660255657235,-0.654660255657235,-0.654660255657235,0.654660255657235,0.654660255657235,-0.654660255657235,-0.654660255657235,-0.654660255657235,0.654660255657235,1.760002136230469,1.743999862670898,82.41999816894531,79.80080345153809,80.14800338745117,80.49520332336425,0.0,1.0026361346871477,1.0033916967356624,1.3084940309367337,0.0,0.0,2.0,0.0254723094403743,0.0169835557201871,0.990964651107788,0.7517455816268921,-4.703057277394447,-1,4.703057277394447,1,4.703057277394447,1,4.703057277394447,1
2022-12-06,79.3499984741211,79.81999969482422,78.05999755859375,78.91000366210938,78.91000366210938,7656100.0,-0.654660255657235,2.797350809720821,2.208405529581309,1.683082064512183,2.121363074292111,81.76600036621093,81.84700012207031,78.6523333231608,72.50349998474121,73.92190017700196,80.78315770804232,80.98286681198572,78.28943427869815,75.72931109535135,74.79082365719715,80.82455882878963,78.8448970409847,1.979661787804929,2.464902754329703,0.1647508259778793,-0.1647508259778793,-0.1647508259778793,0.1647508259778793,0.1647508259778793,0.1647508259778793,-0.1647508259778793,-0.1647508259778793,0.1647508259778793,0.8600006103515625,1.680999755859375,79.81999969482422,78.58319847106934,78.93199844360352,79.2807984161377,0.0,0.9990103515615896,0.9975339338824958,1.3121199352934603,0.0,0.0,1.0,0.00702962,0.00702962,0.95022714138031,0.95022714138031,0.654660255657235,1,-0.654660255657235,1,-0.654660255657235,1,-0.654660255657235,1
2022-12-07,78.66999816894531,79.44000244140625,78.58000183105469,78.77999877929688,78.77999877929688,5105500.0,-0.1647508259778793,2.226492765277343,1.947263133690128,1.643585337294658,2.113511855301152,80.91600036621094,81.5129997253418,78.84033330281575,72.54916661580404,74.0076001739502,80.11543806512718,80.58234535149683,78.32108360131743,75.82933364236595,74.86981722397141,80.51001112886767,78.84008976234117,1.669921366526509,2.305906476769064,-1.63747262695611,1.63747262695611,1.63747262695611,-1.63747262695611,-1.63747262695611,-1.63747262695611,1.63747262695611,1.63747262695611,-1.63747262695611,1.680000305175781,1.687999725341797,79.44000244140625,76.12180023193359,76.45800018310547,76.79420013427735,1.0,0.9926760227062867,0.9942058364728277,1.1847654572626718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1647508259778793,1,-0.1647508259778793,-1,-0.1647508259778793,1,-0.1647508259778793,-1
2022-12-08,79.12999725341797,80.20999908447266,78.52999877929688,80.06999969482422,80.06999969482422,5918700.0,1.63747262695611,2.317657892341675,2.035088167438681,1.672993701335141,2.00755305561972,80.10800018310547,81.26399993896484,79.01533330281576,72.68166656494141,74.08590019226074,80.10029194169286,80.48919159573816,78.4339168976727,75.9683718735941,74.97279113428532,80.44231706209175,78.93119420178436,1.511122860307381,2.146949753476727,0.2622693708917683,-0.2622693708917683,-0.2622693708917683,0.2622693708917683,0.2622693708917683,0.2622693708917683,-0.2622693708917683,-0.2622693708917683,0.2622693708917683,0.8199996948242188,1.640999603271484,80.20999908447266,75.7264030456543,76.06400299072266,76.40160293579102,0.0,0.9857747618043955,0.9951682996644,1.2164350444443208,1.0,0.0,2.0,0.7821400165557861,0.2640676095185953,0.9912848472595216,0.6719807013869286,1.63747262695611,1,-1.63747262695611,1,1.63747262695611,1,-1.63747262695611,1
2022-12-09,79.6500015258789,80.36000061035156,79.54000091552734,79.86000061035156,79.86000061035156,6850800.0,-0.2622693708917683,2.339049534508319,2.028217234307959,1.627909203556464,1.974659073935056,79.41000061035156,80.97799987792969,79.17233327229818,72.84199994405111,74.15860023498536,80.02019483124576,80.37479323475878,78.5259222984907,76.09596625840581,75.06956755955395,80.35272991567018,78.99999467649305,1.352735239177136,1.988106850616809,-1.778109389046574,1.778109389046574,1.778109389046574,-1.778109389046574,-1.778109389046574,-1.778109389046574,1.778109389046574,1.778109389046574,-1.778109389046574,1.470001220703125,1.64849967956543,80.36000061035156,76.5997999572754,76.9279998779297,77.25619979858398,1.0,0.9806367251606386,0.9955881889179197,1.245903168233799,0.0,1.0,3.0,0.005364361,0.003413304,0.9892436265945436,0.7543152066891174,-0.2622693708917683,-1,-0.2622693708917683,-1,-0.2622693708917683,-1,-0.2622693708917683,-1
2022-12-12,80.30999755859375,81.41000366210938,79.94000244140625,81.27999877929688,81.27999877929688,15807600.0,1.778109389046574,1.148703444078662,2.073771646241558,1.662763177397993,1.962292335638718,79.78000030517578,80.96699981689453,79.3029998779297,73.04949989318848,74.22600021362305,80.44012948059614,80.53937606103844,78.7036046520911,76.26593453777929,75.19254639558847,80.49538666392044,79.16888386929332,1.326502794627118,1.855786039418871,0.8858282868066666,-0.8858282868066666,-0.8858282868066666,0.8858282868066666,0.8858282868066666,0.8858282868066666,-0.8858282868066666,-0.8858282868066666,0.8858282868066666,5.8800048828125,1.831999969482422,81.41000366210938,76.73330131530761,77.0630012512207,77.3927011871338,0.0,0.985339712297564,0.998767725983287,1.2471840093829474,2.0,1.0,2.0,0.9467561841011048,0.3877557318421631,0.9945476055145264,0.4038580548988342,-1.778109389046574,1,-1.778109389046574,1,-1.778109389046574,1,-1.778109389046574,1
2022-12-13,84.94000244140625,85.58000183105469,79.69999694824219,80.55999755859375,80.55999755859375,22812200.0,-0.8858282868066666,1.20823339561603,2.082920429714691,1.670176882864283,1.968197158312011,80.10999908447266,80.9379997253418,79.38599980672201,73.24099985758464,74.2826001739502,80.48008550659534,80.54312542423031,78.8233719363816,76.4067234892814,75.29883255723213,80.50532680156249,79.27192932776002,1.233397473802469,1.731308326295591,-1.564054337655647,1.564054337655647,1.564054337655647,-1.564054337655647,-1.564054337655647,-1.564054337655647,1.564054337655647,1.564054337655647,-1.564054337655647,2.319999694824219,1.814500045776367,85.58000183105469,77.37960372924805,77.74600372314453,78.11240371704102,1.0,0.9897699394143801,0.9992173147329095,1.2471256494357474,0.0,1.0,8.0,0.1582148224115371,0.0215495952584763,0.9982715845108032,0.8944274949137928,-0.8858282868066666,-1,-0.8858282868066666,1,-0.8858282868066666,1,-0.8858282868066666,1
2022-12-14,80.80999755859375,82.88999938964844,80.56999969482422,81.81999969482422,81.81999969482422,11183100.0,1.564054337655647,1.245651917217723,1.945313271470375,1.694055349842854,1.962764355078836,80.71799926757812,80.81699981689454,79.54299977620443,73.46949984232585,74.35220016479492,80.92672356933831,80.7752843825201,79.01670275950693,76.5842079550369,75.42796457975871,80.7075841697566,79.46067528087588,1.246908888880725,1.634428438812618,2.138841367058452,-2.138841367058452,-2.138841367058452,2.138841367058452,2.138841367058452,-2.138841367058452,-2.138841367058452,-2.138841367058452,2.138841367058452,1.569999694824219,1.824499893188477,82.88999938964844,81.58810173034668,81.95100173950195,82.31390174865723,0.0,0.9987750034084324,1.0018748208437256,1.1483174216538015,0.0,1.0,0.0,0.002002164,0.002002164,0.00313331,0.00313331,-1.564054337655647,1,1.564054337655647,-1,1.564054337655647,1,1.564054337655647,-1
2022-12-15,80.79000091552734,81.02999877929688,79.45999908447266,80.06999969482422,80.06999969482422,8196800.0,-2.138841367058452,1.660982268649285,1.968299949438925,1.760926533889122,1.965696242712712,80.71799926757812,80.41299972534179,79.70799967447917,73.69149983723959,74.4126001739502,80.64114894450029,80.64705080293902,79.08465740049515,76.69849620880042,75.51988606718574,80.60949425053623,79.50581042264983,1.1036838278864,1.528279516627374,-0.611961865414126,-0.611961865414126,-0.611961865414126,0.611961865414126,0.611961865414126,0.611961865414126,-0.611961865414126,-0.611961865414126,0.611961865414126,0.9799957275390624,1.803999710083008,81.02999877929688,78.87609962463378,79.24099960327149,79.60589958190918,0.0,1.0037929133756742,0.9999268186699951,1.1177638087443689,0.0,1.0,0.0,0.000916313,0.000916313,0.001266098,0.001266098,-2.138841367058452,1,2.138841367058452,-1,-2.138841367058452,1,2.138841367058452,1
