Date_VRSN_L01d,Open_VRSN_L01d,High_VRSN_L01d,Low_VRSN_L01d,Close_VRSN_L01d,Adj Close_VRSN_L01d,Volume_VRSN_L01d,Daily_Return_VRSN_L01d,Vol5_VRSN_L01d,Vol10_VRSN_L01d,Vol20_VRSN_L01d,Vol60_VRSN_L01d,SMA5_VRSN_L01d,SMA10_VRSN_L01d,SMA30_VRSN_L01d,SMA60_VRSN_L01d,SMA100_VRSN_L01d,EMA5_VRSN_L01d,EMA10_VRSN_L01d,EMA30_VRSN_L01d,EMA60_VRSN_L01d,EMA100_VRSN_L01d,Short12_VRSN_L01d,Long26_VRSN_L01d,MACD_VRSN_L01d,SIGNAL9_VRSN_L01d,Ret5/10_VRSN_L01d,Ret10/30_VRSN_L01d,Ret30/60_VRSN_L01d,Ret30/100_VRSN_L01d,Emaret5/10_VRSN_L01d,Emaret10/30_VRSN_L01d,Emaret30/60_VRSN_L01d,Emaret30/100_VRSN_L01d,RetMACD_VRSN_L01d,DayRange_VRSN_L01d,average20r_VRSN_L01d,PRVHI_VRSN_L01d,HitLevel_VRSN_L01d,hitlevel_2_VRSN_L01d,hitlevel_1.8_VRSN_L01d,positive_return_dummy,sma_ratio_L01d,ema_ratio_L01d,volatility_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_logit,logit,ret_tree,tree,ret_xgb,xgb,ret_rf,rf
2022-12-02,200.6999969482422,202.9600067138672,199.3000030517578,202.1000061035156,202.1000061035156,593400.0,-1.207411219763294,1.940305386162208,1.386458220747157,2.078954402794293,2.375700319835872,199.8380035400391,198.4790008544922,191.6183339436849,184.8715001424154,186.9425997924805,200.7097581385278,198.5839757257719,192.5817065345138,188.8526559630775,187.9388778106001,197.8040043013653,193.4721185721793,4.331885729186041,3.770813470326226,-2.380016166312779,-2.380016166312779,-2.380016166312779,2.380016166312779,2.380016166312779,-2.380016166312779,-2.380016166312779,-2.380016166312779,-2.380016166312779,3.830001831054688,4.041500854492189,202.9600067138672,196.1664038085937,197.00400390625,197.8416040039062,0.0,1.0068470854835831,1.010704702657839,0.6669016977398052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,1,,-1,,-1
2022-12-05,200.2200012207031,200.3600006103516,196.5299987792969,197.2899932861328,197.2899932861328,688900.0,-2.380016166312779,2.289833690338556,1.612116902974555,2.109154364669324,2.388768901357896,199.7460021972657,198.7830001831055,192.2230005900065,184.9836667378744,187.1755996704102,199.5698365210628,198.3487061912921,192.8854669701022,189.1292899736694,188.124048414076,197.7249256836373,193.7549241065462,3.97000157709104,3.810651091679189,0.0811007489251211,0.0811007489251211,0.0811007489251211,-0.0811007489251211,-0.0811007489251211,0.0811007489251211,0.0811007489251211,0.0811007489251211,0.0811007489251211,3.889999389648409,4.070000457763673,200.3600006103516,194.0687048339844,194.8770050048828,195.6853051757813,1.0,1.0048444887805958,1.0061564824556657,0.7643427764128137,1.0,0.0,0.0,0.9903094172477722,0.9903094172477722,0.007853351,0.007853351,-2.380016166312779,1,-2.380016166312779,1,2.380016166312779,1,2.380016166312779,-1
2022-12-06,197.0899963378906,197.7200012207031,193.8300018310547,197.4499969482422,197.4499969482422,609100.0,0.0811007489251211,2.157590005842079,1.603245531602893,2.111834489647585,2.385954973507472,200.2440002441406,198.9770004272461,192.7313339233398,185.1238334655762,187.3752996826172,198.8632233301226,198.1853045107375,193.1799527751435,189.4021000384095,188.3087206622774,197.6826289551149,194.0286332059311,3.653995749183821,3.779320023180115,-0.7394233870060813,-0.7394233870060813,-0.7394233870060813,0.7394233870060813,0.7394233870060813,-0.7394233870060813,-0.7394233870060813,-0.7394233870060813,0.7394233870060813,3.570007324218778,3.952500152587892,197.7200012207031,191.4059996032715,192.2199996948243,193.033999786377,0.0,1.0063675691872627,1.0034206311162106,0.759171961373941,1.0,0.0,0.0,0.9735663533210754,0.9735663533210754,0.011927809,0.011927809,0.0811007489251211,1,0.0811007489251211,1,0.0811007489251211,1,-0.0811007489251211,-1
2022-12-07,198.0299987792969,199.2100067138672,195.6399993896484,195.9900054931641,195.9900054931641,527400.0,-0.7394233870060813,1.778786891530334,1.582493218320931,2.114982269615926,2.27544389328767,199.4800018310547,198.8100006103516,193.003667195638,185.4111668904622,187.5788996887207,197.9054840511365,197.7861592348151,193.3612464988868,189.6180969385654,188.4608253123939,197.422225345584,194.1739200420224,3.24830530356158,3.673117079256409,0.719418523292756,0.719418523292756,0.719418523292756,-0.719418523292756,-0.719418523292756,0.719418523292756,0.719418523292756,0.719418523292756,-0.719418523292756,3.479995727539091,3.939500427246097,199.2100067138672,189.0245008850097,189.8150009155273,190.6055009460449,1.0,1.0033700579379616,1.000603302156142,0.7482300164191479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7394233870060813,1,-0.7394233870060813,1,-0.7394233870060813,1,0.7394233870060813,1
2022-12-08,196.4600067138672,198.3600006103516,194.8800048828125,197.3999938964844,197.3999938964844,642100.0,0.719418523292756,1.194383033526872,1.575541883295662,2.074482612218066,2.275858203327309,198.0459991455078,198.6190002441406,193.4173334757487,185.7288335164388,187.7346995544434,197.7369873329191,197.7159473551186,193.6218108471189,189.8732411011201,188.6378385516828,197.4188051226456,194.4128884756863,3.005916646959321,3.539676992796991,-0.1367802840979306,0.1367802840979306,0.1367802840979306,-0.1367802840979306,-0.1367802840979306,0.1367802840979306,0.1367802840979306,0.1367802840979306,-0.1367802840979306,4.660003662109375,3.92450103759766,198.3600006103516,190.5431057739258,191.331005859375,192.1189059448242,1.0,0.9971150740969974,1.0001064151783503,0.759486666225209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.719418523292756,1,0.719418523292756,1,0.719418523292756,1,0.719418523292756,1
2022-12-09,197.3099975585938,198.9499969482422,194.2899932861328,197.6699981689453,197.6699981689453,470900.0,0.1367802840979306,1.204338624838181,1.576178442485937,1.361829527035971,2.256117634474556,197.1599975585937,198.4990005493164,193.8133336385091,186.1130002339681,187.8755995178223,197.7146576115945,197.7075929576325,193.8829842227206,190.1288724803931,188.8166931975692,197.4574502066917,194.6541558603721,2.803294346319575,3.392400463501509,-1.021907366404899,1.021907366404899,1.021907366404899,-1.021907366404899,-1.021907366404899,1.021907366404899,1.021907366404899,1.021907366404899,-1.021907366404899,4.400009155273381,3.968001556396485,198.9499969482422,189.7260983276367,190.5109985351563,191.2958987426758,1.0,0.9932543590294297,1.0000357328408904,1.1573977588197089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1367802840979306,1,0.1367802840979306,-1,0.1367802840979306,1,0.1367802840979306,1
2022-12-12,197.1000061035156,199.7100067138672,195.3099975585938,199.6900024414062,199.6900024414062,852200.0,1.021907366404899,0.6775537663563871,1.598312106998276,1.370872631016897,2.2584252459194,197.6399993896484,198.693000793457,193.6906672159831,186.5240002950032,188.004899597168,198.3731058881984,198.0680310455913,194.25763055941,190.442352151246,189.0320062519026,197.8009197812632,195.0271815330413,2.773738248221832,3.268668020445574,-1.332066517896865,1.332066517896865,1.332066517896865,-1.332066517896865,-1.332066517896865,1.332066517896865,1.332066517896865,1.332066517896865,-1.332066517896865,9.269989013671903,4.265000915527345,199.7100067138672,190.2203935241699,191.0139938354492,191.8075941467285,1.0,0.9947003598536257,1.0015402528161492,1.1659085394480937,0.0,0.0,1.0,0.2319382727146148,0.2319382727146148,0.7658362984657288,0.7658362984657288,1.021907366404899,-1,-1.021907366404899,-1,1.021907366404899,1,1.021907366404899,1
2022-12-13,209.1499938964844,209.1499938964844,199.8800048828125,202.3500061035156,202.3500061035156,745700.0,1.332066517896865,0.818656559754917,1.542874117802398,1.362586495092996,2.262028873971209,198.6200012207031,199.4320007324219,193.753667195638,186.9586669921875,188.1753996276856,199.6987392933042,198.8465719652139,194.779719304191,190.8327670349269,189.2957290212415,198.5007792154559,195.5696129827061,2.931166232749774,3.201167662906414,0.7363506045074037,-0.7363506045074037,-0.7363506045074037,0.7363506045074037,0.7363506045074037,-0.7363506045074037,-0.7363506045074037,-0.7363506045074037,0.7363506045074037,6.309997558593722,4.394500732421877,209.1499938964844,190.327004699707,191.1800048828125,192.033005065918,0.0,0.9959284392237119,1.0042855520196714,1.1323127914144615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.332066517896865,1,-1.332066517896865,-1,1.332066517896865,1,1.332066517896865,-1
2022-12-14,202.1000061035156,203.8899993896484,197.5800018310547,200.8600006103516,200.8600006103516,741800.0,-0.7363506045074037,0.8174993578496894,1.382862275618173,1.261791388956983,2.260936959883709,199.5940002441406,199.5370010375977,193.8833338419596,187.3941670735677,188.369599609375,200.0858263989866,199.2126499006935,195.1719955174917,191.1615287914982,189.5247244982536,198.8637363531321,195.9614935477169,2.902242805415284,3.141382691408189,-0.5924536681221887,-0.5924536681221887,-0.5924536681221887,0.5924536681221887,0.5924536681221887,-0.5924536681221887,-0.5924536681221887,-0.5924536681221887,0.5924536681221887,4.569992065429688,4.439000701904297,203.8899993896484,199.4820922851563,200.3609924316407,201.239892578125,0.0,1.0002856573279468,1.004383137811421,1.0959515873390682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7363506045074037,1,0.7363506045074037,-1,-0.7363506045074037,1,0.7363506045074037,-1
2022-12-15,202.4100036621094,202.6999969482422,198.1300048828125,199.6699981689453,199.6699981689453,917600.0,-0.5924536681221887,0.9301334271633036,1.123723687756046,1.253707137807127,2.260540972184943,200.0480010986328,199.0470001220703,194.3186670939128,187.7766670227051,188.5934996032715,199.9472169889729,199.2958041312847,195.4621892369403,191.4404950005948,189.7256210065841,198.987776632488,196.2361975937338,2.751579038754244,3.0634219608774,0.4908077009696241,0.4908077009696241,0.4908077009696241,-0.4908077009696241,-0.4908077009696241,0.4908077009696241,0.4908077009696241,0.4908077009696241,-0.4908077009696241,5.610000610351619,4.547000885009768,202.6999969482422,194.124197845459,195.0119979858398,195.8997981262207,1.0,1.005028967911843,1.0032685728659851,0.8963207226542265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5924536681221887,1,0.5924536681221887,-1,-0.5924536681221887,1,0.5924536681221887,1
