Date_TYL_L01d,Open_TYL_L01d,High_TYL_L01d,Low_TYL_L01d,Close_TYL_L01d,Adj Close_TYL_L01d,Volume_TYL_L01d,Daily_Return_TYL_L01d,Vol5_TYL_L01d,Vol10_TYL_L01d,Vol20_TYL_L01d,Vol60_TYL_L01d,SMA5_TYL_L01d,SMA10_TYL_L01d,SMA30_TYL_L01d,SMA60_TYL_L01d,SMA100_TYL_L01d,EMA5_TYL_L01d,EMA10_TYL_L01d,EMA30_TYL_L01d,EMA60_TYL_L01d,EMA100_TYL_L01d,Short12_TYL_L01d,Long26_TYL_L01d,MACD_TYL_L01d,SIGNAL9_TYL_L01d,Ret5/10_TYL_L01d,Ret10/30_TYL_L01d,Ret30/60_TYL_L01d,Ret30/100_TYL_L01d,Emaret5/10_TYL_L01d,Emaret10/30_TYL_L01d,Emaret30/60_TYL_L01d,Emaret30/100_TYL_L01d,RetMACD_TYL_L01d,DayRange_TYL_L01d,average20r_TYL_L01d,PRVHI_TYL_L01d,HitLevel_TYL_L01d,hitlevel_2_TYL_L01d,hitlevel_1.8_TYL_L01d,positive_return_dummy,sma_ratio_L01d,ema_ratio_L01d,volatility_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_logit,logit,ret_tree,tree,ret_xgb,xgb,ret_rf,rf
2022-12-02,346.0199890136719,346.7300109863281,338.5299987792969,342.2200012207031,342.2200012207031,254400.0,-2.841895765098091,3.471733171879047,2.678416097443791,3.037682778004558,2.584622319710001,337.6140014648437,331.4190032958984,322.7336680094401,336.0926676432292,355.6936001586914,339.8201974961717,334.0990596302212,329.0781902317613,336.4728657297541,347.1433476776373,332.4717663419763,328.6927103988461,3.779055943130174,-0.1012578278172171,-5.467240777376935,-5.467240777376935,5.467240777376935,5.467240777376935,-5.467240777376935,-5.467240777376935,-5.467240777376935,5.467240777376935,-5.467240777376935,19.83999633789068,10.39349822998047,346.7300109863281,330.8341079711914,332.8610076904297,334.887907409668,0.0,1.0186923444562237,1.0171240765307232,0.8817300202765848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,-1,,-1,,-1
2022-12-05,339.5,340.0299987792969,320.1900024414062,323.510009765625,323.510009765625,366700.0,-5.467240777376935,4.446253785890296,3.21400528756476,3.310991444730951,2.666924243469014,336.9700012207031,332.4250030517578,322.3190012613932,335.0646677652995,355.6442001342774,334.3834682526561,332.1737778366582,328.7189527823331,336.0478540587991,346.6753607882905,331.0930345609992,328.3088066482372,2.784227912762049,0.4758393202986361,-2.917993927991669,-2.917993927991669,2.917993927991669,2.917993927991669,-2.917993927991669,-2.917993927991669,-2.917993927991669,2.917993927991669,-2.917993927991669,13.21002197265631,10.535498046875,340.0299987792969,323.8643148803711,325.9430145263672,328.0217141723633,0.0,1.0136722512663636,1.0066522120752244,0.970707820063826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.467240777376935,1,5.467240777376935,1,5.467240777376935,1,5.467240777376935,1
2022-12-06,324.3900146484375,324.3900146484375,311.1799926757812,314.0700073242188,314.0700073242188,349500.0,-2.917993927991669,4.624807782401943,3.253821552930378,3.405221565821711,2.687268810274602,334.95400390625,331.6500030517578,321.5220011393229,333.8515014648438,355.3937002563476,327.6123146098437,328.8821831980329,327.7738595269709,335.3272689199604,346.0297102246456,328.4741072938023,327.254080772384,1.220026521418276,0.6246767605225642,-1.668424437149083,-1.668424437149083,1.668424437149083,1.668424437149083,-1.668424437149083,1.668424437149083,-1.668424437149083,1.668424437149083,-1.668424437149083,7.880004882812614,10.4124984741211,324.3900146484375,316.8519030761719,318.9590026855469,321.0661022949218,0.0,1.0099623121486196,0.9961388343514352,0.9555388658374132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.917993927991669,1,-2.917993927991669,-1,-2.917993927991669,1,-2.917993927991669,-1
2022-12-07,314.1700134277344,316.0599975585938,308.1799926757812,308.8299865722656,308.8299865722656,346400.0,-1.668424437149083,3.017536342902745,3.218220523025679,3.40805371112074,2.596902775178479,328.1720031738281,329.8400024414062,320.281000773112,332.9226679484049,355.0802001953125,321.3515385973177,325.2363292660751,326.5516741750544,334.4585055642983,345.2930820335093,325.4519348751043,325.8893330538567,-0.4373981787524031,0.4122617726675707,-3.111749599125098,3.111749599125098,-3.111749599125098,-3.111749599125098,3.111749599125098,-3.111749599125098,-3.111749599125098,-3.111749599125098,-3.111749599125098,12.68002319335938,10.73150024414063,316.0599975585938,301.4825180053711,303.5650177001953,305.6475173950195,1.0,0.9949430049259279,0.988055483600114,0.9442986513165503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.668424437149083,1,1.668424437149083,1,-1.668424437149083,1,1.668424437149083,1
2022-12-08,311.0199890136719,320.1400146484375,307.4599914550781,318.4400024414062,318.4400024414062,230300.0,3.111749599125098,3.154514155481523,3.342396692460603,3.441475030159466,2.62741606170676,321.4140014648438,328.3800018310547,319.4483337402344,332.0876678466797,354.7266003417969,320.3810265453473,324.0006334797717,326.028340514819,333.9333087405969,344.7613378831707,324.3731760391507,325.3375307862678,-0.9643547471170564,0.1369384687106453,-1.457098384400748,1.457098384400748,-1.457098384400748,-1.457098384400748,1.457098384400748,-1.457098384400748,-1.457098384400748,-1.457098384400748,-1.457098384400748,7.410003662109375,10.82750091552735,320.1400146484375,292.4506970214844,294.5969970703126,296.7432971191407,1.0,0.9787867704264318,0.9888283955017317,0.9712105022321571,0.0,0.0,1.0,0.004239027,0.004239027,0.9912848472595216,0.9912848472595216,3.111749599125098,1,3.111749599125098,1,3.111749599125098,1,3.111749599125098,-1
2022-12-09,317.6000061035156,325.010009765625,317.6000061035156,323.0799865722656,323.0799865722656,286000.0,1.457098384400748,3.427044680318738,3.390780867096368,3.194622040717684,2.62992472622028,317.5859985351562,327.6,319.1,331.4263341267904,354.2978002929688,321.2806798876534,323.8332431329524,325.8381241314285,333.577462112127,344.3320041938458,324.1742238134761,325.1703052889343,-0.9960814754581406,-0.0896655201231118,-0.6592809741670788,0.6592809741670788,-0.6592809741670788,-0.6592809741670788,0.6592809741670788,-0.6592809741670788,-0.6592809741670788,-0.6592809741670788,-0.6592809741670788,7.989990234375,10.35050048828125,325.010009765625,296.3195126342773,298.4850128173828,300.6505130004883,1.0,0.9694322299607941,0.9921176614834103,1.0614028275891492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.457098384400748,1,1.457098384400748,1,1.457098384400748,-1,-1.457098384400748,-1
2022-12-12,324.0,330.2099914550781,322.2200012207031,325.2099914550781,325.2099914550781,238400.0,0.6592809741670788,2.421608083574369,3.377809261581204,3.013056698829782,2.631656378357827,317.9259948730469,327.447998046875,318.9236663818359,330.8301671346028,353.8402001953125,322.5904504101283,324.0835610097025,325.7975994426317,333.3031188118959,343.9533504762464,324.3335726814149,325.1732450049449,-0.8396723235300101,-0.2396668808044916,-2.982691941176454,2.982691941176454,-2.982691941176454,-2.982691941176454,2.982691941176454,-2.982691941176454,-2.982691941176454,-2.982691941176454,-2.982691941176454,19.11001586914068,10.95350189208985,330.2099914550781,302.2389086914063,304.3090087890625,306.3791088867188,1.0,0.970920563782268,0.9953928221631411,1.1210573179366605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6592809741670788,1,0.6592809741670788,-1,-0.6592809741670788,-1,-0.6592809741670788,-1
2022-12-13,339.6799926757812,350.8200073242188,331.7099914550781,334.9100036621094,334.9100036621094,313400.0,2.982691941176454,1.959609253036579,3.488089370787327,3.063320268892932,2.661771654608418,322.093994140625,328.5239990234375,319.3096669514974,330.3753336588542,353.5162002563476,326.6969681607887,326.052005128322,326.3854964890497,333.3558035610832,343.7742743017091,325.9607159092141,325.8944863869571,0.0662295222569469,-0.1784876001922039,0.089581770405868,-0.089581770405868,0.089581770405868,0.089581770405868,-0.089581770405868,-0.089581770405868,0.089581770405868,0.089581770405868,-0.089581770405868,12.22000122070312,11.03350219726563,350.8200073242188,306.1122872924805,308.3029876708985,310.4936880493164,0.0,0.9804275946295364,1.0019780986539644,1.138662975010414,1.0,0.0,0.0,0.8288776874542236,0.8288776874542236,0.1614223420619964,0.1614223420619964,2.982691941176454,-1,-2.982691941176454,1,-2.982691941176454,1,-2.982691941176454,-1
2022-12-14,333.9700012207031,343.8299865722656,331.6099853515625,334.6099853515625,334.6099853515625,189500.0,-0.089581770405868,1.410172310888622,2.937783055812357,2.829006542254758,2.64595941497708,327.2499938964844,327.7109985351562,319.988666788737,330.0545003255208,353.207200012207,329.3346405577133,327.6080015325475,326.916108673728,333.3969242755252,343.5928032333893,327.2913727464984,326.5400789028538,0.7512938436446461,0.0074686885751661,3.523498563545972,-3.523498563545972,3.523498563545972,3.523498563545972,-3.523498563545972,-3.523498563545972,-3.523498563545972,3.523498563545972,-3.523498563545972,12.16000366210938,11.37450256347657,343.8299865722656,326.5463024902344,328.7530029296876,330.9597033691406,0.0,0.9985932585701046,1.0052704421659076,1.0384504284217393,0.0,0.0,1.0,0.00839289,0.00839289,0.9872068762779236,0.9872068762779236,0.089581770405868,1,-0.089581770405868,-1,-0.089581770405868,-1,0.089581770405868,-1
2022-12-15,328.2000122070312,330.75,318.5899963378906,322.8200073242188,322.8200073242188,284000.0,-3.523498563545972,2.420520166797684,2.904791836994233,2.93609114390768,2.682321912751475,328.1259948730469,324.7699981689453,320.8640004475911,329.579833984375,352.8467001342773,327.1630961465485,326.7374571310332,326.6518440705339,333.0501401131872,343.1814607401384,326.60347037384,326.2645180451772,0.338952328662856,0.073765416592704,-0.7806268118689004,-0.7806268118689004,0.7806268118689004,0.7806268118689004,-0.7806268118689004,-0.7806268118689004,-0.7806268118689004,0.7806268118689004,-0.7806268118689004,4.519989013671818,11.0165023803711,330.75,318.8060809326172,321.0809814453125,323.3558819580078,0.0,1.010333456670945,1.0013026942770895,0.9893398040526119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.523498563545972,1,3.523498563545972,1,3.523498563545972,1,3.523498563545972,1
2022-12-16,320.1099853515625,323.8299865722656,319.3099975585938,320.2999877929688,320.2999877929688,535700.0,-0.7806268118689004,2.358523213184026,2.817983315013282,2.759088228493051,2.665317996706427,327.5699951171875,322.5779968261719,321.786333211263,329.2100006103516,352.3063000488281,324.875393362022,325.567008160476,326.2420468913361,332.6321023321964,342.728362265937,325.6337038229368,325.822700989458,-0.1889971665212897,0.0212128999699053,-0.0780518293873903,-0.0780518293873903,0.0780518293873903,0.0780518293873903,-0.0780518293873903,0.0780518293873903,0.0780518293873903,0.0780518293873903,0.0780518293873903,7.660003662109432,10.65550231933595,323.8299865722656,306.5136947631836,308.7169952392578,310.920295715332,0.0,1.0154753217520462,0.9978756606747048,1.0213458511083562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7806268118689004,1,-0.7806268118689004,-1,-0.7806268118689004,1,-0.7806268118689004,-1
2022-12-19,319.3299865722656,323.5899963378906,315.9299926757812,320.0499877929688,320.0499877929688,277500.0,-0.0780518293873903,2.317947606071473,2.246040679088818,2.708396153385801,2.66498026437049,326.5379943847656,322.2319946289062,322.8569997151693,328.8588338216146,351.5232998657227,323.2669248390043,324.5639135482019,325.8425592075705,332.219573986648,342.2792855437,324.7746705875571,325.3950926045329,-0.6204220169758514,-0.107114083419246,-0.249957139034886,0.249957139034886,0.249957139034886,0.249957139034886,-0.249957139034886,0.249957139034886,0.249957139034886,0.249957139034886,0.249957139034886,5.25,10.31050262451173,323.5899963378906,300.3878814697266,302.5189819335938,304.6500823974609,0.0,1.013363042241719,0.9960039035300668,0.829288092246407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0780518293873903,1,0.0780518293873903,-1,-0.0780518293873903,-1,0.0780518293873903,-1
