Date_ANSS_L01d,Open_ANSS_L01d,High_ANSS_L01d,Low_ANSS_L01d,Close_ANSS_L01d,Adj Close_ANSS_L01d,Volume_ANSS_L01d,Daily_Return_ANSS_L01d,Vol5_ANSS_L01d,Vol10_ANSS_L01d,Vol20_ANSS_L01d,Vol60_ANSS_L01d,SMA5_ANSS_L01d,SMA10_ANSS_L01d,SMA30_ANSS_L01d,SMA60_ANSS_L01d,SMA100_ANSS_L01d,EMA5_ANSS_L01d,EMA10_ANSS_L01d,EMA30_ANSS_L01d,EMA60_ANSS_L01d,EMA100_ANSS_L01d,Short12_ANSS_L01d,Long26_ANSS_L01d,MACD_ANSS_L01d,SIGNAL9_ANSS_L01d,Ret5/10_ANSS_L01d,Ret10/30_ANSS_L01d,Ret30/60_ANSS_L01d,Ret30/100_ANSS_L01d,Emaret5/10_ANSS_L01d,Emaret10/30_ANSS_L01d,Emaret30/60_ANSS_L01d,Emaret30/100_ANSS_L01d,RetMACD_ANSS_L01d,DayRange_ANSS_L01d,average20r_ANSS_L01d,PRVHI_ANSS_L01d,HitLevel_ANSS_L01d,hitlevel_2_ANSS_L01d,hitlevel_1.8_ANSS_L01d,positive_return_dummy,sma_ratio_L01d,ema_ratio_L01d,volatility_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_logit,logit,ret_tree,tree,ret_xgb,xgb,ret_rf,rf
2022-12-02,254.5299987792969,256.7999877929688,252.0099945068359,256.739990234375,256.739990234375,365700.0,-1.105502592013542,3.082144513495125,2.177155528710846,3.102717690884937,2.637628799315173,250.6059967041016,247.5499984741211,234.6653340657552,231.2315002441406,244.6477003479004,252.9752405332767,249.2412240183378,239.6742022408846,238.2908130629129,243.8469859698137,247.9516802275779,240.8413284677291,7.110351759848811,6.177695569374118,-2.901767247650501,-2.901767247650501,-2.901767247650501,2.901767247650501,2.901767247650501,-2.901767247650501,-2.901767247650501,-2.901767247650501,-2.901767247650501,7.059997558593807,6.686502075195333,256.7999877929688,245.1947027587891,246.5470031738281,247.8993035888672,0.0,1.012344973737901,1.0149815365802575,0.7016930786538598,0.0,1.0,0.0,0.001306607,0.001306607,0.0131009509786963,0.0131009509786963,,1,,-1,,-1,,-1
2022-12-05,253.4700012207031,253.8999938964844,246.8399963378906,249.2899932861328,249.2899932861328,507500.0,-2.901767247650501,3.328438150779052,2.43362808652367,3.223600325463279,2.657263583776926,252.1139953613281,248.1029983520508,235.8366673787435,231.0730003356934,244.7966003417969,251.7468247842288,249.2500911579369,240.2945758567071,238.6514419226906,243.9547682929091,248.1575745442787,241.4671554913146,6.690419052964103,6.280240266092115,-2.162140292354942,-2.162140292354942,-2.162140292354942,2.162140292354942,2.162140292354942,-2.162140292354942,-2.162140292354942,-2.162140292354942,-2.162140292354942,7.209991455078125,6.687001037597673,253.8999938964844,242.0896832275391,243.4269836425781,244.7642840576172,0.0,1.0161666607655657,1.0100169817980522,0.7549410103046574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.901767247650501,1,2.901767247650501,-1,2.901767247650501,1,2.901767247650501,-1
2022-12-06,248.9199981689453,248.9199981689453,241.7100067138672,243.8999938964844,243.8999938964844,359500.0,-2.162140292354942,3.551000758839663,2.525113702140354,3.22425644427316,2.667778546363891,252.7679931640625,248.3649978637695,236.764333597819,230.7810000101725,244.8277003479004,249.131214488314,248.2773462013091,240.5271834721766,238.8235255939625,243.9536836513957,247.5025621369257,241.6473657435494,5.855196393376332,6.195231491548959,-0.4018022763686575,-0.4018022763686575,-0.4018022763686575,0.4018022763686575,0.4018022763686575,-0.4018022763686575,-0.4018022763686575,-0.4018022763686575,0.4018022763686575,4.139999389648494,6.392501068115253,248.9199981689453,239.1885916137695,240.5259918212891,241.8633920288086,0.0,1.017727921962289,1.003439171153024,0.7831615585743482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.162140292354942,1,2.162140292354942,-1,-2.162140292354942,1,2.162140292354942,-1
2022-12-07,242.3300018310547,244.3600006103516,240.2200012207031,242.9199981689453,242.9199981689453,391700.0,-0.4018022763686575,1.924776317273997,2.504014707894844,3.164827499589558,2.594012584133786,250.4919921875,248.2539978027344,237.5450002034505,230.6836667378743,244.887600402832,247.0608090485244,247.3032829226975,240.6815586139036,238.9578361701915,243.9332146319413,246.797552295698,241.7416348120972,5.055917483600723,5.967368689959312,0.8068527616668462,0.8068527616668462,0.8068527616668462,-0.8068527616668462,-0.8068527616668462,-0.8068527616668462,0.8068527616668462,0.8068527616668462,-0.8068527616668462,5.410003662109403,6.434500885009783,244.3600006103516,234.8564958190917,236.1349960327148,237.4134962463378,1.0,1.0090149379449025,0.9990195282840265,0.7912010080232132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4018022763686575,1,0.4018022763686575,-1,-0.4018022763686575,1,0.4018022763686575,-1
2022-12-08,244.8800048828125,248.5500030517578,243.1399993896484,244.8800048828125,244.8800048828125,401300.0,0.8068527616668462,1.456376308279076,2.4857511473093,3.141632176887388,2.594448391322258,247.54599609375,248.0459976196289,238.4356669108073,230.6483334859212,244.8578004455566,246.3338743266205,246.8626869154457,240.9524261151236,239.152005636179,243.9519629537407,246.5025450014079,241.9741066691873,4.528438332220645,5.67958261841158,1.090329188053978,-1.090329188053978,-1.090329188053978,1.090329188053978,1.090329188053978,1.090329188053978,-1.090329188053978,-1.090329188053978,1.090329188053978,3.489990234375,6.091000366210953,248.5500030517578,230.2040986633301,231.490998840332,232.777899017334,0.0,0.9979842386868679,0.997857867483204,0.7912292105984506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8068527616668462,1,-0.8068527616668462,-1,0.8068527616668462,1,-0.8068527616668462,1
2022-12-09,241.8800048828125,244.2899932861328,240.8000030517578,242.2100067138672,242.2100067138672,476100.0,-1.090329188053978,1.456515490751623,2.507256381666897,2.093101746470925,2.581597358726674,244.6399993896484,247.622998046875,239.2933339436849,230.6610003153483,244.7091006469726,244.9592517890361,246.0167450606132,241.0335603473006,239.252267966595,243.9174687707729,245.8421544956324,241.9915807465709,3.850573749061482,5.31378084454156,-1.094089353465463,1.094089353465463,1.094089353465463,-1.094089353465463,-1.094089353465463,-1.094089353465463,1.094089353465463,1.094089353465463,-1.094089353465463,4.25,5.858000183105484,244.2899932861328,235.1498022460937,236.3680023193359,237.5862023925781,1.0,0.9879534668396919,0.9957015394569319,1.1978664610520047,0.0,0.0,1.0,0.005827012,0.005827012,0.7722864747047424,0.7722864747047424,-1.090329188053978,-1,1.090329188053978,1,-1.090329188053978,1,-1.090329188053978,-1
2022-12-12,242.1900024414062,246.1000061035156,241.8500061035156,244.8600006103516,244.8600006103516,548000.0,1.094089353465463,1.347063786292589,2.452308771391595,2.014501553376713,2.58479362763454,243.7540008544922,247.9339981079102,240.092333984375,230.7296669006348,244.5560005187988,244.926168062808,245.8064278878384,241.2804274610458,239.4361280532756,243.9361327675963,245.6910538978969,242.2040562920362,3.486997605860722,4.948424196805393,-3.953276423937081,3.953276423937081,3.953276423937081,-3.953276423937081,-3.953276423937081,-3.953276423937081,3.953276423937081,3.953276423937081,-3.953276423937081,10.48001098632812,6.091000366210952,246.1000061035156,231.4023928833007,232.5739929199218,233.7455929565429,1.0,0.9831406854835668,0.9964188901299519,1.217327813563126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.094089353465463,-1,1.094089353465463,1,1.094089353465463,-1,-1.094089353465463,1
2022-12-13,256.7900085449219,262.2300109863281,251.75,254.5399932861328,254.5399932861328,771300.0,3.953276423937081,1.937855738612273,2.712577806404236,2.189944155719463,2.633119181461217,245.8820007324219,249.3249969482422,241.2050003051758,230.9481669108073,244.4997003173828,248.1307764705829,247.3943488693464,242.1358833207289,239.9313367494348,244.1461102036069,247.0524291883947,243.11782940271,3.934599785684696,4.745659314581253,-0.6128753274654074,0.6128753274654074,0.6128753274654074,-0.6128753274654074,-0.6128753274654074,0.6128753274654074,0.6128753274654074,0.6128753274654074,-0.6128753274654074,10.44000244140619,6.223999786376966,262.2300109863281,232.6998052978515,233.9180053710937,235.1362054443359,1.0,0.9861907299389838,1.002976735744378,1.2386515881328817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.953276423937081,-1,3.953276423937081,1,-3.953276423937081,-1,3.953276423937081,-1
2022-12-14,255.8399963378906,263.1900024414062,252.75,256.1000061035156,256.1000061035156,619000.0,0.6128753274654074,1.820642166944066,2.0493838688775,2.184425520940323,2.63066584225464,248.5180023193359,249.504997253418,242.4336669921875,231.227333577474,244.4815002441406,250.7871863482272,248.9771956391953,243.0367944680055,240.461457056126,244.3828210135061,248.4443640984133,244.0794721212882,4.364891977125126,4.669505847090028,3.15111563135099,-3.15111563135099,-3.15111563135099,3.15111563135099,3.15111563135099,-3.15111563135099,-3.15111563135099,-3.15111563135099,3.15111563135099,7.789993286132812,6.35699920654298,263.1900024414062,248.5372114562988,249.7820114135742,251.0268113708496,0.0,0.9960441877118813,1.007269704779127,0.9381797865075793,0.0,0.0,1.0,0.016496093943715,0.016496093943715,0.8950140476226807,0.8950140476226807,-0.6128753274654074,1,0.6128753274654074,1,-0.6128753274654074,1,-0.6128753274654074,1
2022-12-15,250.7700042724609,253.5399932861328,245.75,248.0299987792969,248.0299987792969,573200.0,-3.15111563135099,2.641817227070097,2.148919464000723,2.297590519737211,2.655155017201885,249.1480010986328,248.3469985961914,243.7196670532227,231.4375002543132,244.4243002319336,249.8681238252504,248.8049780283047,243.3589366816372,240.7096059650824,244.4550423554029,248.38061558778,244.3721037255851,4.008511862194894,4.537307050111002,-2.112649888704299,-2.112649888704299,-2.112649888704299,2.112649888704299,2.112649888704299,-2.112649888704299,-2.112649888704299,-2.112649888704299,2.112649888704299,8.270004272460994,6.487499237060559,253.5399932861328,249.2046041870116,250.4760040283202,251.7474038696288,0.0,1.0032253359491725,1.004273008544165,0.935292623093913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.15111563135099,1,-3.15111563135099,1,-3.15111563135099,1,-3.15111563135099,-1
2022-12-16,246.3000030517578,246.8600006103516,238.5899963378906,242.7899932861328,242.7899932861328,1274900.0,-2.112649888704299,2.809022199136,2.206683995149561,2.202941937762666,2.663308227653566,249.2639984130859,246.9519989013672,244.7440002441406,231.6166669209798,244.201000213623,247.5087469788779,247.7113444388189,243.3222306561208,240.7778153854447,244.4220710867045,247.5205198490651,244.2549103596998,3.265609489365289,4.282967537961859,-3.043782525641058,-3.043782525641058,-3.043782525641058,3.043782525641058,3.043782525641058,3.043782525641058,-3.043782525641058,-3.043782525641058,3.043782525641058,7.150009155273409,6.50400009155275,246.8600006103516,239.2674949645996,240.5649948120117,241.8624946594238,0.0,1.0093621413149285,0.999182122803459,1.0016986636473477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.112649888704299,1,-2.112649888704299,-1,-2.112649888704299,1,2.112649888704299,-1
2022-12-19,241.3800048828125,241.3800048828125,234.2299957275391,235.3999938964844,235.3999938964844,590100.0,-3.043782525641058,3.035697314566544,2.223995329270854,2.305831757700585,2.690129628581123,247.3719970703125,245.5629989624023,245.4603332519531,231.714333597819,243.7910002136231,243.4724959514134,245.4729170674854,242.811118607112,240.6014933694132,244.2434160928387,245.655823548668,243.5989906216838,2.056832926984214,3.83774061576633,0.5437548056435638,0.5437548056435638,0.5437548056435638,-0.5437548056435638,0.5437548056435638,-0.5437548056435638,0.5437548056435638,0.5437548056435638,-0.5437548056435638,5.949996948242216,6.616000366210956,241.3800048828125,232.5512004089355,233.8520004272461,235.1528004455566,1.0,1.0073667373161017,0.9918507461435265,0.9645089334222113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.043782525641058,1,3.043782525641058,1,-3.043782525641058,1,3.043782525641058,1
2022-12-20,233.1000061035156,238.4199981689453,232.4700012207031,236.6799926757812,236.6799926757812,432500.0,0.5437548056435638,1.877604284383986,2.169937511472169,2.301319590942519,2.690804088240474,243.7999969482422,244.840998840332,245.9699996948242,231.8303334554036,243.3679002380371,241.2083281928694,243.874203541721,242.4155620954133,240.4729195761794,244.0936453321049,244.2749264913008,243.0864722553206,1.188454235980174,3.307883339809099,-2.201287339485515,-2.201287339485515,2.201287339485515,-2.201287339485515,2.201287339485515,-2.201287339485515,2.201287339485515,2.201287339485515,-2.201287339485515,7.649993896484403,6.706500244140646,238.4199981689453,226.8248040771484,228.1480041503906,229.4712042236328,1.0,0.9957482533684293,0.9890686455962304,0.9429101112303392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5437548056435638,1,0.5437548056435638,1,0.5437548056435638,1,0.5437548056435638,1
2022-12-21,237.6900024414062,243.0599975585938,235.4100036621094,241.8899993896484,241.8899993896484,456400.0,2.201287339485515,2.377523511905574,2.305457001672266,2.342591877938138,2.701092762077554,240.9579956054687,244.7379989624023,246.4129994710287,232.0689999898275,242.9947003173828,241.4355519251291,243.513439150435,242.3816548240736,240.5193812094078,244.0500087787889,243.9080146295082,242.9978446356412,0.91016999386693,2.828340670620665,1.934760712551186,1.934760712551186,-1.934760712551186,1.934760712551186,-1.934760712551186,1.934760712551186,-1.934760712551186,-1.934760712551186,1.934760712551186,6.48001098632821,6.715500640869168,243.0599975585938,223.6656976318359,225.006997680664,226.3482977294921,0.0,0.9845548980012937,0.9914670531837783,0.9841479531216694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.201287339485515,1,2.201287339485515,1,2.201287339485515,1,2.201287339485515,1
2022-12-22,237.3699951171875,237.8200073242188,231.3399963378906,237.2100067138672,237.2100067138672,392000.0,-1.934760712551186,2.169949895668547,2.358789353866368,2.361566443608745,2.702496716968935,238.7939971923828,243.9709991455078,246.7999994913737,232.1526667277018,242.6058003234863,240.0270368547085,242.3673605256045,242.0480001072861,240.4108771275868,243.9145631933449,242.8775518732557,242.569115900695,0.3084359725606873,2.32435973100867,-0.143331363883288,-0.143331363883288,0.143331363883288,-0.143331363883288,0.143331363883288,-0.143331363883288,0.143331363883288,0.143331363883288,-0.143331363883288,4.8699951171875,6.824500274658229,237.8200073242188,228.2858961486816,229.6289962768555,230.9720964050293,1.0,0.9787802567876629,0.9903438991709911,0.9988240475935399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.934760712551186,1,-1.934760712551186,-1,-1.934760712551186,1,-1.934760712551186,-1
2022-12-23,235.3600006103516,238.0899963378906,233.2200012207031,237.5500030517578,237.5500030517578,208900.0,0.143331363883288,2.079424697986548,2.344658033608912,2.362611419023608,2.688694430131208,237.7459991455078,243.5049987792969,246.4119995117188,232.3196667989095,242.1599002075195,239.2013589203916,241.4914773485415,241.757806748865,240.3170779775596,243.7885322994521,242.0579289776406,242.1973297637367,-0.1394007860960471,1.831607627587727,0.2904661892409585,0.2904661892409585,-0.2904661892409585,0.2904661892409585,-0.2904661892409585,0.2904661892409585,0.2904661892409585,-0.2904661892409585,0.2904661892409585,4.669998168945312,6.76350021362307,238.0899963378906,222.8061067199707,224.1710067749023,225.535906829834,0.0,0.976349562995999,0.9905167732903277,0.9924010418005532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143331363883288,1,-0.143331363883288,-1,0.143331363883288,1,-0.143331363883288,-1
2022-12-27,237.6000061035156,238.0200042724609,233.3500061035156,236.8600006103516,236.8600006103516,220300.0,-0.2904661892409585,1.491777132894064,2.302255623819978,2.327146061937965,2.666371507713299,238.0380004882813,242.7049987792969,245.7836659749349,232.5723335266113,241.6022001647949,238.4209061503782,240.6493906688706,241.4418192560576,240.2037311786348,243.6513336521432,241.2582476903654,241.8019720486711,-0.5437243583057239,1.356541230409037,1.042810611474445,1.042810611474445,-1.042810611474445,1.042810611474445,-1.042810611474445,1.042810611474445,1.042810611474445,-1.042810611474445,1.042810611474445,6.620010375976591,6.925000762939474,238.0200042724609,223.2102958679199,224.5629959106444,225.9156959533691,0.0,0.9807709016522586,0.9907397042963687,0.9893043077419649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2904661892409585,1,0.2904661892409585,-1,-0.2904661892409585,1,0.2904661892409585,-1
2022-12-28,236.9299926757812,239.7400054931641,233.1199951171875,234.3899993896484,234.3899993896484,355400.0,-1.042810611474445,1.550063947429645,1.750890531092775,2.335805341033563,2.647105826927848,237.5800018310547,240.6899993896484,245.2016657511393,232.6793334960938,241.0913000488281,237.0772705634683,239.5113195271938,240.9868631356442,240.0131170216189,243.46794089447,240.2015941056397,241.2529370368917,-1.05134293125198,0.8749643980768333,-3.912282176212328,-3.912282176212328,3.912282176212328,-3.912282176212328,3.912282176212328,-3.912282176212328,-3.912282176212328,3.912282176212328,-3.912282176212328,8.720001220703097,6.672500610351579,239.7400054931641,222.7850025939941,224.170002746582,225.5550028991699,1.0,0.9870788251839289,0.9898374366249978,0.7495875192742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.042810611474445,1,1.042810611474445,1,-1.042810611474445,1,1.042810611474445,1
2022-12-29,236.3399963378906,244.2799987792969,235.5599975585938,243.5599975585938,243.5599975585938,329200.0,3.912282176212328,2.242630380819675,2.27938564693358,2.129576029019143,2.678043482445382,237.9140014648438,239.4359985351562,244.8466654459635,232.8518333435059,240.7004000854492,239.2381795618435,240.2474428056302,241.1528718080926,240.1294081867656,243.4697637987101,240.7182715599403,241.4238304088696,-0.7055588489292859,0.5588597486756096,0.808836114489319,0.808836114489319,-0.808836114489319,0.808836114489319,-0.808836114489319,0.808836114489319,0.808836114489319,-0.808836114489319,0.808836114489319,3.520004272460909,6.448000335693375,244.2799987792969,225.0605041503906,226.3950042724609,227.7295043945313,0.0,0.9936434075092142,0.9957990676945385,1.0703471563696356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.912282176212328,1,3.912282176212328,-1,3.912282176212328,1,3.912282176212328,-1
