Date_ENPH_L01d,Open_ENPH_L01d,High_ENPH_L01d,Low_ENPH_L01d,Close_ENPH_L01d,Adj Close_ENPH_L01d,Volume_ENPH_L01d,Daily_Return_ENPH_L01d,Vol5_ENPH_L01d,Vol10_ENPH_L01d,Vol20_ENPH_L01d,Vol60_ENPH_L01d,SMA5_ENPH_L01d,SMA10_ENPH_L01d,SMA30_ENPH_L01d,SMA60_ENPH_L01d,SMA100_ENPH_L01d,EMA5_ENPH_L01d,EMA10_ENPH_L01d,EMA30_ENPH_L01d,EMA60_ENPH_L01d,EMA100_ENPH_L01d,Short12_ENPH_L01d,Long26_ENPH_L01d,MACD_ENPH_L01d,SIGNAL9_ENPH_L01d,Ret5/10_ENPH_L01d,Ret10/30_ENPH_L01d,Ret30/60_ENPH_L01d,Ret30/100_ENPH_L01d,Emaret5/10_ENPH_L01d,Emaret10/30_ENPH_L01d,Emaret30/60_ENPH_L01d,Emaret30/100_ENPH_L01d,RetMACD_ENPH_L01d,DayRange_ENPH_L01d,average20r_ENPH_L01d,PRVHI_ENPH_L01d,HitLevel_ENPH_L01d,hitlevel_2_ENPH_L01d,hitlevel_1.8_ENPH_L01d,positive_return_dummy,sma_ratio_L01d,ema_ratio_L01d,volatility_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_logit,logit,ret_tree,tree,ret_xgb,xgb,ret_rf,rf
2024-03-05,122.1399993896484,126.4199981689453,120.3600006103516,125.0899963378906,125.0899963378906,3076700.0,0.9034404341043596,4.144973657980435,3.303423040194448,5.13321103746561,4.330755215324558,124.9660003662109,123.3650001525879,117.5709999084473,118.0278335571289,109.7411000823975,124.9042849706858,124.2101059800043,120.320462596124,117.368873843072,118.805384172979,123.8361482343756,120.9866650023896,2.849483231986,3.014146808140908,0.2158480137225989,0.2158480137225989,-0.2158480137225989,0.2158480137225989,-0.2158480137225989,0.2158480137225989,0.2158480137225989,0.2158480137225989,-0.2158480137225989,8.559997558593707,6.537500381469724,126.4199981689453,117.0440952301025,118.3209953308105,119.5978954315185,1.0,1.0129777506719309,1.005588748074921,0.6435393004658986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,-1,,1,,-1
2024-03-06,127.3199996948242,129.7599945068359,121.1999969482422,125.3600006103516,125.3600006103516,2858900.0,0.2158480137225989,3.956756126223779,3.28994067555521,5.127957460927894,4.330790268284671,126.218000793457,123.2770004272461,118.0396664937337,118.3310002644857,109.7086000823975,125.0561901839077,124.4191777309765,120.6455940809129,117.6308779993762,118.9351785578775,124.0705870614488,121.3106157881646,2.759971273284265,2.96331170116958,3.454053773111611,3.454053773111611,-3.454053773111611,3.454053773111611,-3.454053773111611,3.454053773111611,3.454053773111611,3.454053773111611,-3.454053773111611,5.180000305175781,6.326500320434567,129.7599945068359,112.0374973297119,113.3449974060058,114.6524974822998,1.0,1.023856845608006,1.0051198895905626,0.6415694164046168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2158480137225989,1,-0.2158480137225989,1,0.2158480137225989,1,-0.2158480137225989,1
2024-03-07,127.0699996948242,131.1999969482422,126.0199966430664,129.6900024414062,129.6900024414062,2711400.0,3.454053773111611,2.97375144988496,3.357451302959369,3.62380445060524,4.312801798999698,126.7540008544922,123.9020004272461,118.7603332519531,118.7756669362386,109.759700088501,126.6007942697405,125.3775094965092,121.2291042977189,118.0262591286231,119.1481453674523,124.9351125045192,121.9313110958121,3.003801408707105,2.971409642677085,0.4549281569774586,0.4549281569774586,-0.4549281569774586,0.4549281569774586,-0.4549281569774586,0.4549281569774586,0.4549281569774586,0.4549281569774586,0.4549281569774586,6.019989013671903,6.295499420166013,131.1999969482422,115.8416938018799,117.1069938659668,118.3722939300537,1.0,1.0230181951656283,1.0097568118727493,0.9264990284999001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.454053773111611,1,3.454053773111611,1,3.454053773111611,-1,3.454053773111611,1
2024-03-08,132.0,135.3999938964844,129.3800048828125,130.2799987792969,130.2799987792969,3277100.0,0.4549281569774586,2.836213567776002,2.910073302294305,3.614847718332332,4.312797015611885,126.8779998779297,125.1110000610352,119.5419998168945,119.2211668650309,109.824400100708,127.827195772926,126.2688711842888,121.8130329739498,118.4280210843829,119.3685781082809,125.7574027006388,122.5497324056999,3.207670294938978,3.018661773129463,-1.220445465757389,-1.220445465757389,-1.220445465757389,-1.220445465757389,1.220445465757389,-1.220445465757389,-1.220445465757389,-1.220445465757389,-1.220445465757389,5.449996948242216,6.205499267578124,135.3999938964844,117.349898223877,118.6089981079102,119.8680979919434,0.0,1.0141234568985338,1.012341320343023,0.8050334423594566,0.0,0.0,1.0,0.01593345,0.01593345,0.96546334,0.96546334,0.4549281569774586,1,0.4549281569774586,1,-0.4549281569774586,1,0.4549281569774586,1
2024-03-11,130.2799987792969,133.6600036621094,128.2100067138672,128.6900024414062,128.6900024414062,2539100.0,-1.220445465757389,1.702191462579688,2.9887093207222,3.497071173639818,4.285543073431361,127.8220001220703,125.9960006713867,120.3193331400553,119.702333577474,109.8402001190186,128.1147979957528,126.709076867401,122.2567084234631,118.7644794895312,119.5531607683428,126.2085718915261,123.0045672231596,3.204004668366537,3.055730352176878,-5.975602063499475,-5.975602063499475,-5.975602063499475,-5.975602063499475,5.975602063499475,-5.975602063499475,-5.975602063499475,-5.975602063499475,-5.975602063499475,8.879997253417997,6.145499038696288,133.6600036621094,121.7478955078125,122.9889953613282,124.2300952148438,0.0,1.0144925191351593,1.0110940838896876,0.8546321113652069,0.0,0.0,1.0,0.016655762,0.016655762,0.840193152,0.840193152,-1.220445465757389,1,-1.220445465757389,1,-1.220445465757389,1,-1.220445465757389,1
2024-03-12,127.4599990844727,127.9300003051758,119.0500030517578,121.0,121.0,4504500.0,-5.975602063499475,3.445826066610982,3.661304912111414,3.561943471106725,4.25722356337887,127.0040008544922,125.9850006103516,120.7136665344238,119.9255002339681,109.7578000640869,125.7431986638352,125.6710628915099,122.1756304606591,118.8377752439728,119.5818110501578,125.4072531389836,122.8560807621848,2.551172376798831,2.954818757101269,-2.33884448847496,-2.33884448847496,-2.33884448847496,-2.33884448847496,2.33884448847496,-2.33884448847496,-2.33884448847496,-2.33884448847496,2.33884448847496,5.279998779296903,6.096998977661134,127.9300003051758,120.1399057769776,121.3690055847168,122.5981053924561,0.0,1.0080882663745994,1.0005740046329326,1.027895288572285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.975602063499475,1,-5.975602063499475,1,-5.975602063499475,-1,-5.975602063499475,-1
2024-03-13,119.0999984741211,121.629997253418,116.3499984741211,118.1699981689453,118.1699981689453,4057400.0,-2.33884448847496,3.481191424288745,3.702635266679113,3.480240275945557,3.995942889070476,125.5660003662109,125.892000579834,121.1076665242513,119.8913335164388,109.7011000823975,123.2187984988719,124.3072329419527,121.9172025708711,118.815880913644,119.5538543594407,124.2938292974393,122.508963533056,1.784865764383326,2.720828158557681,6.566805980433024,-6.566805980433024,-6.566805980433024,-6.566805980433024,6.566805980433024,6.566805980433024,-6.566805980433024,-6.566805980433024,6.566805980433024,8.389999389648395,6.146999359130858,121.629997253418,114.5166025543213,115.7360023498535,116.9554021453858,0.0,0.9974104771381691,0.9912439974945861,1.0639021944176348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.33884448847496,1,-2.33884448847496,-1,2.33884448847496,-1,2.33884448847496,-1
2024-03-14,116.5899963378906,117.6999969482422,109.3099975585938,110.4100036621094,110.4100036621094,4212300.0,-6.566805980433024,3.04274217678315,3.407703032964103,3.385716097032355,4.065348820426617,121.7100006103516,124.2320007324219,121.3170000712077,119.6661669413249,109.6462001037598,118.9492002199511,121.7804639819812,121.1748026412735,118.5402783808068,119.3727880089985,122.1578561227732,121.6127442833562,0.5451118394169328,2.285684894729531,2.427316562163591,-2.427316562163591,-2.427316562163591,-2.427316562163591,2.427316562163591,2.427316562163591,-2.427316562163591,-2.427316562163591,2.427316562163591,4.360000610351591,6.118498992919923,117.6999969482422,108.1065986633301,109.3359985351563,110.5653984069825,0.0,0.979699271466276,0.9767510841275081,1.0064940282355688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.566805980433024,1,6.566805980433024,1,6.566805980433024,-1,6.566805980433024,1
2024-03-15,109.0800018310547,110.879997253418,106.5199966430664,107.7300033569336,107.7300033569336,4743500.0,-2.427316562163591,2.398824246359483,3.196151631190348,3.234680831191653,4.076188860264376,117.2000015258789,122.0390007019043,121.3933334350586,119.3945003509521,109.7346001434326,115.2094679322786,119.2258347774271,120.3073962358323,118.1858431341225,119.1422378178685,119.9381864664902,120.5843931036212,-0.6462066371310726,1.699306588357411,-3.211732086379733,3.211732086379733,3.211732086379733,3.211732086379733,-3.211732086379733,-3.211732086379733,-3.211732086379733,3.211732086379733,-3.211732086379733,6.360000610351591,6.150998687744144,110.879997253418,104.2392991638184,105.4629989624024,106.6866987609863,1.0,0.9603487479560303,0.9663129484255965,0.9880887166270711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.427316562163591,1,-2.427316562163591,-1,2.427316562163591,1,-2.427316562163591,-1
2024-03-18,108.8499984741211,112.8499984741211,106.4899978637695,111.1900024414062,111.1900024414062,3419400.0,3.211732086379733,3.897559502680881,3.406063143817895,3.32973522042958,3.917259361786039,113.7000015258789,120.7610008239746,121.7076667785645,118.9923336029053,109.8836001586914,113.8696461019878,117.764774352696,119.7191772813532,117.9564713081318,118.9847678104138,118.5923120010926,119.8885123138275,-1.296200312734911,1.100205208138946,1.825702612396774,1.825702612396774,-1.825702612396774,-1.825702612396774,1.825702612396774,1.825702612396774,1.825702612396774,-1.825702612396774,1.825702612396774,2.759994506836009,5.984498214721688,112.8499984741211,97.34780014038088,98.57799987792971,99.80819961547854,0.0,0.9415291422734393,0.9669245046142355,1.0229231210097445,0.0,1.0,2.0,0.185129002,0.0627526063333333,0.995761573,0.6025488376666667,3.211732086379733,-1,-3.211732086379733,-1,3.211732086379733,1,-3.211732086379733,-1
2024-03-19,109.3499984741211,111.0599975585938,108.3000030517578,109.1600036621094,109.1600036621094,2406100.0,-1.825702612396774,3.476532025220817,3.342778640056008,3.288429924827052,3.864277983376081,111.3320022583008,119.1680015563965,122.0863334655762,118.6783336639404,110.0268002319336,112.299765288695,116.2002705907712,119.03794027366,117.6680625328523,118.7902180252988,117.141187641249,119.0938079692558,-1.952620328006759,0.4896401009098053,-4.159026322668289,-4.159026322668289,4.159026322668289,4.159026322668289,-4.159026322668289,-4.159026322668289,-4.159026322668289,4.159026322668289,-4.159026322668289,7.129997253417997,6.037498092651373,111.0599975585938,99.68410240173338,100.8810020446777,102.0779016876221,1.0,0.9342440991226383,0.9664329068921637,1.016527253574307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.825702612396774,1,1.825702612396774,-1,-1.825702612396774,1,1.825702612396774,1
2024-03-20,109.370002746582,115.3499984741211,108.2200012207031,113.6999969482422,113.6999969482422,3435600.0,4.159026322668289,4.404018255248513,3.749520662606886,3.463095031399322,3.855875525705302,110.4380020141602,118.0020011901855,122.5259999593099,118.3423336029053,110.2203002166748,112.7665091752107,115.7456753830386,118.6935568333105,117.5379620218815,118.6894215683274,116.6117736884788,118.6942664121437,-2.082492723664927,-0.0247864640051412,-1.477572867429851,-1.477572867429851,1.477572867429851,1.477572867429851,-1.477572867429851,-1.477572867429851,-1.477572867429851,1.477572867429851,-1.477572867429851,4.5,5.974998474121098,115.3499984741211,97.77750175476078,98.98500137329106,100.1925009918213,1.0,0.9358993991649829,0.9742611013502759,1.0827079905721875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.159026322668289,1,-4.159026322668289,1,4.159026322668289,1,4.159026322668289,1
2024-03-21,114.629997253418,118.5599975585938,114.0599975585938,115.379997253418,115.379997253418,3261200.0,1.477572867429851,2.949475444250803,3.540322168980787,3.463204790666961,3.861798067600207,111.4320007324219,116.5710006713867,122.4549997965495,118.0321667989095,110.4123001861572,113.6376718679465,115.6791884503803,118.4797787958981,117.4672090786532,118.6238884135767,116.4222696215463,118.4487649929788,-2.026495371432489,-0.4251282454906108,0.6673571341618157,0.6673571341618157,-0.6673571341618157,-0.6673571341618157,0.6673571341618157,0.6673571341618157,0.6673571341618157,-0.6673571341618157,0.6673571341618157,2.830001831054688,5.794498443603517,118.5599975585938,102.2050018310547,103.4000015258789,104.5950012207031,0.0,0.9559152798777835,0.982351911266135,1.0222676344528197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.477572867429851,1,1.477572867429851,1,1.477572867429851,1,1.477572867429851,1
2024-03-22,114.6500015258789,115.2300033569336,112.4000015258789,114.6100006103516,114.6100006103516,2236200.0,-0.6673571341618157,2.524708144297191,3.502963909119445,3.337207910158887,3.846185976377389,112.8080001831055,115.0040008544922,122.3793332417806,117.6533335367838,110.7375002288818,113.9617814487482,115.4847906612842,118.2301156871532,117.3735301124794,118.5444054867802,116.1434590044394,118.1644120757472,-2.02095307130773,-0.7442932106540346,3.106184049939065,3.106184049939065,-3.106184049939065,-3.106184049939065,3.106184049939065,3.106184049939065,3.106184049939065,-3.106184049939065,3.106184049939065,5.360000610351605,5.831498336791999,115.2300033569336,105.8121009826661,106.9710006713868,108.1299003601075,0.0,0.9809050063035184,0.9868120364264852,1.0496690657048893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6673571341618157,1,-0.6673571341618157,-1,-0.6673571341618157,-1,-0.6673571341618157,-1
2024-03-25,114.0100021362305,116.3099975585938,110.9499969482422,111.0500030517578,111.0500030517578,2802700.0,-3.106184049939065,2.86824760836871,3.553539661997291,3.382487658415116,3.861977396494913,112.7800003051758,113.2400009155273,121.9986666361491,117.2436668395996,111.0614002227783,112.9911886497514,114.6784656413703,117.7668826139019,117.1662013563901,118.3960014781659,115.3598503963346,117.6374188147109,-2.277568418376347,-1.050948252198497,1.530846043150825,1.530846043150825,-1.530846043150825,-1.530846043150825,1.530846043150825,1.530846043150825,1.530846043150825,-1.530846043150825,1.530846043150825,4.199996948242202,5.871498107910164,116.3099975585938,102.4007070159912,103.5670066833496,104.733306350708,0.0,0.9959378257980178,0.9852868890233022,1.0505698825409233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.106184049939065,1,3.106184049939065,-1,3.106184049939065,-1,3.106184049939065,-1
2024-03-26,112.7300033569336,113.4499969482422,109.25,109.3499984741211,109.3499984741211,2551300.0,-1.530846043150825,2.823822014486925,3.176424864054729,3.376241211623865,3.865199374925023,112.8179992675781,112.0750007629395,121.3470001220703,116.8196669260661,111.359100189209,111.777458591208,113.7096534291431,117.2238578306902,116.9099324094305,118.2168727058086,114.4352577929171,117.0235358265191,-2.588278033601966,-1.358414208479191,9.556474369873737,-9.556474369873737,9.556474369873737,9.556474369873737,-9.556474369873737,-9.556474369873737,-9.556474369873737,9.556474369873737,-9.556474369873737,9.3800048828125,6.13949851989747,113.4499969482422,103.3927017211914,104.5670013427735,105.7413009643555,1.0,1.006629475793716,0.9830076446487533,0.9408169218238318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.530846043150825,-1,1.530846043150825,-1,1.530846043150825,-1,1.530846043150825,-1
2024-03-27,110.6999969482422,120.0800018310547,110.6999969482422,119.8000030517578,119.8000030517578,4947100.0,9.556474369873737,4.984497409441198,4.538566432442916,4.03323297735786,4.061134926839385,114.0380004882813,112.2380012512207,121.2216669718425,116.6140003204346,111.7898001861572,114.4516400780579,114.816989724164,117.3900607481784,117.004688823933,118.24822182157,115.2606032173542,117.2292000654257,-1.968596848071499,-1.480450736397653,0.984975187910466,-0.984975187910466,0.984975187910466,0.984975187910466,-0.984975187910466,-0.984975187910466,-0.984975187910466,0.984975187910466,-0.984975187910466,5.0,6.060498428344735,120.0800018310547,99.94310020446775,101.1709999084473,102.3988996124268,1.0,1.016037342228072,0.9968179827133266,1.1252924038660657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.556474369873737,1,-9.556474369873737,1,-9.556474369873737,1,-9.556474369873737,1
2024-03-28,119.6999969482422,124.4000015258789,119.4000015258789,120.9800033569336,120.9800033569336,2968700.0,0.984975187910466,4.981170761892214,3.859865492145003,3.738343318797018,4.062684840302756,115.1580017089844,113.2950012207031,120.867000579834,116.4430002848307,112.2104002380371,116.6277611710165,115.9375376573948,117.6216699487433,117.1350270053428,118.3023165054385,116.1405109311356,117.5070373462781,-1.366526415142488,-1.45766587214662,-2.223509974181302,2.223509974181302,-2.223509974181302,-2.223509974181302,2.223509974181302,-2.223509974181302,2.223509974181302,-2.223509974181302,-2.223509974181302,5.620002746581989,5.966998672485358,124.4000015258789,106.7469052886963,107.9590049743652,109.1711046600342,0.0,1.0164438012993362,1.0059534084263664,1.0325069590952096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.984975187910466,1,0.984975187910466,-1,0.984975187910466,-1,0.984975187910466,-1
